Period,Scenario,LoadLevel,Centrale_C_Cap_CTag,Diesel_Bel_Air,Gas_Turbines,Boutoute,Secondary_Plants,Kounoune_Power,Tobene_Power,ICS,Contour_Global,KPS_KarPowerShip,Aggreko_Boutoute,CES_Sendou,Solar_CICAD,Solar_DIASS,Manantali,PETN_Taiba_Ndiaye_Wind,PV_Bokhol,PV_Malicounda,PV_Senergy_or_Santhiou_Mekhe,PV_Ten_Merina,PV_Kahone,PV_Sakal,Malicounda_Power,Centrale_Kahone_Solaire,Centrale_Kael_Solaire,Felou_Gouina
2022,sc01,01-02 03:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,77.08489627,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,7.110341299
2022,sc01,01-02 04:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,83.11708327,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,7.110341299
2022,sc01,01-02 05:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,90.96353613,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,7.110341299
2022,sc01,01-02 06:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,99.47511004,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,7.110341299
2022,sc01,01-02 07:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,104.8355906,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,7.110341299
2022,sc01,01-02 08:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.001,0.001,,106.3041252,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,7.110341299
2022,sc01,01-02 09:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.132657219,1.474762972,,102.6920569,3.239915797,7.694415519,1.923603885,1.891543815,2.145540332,1.282402587,,3.575900553,3.129427636,7.110341299
2022,sc01,01-02 10:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.377434266,3.381361075,,95.56999334,7.922056596,17.6418839,4.410470987,4.336963125,5.0623937,2.940313984,,8.437322834,7.151165043,7.110341299
2022,sc01,01-02 11:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.574091727,5.651492433,,92.03694932,11.78899546,29.48604753,7.371511901,7.248653348,7.861834299,4.914341256,,13.10305716,12.19912917,7.110341299
2022,sc01,01-02 12:00:00+01:00,,,,,,,,1.784568169,,,,38.99378749,0.694569795,6.939749464,,76.82806735,14.28524683,36.20738857,9.051847166,8.900983021,8.862962507,6.034564763,,14.77160418,14.99024031,7.110341299
