Period,Scenario,LoadLevel,Aggreko_Boutoute,Boutoute,CES_Sendou,Centrale_C_Cap_CTag,Contour_Global,Diesel_Bel_Air,Gas_Turbines,ICS,KPS_KarPowerShip,Kounoune_Power,Malicounda_Power,Manantali,Secondary_Plants,Tobene_Power
2022,sc01,01-01 00:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0,0.005873149880551469,0.0,0.0,5.928108044928004e-05,0.009166268529915072,0.006204279120493128,0.002485166909815412,0.0,0.0015667847745063526,0.0046421839068895715
2022,sc01,01-01 01:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0056773782091029575,0.0,0.0,0.0,5.928108044928004e-05,0.008860726231907394,0.00588265724090499,0.002485166909815412,0.0,0.0015300004703159321,0.003160641823312527
2022,sc01,01-01 02:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.005579492380297231,0.0,0.0087079550937013,0.0,5.928108044928004e-05,0.0,0.005722030930412067,0.002485166909815412,0.0,0.0015057147485131178,0.0025860492931136666
2022,sc01,01-01 03:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.00548160655149149,0.0,0.0,0.0,5.928108044928004e-05,0.008555183955495267,0.005561404619919106,0.002485166909815412,0.0,0.001481429026710304,0.0021888172155651955
2022,sc01,01-01 04:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0,0.005873149880551469,0.009166268529915072,0.0,5.928108044928004e-05,0.0,0.006204279120493127,0.002485166909815412,0.0,0.0015667847745063526,0.003656717520848729
2022,sc01,01-01 05:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0067149606953212145,0.0,0.010693979933571277,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.009072660028757706
2022,sc01,01-01 06:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.010144516852605052,0.0,0.012895617020268162,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-01 07:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.01608254599724751,0.0,0.0,0.0,5.928108044928004e-05,0.014212053925992507,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-01 08:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.018500821893811702,0.0,0.01489312932662002,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-01 09:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0,0.008133273523032258,0.0,0.003126041608218672,5.928108044928004e-05,0.014413413437715454,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-01 10:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.009070042749558528,0.0,0.013725363280631503,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.007370736570349348
2022,sc01,01-01 11:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0,0.0055579905966550635,0.0,0.003528437871812155,5.928108044928004e-05,0.014038832287316264,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.005210079596305732
2022,sc01,01-01 12:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0,0.008133273523032258,0.0,0.00129759289614388,5.928108044928004e-05,0.014494420601116142,0.006416249112614336,0.002352153880601706,0.0,0.0015667847745063526,0.005217732207971506
2022,sc01,01-01 13:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.00892485446728535,0.0,0.0,0.0,5.928108044928004e-05,0.014046215029624358,0.006416249112614336,0.001173172379280358,0.0,0.0015667847745063526,0.005533946037088646
2022,sc01,01-01 14:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.008366081944473844,0.0,0.0134438605076627,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.0005357751194902195,0.0,0.0015667847745063526,0.006217018342233442
2022,sc01,01-01 15:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.008106045427541245,0.0,0.01298554707144893,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.0006476521690808455,0.0,0.0015667847745063526,0.007380778268444514
2022,sc01,01-01 16:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.008369685525270761,0.0,0.0,0.0,5.928108044928004e-05,0.0134438605076627,0.006416249112614336,0.0023692977722972837,0.0,0.0015667847745063526,0.010878024908372834
2022,sc01,01-01 17:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.014966568057911077,0.0,0.014262933596394297,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-01 18:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.02113288992616253,0.0033165498981935285,0.0,0.0,5.928108044928004e-05,0.014642489334175736,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-01 19:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.02113288992616253,0.006364645759432069,0.014199832851336863,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-01 20:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.02113288992616253,0.002617612078974819,0.0,0.0,5.928108044928004e-05,0.013418418834802362,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-01 21:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.01787025616916789,0.0,0.012573958008875246,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-01 22:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.010763383454498277,0.0,0.01130833489436365,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-01 23:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0,0.006308582533035923,0.009930124242540955,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.011829463461805807
2022,sc01,01-02 00:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.005873149880551469,0.0,0.009166268529915072,0.0,5.928108044928004e-05,0.0,0.0062087644659884235,0.002485166909815412,0.0,0.0015667847745063526,0.008921886730088755
2022,sc01,01-02 01:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0056773782091029575,0.0,0.0,0.0,5.928108044928004e-05,0.008860726231907394,0.005887142586400286,0.002485166909815412,0.0,0.0015300004703159321,0.007450132748684203
2022,sc01,01-02 02:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0,0.005579492380297231,0.0,0.0,5.928108044928004e-05,0.0087079550937013,0.005726516275907364,0.002485166909815412,0.0,0.0015057147485131178,0.006843826752654353
2022,sc01,01-02 03:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.00548160655149149,0.0,0.008555183955495267,0.0,5.928108044928004e-05,0.0,0.005565889965414405,0.002485166909815412,0.0,0.001481429026710304,0.006108317772037416
2022,sc01,01-02 04:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0,0.005873149880551469,0.009166268529915072,0.0,5.928108044928004e-05,0.0,0.0062087644659884235,0.002485166909815412,0.0,0.0015667847745063526,0.006904362561273205
2022,sc01,01-02 05:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.0,0.006714522215426367,0.0,0.0,5.928108044928004e-05,0.010693979933571277,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.011542259790778215
2022,sc01,01-02 06:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.01198935080799683,0.0,0.012819393545687828,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
2022,sc01,01-02 07:00:00+01:00,0.0008472159919825267,0.0007342538597181899,0.001231662837668778,0.01782272296039313,0.0,0.01414000753045151,0.0,5.928108044928004e-05,0.0,0.006416249112614336,0.002485166909815412,0.0,0.0015667847745063526,0.012990645210398746
