Period,Scenario,LoadLevel,Aggreko_Boutoute,Boutoute,CES_Sendou,Centrale_C_Cap_CTag,Centrale_Kael_Solaire,Centrale_Kahone_Solaire,Contour_Global,Diesel_Bel_Air,Felou_Gouina,Gas_Turbines,ICS,KPS_KarPowerShip,Kounoune_Power,Malicounda_Power,Manantali,PETN_Taiba_Ndiaye_Wind,PV_Bokhol,PV_Kahone,PV_Malicounda,PV_Sakal,PV_Senergy_or_Santhiou_Mekhe,PV_Ten_Merina,Secondary_Plants,Solar_CICAD,Solar_DIASS,Tobene_Power
2022,sc01,01-01 00:00:00+01:00,0.007124999999999999,0.006175,0.03899378749,0.0,0.0,0.0,0.04939259090353934,0.0,0.007384668982,0.0,0.001784568169,0.07708738254906766,0.05217735400635029,0.0209,0.0,0.10187547270000001,0.0,0.0,0.0,0.0,0.0,0.0,0.013176499999999997,0.0,0.0,0.039040292734783925
2022,sc01,01-01 01:00:00+01:00,0.007124999999999999,0.006175,0.03899378749,0.04774617113305487,0.0,0.0,0.0,0.0,0.007384668982,0.0,0.001784568169,0.07451780301574175,0.04947254683350275,0.0209,0.0,0.1079208304,0.0,0.0,0.0,0.0,0.0,0.0,0.012867147757080873,0.0,0.0,0.02658067506304367
2022,sc01,01-01 02:00:00+01:00,0.007124999999999999,0.006175,0.03899378749,0.04692296130599677,0.0,0.0,0.0,0.07323301333988673,0.007384668982,0.0,0.001784568169,0.0,0.04812169596065276,0.0209,0.0,0.1095968037,0.0,0.0,0.0,0.0,0.0,0.0,0.012662907316056925,0.0,0.0,0.021748410544420987
2022,sc01,01-01 03:00:00+01:00,0.007124999999999999,0.006175,0.03899378749,0.04609975147893853,0.0,0.0,0.0,0.0,0.007384668982,0.0,0.001784568169,0.07194822366403224,0.04677084508780244,0.0209,0.0,0.1097811937,0.0,0.0,0.0,0.0,0.0,0.0,0.012458666875032982,0.0,0.0,0.018407729325798254
2022,sc01,01-01 04:00:00+01:00,0.007124999999999999,0.006175,0.03899378749,0.0,0.0,0.0,0.04939259090353934,0.07708738254906766,0.007384668982,0.0,0.001784568169,0.0,0.052177354006350284,0.0209,0.0,0.1101631444,0.0,0.0,0.0,0.0,0.0,0.0,0.013176499999999997,0.0,0.0,0.030752621034783937
2022,sc01,01-01 05:00:00+01:00,0.007124999999999999,0.006175,0.03899378749,0.05647213391499626,0.0,0.0,0.0,0.08993527948923183,0.007384668982,0.0,0.001784568169,0.0,0.053959999999999994,0.0209,0.0,0.11142424029999999,0.0,0.0,0.0,0.0,0.0,0.0,0.013176499999999997,0.0,0.0,0.0763001446108584
2022,sc01,01-01 06:00:00+01:00,0.007124999999999999,0.006175,0.03899378749,0.08531435107318147,0.0,0.0,0.0,0.10845082262246253,0.007384668982,0.0,0.001784568169,0.0,0.053959999999999994,0.0209,0.0,0.11403204169999999,0.0,0.0,0.0,0.0,0.0,0.0,0.013176499999999997,0.0,0.0,0.10925
2022,sc01,01-01 07:00:00+01:00,0.007124999999999999,0.006175,0.03899378749,0.13525256996417956,0.0,0.0,0.0,0.0,0.007384668982,0.0,0.001784568169,0.11952192260410617,0.053959999999999994,0.0209,0.0,0.11795362179999999,0.0,0.0,0.0,0.0,0.0,0.0,0.013176499999999997,0.0,0.0,0.10925
2022,sc01,01-01 08:00:00+01:00,0.007124999999999999,0.006175,0.03899378749,0.15559002337166344,0.0,0.0,0.0,0.12524969719216084,0.007384668982,0.0,0.001784568169,0.0,0.053959999999999994,0.0209,0.0,0.12061410600000001,0.0,0.0,0.0,0.0,0.0,0.0,0.013176499999999997,0.0,0.0,0.10925
2022,sc01,01-01 09:00:00+01:00,0.007124999999999999,0.006175,0.03899378749,0.0,0.00464480363,0.0054396103220000006,0.0684,0.0,0.007384668982,0.026289690786452248,0.001784568169,0.12121533554083411,0.053959999999999994,0.0209,0.0,0.11999508240000001,0.0038326407530000005,0.003263766193,0.009218753414,0.001536458903,0.0023046883600000003,0.00226627688,0.013176499999999997,0.00017659768400000002,0.001766927735,0.10925
