Period,Scenario,LoadLevel,P_Coal_Hardcoal,P_Oil,RES_Hydro_Large,RES_Hydro_Small,RES_PV_Utility_Opt,RES_Wind_Onshore_Opt
2022,sc01,01-01 00:00:00+01:00,40.778355659000006,265.07412019374124,0.0,7.384668982,0.0,101.87547270000002
2022,sc01,01-01 01:00:00+01:00,40.778355659000006,245.38434380242393,0.0,7.384668982,0.0,107.9208304
2022,sc01,01-01 02:00:00+01:00,40.778355659000006,236.88898846701417,0.0,7.384668982,0.0,109.5968037
2022,sc01,01-01 03:00:00+01:00,40.778355659000006,229.88521643160445,0.0,7.384668982,0.0,109.7811937
2022,sc01,01-01 04:00:00+01:00,40.778355659000006,256.7864484937412,0.0,7.384668982,0.0,110.1631444
2022,sc01,01-01 05:00:00+01:00,40.778355659000006,324.0440580150864,0.0,7.384668982,0.0,111.4242403
2022,sc01,01-01 06:00:00+01:00,40.778355659000006,404.35167369564397,0.0,7.384668982,0.0,114.0320417
2022,sc01,01-01 07:00:00+01:00,40.778355659000006,465.36099256828567,0.0,7.384668982,0.0,117.9536218
2022,sc01,01-01 08:00:00+01:00,40.778355659000006,491.42622056382424,0.0,7.384668982,0.0,120.614106
2022,sc01,01-01 09:00:00+01:00,40.778355659000006,426.49152632728635,0.0,7.384668982,34.450523874,119.9950824
2022,sc01,01-01 10:00:00+01:00,40.778355659000006,355.03067959862574,0.0,7.384668982,76.78800599799999,116.3764288
2022,sc01,01-01 11:00:00+01:00,40.778355659000006,339.6338195963933,0.0,7.384668982,108.085366676,112.3988731
2022,sc01,01-01 12:00:00+01:00,40.778355659000006,345.30769049246504,0.0,7.384668982,133.200930799,101.0621811
2022,sc01,01-01 13:00:00+01:00,40.778355659000006,330.027030494226,0.0,7.384668982,144.240243868,84.70744699
2022,sc01,01-01 14:00:00+01:00,40.778355659000006,320.64619305599604,0.0,7.384668982,144.068631043,69.17588252000002
2022,sc01,01-01 15:00:00+01:00,40.778355659000006,325.33292002290284,0.0,7.384668982,133.932693913,56.56492388000001
2022,sc01,01-01 16:00:00+01:00,40.778355659000006,375.2948265052174,0.0,7.384668982,114.704979767,46.670425
2022,sc01,01-01 17:00:00+01:00,40.778355659000006,456.4036248627953,0.0,7.384668982,84.06637346500001,42.10347993
2022,sc01,01-01 18:00:00+01:00,40.778355659000006,539.3456333147116,0.0,7.384668982,43.675959,39.4890932
2022,sc01,01-01 19:00:00+01:00,40.778355659000006,561.2571124968473,0.0,7.384668982,8.168333957000002,43.50616097
2022,sc01,01-01 20:00:00+01:00,40.778355659000006,523.1733296759351,0.0,7.384668982,0.0,49.66017708
2022,sc01,01-01 21:00:00+01:00,40.778355659000006,466.619233177009,0.0,7.384668982,0.0,53.82541537
2022,sc01,01-01 22:00:00+01:00,40.778355659000006,396.20739800458415,0.0,7.384668982,0.0,54.01309805
2022,sc01,01-01 23:00:00+01:00,40.778355659000006,337.38694620720065,0.0,7.384668982,0.0,59.82138291
2022,sc01,01-02 00:00:00+01:00,40.778355659000006,301.1037053182129,0.0,7.110341299,0.0,66.14991098
2022,sc01,01-02 01:00:00+01:00,40.778355659000006,281.4962458668955,0.0,7.110341299,0.0,72.11295174
2022,sc01,01-02 02:00:00+01:00,40.778355659000006,272.7341835214858,0.0,7.110341299,0.0,74.05563205
2022,sc01,01-02 03:00:00+01:00,40.778355659000006,262.8855372660761,0.0,7.110341299,0.0,77.08489627
2022,sc01,01-02 04:00:00+01:00,40.778355659000006,284.13653302821285,0.0,7.110341299,0.0,83.11708327000001
2022,sc01,01-02 05:00:00+01:00,40.778355659000006,344.80945232023566,0.0,7.110341299,0.0,90.96353613
2022,sc01,01-02 06:00:00+01:00,40.778355659000006,419.22550728121377,0.0,7.110341299,0.0,99.47511004
2022,sc01,01-02 07:00:00+01:00,40.778355659000006,479.38980034181515,0.0,7.110341299,0.0,104.8355906
2022,sc01,01-02 08:00:00+01:00,40.778355659000006,506.97191026591224,0.0,7.110341299,0.0,106.3041252
2022,sc01,01-02 09:00:00+01:00,40.778355659000006,452.60929495688623,0.0,7.110341299,26.490170315,102.6920569
2022,sc01,01-02 10:00:00+01:00,40.778355659000006,392.25403390921247,0.0,7.110341299,61.66136551,95.56999334
2022,sc01,01-02 11:00:00+01:00,40.778355659000006,368.8352296159754,0.0,7.110341299,100.199154284,92.03694932
2022,sc01,01-02 12:00:00+01:00,40.778355659000006,383.14592532870626,0.0,7.110341299,120.739156606,76.82806735
2022,sc01,01-02 13:00:00+01:00,40.778355659000006,370.64901129673893,0.0,7.110341299,129.620212652,59.86748041
