Period,Scenario,LoadLevel,P_Coal_Hardcoal,P_Oil,RES_Hydro_Large,RES_Hydro_Small,RES_PV_Utility_Opt,RES_Wind_Onshore_Opt
2022,sc01,01-01 00:00:00+01:00,7.105427357601002e-15,-235.2393170066744,-30.949489462588307,-20.91445974370329,-42.48868766549291,58.180986805587246
2022,sc01,01-01 01:00:00+01:00,7.105427357601002e-15,-254.92909339799172,-30.949489462588307,-20.91445974370329,-42.48868766549291,64.22634450558724
2022,sc01,01-01 02:00:00+01:00,7.105427357601002e-15,-263.4244487334015,-30.949489462588307,-20.91445974370329,-42.48868766549291,65.90231780558722
2022,sc01,01-01 03:00:00+01:00,7.105427357601002e-15,-270.42822076881123,-30.949489462588307,-20.91445974370329,-42.48868766549291,66.08670780558722
2022,sc01,01-01 04:00:00+01:00,7.105427357601002e-15,-243.52698870667444,-30.949489462588307,-20.91445974370329,-42.48868766549291,66.46865850558723
2022,sc01,01-01 05:00:00+01:00,7.105427357601002e-15,-176.26937918532923,-30.949489462588307,-20.91445974370329,-42.48868766549291,67.72975440558722
2022,sc01,01-01 06:00:00+01:00,7.105427357601002e-15,-95.96176350477168,-30.949489462588307,-20.91445974370329,-42.48868766549291,70.33755580558721
2022,sc01,01-01 07:00:00+01:00,7.105427357601002e-15,-34.95244463212998,-30.949489462588307,-20.91445974370329,-42.48868766549291,74.25913590558721
2022,sc01,01-01 08:00:00+01:00,7.105427357601002e-15,-8.887216636591404,-30.949489462588307,-20.91445974370329,-42.48868766549291,76.91962010558723
2022,sc01,01-01 09:00:00+01:00,7.105427357601002e-15,-73.8219108731293,-30.949489462588307,-20.91445974370329,-8.038163791492913,76.30059650558724
2022,sc01,01-01 10:00:00+01:00,7.105427357601002e-15,-145.2827576017899,-30.949489462588307,-20.91445974370329,34.29931833250708,72.68194290558722
2022,sc01,01-01 11:00:00+01:00,7.105427357601002e-15,-160.67961760402233,-30.949489462588307,-20.91445974370329,65.5966790105071,68.70438720558724
2022,sc01,01-01 12:00:00+01:00,7.105427357601002e-15,-155.0057467079506,-30.949489462588307,-20.91445974370329,90.71224313350709,57.36769520558723
2022,sc01,01-01 13:00:00+01:00,7.105427357601002e-15,-170.28640670618967,-30.949489462588307,-20.91445974370329,101.75155620250709,41.01296109558722
2022,sc01,01-01 14:00:00+01:00,7.105427357601002e-15,-179.6672441444196,-30.949489462588307,-20.91445974370329,101.5799433775071,25.481396625587244
2022,sc01,01-01 15:00:00+01:00,7.105427357601002e-15,-174.9805171775128,-30.949489462588307,-20.91445974370329,91.4440062475071,12.870437985587238
2022,sc01,01-01 16:00:00+01:00,7.105427357601002e-15,-125.01861069519828,-30.949489462588307,-20.91445974370329,72.2162921015071,2.97593910558723
2022,sc01,01-01 17:00:00+01:00,7.105427357601002e-15,-43.90981233762034,-30.949489462588307,-20.91445974370329,41.5776857995071,-1.5910059644127728
2022,sc01,01-01 18:00:00+01:00,7.105427357601002e-15,39.032196114295914,-30.949489462588307,-20.91445974370329,1.1872713345070878,-4.205392694412772
2022,sc01,01-01 19:00:00+01:00,7.105427357601002e-15,60.94367529643165,-30.949489462588307,-20.91445974370329,-34.32035370849291,-0.18832492441276827
2022,sc01,01-01 20:00:00+01:00,7.105427357601002e-15,22.859892475519416,-30.949489462588307,-20.91445974370329,-42.48868766549291,5.965691185587225
2022,sc01,01-01 21:00:00+01:00,7.105427357601002e-15,-33.694204023406655,-30.949489462588307,-20.91445974370329,-42.48868766549291,10.13092947558723
2022,sc01,01-01 22:00:00+01:00,7.105427357601002e-15,-104.1060391958315,-30.949489462588307,-20.91445974370329,-42.48868766549291,10.318612155587232
2022,sc01,01-01 23:00:00+01:00,7.105427357601002e-15,-162.926490993215,-30.949489462588307,-20.91445974370329,-42.48868766549291,16.126897015587225
2022,sc01,01-02 00:00:00+01:00,7.105427357601002e-15,-199.20973188220273,-30.949489462588307,-21.188787426703293,-42.48868766549291,22.45542508558723
2022,sc01,01-02 01:00:00+01:00,7.105427357601002e-15,-218.81719133352016,-30.949489462588307,-21.188787426703293,-42.48868766549291,28.418465845587228
2022,sc01,01-02 02:00:00+01:00,7.105427357601002e-15,-227.57925367892983,-30.949489462588307,-21.188787426703293,-42.48868766549291,30.361146155587228
2022,sc01,01-02 03:00:00+01:00,7.105427357601002e-15,-237.42789993433956,-30.949489462588307,-21.188787426703293,-42.48868766549291,33.39041037558723
2022,sc01,01-02 04:00:00+01:00,7.105427357601002e-15,-216.1769041722028,-30.949489462588307,-21.188787426703293,-42.48868766549291,39.42259737558724
2022,sc01,01-02 05:00:00+01:00,7.105427357601002e-15,-155.50398488017998,-30.949489462588307,-21.188787426703293,-42.48868766549291,47.26905023558722
