Period,Scenario,LoadLevel,Manantali
2022,sc01,01-01 00:00:00+01:00,1.01136748887
2022,sc01,01-01 01:00:00+01:00,1.0227349777399999
2022,sc01,01-01 02:00:00+01:00,1.0341024666099998
2022,sc01,01-01 03:00:00+01:00,1.0454699554799998
2022,sc01,01-01 04:00:00+01:00,1.0568374443499997
2022,sc01,01-01 05:00:00+01:00,1.0682049332199997
2022,sc01,01-01 06:00:00+01:00,1.0795724220899996
2022,sc01,01-01 07:00:00+01:00,1.0909399109599995
2022,sc01,01-01 08:00:00+01:00,1.1023073998299995
2022,sc01,01-01 09:00:00+01:00,1.1136748886999994
2022,sc01,01-01 10:00:00+01:00,1.1250423775699994
2022,sc01,01-01 11:00:00+01:00,1.1364098664399993
2022,sc01,01-01 12:00:00+01:00,1.1477773553099992
2022,sc01,01-01 13:00:00+01:00,1.1591448441799992
2022,sc01,01-01 14:00:00+01:00,1.1705123330499991
2022,sc01,01-01 15:00:00+01:00,1.181879821919999
2022,sc01,01-01 16:00:00+01:00,1.193247310789999
2022,sc01,01-01 17:00:00+01:00,1.204614799659999
2022,sc01,01-01 18:00:00+01:00,1.215982288529999
2022,sc01,01-01 19:00:00+01:00,1.2273497773999988
2022,sc01,01-01 20:00:00+01:00,1.2387172662699988
2022,sc01,01-01 21:00:00+01:00,1.2500847551399987
2022,sc01,01-01 22:00:00+01:00,1.2614522440099987
2022,sc01,01-01 23:00:00+01:00,1.2728197328799986
2022,sc01,01-02 00:00:00+01:00,1.2837356919799987
2022,sc01,01-02 01:00:00+01:00,1.2946516510799988
2022,sc01,01-02 02:00:00+01:00,1.305567610179999
2022,sc01,01-02 03:00:00+01:00,1.316483569279999
2022,sc01,01-02 04:00:00+01:00,1.327399528379999
2022,sc01,01-02 05:00:00+01:00,1.3383154874799992
2022,sc01,01-02 06:00:00+01:00,1.3492314465799993
2022,sc01,01-02 07:00:00+01:00,1.3601474056799994
2022,sc01,01-02 08:00:00+01:00,1.3710633647799995
2022,sc01,01-02 09:00:00+01:00,1.3819793238799996
2022,sc01,01-02 10:00:00+01:00,1.3928952829799996
2022,sc01,01-02 11:00:00+01:00,1.4038112420799997
2022,sc01,01-02 12:00:00+01:00,1.4147272011799998
2022,sc01,01-02 13:00:00+01:00,1.42564316028
2022,sc01,01-02 14:00:00+01:00,1.43655911938
2022,sc01,01-02 15:00:00+01:00,1.4474750784800001
2022,sc01,01-02 16:00:00+01:00,1.4583910375800002
2022,sc01,01-02 17:00:00+01:00,1.4693069966800003
2022,sc01,01-02 18:00:00+01:00,1.4802229557800004
2022,sc01,01-02 19:00:00+01:00,1.4911389148800005
2022,sc01,01-02 20:00:00+01:00,1.5020548739800006
2022,sc01,01-02 21:00:00+01:00,1.5129708330800007
2022,sc01,01-02 22:00:00+01:00,1.5238867921800008
2022,sc01,01-02 23:00:00+01:00,1.5348027512800009
2022,sc01,01-03 00:00:00+01:00,1.545316941100001
2022,sc01,01-03 01:00:00+01:00,1.555831130920001
2022,sc01,01-03 02:00:00+01:00,1.566345320740001
2022,sc01,01-03 03:00:00+01:00,1.5768595105600012
2022,sc01,01-03 04:00:00+01:00,1.5873737003800013
2022,sc01,01-03 05:00:00+01:00,1.5978878902000013
2022,sc01,01-03 06:00:00+01:00,1.6084020800200014
2022,sc01,01-03 07:00:00+01:00,1.6189162698400015
2022,sc01,01-03 08:00:00+01:00,1.6294304596600016
2022,sc01,01-03 09:00:00+01:00,1.6399446494800016
2022,sc01,01-03 10:00:00+01:00,1.6504588393000017
2022,sc01,01-03 11:00:00+01:00,1.6609730291200018
2022,sc01,01-03 12:00:00+01:00,1.6714872189400019
2022,sc01,01-03 13:00:00+01:00,1.682001408760002
2022,sc01,01-03 14:00:00+01:00,1.692515598580002
2022,sc01,01-03 15:00:00+01:00,1.703029788400002
2022,sc01,01-03 16:00:00+01:00,1.7135439782200022
2022,sc01,01-03 17:00:00+01:00,1.7240581680400022
2022,sc01,01-03 18:00:00+01:00,1.7345723578600023
2022,sc01,01-03 19:00:00+01:00,1.7450865476800024
2022,sc01,01-03 20:00:00+01:00,1.7556007375000025
2022,sc01,01-03 21:00:00+01:00,1.7661149273200025
2022,sc01,01-03 22:00:00+01:00,1.7766291171400026
2022,sc01,01-03 23:00:00+01:00,1.7871433069600027
2022,sc01,01-04 00:00:00+01:00,1.7972649422500027
2022,sc01,01-04 01:00:00+01:00,1.8073865775400026
2022,sc01,01-04 02:00:00+01:00,1.8175082128300026
2022,sc01,01-04 03:00:00+01:00,1.8276298481200026
2022,sc01,01-04 04:00:00+01:00,1.8377514834100026
2022,sc01,01-04 05:00:00+01:00,1.8478731187000026
2022,sc01,01-04 06:00:00+01:00,1.8579947539900026
2022,sc01,01-04 07:00:00+01:00,1.8681163892800026
2022,sc01,01-04 08:00:00+01:00,1.8782380245700026
2022,sc01,01-04 09:00:00+01:00,1.8883596598600025
2022,sc01,01-04 10:00:00+01:00,1.8984812951500025
2022,sc01,01-04 11:00:00+01:00,1.9086029304400025
2022,sc01,01-04 12:00:00+01:00,1.9187245657300025
2022,sc01,01-04 13:00:00+01:00,1.9288462010200025
2022,sc01,01-04 14:00:00+01:00,1.9389678363100025
2022,sc01,01-04 15:00:00+01:00,1.9490894716000025
2022,sc01,01-04 16:00:00+01:00,1.9592111068900024
2022,sc01,01-04 17:00:00+01:00,1.9693327421800024
2022,sc01,01-04 18:00:00+01:00,1.9794543774700024
2022,sc01,01-04 19:00:00+01:00,1.9895760127600024
2022,sc01,01-04 20:00:00+01:00,1.9996976480500024
2022,sc01,01-04 21:00:00+01:00,2.0098192833400024
2022,sc01,01-04 22:00:00+01:00,2.0199409186300024
2022,sc01,01-04 23:00:00+01:00,2.0300625539200023
2022,sc01,01-05 00:00:00+01:00,2.0399962060640022
2022,sc01,01-05 01:00:00+01:00,2.049929858208002
2022,sc01,01-05 02:00:00+01:00,2.059863510352002
2022,sc01,01-05 03:00:00+01:00,2.069797162496002
2022,sc01,01-05 04:00:00+01:00,2.0797308146400018
2022,sc01,01-05 05:00:00+01:00,2.0896644667840016
2022,sc01,01-05 06:00:00+01:00,2.0995981189280015
2022,sc01,01-05 07:00:00+01:00,2.1095317710720014
2022,sc01,01-05 08:00:00+01:00,2.1194654232160013
2022,sc01,01-05 09:00:00+01:00,2.129399075360001
2022,sc01,01-05 10:00:00+01:00,2.139332727504001
