,Value
Ratio Fossil Fuel Generation/Total Generation [%],78.81619874264123
Ratio Generation Investment Cost/Total Investment Cost [%],0.0
Ratio Generation Retirement Cost/Total Investment Cost [%],0.0
Ratio Reservoir Investment Cost/Total Investment Cost [%],0.0
Ratio Network Investment Cost/Total Investment Cost [%],0.0
Ratio Generation Investment Cost/Additional Installed Capacity [MEUR-MW],0.0
Ratio Additional Transmission Capacity * Line Length [MW-km],0.0
Ratio Network Investment Cost/Variable RES Installed Capacity [EUR/MWh],0.0
Rate of return for VRE technologies [%],0.0
