 100   1.07204915e+05  9.56920362e+04  7.29e-01 6.94e-07  2.89e-02   134s
 101   1.06514958e+05  9.60680559e+04  6.73e-01 6.23e-07  2.64e-02   135s
 102   1.05399364e+05  9.63223228e+04  5.82e-01 5.84e-07  2.29e-02   136s
 103   1.05014053e+05  9.65000303e+04  5.51e-01 5.52e-07  2.16e-02   138s
 104   1.04360071e+05  9.67312062e+04  4.98e-01 4.88e-07  1.94e-02   139s
 105   1.03815733e+05  9.68373642e+04  4.52e-01 4.73e-07  1.77e-02   140s
 106   1.03419944e+05  9.68703430e+04  4.16e-01 4.70e-07  1.65e-02   142s
 107   1.03237335e+05  9.69375932e+04  4.00e-01 4.53e-07  1.59e-02   143s
 108   1.02971067e+05  9.70239737e+04  3.77e-01 4.25e-07  1.50e-02   144s
 109   1.02537591e+05  9.72726375e+04  3.42e-01 3.71e-07  1.34e-02   145s
 110   1.01876122e+05  9.74402306e+04  2.84e-01 2.92e-07  1.13e-02   146s
 111   1.01780359e+05  9.75285559e+04  2.74e-01 2.98e-07  1.09e-02   148s
 112   1.01567601e+05  9.76153450e+04  2.56e-01 2.79e-07  1.02e-02   149s
 113   1.01111694e+05  9.76792087e+04  2.16e-01 2.79e-07  8.73e-03   150s
 114   1.00829180e+05  9.77539336e+04  1.91e-01 2.30e-07  7.79e-03   152s
 115   1.00764971e+05  9.78398660e+04  1.86e-01 2.29e-07  7.48e-03   153s
 116   1.00589279e+05  9.79319017e+04  1.70e-01 2.15e-07  6.83e-03   154s
 117   1.00578428e+05  9.79466471e+04  1.69e-01 2.29e-07  6.78e-03   155s
 118   1.00338776e+05  9.80174487e+04  1.48e-01 2.04e-07  5.96e-03   156s
 119   1.00145385e+05  9.80766031e+04  1.30e-01 1.95e-07  5.31e-03   158s
 120   1.00061409e+05  9.81430476e+04  1.22e-01 1.98e-07  4.96e-03   159s
 121   9.99312827e+04  9.81592511e+04  1.09e-01 1.98e-07  4.51e-03   160s
 122   9.98108869e+04  9.82145062e+04  9.70e-02 1.87e-07  4.06e-03   162s
 123   9.97157226e+04  9.82530598e+04  8.81e-02 1.84e-07  3.71e-03   163s
 124   9.95422189e+04  9.83723126e+04  7.12e-02 1.59e-07  2.98e-03   164s
 125   9.94961094e+04  9.84256152e+04  6.69e-02 1.60e-07  2.76e-03   165s
 126   9.94175761e+04  9.84580648e+04  5.93e-02 1.61e-07  2.46e-03   167s
 127   9.93521216e+04  9.85275210e+04  5.31e-02 1.62e-07  2.15e-03   168s
 128   9.93315424e+04  9.85452374e+04  5.11e-02 1.63e-07  2.07e-03   169s
 129   9.93056344e+04  9.85647203e+04  4.83e-02 1.63e-07  1.96e-03   170s
 130   9.92766391e+04  9.85714732e+04  4.54e-02 1.63e-07  1.85e-03   171s
 131   9.91891270e+04  9.86035056e+04  3.66e-02 1.64e-07  1.52e-03   173s
 132   9.91853727e+04  9.86067689e+04  3.32e-02 1.64e-07  1.45e-03   174s
 133   9.91461453e+04  9.86799170e+04  2.94e-02 1.62e-07  1.21e-03   175s
 134   9.91371400e+04  9.86938991e+04  2.82e-02 1.62e-07  1.16e-03   177s
 135   9.90993756e+04  9.87389306e+04  2.47e-02 1.60e-07  9.80e-04   178s
 136   9.90434253e+04  9.87637844e+04  1.94e-02 1.54e-07  7.64e-04   179s
 137   9.90328043e+04  9.87813523e+04  1.84e-02 1.50e-07  7.08e-04   181s
 138   9.90079374e+04  9.87926570e+04  1.60e-02 1.44e-07  6.09e-04   182s
 139   9.90008624e+04  9.87998729e+04  1.53e-02 1.38e-07  5.78e-04   184s
 140   9.89940019e+04  9.88054447e+04  1.45e-02 1.33e-07  5.45e-04   185s
 141   9.89617429e+04  9.88138537e+04  1.12e-02 1.19e-07  4.23e-04   186s
 142   9.89575884e+04  9.88234260e+04  1.07e-02 1.00e-07  3.97e-04   188s
 143   9.89570282e+04  9.88238599e+04  1.01e-02 9.94e-08  3.83e-04   189s
 144   9.89465131e+04  9.88296714e+04  9.06e-03 8.65e-08  3.40e-04   190s
 145   9.89475847e+04  9.88298997e+04  8.76e-03 8.65e-08  3.36e-04   192s
 146   9.89333649e+04  9.88336437e+04  7.50e-03 7.50e-08  2.84e-04   193s
 147   9.89319086e+04  9.88344289e+04  7.33e-03 7.33e-08  2.78e-04   195s
 148   9.89330355e+04  9.88346591e+04  7.21e-03 7.30e-08  2.77e-04   196s
 149   9.89190454e+04  9.88410703e+04  5.91e-03 5.43e-08  2.21e-04   197s
 150   9.89109542e+04  9.88446310e+04  5.15e-03 4.29e-08  1.89e-04   199s
 151   9.89081738e+04  9.88466529e+04  4.87e-03 3.62e-08  1.77e-04   200s
 152   9.89035534e+04  9.88477722e+04  4.42e-03 3.42e-08  1.60e-04   201s
 153   9.88961415e+04  9.88483569e+04  3.69e-03 3.43e-08  1.33e-04   203s
 154   9.88936555e+04  9.88503692e+04  3.46e-03 3.47e-08  1.21e-04   204s
 155   9.88874016e+04  9.88513180e+04  2.87e-03 3.49e-08  9.86e-05   206s
 156   9.88845522e+04  9.88513580e+04  2.59e-03 3.49e-08  8.86e-05   207s
 157   9.88837429e+04  9.88513936e+04  2.51e-03 3.49e-08  8.57e-05   208s
 158   9.88823473e+04  9.88514282e+04  2.37e-03 3.49e-08  8.07e-05   210s
 159   9.88807892e+04  9.88514632e+04  2.20e-03 3.49e-08  7.50e-05   211s
 160   9.88799208e+04  9.88514966e+04  2.11e-03 3.49e-08  7.18e-05   212s
 161   9.88782087e+04  9.88515327e+04  1.93e-03 3.49e-08  6.54e-05   214s
 162   9.88772966e+04  9.88515638e+04  1.83e-03 3.49e-08  6.21e-05   215s
 163   9.88766586e+04  9.88516019e+04  1.76e-03 3.49e-08  5.98e-05   217s
 164   9.88760683e+04  9.88516376e+04  1.70e-03 3.49e-08  5.76e-05   218s
 165   9.88759072e+04  9.88516758e+04  1.67e-03 3.49e-08  5.68e-05   219s
 166   9.88754671e+04  9.88517143e+04  1.63e-03 3.49e-08  5.52e-05   221s
 167   9.88744287e+04  9.88517572e+04  1.51e-03 3.49e-08  5.13e-05   222s
 168   9.88740579e+04  9.88517933e+04  1.46e-03 3.50e-08  4.97e-05   223s
 169   9.88730844e+04  9.88518280e+04  1.36e-03 3.50e-08  4.63e-05   225s
 170   9.88728476e+04  9.88518476e+04  1.33e-03 3.50e-08  4.54e-05   226s
 171   9.88726553e+04  9.88518838e+04  1.31e-03 3.50e-08  4.47e-05   227s
 172   9.88722806e+04  9.88519247e+04  1.26e-03 3.50e-08  4.32e-05   229s
 173   9.88719260e+04  9.88519537e+04  1.22e-03 3.50e-08  4.18e-05   231s
 174   9.88718798e+04  9.88519741e+04  1.21e-03 3.50e-08  4.15e-05   232s
 175   9.88717908e+04  9.88519944e+04  1.19e-03 3.50e-08  4.09e-05   233s
 176   9.88716072e+04  9.88520147e+04  1.16e-03 3.50e-08  4.01e-05   235s
 177   9.88714109e+04  9.88520501e+04  1.13e-03 3.50e-08  3.92e-05   236s
 178   9.88712502e+04  9.88520766e+04  1.11e-03 3.50e-08  3.85e-05   238s
 179   9.88710562e+04  9.88521133e+04  1.09e-03 3.50e-08  3.77e-05   239s
 180   9.88706802e+04  9.88521521e+04  1.05e-03 3.50e-08  3.63e-05   241s
 181   9.88704575e+04  9.88521898e+04  1.02e-03 3.50e-08  3.54e-05   242s
 182   9.88702318e+04  9.88522182e+04  9.84e-04 3.50e-08  3.44e-05   244s
 183   9.88700062e+04  9.88522572e+04  9.58e-04 3.50e-08  3.36e-05   245s
 184   9.88698228e+04  9.88522884e+04  9.36e-04 3.50e-08  3.29e-05   247s
 185   9.88698174e+04  9.88523240e+04  9.28e-04 3.50e-08  3.27e-05   249s
 186   9.88697681e+04  9.88523570e+04  9.23e-04 3.50e-08  3.25e-05   251s
 187   9.88695749e+04  9.88523969e+04  9.00e-04 3.50e-08  3.17e-05   253s
 188   9.88690465e+04  9.88524356e+04  8.35e-04 3.51e-08  2.97e-05   255s
 189   9.88687525e+04  9.88524689e+04  7.98e-04 3.51e-08  2.86e-05   257s
 190   9.88686228e+04  9.88524926e+04  7.84e-04 3.51e-08  2.82e-05   259s
 191   9.88685326e+04  9.88525173e+04  7.73e-04 3.51e-08  2.78e-05   262s
 192   9.88684939e+04  9.88525517e+04  7.69e-04 3.51e-08  2.76e-05   264s
 193   9.88684951e+04  9.88525938e+04  7.45e-04 3.51e-08  2.71e-05   266s
 194   9.88685325e+04  9.88526403e+04  7.28e-04 3.51e-08  2.67e-05   267s
 195   9.88683303e+04  9.88526765e+04  6.99e-04 3.51e-08  2.59e-05   269s
 196   9.88682407e+04  9.88527110e+04  6.85e-04 3.51e-08  2.54e-05   271s
 197   9.88681391e+04  9.88527476e+04  6.70e-04 3.51e-08  2.50e-05   273s
 198   9.88679902e+04  9.88527817e+04  6.51e-04 3.51e-08  2.44e-05   275s
 199   9.88680003e+04  9.88528201e+04  6.47e-04 3.51e-08  2.43e-05   277s
 200   9.88678360e+04  9.88528393e+04  6.29e-04 3.51e-08  2.37e-05   279s
 201   9.88675459e+04  9.88528731e+04  5.97e-04 3.51e-08  2.27e-05   281s
 202   9.88674844e+04  9.88529060e+04  5.87e-04 3.51e-08  2.25e-05   283s
 203   9.88674744e+04  9.88529366e+04  5.86e-04 3.51e-08  2.24e-05   284s
 204   9.88672315e+04  9.88529680e+04  5.59e-04 3.51e-08  2.16e-05   287s
 205   9.88669614e+04  9.88529992e+04  5.29e-04 3.51e-08  2.07e-05   289s
 206   9.88663066e+04  9.88530352e+04  4.63e-04 3.51e-08  1.88e-05   292s
 207   9.88662080e+04  9.88530560e+04  4.54e-04 3.52e-08  1.85e-05   294s
 208   9.88661283e+04  9.88530793e+04  4.48e-04 3.52e-08  1.83e-05   297s
 209   9.88661117e+04  9.88530955e+04  4.46e-04 3.52e-08  1.82e-05   299s
 210   9.88660678e+04  9.88531181e+04  4.41e-04 3.52e-08  1.80e-05   301s
 211   9.88660759e+04  9.88531437e+04  4.35e-04 3.52e-08  1.79e-05   304s
 212   9.88660240e+04  9.88531689e+04  4.29e-04 3.52e-08  1.77e-05   306s
 213   9.88659414e+04  9.88531921e+04  4.21e-04 3.52e-08  1.75e-05   308s
 214   9.88658421e+04  9.88532228e+04  4.09e-04 3.52e-08  1.71e-05   311s
 215   9.88658247e+04  9.88532538e+04  4.07e-04 3.52e-08  1.70e-05   313s
 216   9.88657868e+04  9.88532707e+04  4.03e-04 3.52e-08  1.69e-05   315s
 217   9.88656845e+04  9.88533010e+04  3.95e-04 3.52e-08  1.66e-05   317s
 218   9.88655355e+04  9.88533309e+04  3.80e-04 3.52e-08  1.62e-05   319s
 219   9.88654661e+04  9.88533610e+04  3.74e-04 3.52e-08  1.60e-05   321s
 220   9.88654056e+04  9.88533895e+04  3.67e-04 3.52e-08  1.58e-05   323s
 221   9.88654002e+04  9.88534149e+04  3.64e-04 3.52e-08  1.57e-05   326s
 222   9.88650964e+04  9.88534423e+04  3.36e-04 3.52e-08  1.49e-05   328s
 223   9.88647519e+04  9.88534664e+04  3.05e-04 3.52e-08  1.41e-05   331s
 224   9.88646238e+04  9.88534802e+04  2.94e-04 3.52e-08  1.38e-05   334s
 225   9.88645621e+04  9.88534938e+04  2.89e-04 3.52e-08  1.36e-05   335s
 226   9.88645308e+04  9.88535072e+04  2.87e-04 3.52e-08  1.35e-05   337s
 227   9.88645154e+04  9.88535206e+04  2.85e-04 3.52e-08  1.35e-05   339s
 228   9.88644918e+04  9.88535412e+04  2.83e-04 3.52e-08  1.34e-05   343s
 229   9.88645156e+04  9.88535668e+04  2.82e-04 3.52e-08  1.34e-05   345s
 230   9.88644975e+04  9.88535803e+04  2.80e-04 3.52e-08  1.33e-05   347s

Barrier performed 230 iterations in 347.49 seconds (354.71 work units)
Sub-optimal termination - objective 9.88645154e+04

Crossover log...

  209687 DPushes remaining with DInf 0.0000000e+00               348s
   21576 DPushes remaining with DInf 0.0000000e+00               350s
    7116 DPushes remaining with DInf 0.0000000e+00               355s
    3789 DPushes remaining with DInf 0.0000000e+00               360s
     822 DPushes remaining with DInf 0.0000000e+00               365s
       0 DPushes remaining with DInf 0.0000000e+00               366s

  189305 PPushes remaining with PInf 2.1882117e+01               366s
  151405 PPushes remaining with PInf 1.1844207e+01               370s
  127697 PPushes remaining with PInf 2.0454304e+01               376s
  107955 PPushes remaining with PInf 2.6442784e+02               380s
   88512 PPushes remaining with PInf 1.5127810e+02               385s
   68164 PPushes remaining with PInf 1.4878808e+02               391s
   56790 PPushes remaining with PInf 1.4467706e+02               396s
   47607 PPushes remaining with PInf 1.3039495e+02               400s
   34750 PPushes remaining with PInf 1.0998932e+02               405s
   20347 PPushes remaining with PInf 1.2289598e+02               411s
   11428 PPushes remaining with PInf 1.3528448e+02               416s
    4106 PPushes remaining with PInf 6.4510843e+03               421s
      82 PPushes remaining with PInf 6.3994444e+02               425s
       0 PPushes remaining with PInf 6.2465337e+02               426s

