Region,Technology,Type,Year,Value
LS,X_Liquifier,Capital Costs,2045,0.828571429
FKK,X_Liquifier,Capital Costs,2045,0.828571429
ZS,X_Liquifier,Capital Costs,2045,0.828571429
MTKK,X_Liquifier,Capital Costs,2045,0.828571429
World,X_Methanation,Capital Costs,2045,227.0
Dakar,X_Methanation,Capital Costs,2045,227.0
Diourbel,X_Methanation,Capital Costs,2045,227.0
Thies,X_Methanation,Capital Costs,2045,227.0
LS,X_Methanation,Capital Costs,2045,227.0
FKK,X_Methanation,Capital Costs,2045,227.0
ZS,X_Methanation,Capital Costs,2045,227.0
MTKK,X_Methanation,Capital Costs,2045,227.0
World,X_Powerfuel,Capital Costs,2045,706.1914286
Dakar,X_Powerfuel,Capital Costs,2045,706.1914286
Diourbel,X_Powerfuel,Capital Costs,2045,706.1914286
Thies,X_Powerfuel,Capital Costs,2045,706.1914286
LS,X_Powerfuel,Capital Costs,2045,706.1914286
FKK,X_Powerfuel,Capital Costs,2045,706.1914286
ZS,X_Powerfuel,Capital Costs,2045,706.1914286
MTKK,X_Powerfuel,Capital Costs,2045,706.1914286
World,X_SMR,Capital Costs,2045,502.2843429
Dakar,X_SMR,Capital Costs,2045,502.2843429
Diourbel,X_SMR,Capital Costs,2045,502.2843429
Thies,X_SMR,Capital Costs,2045,502.2843429
LS,X_SMR,Capital Costs,2045,502.2843429
FKK,X_SMR,Capital Costs,2045,502.2843429
ZS,X_SMR,Capital Costs,2045,502.2843429
MTKK,X_SMR,Capital Costs,2045,502.2843429
Dakar,X_SMR_CCS,Capital Costs,2045,0.01
Diourbel,X_SMR_CCS,Capital Costs,2045,0.01
Thies,X_SMR_CCS,Capital Costs,2045,0.01
LS,X_SMR_CCS,Capital Costs,2045,0.01
FKK,X_SMR_CCS,Capital Costs,2045,0.01
ZS,X_SMR_CCS,Capital Costs,2045,0.01
MTKK,X_SMR_CCS,Capital Costs,2045,0.01
Dakar,Z_ETS_Buy,Capital Costs,2045,0.01
Diourbel,Z_ETS_Buy,Capital Costs,2045,0.01
Thies,Z_ETS_Buy,Capital Costs,2045,0.01
LS,Z_ETS_Buy,Capital Costs,2045,0.01
FKK,Z_ETS_Buy,Capital Costs,2045,0.01
ZS,Z_ETS_Buy,Capital Costs,2045,0.01
MTKK,Z_ETS_Buy,Capital Costs,2045,0.01
Dakar,Z_ETS_Sell,Capital Costs,2045,0.01
Diourbel,Z_ETS_Sell,Capital Costs,2045,0.01
Thies,Z_ETS_Sell,Capital Costs,2045,0.01
LS,Z_ETS_Sell,Capital Costs,2045,0.01
FKK,Z_ETS_Sell,Capital Costs,2045,0.01
ZS,Z_ETS_Sell,Capital Costs,2045,0.01
MTKK,Z_ETS_Sell,Capital Costs,2045,0.01
Dakar,Z_Import_Gas,Capital Costs,2045,0.01
Diourbel,Z_Import_Gas,Capital Costs,2045,0.01
Thies,Z_Import_Gas,Capital Costs,2045,0.01
LS,Z_Import_Gas,Capital Costs,2045,0.01
FKK,Z_Import_Gas,Capital Costs,2045,0.01
ZS,Z_Import_Gas,Capital Costs,2045,0.01
MTKK,Z_Import_Gas,Capital Costs,2045,0.01
Dakar,Z_Import_H2,Capital Costs,2045,0.01
Diourbel,Z_Import_H2,Capital Costs,2045,0.01
Thies,Z_Import_H2,Capital Costs,2045,0.01
LS,Z_Import_H2,Capital Costs,2045,0.01
FKK,Z_Import_H2,Capital Costs,2045,0.01
ZS,Z_Import_H2,Capital Costs,2045,0.01
MTKK,Z_Import_H2,Capital Costs,2045,0.01
Dakar,Z_Import_Hardcoal,Capital Costs,2045,0.01
Diourbel,Z_Import_Hardcoal,Capital Costs,2045,0.01
Thies,Z_Import_Hardcoal,Capital Costs,2045,0.01
LS,Z_Import_Hardcoal,Capital Costs,2045,0.01
FKK,Z_Import_Hardcoal,Capital Costs,2045,0.01
ZS,Z_Import_Hardcoal,Capital Costs,2045,0.01
MTKK,Z_Import_Hardcoal,Capital Costs,2045,0.01
Dakar,Z_Import_LNG,Capital Costs,2045,0.01
Diourbel,Z_Import_LNG,Capital Costs,2045,0.01
Thies,Z_Import_LNG,Capital Costs,2045,0.01
LS,Z_Import_LNG,Capital Costs,2045,0.01
FKK,Z_Import_LNG,Capital Costs,2045,0.01
ZS,Z_Import_LNG,Capital Costs,2045,0.01
MTKK,Z_Import_LNG,Capital Costs,2045,0.01
Dakar,Z_Import_Oil,Capital Costs,2045,0.01
Diourbel,Z_Import_Oil,Capital Costs,2045,0.01
Thies,Z_Import_Oil,Capital Costs,2045,0.01
LS,Z_Import_Oil,Capital Costs,2045,0.01
FKK,Z_Import_Oil,Capital Costs,2045,0.01
ZS,Z_Import_Oil,Capital Costs,2045,0.01
MTKK,Z_Import_Oil,Capital Costs,2045,0.01
Dakar,X_Alkaline_Electrolysis,Capital Costs,2045,0.01
Diourbel,X_Alkaline_Electrolysis,Capital Costs,2045,0.01
Thies,X_Alkaline_Electrolysis,Capital Costs,2045,0.01
LS,X_Alkaline_Electrolysis,Capital Costs,2045,0.01
FKK,X_Alkaline_Electrolysis,Capital Costs,2045,0.01
ZS,X_Alkaline_Electrolysis,Capital Costs,2045,0.01
MTKK,X_Alkaline_Electrolysis,Capital Costs,2045,0.01
Dakar,X_PEM_Electrolysis,Capital Costs,2045,0.01
Diourbel,X_PEM_Electrolysis,Capital Costs,2045,0.01
Thies,X_PEM_Electrolysis,Capital Costs,2045,0.01
LS,X_PEM_Electrolysis,Capital Costs,2045,0.01
FKK,X_PEM_Electrolysis,Capital Costs,2045,0.01
ZS,X_PEM_Electrolysis,Capital Costs,2045,0.01
MTKK,X_PEM_Electrolysis,Capital Costs,2045,0.01
Dakar,X_SOEC_Electrolysis,Capital Costs,2045,0.01
Diourbel,X_SOEC_Electrolysis,Capital Costs,2045,0.01
Thies,X_SOEC_Electrolysis,Capital Costs,2045,0.01
LS,X_SOEC_Electrolysis,Capital Costs,2045,0.01
FKK,X_SOEC_Electrolysis,Capital Costs,2045,0.01
ZS,X_SOEC_Electrolysis,Capital Costs,2045,0.01
MTKK,X_SOEC_Electrolysis,Capital Costs,2045,0.01
World,P_Oil,Capital Costs,2045,650.0
Dakar,P_Oil,Capital Costs,2045,650.0
Diourbel,P_Oil,Capital Costs,2045,650.0
Thies,P_Oil,Capital Costs,2045,650.0
LS,P_Oil,Capital Costs,2045,650.0
FKK,P_Oil,Capital Costs,2045,650.0
ZS,P_Oil,Capital Costs,2045,650.0
MTKK,P_Oil,Capital Costs,2045,650.0
World,HLI_Oil_Boiler,Capital Costs,2045,495.0
Dakar,HLI_Oil_Boiler,Capital Costs,2045,495.0
Diourbel,HLI_Oil_Boiler,Capital Costs,2045,495.0
Thies,HLI_Oil_Boiler,Capital Costs,2045,495.0
LS,HLI_Oil_Boiler,Capital Costs,2045,495.0
FKK,HLI_Oil_Boiler,Capital Costs,2045,495.0
ZS,HLI_Oil_Boiler,Capital Costs,2045,495.0
MTKK,HLI_Oil_Boiler,Capital Costs,2045,495.0
World,HMI_Oil,Capital Costs,2045,106.0
Dakar,HMI_Oil,Capital Costs,2045,106.0
Diourbel,HMI_Oil,Capital Costs,2045,106.0
Thies,HMI_Oil,Capital Costs,2045,106.0
LS,HMI_Oil,Capital Costs,2045,106.0
FKK,HMI_Oil,Capital Costs,2045,106.0
ZS,HMI_Oil,Capital Costs,2045,106.0
MTKK,HMI_Oil,Capital Costs,2045,106.0
World,P_Coal_Hardcoal,Capital Costs,2045,2758.1378619808
Dakar,P_Coal_Hardcoal,Capital Costs,2045,2758.1378619808
Diourbel,P_Coal_Hardcoal,Capital Costs,2045,2758.1378619808
Thies,P_Coal_Hardcoal,Capital Costs,2045,2758.1378619808
LS,P_Coal_Hardcoal,Capital Costs,2045,2758.1378619808
FKK,P_Coal_Hardcoal,Capital Costs,2045,2758.1378619808
ZS,P_Coal_Hardcoal,Capital Costs,2045,2758.1378619808
MTKK,P_Coal_Hardcoal,Capital Costs,2045,2758.1378619808
World,HMI_HardCoal,Capital Costs,2045,128.0
Dakar,HMI_HardCoal,Capital Costs,2045,128.0
Diourbel,HMI_HardCoal,Capital Costs,2045,128.0
Thies,HMI_HardCoal,Capital Costs,2045,128.0
LS,HMI_HardCoal,Capital Costs,2045,128.0
FKK,HMI_HardCoal,Capital Costs,2045,128.0
ZS,HMI_HardCoal,Capital Costs,2045,128.0
MTKK,HMI_HardCoal,Capital Costs,2045,128.0
World,HMI_Biomass,Capital Costs,2045,128.0
Dakar,HMI_Biomass,Capital Costs,2045,128.0
Diourbel,HMI_Biomass,Capital Costs,2045,128.0
Thies,HMI_Biomass,Capital Costs,2045,128.0
LS,HMI_Biomass,Capital Costs,2045,128.0
FKK,HMI_Biomass,Capital Costs,2045,128.0
ZS,HMI_Biomass,Capital Costs,2045,128.0
MTKK,HMI_Biomass,Capital Costs,2045,128.0
World,HMI_Gas,Capital Costs,2045,71.0
Dakar,HMI_Gas,Capital Costs,2045,71.0
Diourbel,HMI_Gas,Capital Costs,2045,71.0
Thies,HMI_Gas,Capital Costs,2045,71.0
LS,HMI_Gas,Capital Costs,2045,71.0
FKK,HMI_Gas,Capital Costs,2045,71.0
ZS,HMI_Gas,Capital Costs,2045,71.0
MTKK,HMI_Gas,Capital Costs,2045,71.0
Dakar,A_Rooftop_Commercial,Capital Costs,2045,0.01
Diourbel,A_Rooftop_Commercial,Capital Costs,2045,0.01
Thies,A_Rooftop_Commercial,Capital Costs,2045,0.01
LS,A_Rooftop_Commercial,Capital Costs,2045,0.01
FKK,A_Rooftop_Commercial,Capital Costs,2045,0.01
ZS,A_Rooftop_Commercial,Capital Costs,2045,0.01
MTKK,A_Rooftop_Commercial,Capital Costs,2045,0.01
Dakar,R_Gas,Capital Costs,2045,0.01
Diourbel,R_Gas,Capital Costs,2045,0.01
Thies,R_Gas,Capital Costs,2045,0.01
LS,R_Gas,Capital Costs,2045,0.01
FKK,R_Gas,Capital Costs,2045,0.01
ZS,R_Gas,Capital Costs,2045,0.01
MTKK,R_Gas,Capital Costs,2045,0.01
Dakar,R_Oil,Capital Costs,2045,0.01
Diourbel,R_Oil,Capital Costs,2045,0.01
Thies,R_Oil,Capital Costs,2045,0.01
LS,R_Oil,Capital Costs,2045,0.01
FKK,R_Oil,Capital Costs,2045,0.01
ZS,R_Oil,Capital Costs,2045,0.01
MTKK,R_Oil,Capital Costs,2045,0.01
Dakar,R_Coal_Hardcoal,Capital Costs,2045,0.01
Diourbel,R_Coal_Hardcoal,Capital Costs,2045,0.01
Thies,R_Coal_Hardcoal,Capital Costs,2045,0.01
LS,R_Coal_Hardcoal,Capital Costs,2045,0.01
FKK,R_Coal_Hardcoal,Capital Costs,2045,0.01
ZS,R_Coal_Hardcoal,Capital Costs,2045,0.01
MTKK,R_Coal_Hardcoal,Capital Costs,2045,0.01
World,RES_Hydro_Large,Capital Costs,2045,1650.0
Dakar,RES_Hydro_Large,Capital Costs,2045,1650.0
Diourbel,RES_Hydro_Large,Capital Costs,2045,1650.0
Thies,RES_Hydro_Large,Capital Costs,2045,1650.0
LS,RES_Hydro_Large,Capital Costs,2045,1650.0
FKK,RES_Hydro_Large,Capital Costs,2045,1650.0
ZS,RES_Hydro_Large,Capital Costs,2045,1650.0
MTKK,RES_Hydro_Large,Capital Costs,2045,1650.0
World,RES_PV_Rooftop_Commercial,Capital Costs,2045,435.0
Dakar,RES_PV_Rooftop_Commercial,Capital Costs,2045,435.0
Diourbel,RES_PV_Rooftop_Commercial,Capital Costs,2045,435.0
Thies,RES_PV_Rooftop_Commercial,Capital Costs,2045,435.0
LS,RES_PV_Rooftop_Commercial,Capital Costs,2045,435.0
FKK,RES_PV_Rooftop_Commercial,Capital Costs,2045,435.0
ZS,RES_PV_Rooftop_Commercial,Capital Costs,2045,435.0
MTKK,RES_PV_Rooftop_Commercial,Capital Costs,2045,435.0
World,RES_PV_Utility_Opt,Capital Costs,2045,305.0
Dakar,RES_PV_Utility_Opt,Capital Costs,2045,305.0
Diourbel,RES_PV_Utility_Opt,Capital Costs,2045,305.0
Thies,RES_PV_Utility_Opt,Capital Costs,2045,305.0
LS,RES_PV_Utility_Opt,Capital Costs,2045,305.0
FKK,RES_PV_Utility_Opt,Capital Costs,2045,305.0
ZS,RES_PV_Utility_Opt,Capital Costs,2045,305.0
MTKK,RES_PV_Utility_Opt,Capital Costs,2045,305.0
World,RES_Wind_Onshore_Opt,Capital Costs,2045,609.6397356966
Dakar,RES_Wind_Onshore_Opt,Capital Costs,2045,609.6397356966
Diourbel,RES_Wind_Onshore_Opt,Capital Costs,2045,609.6397356966
Thies,RES_Wind_Onshore_Opt,Capital Costs,2045,609.6397356966
LS,RES_Wind_Onshore_Opt,Capital Costs,2045,609.6397356966
FKK,RES_Wind_Onshore_Opt,Capital Costs,2045,609.6397356966
ZS,RES_Wind_Onshore_Opt,Capital Costs,2045,609.6397356966
MTKK,RES_Wind_Onshore_Opt,Capital Costs,2045,609.6397356966
World,P_Biomass,Capital Costs,2045,1945.0
Dakar,P_Biomass,Capital Costs,2045,1945.0
Diourbel,P_Biomass,Capital Costs,2045,1945.0
Thies,P_Biomass,Capital Costs,2045,1945.0
LS,P_Biomass,Capital Costs,2045,1945.0
FKK,P_Biomass,Capital Costs,2045,1945.0
ZS,P_Biomass,Capital Costs,2045,1945.0
MTKK,P_Biomass,Capital Costs,2045,1945.0
World,D_Battery_Li-Ion,Capital Costs,2045,80.0
Dakar,D_Battery_Li-Ion,Capital Costs,2045,80.0
Diourbel,D_Battery_Li-Ion,Capital Costs,2045,80.0
Thies,D_Battery_Li-Ion,Capital Costs,2045,80.0
LS,D_Battery_Li-Ion,Capital Costs,2045,80.0
FKK,D_Battery_Li-Ion,Capital Costs,2045,80.0
ZS,D_Battery_Li-Ion,Capital Costs,2045,80.0
MTKK,D_Battery_Li-Ion,Capital Costs,2045,80.0
World,FRT_Rail_Conv,Capital Costs,2045,3.308270677
Dakar,FRT_Rail_Conv,Capital Costs,2045,3.308270677
Diourbel,FRT_Rail_Conv,Capital Costs,2045,3.308270677
Thies,FRT_Rail_Conv,Capital Costs,2045,3.308270677
LS,FRT_Rail_Conv,Capital Costs,2045,3.308270677
FKK,FRT_Rail_Conv,Capital Costs,2045,3.308270677
ZS,FRT_Rail_Conv,Capital Costs,2045,3.308270677
MTKK,FRT_Rail_Conv,Capital Costs,2045,3.308270677
World,FRT_Road_ICE,Capital Costs,2045,5.772594752
Dakar,FRT_Road_ICE,Capital Costs,2045,5.772594752
Diourbel,FRT_Road_ICE,Capital Costs,2045,5.772594752
Thies,FRT_Road_ICE,Capital Costs,2045,5.772594752
LS,FRT_Road_ICE,Capital Costs,2045,5.772594752
FKK,FRT_Road_ICE,Capital Costs,2045,5.772594752
ZS,FRT_Road_ICE,Capital Costs,2045,5.772594752
MTKK,FRT_Road_ICE,Capital Costs,2045,5.772594752
World,FRT_Ship_Conv,Capital Costs,2045,8.564045773
Dakar,FRT_Ship_Conv,Capital Costs,2045,8.564045773
Diourbel,FRT_Ship_Conv,Capital Costs,2045,8.564045773
Thies,FRT_Ship_Conv,Capital Costs,2045,8.564045773
LS,FRT_Ship_Conv,Capital Costs,2045,8.564045773
FKK,FRT_Ship_Conv,Capital Costs,2045,8.564045773
ZS,FRT_Ship_Conv,Capital Costs,2045,8.564045773
MTKK,FRT_Ship_Conv,Capital Costs,2045,8.564045773
World,PSNG_Air_Conv,Capital Costs,2045,363.2171786
Dakar,PSNG_Air_Conv,Capital Costs,2045,363.2171786
Diourbel,PSNG_Air_Conv,Capital Costs,2045,363.2171786
Thies,PSNG_Air_Conv,Capital Costs,2045,363.2171786
LS,PSNG_Air_Conv,Capital Costs,2045,363.2171786
FKK,PSNG_Air_Conv,Capital Costs,2045,363.2171786
ZS,PSNG_Air_Conv,Capital Costs,2045,363.2171786
MTKK,PSNG_Air_Conv,Capital Costs,2045,363.2171786
World,PSNG_Rail_Conv,Capital Costs,2045,113.5068393
Dakar,PSNG_Rail_Conv,Capital Costs,2045,113.5068393
Diourbel,PSNG_Rail_Conv,Capital Costs,2045,113.5068393
Thies,PSNG_Rail_Conv,Capital Costs,2045,113.5068393
LS,PSNG_Rail_Conv,Capital Costs,2045,113.5068393
FKK,PSNG_Rail_Conv,Capital Costs,2045,113.5068393
ZS,PSNG_Rail_Conv,Capital Costs,2045,113.5068393
MTKK,PSNG_Rail_Conv,Capital Costs,2045,113.5068393
World,PSNG_Road_BEV,Capital Costs,2045,961.25
Dakar,PSNG_Road_BEV,Capital Costs,2045,961.25
Diourbel,PSNG_Road_BEV,Capital Costs,2045,961.25
Thies,PSNG_Road_BEV,Capital Costs,2045,961.25
LS,PSNG_Road_BEV,Capital Costs,2045,961.25
FKK,PSNG_Road_BEV,Capital Costs,2045,961.25
ZS,PSNG_Road_BEV,Capital Costs,2045,961.25
MTKK,PSNG_Road_BEV,Capital Costs,2045,961.25
World,PSNG_Road_ICE,Capital Costs,2045,929.4907407
Dakar,PSNG_Road_ICE,Capital Costs,2045,929.4907407
Diourbel,PSNG_Road_ICE,Capital Costs,2045,929.4907407
Thies,PSNG_Road_ICE,Capital Costs,2045,929.4907407
LS,PSNG_Road_ICE,Capital Costs,2045,929.4907407
FKK,PSNG_Road_ICE,Capital Costs,2045,929.4907407
ZS,PSNG_Road_ICE,Capital Costs,2045,929.4907407
MTKK,PSNG_Road_ICE,Capital Costs,2045,929.4907407
World,PSNG_Road_PHEV,Capital Costs,2045,1129.166667
Dakar,PSNG_Road_PHEV,Capital Costs,2045,1129.166667
Diourbel,PSNG_Road_PHEV,Capital Costs,2045,1129.166667
Thies,PSNG_Road_PHEV,Capital Costs,2045,1129.166667
LS,PSNG_Road_PHEV,Capital Costs,2045,1129.166667
FKK,PSNG_Road_PHEV,Capital Costs,2045,1129.166667
ZS,PSNG_Road_PHEV,Capital Costs,2045,1129.166667
MTKK,PSNG_Road_PHEV,Capital Costs,2045,1129.166667
World,P_Gas_Engines,Capital Costs,2045,619.872578610812
Dakar,P_Gas_Engines,Capital Costs,2045,619.872578610812
Diourbel,P_Gas_Engines,Capital Costs,2045,619.872578610812
Thies,P_Gas_Engines,Capital Costs,2045,619.872578610812
LS,P_Gas_Engines,Capital Costs,2045,619.872578610812
FKK,P_Gas_Engines,Capital Costs,2045,619.872578610812
ZS,P_Gas_Engines,Capital Costs,2045,619.872578610812
MTKK,P_Gas_Engines,Capital Costs,2045,619.872578610812
World,P_Gas_OCGT,Capital Costs,2045,635.677340788036
Dakar,P_Gas_OCGT,Capital Costs,2045,635.677340788036
Diourbel,P_Gas_OCGT,Capital Costs,2045,635.677340788036
Thies,P_Gas_OCGT,Capital Costs,2045,635.677340788036
LS,P_Gas_OCGT,Capital Costs,2045,635.677340788036
FKK,P_Gas_OCGT,Capital Costs,2045,635.677340788036
ZS,P_Gas_OCGT,Capital Costs,2045,635.677340788036
MTKK,P_Gas_OCGT,Capital Costs,2045,635.677340788036
World,A_Air,Capital Costs,2050,0.5
Dakar,A_Air,Capital Costs,2050,0.5
Diourbel,A_Air,Capital Costs,2050,0.5
Thies,A_Air,Capital Costs,2050,0.5
LS,A_Air,Capital Costs,2050,0.5
FKK,A_Air,Capital Costs,2050,0.5
ZS,A_Air,Capital Costs,2050,0.5
MTKK,A_Air,Capital Costs,2050,0.5
Dakar,A_Rooftop_Residential,Capital Costs,2050,0.01
Diourbel,A_Rooftop_Residential,Capital Costs,2050,0.01
Thies,A_Rooftop_Residential,Capital Costs,2050,0.01
LS,A_Rooftop_Residential,Capital Costs,2050,0.01
FKK,A_Rooftop_Residential,Capital Costs,2050,0.01
ZS,A_Rooftop_Residential,Capital Costs,2050,0.01
MTKK,A_Rooftop_Residential,Capital Costs,2050,0.01
World,CHP_Biomass_Solid,Capital Costs,2050,2540.0
Dakar,CHP_Biomass_Solid,Capital Costs,2050,2540.0
Diourbel,CHP_Biomass_Solid,Capital Costs,2050,2540.0
Thies,CHP_Biomass_Solid,Capital Costs,2050,2540.0
LS,CHP_Biomass_Solid,Capital Costs,2050,2540.0
FKK,CHP_Biomass_Solid,Capital Costs,2050,2540.0
ZS,CHP_Biomass_Solid,Capital Costs,2050,2540.0
MTKK,CHP_Biomass_Solid,Capital Costs,2050,2540.0
World,CHP_Biomass_Solid_CCS,Capital Costs,2050,6342.105
Dakar,CHP_Biomass_Solid_CCS,Capital Costs,2050,6342.105
Diourbel,CHP_Biomass_Solid_CCS,Capital Costs,2050,6342.105
Thies,CHP_Biomass_Solid_CCS,Capital Costs,2050,6342.105
LS,CHP_Biomass_Solid_CCS,Capital Costs,2050,6342.105
FKK,CHP_Biomass_Solid_CCS,Capital Costs,2050,6342.105
ZS,CHP_Biomass_Solid_CCS,Capital Costs,2050,6342.105
MTKK,CHP_Biomass_Solid_CCS,Capital Costs,2050,6342.105
World,CHP_Coal_Hardcoal,Capital Costs,2050,3393.34536958849
Dakar,CHP_Coal_Hardcoal,Capital Costs,2050,3393.34536958849
Diourbel,CHP_Coal_Hardcoal,Capital Costs,2050,3393.34536958849
Thies,CHP_Coal_Hardcoal,Capital Costs,2050,3393.34536958849
LS,CHP_Coal_Hardcoal,Capital Costs,2050,3393.34536958849
FKK,CHP_Coal_Hardcoal,Capital Costs,2050,3393.34536958849
ZS,CHP_Coal_Hardcoal,Capital Costs,2050,3393.34536958849
MTKK,CHP_Coal_Hardcoal,Capital Costs,2050,3393.34536958849
World,CHP_Coal_Hardcoal_CCS,Capital Costs,2050,4125.0
Dakar,CHP_Coal_Hardcoal_CCS,Capital Costs,2050,4125.0
Diourbel,CHP_Coal_Hardcoal_CCS,Capital Costs,2050,4125.0
Thies,CHP_Coal_Hardcoal_CCS,Capital Costs,2050,4125.0
LS,CHP_Coal_Hardcoal_CCS,Capital Costs,2050,4125.0
FKK,CHP_Coal_Hardcoal_CCS,Capital Costs,2050,4125.0
ZS,CHP_Coal_Hardcoal_CCS,Capital Costs,2050,4125.0
MTKK,CHP_Coal_Hardcoal_CCS,Capital Costs,2050,4125.0
World,CHP_Coal_Lignite,Capital Costs,2050,2030.0
Dakar,CHP_Coal_Lignite,Capital Costs,2050,2030.0
Diourbel,CHP_Coal_Lignite,Capital Costs,2050,2030.0
Thies,CHP_Coal_Lignite,Capital Costs,2050,2030.0
LS,CHP_Coal_Lignite,Capital Costs,2050,2030.0
FKK,CHP_Coal_Lignite,Capital Costs,2050,2030.0
ZS,CHP_Coal_Lignite,Capital Costs,2050,2030.0
MTKK,CHP_Coal_Lignite,Capital Costs,2050,2030.0
World,CHP_Coal_Lignite_CCS,Capital Costs,2050,3300.0
Dakar,CHP_Coal_Lignite_CCS,Capital Costs,2050,3300.0
Diourbel,CHP_Coal_Lignite_CCS,Capital Costs,2050,3300.0
Thies,CHP_Coal_Lignite_CCS,Capital Costs,2050,3300.0
LS,CHP_Coal_Lignite_CCS,Capital Costs,2050,3300.0
FKK,CHP_Coal_Lignite_CCS,Capital Costs,2050,3300.0
ZS,CHP_Coal_Lignite_CCS,Capital Costs,2050,3300.0
MTKK,CHP_Coal_Lignite_CCS,Capital Costs,2050,3300.0
World,CHP_Gas_CCGT_Biogas,Capital Costs,2050,996.83928553786
Dakar,CHP_Gas_CCGT_Biogas,Capital Costs,2050,996.83928553786
Diourbel,CHP_Gas_CCGT_Biogas,Capital Costs,2050,996.83928553786
Thies,CHP_Gas_CCGT_Biogas,Capital Costs,2050,996.83928553786
LS,CHP_Gas_CCGT_Biogas,Capital Costs,2050,996.83928553786
FKK,CHP_Gas_CCGT_Biogas,Capital Costs,2050,996.83928553786
ZS,CHP_Gas_CCGT_Biogas,Capital Costs,2050,996.83928553786
MTKK,CHP_Gas_CCGT_Biogas,Capital Costs,2050,996.83928553786
World,CHP_Gas_CCGT_Biogas_CCS,Capital Costs,2050,1495.25892830679
Dakar,CHP_Gas_CCGT_Biogas_CCS,Capital Costs,2050,1495.25892830679
Diourbel,CHP_Gas_CCGT_Biogas_CCS,Capital Costs,2050,1495.25892830679
Thies,CHP_Gas_CCGT_Biogas_CCS,Capital Costs,2050,1495.25892830679
LS,CHP_Gas_CCGT_Biogas_CCS,Capital Costs,2050,1495.25892830679
FKK,CHP_Gas_CCGT_Biogas_CCS,Capital Costs,2050,1495.25892830679
ZS,CHP_Gas_CCGT_Biogas_CCS,Capital Costs,2050,1495.25892830679
MTKK,CHP_Gas_CCGT_Biogas_CCS,Capital Costs,2050,1495.25892830679
World,CHP_Gas_CCGT_Natural,Capital Costs,2050,996.83928553786
Dakar,CHP_Gas_CCGT_Natural,Capital Costs,2050,996.83928553786
Diourbel,CHP_Gas_CCGT_Natural,Capital Costs,2050,996.83928553786
Thies,CHP_Gas_CCGT_Natural,Capital Costs,2050,996.83928553786
LS,CHP_Gas_CCGT_Natural,Capital Costs,2050,996.83928553786
FKK,CHP_Gas_CCGT_Natural,Capital Costs,2050,996.83928553786
ZS,CHP_Gas_CCGT_Natural,Capital Costs,2050,996.83928553786
MTKK,CHP_Gas_CCGT_Natural,Capital Costs,2050,996.83928553786
World,CHP_Gas_CCGT_Natural_CCS,Capital Costs,2050,1495.25892830679
Dakar,CHP_Gas_CCGT_Natural_CCS,Capital Costs,2050,1495.25892830679
Diourbel,CHP_Gas_CCGT_Natural_CCS,Capital Costs,2050,1495.25892830679
Thies,CHP_Gas_CCGT_Natural_CCS,Capital Costs,2050,1495.25892830679
LS,CHP_Gas_CCGT_Natural_CCS,Capital Costs,2050,1495.25892830679
FKK,CHP_Gas_CCGT_Natural_CCS,Capital Costs,2050,1495.25892830679
ZS,CHP_Gas_CCGT_Natural_CCS,Capital Costs,2050,1495.25892830679
MTKK,CHP_Gas_CCGT_Natural_CCS,Capital Costs,2050,1495.25892830679
World,CHP_Gas_CCGT_SynGas,Capital Costs,2050,996.83928553786
Dakar,CHP_Gas_CCGT_SynGas,Capital Costs,2050,996.83928553786
Diourbel,CHP_Gas_CCGT_SynGas,Capital Costs,2050,996.83928553786
Thies,CHP_Gas_CCGT_SynGas,Capital Costs,2050,996.83928553786
LS,CHP_Gas_CCGT_SynGas,Capital Costs,2050,996.83928553786
FKK,CHP_Gas_CCGT_SynGas,Capital Costs,2050,996.83928553786
ZS,CHP_Gas_CCGT_SynGas,Capital Costs,2050,996.83928553786
MTKK,CHP_Gas_CCGT_SynGas,Capital Costs,2050,996.83928553786
World,CHP_Hydrogen_FuelCell,Capital Costs,2050,800.0
Dakar,CHP_Hydrogen_FuelCell,Capital Costs,2050,800.0
Diourbel,CHP_Hydrogen_FuelCell,Capital Costs,2050,800.0
Thies,CHP_Hydrogen_FuelCell,Capital Costs,2050,800.0
LS,CHP_Hydrogen_FuelCell,Capital Costs,2050,800.0
FKK,CHP_Hydrogen_FuelCell,Capital Costs,2050,800.0
ZS,CHP_Hydrogen_FuelCell,Capital Costs,2050,800.0
MTKK,CHP_Hydrogen_FuelCell,Capital Costs,2050,800.0
World,CHP_Oil,Capital Costs,2050,930.0
Dakar,CHP_Oil,Capital Costs,2050,930.0
Diourbel,CHP_Oil,Capital Costs,2050,930.0
Thies,CHP_Oil,Capital Costs,2050,930.0
LS,CHP_Oil,Capital Costs,2050,930.0
FKK,CHP_Oil,Capital Costs,2050,930.0
ZS,CHP_Oil,Capital Costs,2050,930.0
MTKK,CHP_Oil,Capital Costs,2050,930.0
World,D_Battery_Redox,Capital Costs,2050,330.0
Dakar,D_Battery_Redox,Capital Costs,2050,330.0
Diourbel,D_Battery_Redox,Capital Costs,2050,330.0
Thies,D_Battery_Redox,Capital Costs,2050,330.0
LS,D_Battery_Redox,Capital Costs,2050,330.0
FKK,D_Battery_Redox,Capital Costs,2050,330.0
ZS,D_Battery_Redox,Capital Costs,2050,330.0
MTKK,D_Battery_Redox,Capital Costs,2050,330.0
World,D_Gas_H2,Capital Costs,2050,100.0
