Timestep,a_0,b
70,-260.11788698811449194,767973518.83918917179
71,0,665150176.90013337135
71,-9988.6815147287125001,725641741.03035235405
71,-3319.8284467385242351,719620775.38319396973
71,-756.14449137552776392,742294115.39531099796
71,-260.10376171270536361,741387531.69950270653
71,-260.1482780341963803,741394287.32412075996
72,0,645887631.48492479324
72,-9984.9086863049487874,700692764.52708423138
72,-3319.8284467385242351,693162469.1993676424
72,-756.14449137552776392,715255182.128480196
72,-260.10376171270536361,714268029.38015842438
72,-260.19151080602819093,714278919.05792355537
73,0,625131384.10828018188
73,-9951.7077961758350284,671345508.72847044468
73,-3319.8284467385242351,664214757.29146277905
73,-756.14449137552787761,686456413.20999932289
73,-260.10376171270536361,685529758.44461524487
73,-260.21123401231943717,685540114.71626269817
74,0,601213000.84502184391
74,-9227.3247388133586355,630720365.99435079098
74,-3319.8284467385255994,629488538.00995826721
74,-756.14449137552810498,653893892.93315279484
74,-260.10376171270536361,653415946.36950826645
74,-260.46010833141036755,653439588.91523146629
75,0,577184184.70111894608
75,-7375.2776769319525556,594484723.28215992451
75,-3523.6890357671472884,597237204.82470631599
75,-756.14449137552821867,621656094.50915455818
75,-260.10376171270536361,621321220.09797990322
75,-260.6644170114156509,621343483.4122095108
76,0,553333298.13854897022
76,-6956.7702545841275423,563233866.58229470253
76,-8440.2107315218745498,573465634.9471886158
76,-756.14449137552833236,590592107.64508497715
76,-260.10376171270536361,589785806.81277418137
76,-261.13272991068220108,589803241.98084843159
77,0,529903590.35324841738
77,-8173.5306735471967841,540842240.46374034882
77,-8173.6006877497547976,562546819.52691960335
77,-260.83807839484870783,558829188.27503287792
77,-260.10376171270536361,559374268.66013789177
77,-1516.3274718780889998,562554464.54158449173
78,0,506037976.74690902233
78,-6347.2838073839157005,513709937.47695636749
78,-260.91139356869575749,528826764.53886562586
78,-259.76593104933965606,528822423.46795332432
78,-260.10376171270536361,529380021.53343206644
78,-869.5032354240352106,529621567.13512802124
79,0,482527388.53623682261
79,-2086.4128460928354798,488707148.34338140488
79,-260.03756613611358262,499992974.26486563683
79,-257.02230014491948396,499983480.38625872135
79,-260.06431659586183969,500551984.4993725419
79,-260.2895846803375548,500553748.9426215291
80,0,460850352.89834469557
80,-1477.44061792588559,471060969.30057090521
80,-244.75925058713943372,474124142.18853992224
80,-1477.44061792588559,474284791.38247007132
80,-259.98391989204998254,474685083.12601011992
80,-249.13466021358340186,474674680.81012237072
81,0,439617105.70442956686
