,LS-0,LS-1,LS-2,LS-3,LS-4,LS-5,LS-6,LS-7,LS-8,LS-9,LS-10,LS-11,LS-12,LS-13,LS-14,LS-15
0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2,10000.0,10000.0,10000.0,10000.0,10000.0,9999.992851826,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
3,10000.0,10000.0,10000.0,10000.0,10000.0,261.1243396181878,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
4,9999.992851826,10000.0,10000.0,9999.992851826,10000.0,261.1243396181878,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9999.992851826,10000.0,10000.0
5,9999.992851826,10000.0,10000.0,9999.992851826,10000.0,261.12433961818766,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,262.1083615543606,10000.0,10000.0
6,9999.992851826,10000.0,9999.992851826,9999.992851826,9999.992851826,261.12433961818766,10000.0,10000.0,10000.0,9999.992851826,10000.0,9999.992851826,10000.0,262.1083615543606,10000.0,10000.0
7,9999.992851826,10000.0,9999.337821915002,262.76339146536066,9999.992851826,261.12433961818766,10000.0,10000.0,10000.0,9999.992851826,10000.0,262.10787247855615,262.76339146536054,262.1083615543606,9999.992851826,10000.0
8,9999.992851826,10000.0,9999.337821915002,262.1083615543606,9999.992851826,261.12433961818766,9999.992851826,10000.0,9999.992851826,9999.992851826,10000.0,261.9334240069472,262.1083615543606,262.1083615543606,9999.992851826,9999.992851826
9,9999.992851826,10000.0,9999.337821915002,262.1083615543606,9999.992851826,261.12433961818766,262.1083615543606,10000.0,262.1083615543606,9999.992851826,9999.992851826,261.9334240069472,262.1083615543606,262.1083615543606,9999.992851826,9999.992851826
10,9999.992851826,10000.0,9999.337821915002,262.1083615543606,262.7633914653607,261.12433961818766,262.1083615543606,10000.0,262.1083615543606,9999.992851826,9999.337821915002,261.9334240069472,262.1083615543606,262.1083615543606,9999.992851826,9999.337821915002
11,9999.992851826,10000.0,9999.337821915002,262.1083615543606,262.76339146536066,261.12433961818766,262.1083615543606,10000.0,262.1083615543606,9999.992851826,262.7633914653607,261.7764350743606,262.1083615543606,262.1083615543606,9999.992851826,262.7633914653607
12,9999.992851826,9999.992851826,9999.337821915002,262.1083615543606,262.76339146536066,261.12433961818766,262.1083615543606,10000.0,262.1083615543606,9999.992851826,262.76339146536066,261.7764350743606,262.1083615543606,261.77643507436056,9999.992851826,262.76339146536066
13,9999.992851826,262.76339146536066,9999.337821915002,262.1083615543606,262.76339146536066,261.12433961818766,262.1083615543606,10000.0,262.1083615543606,9999.337821915002,262.1083615543606,261.77643507436056,262.1083615543606,261.67626051147045,9999.992851826,262.76339146536066
14,9999.992851826,262.76339146536066,9999.337821915002,262.1083615543606,262.76339146536066,261.12433961818766,262.1083615543606,10000.0,262.1083615543606,9999.337821915002,262.1083615543606,261.45514317748825,262.1083615543606,261.67626051147045,9999.992851826,262.76339146536066
15,9999.992851826,262.1083615543606,9999.337821915002,262.1083615543606,262.76339146536066,261.12433961818766,262.1083615543606,10000.0,262.1083615543606,9999.337821915002,262.1083615543606,261.45514317748825,262.1083615543606,261.67626051147045,9999.992851826,262.76339146536066
16,9999.992851826,262.1083615543606,9999.337821915002,262.1083615543606,262.76339146536066,261.12433961818766,262.1083615543606,10000.0,262.1083615543606,9999.337821915002,262.1083615543606,261.45514317748814,262.1083615543606,261.67626051147045,9999.992851826,262.76339146536066
17,9999.992851826,262.1083615543606,9999.337821915002,262.1083615543606,262.76339146536066,261.12433961818766,262.1083615543606,10000.0,262.1083615543606,9999.337821915002,262.1083615543606,261.45514317748814,262.1083615543606,261.67626051147045,9999.337821915002,262.76339146536066
18,9999.992851826,262.1083615543606,9999.204728309,262.1083615543606,262.76339146536066,261.12433961818766,262.1083615543606,9999.992851826,262.1083615543606,9998.350865524002,262.1083615543606,261.45514317748814,262.1083615543606,261.67626051147045,9999.337821915002,262.76339146536066
19,9999.992851826,262.1083615543606,9999.204728309,262.1083615543606,262.1083615543606,261.12433961818766,262.1083615543606,9999.992851826,262.1083615543606,262.7633914653607,262.1083615543606,261.1243396181878,262.1083615543606,261.67626051147045,9999.337821915002,262.76339146536066
20,9999.992851826,262.1083615543606,9999.204728309,262.1083615543606,262.1083615543606,261.12433961818766,262.1083615543606,9999.992851826,262.1083615543606,262.76339146536066,262.1083615543606,261.1243396181878,262.1083615543606,261.4545563358296,9999.337821915002,262.76192423794714
21,9999.992851826,262.1083615543606,9999.204728309,262.1083615543606,262.1083615543606,261.12433961818766,262.1083615543606,9999.992851826,262.1083615543606,262.76339146536066,262.1083615543606,261.1243396181878,262.1083615543606,261.4545563358295,9999.337821915002,262.76192423794714
