,Diourbel-0,Diourbel-1,Diourbel-2,Diourbel-3,Diourbel-4,Diourbel-5,Diourbel-6,Diourbel-7,Diourbel-8,Diourbel-9,Diourbel-10,Diourbel-11,Diourbel-12,Diourbel-13,Diourbel-14,Diourbel-15
2030-01-01 00:00:00,260.80490825364586,260.80490825364586,260.80490825364586,260.79544910071417,260.80490825364586,260.80490825364586,260.79544910071417,260.13902403670534,260.79405394770527,260.79544910071417,260.79544910071417,260.79544910071417,260.1404191897142,260.79405394770527,260.80490825364586,260.80490825364586
2030-01-01 01:00:00,260.79544910071417,260.79544910071417,260.79544910071417,260.1404191897142,260.79747674679646,260.7949995778466,260.1404191897142,123.0710865901798,260.79405394770527,259.1534627987142,260.79544910071417,260.79544910071417,259.1534627987142,260.13902403670534,260.79405394770527,260.79544910071417
2030-01-01 02:00:00,260.79544910071417,260.79544910071417,260.79544910071417,259.1534627987142,260.79405394770527,260.13996966684664,259.8057689816915,123.0710865901798,260.13902403670534,259.1534627987142,260.1404191897142,260.1404191897142,259.1534627987142,259.1520676457053,260.79405394770527,260.79544910071417
2030-01-01 03:00:00,260.1404191897142,260.79544910071417,260.79544910071417,259.1534627987142,260.79405394770527,259.8057689816915,259.1534627987142,123.0710865901798,259.1520676457053,123.0710865901798,259.1534627987142,259.7438397579472,123.0710865901798,123.0710865901798,260.79405394770527,260.79544910071417
2030-01-01 04:00:00,260.1404191897142,260.79544910071417,260.1404191897142,259.1534627987142,260.13902403670534,259.15301327584666,123.0710865901798,123.0669105901798,259.1520676457053,123.0669105901798,259.1534627987142,259.1534627987142,123.0710865901798,123.0669105901798,259.7438397579472,260.1404191897142
2030-01-01 05:00:00,260.1404191897142,260.79544910071417,260.1404191897142,259.1534627987142,260.13902403670534,259.15301327584666,123.0710865901798,123.0669105901798,259.1520676457053,123.0669105901798,259.8057689816915,259.8057689816915,123.0710865901798,123.0669105901798,259.1520676457053,260.1404191897142
2030-01-01 06:00:00,260.79544910071417,260.79544910071417,260.79544910071417,260.1404191897142,260.13902403670534,259.15301327584666,123.0710865901798,123.0710865901798,259.8057689816915,259.1534627987142,260.79544910071417,260.1404191897142,123.0669105901798,123.0710865901798,259.8057689816915,260.79544910071417
2030-01-01 07:00:00,260.1404191897142,260.79544910071417,260.79544910071417,260.1404191897142,260.79405394770527,123.0710865901798,123.0710865901798,123.0794385901798,260.13902403670534,259.8057689816915,260.79544910071417,260.1404191897142,123.0752625901798,123.0710865901798,260.13902403670534,260.79544910071417
2030-01-01 08:00:00,260.79544910071417,260.79544910071417,260.79544910071417,260.1404191897142,260.79405394770527,123.0710865901798,123.0710865901798,123.0710865901798,259.8057689816915,260.1404191897142,260.79544910071417,260.1404191897142,123.0710865901798,123.0794385901798,260.13902403670534,260.79544910071417
2030-01-01 09:00:00,260.79544910071417,260.79544910071417,260.1404191897142,259.1534627987142,260.13902403670534,123.0710865901798,123.0710865901798,123.0710865901798,259.1520676457053,259.1534627987142,260.79544910071417,260.1404191897142,123.0710865901798,123.0710865901798,259.1520676457053,260.1404191897142
2030-01-01 10:00:00,259.1534627987142,259.1534627987142,259.8057689816915,123.0710865901798,259.1520676457053,123.0710865901798,87.46975974116236,87.30584603654698,123.0710865901798,259.1534627987142,259.1534627987142,259.1534627987142,87.30584603654698,87.30584603654698,123.0710865901798,123.0710865901798
2030-01-01 11:00:00,123.0710865901798,123.0710865901798,123.0710865901798,123.0710865901798,123.0710865901798,122.7241459501798,87.30584603654698,87.30584603654698,122.7241459501798,123.0710865901798,123.0710865901798,123.0710865901798,87.12281910116235,87.29123003654698,123.0710865901798,123.0710865901798
2030-01-01 12:00:00,123.0710865901798,123.0710865901798,123.0710865901798,122.7199699501798,123.0710865901798,87.30584603654698,87.29123003654698,87.11775971654697,87.29123003654698,123.0710865901798,123.0710865901798,123.0710865901798,87.11775971654697,87.29123003654698,122.7199699501798,123.0669105901798
2030-01-01 13:00:00,123.0669105901798,123.0669105901798,122.7199699501798,122.7241459501798,123.0669105901798,87.29123003654698,87.29123003654698,87.12281910116235,87.29123003654698,123.0669105901798,123.0669105901798,122.7199699501798,87.11775971654697,87.30584603654698,122.7199699501798,123.0710865901798
2030-01-01 14:00:00,123.0669105901798,123.0669105901798,122.7199699501798,122.7199699501798,123.0669105901798,87.29123003654698,87.30584603654698,87.11775971654697,122.7241459501798,123.0669105901798,123.0669105901798,122.7199699501798,87.12281910116235,87.30584603654698,122.7241459501798,123.0669105901798
2030-01-01 15:00:00,123.0710865901798,123.0710865901798,123.0710865901798,123.0710865901798,123.0710865901798,87.30584603654698,87.30584603654698,87.30584603654698,123.0710865901798,259.1534627987142,123.0710865901798,123.0710865901798,87.30584603654698,122.7241459501798,123.0710865901798,123.0710865901798
2030-01-01 16:00:00,123.0710865901798,123.0710865901798,123.0710865901798,259.1534627987142,259.1520676457053,123.0710865901798,123.0710865901798,122.7241459501798,123.0710865901798,260.79544910071417,260.1404191897142,123.0710865901798,87.30584603654698,123.0710865901798,259.1520676457053,259.1534627987142
2030-01-01 17:00:00,123.0710865901798,259.1534627987142,259.1534627987142,260.1404191897142,260.13902403670534,123.0710865901798,123.0710865901798,123.0710865901798,259.1520676457053,260.79544910071417,260.79544910071417,123.0710865901798,123.0710865901798,260.13902403670534,260.13902403670534,260.1404191897142
2030-01-01 18:00:00,260.1404191897142,260.1404191897142,260.1404191897142,260.79544910071417,260.79405394770527,259.15301327584666,260.1404191897142,259.8057689816915,260.13902403670534,260.79747674679646,260.79747674679646,260.1404191897142,123.0710865901798,260.79405394770527,260.79405394770527,260.79544910071417
2030-01-01 19:00:00,260.79747674679646,260.79747674679646,260.79747674679646,260.96498278736067,260.81233976049515,260.79747674679646,260.79747674679646,260.79747674679646,260.96498278736067,260.96791724218764,260.96498278736067,260.79747674679646,260.79544910071417,260.96791724218764,260.96498278736067,260.96498278736067
2030-01-01 20:00:00,260.9679172421877,260.96498278736067,260.81233976049515,260.9679172421877,260.79747674679646,260.8123397604952,260.79747674679646,260.81233976049515,260.9679172421877,260.96498278736067,260.9679172421877,260.8123397604952,260.79544910071417,260.96498278736067,260.96791724218764,260.96791724218764
2030-01-01 21:00:00,260.96351555994715,260.96498278736067,260.79544910071417,260.79747674679646,260.79747674679646,260.79747674679646,260.9679172421877,260.79747674679646,260.79747674679646,260.96498278736067,260.96498278736067,260.79747674679646,260.8123397604952,260.79747674679646,260.96498278736067,260.96498278736067
2030-01-01 22:00:00,260.96351555994715,260.9679172421877,260.7995043928788,260.79747674679646,260.79747674679646,260.7949995778466,260.96498278736067,260.79747674679646,260.79747674679646,260.96498278736067,260.96498278736067,260.79544910071417,260.79747674679646,260.79747674679646,260.79747674679646,260.79747674679646
2030-01-01 23:00:00,260.96791724218764,260.96498278736067,260.79747674679646,260.79747674679646,260.79405394770527,260.7949995778466,260.79747674679646,260.79405394770527,260.79747674679646,260.79747674679646,260.96498278736067,260.7995043928789,260.79544910071417,260.79747674679646,260.79747674679646,260.79747674679646
2030-01-02 00:00:00,260.79747674679646,260.79747674679646,260.79544910071417,260.79544910071417,260.79405394770527,260.13996966684664,260.79747674679646,260.13902403670534,260.79405394770527,260.79747674679646,260.79747674679646,260.79544910071417,260.79544910071417,260.79405394770527,260.79405394770527,260.79544910071417
2030-01-02 01:00:00,260.79747674679646,260.79747674679646,260.1404191897142,260.79544910071417,260.13902403670534,259.15301327584666,260.79544910071417,259.1520676457053,259.8057689816915,260.79544910071417,260.79747674679646,260.79544910071417,260.1404191897142,260.13902403670534,260.13902403670534,260.1404191897142
2030-01-02 02:00:00,260.79747674679646,260.79544910071417,260.1404191897142,259.8057689816915,259.1520676457053,123.0710865901798,260.1404191897142,123.0710865901798,259.1520676457053,260.79544910071417,260.79544910071417,260.1404191897142,259.1534627987142,259.1520676457053,123.0710865901798,259.1534627987142
2030-01-02 03:00:00,260.79544910071417,260.79544910071417,259.1534627987142,259.1534627987142,259.1520676457053,123.0710865901798,260.1404191897142,123.0710865901798,259.1520676457053,260.1404191897142,260.79544910071417,259.1534627987142,259.1534627987142,259.1520676457053,123.0710865901798,259.1534627987142
2030-01-02 04:00:00,260.79544910071417,260.1404191897142,259.1534627987142,259.1534627987142,259.1520676457053,123.0669105901798,259.1534627987142,123.0669105901798,259.1520676457053,259.1534627987142,260.79544910071417,259.1534627987142,259.1534627987142,123.0669105901798,123.0669105901798,123.0669105901798
2030-01-02 05:00:00,260.79544910071417,260.1404191897142,123.0669105901798,259.1534627987142,259.1520676457053,123.0669105901798,259.1534627987142,123.0669105901798,259.1520676457053,259.1534627987142,260.79544910071417,123.0669105901798,259.1534627987142,123.0669105901798,123.0669105901798,123.0669105901798
2030-01-02 06:00:00,260.79544910071417,260.79544910071417,259.1534627987142,259.8057689816915,260.13902403670534,123.0794385901798,260.1404191897142,123.0710865901798,260.13902403670534,260.1404191897142,260.79544910071417,123.0669105901798,260.1404191897142,259.8057689816915,123.0710865901798,259.1534627987142
2030-01-02 07:00:00,260.1404191897142,260.79544910071417,259.9296274291801,259.9296274291801,260.79405394770527,123.0710865901798,260.79544910071417,123.0794385901798,260.79405394770527,260.1404191897142,260.79544910071417,123.0794385901798,260.1404191897142,260.13902403670534,123.0710865901798,259.1534627987142
2030-01-02 08:00:00,259.1534627987142,260.79544910071417,259.1534627987142,259.1534627987142,260.79405394770527,123.0710865901798,260.79544910071417,123.0710865901798,260.79405394770527,260.1404191897142,260.79544910071417,123.0710865901798,260.1404191897142,260.13902403670534,123.0794385901798,259.9296274291801
2030-01-02 09:00:00,123.0710865901798,259.1534627987142,259.1534627987142,123.0710865901798,260.13902403670534,87.46975974116236,259.8057689816915,123.0710865901798,260.13902403670534,259.1534627987142,260.79544910071417,123.0710865901798,259.8057689816915,259.1520676457053,123.0710865901798,259.1534627987142
