,FKK-0,FKK-1,FKK-2,FKK-3,FKK-4,FKK-5,FKK-6,FKK-7,FKK-8,FKK-9,FKK-10,FKK-11,FKK-12,FKK-13,FKK-14,FKK-15
0,10000.0,10000.0,9999.97427854,10000.0,9999.97427854,9999.97427854,10000.0,10000.0,10000.0,9999.97427854,9999.97427854,10000.0,10000.0,10000.0,10000.0,10000.0
1,9999.97427854,10000.0,9999.97427854,9999.967130366,9999.97427854,9999.967130366,10000.0,10000.0,10000.0,9999.97427854,9999.97427854,10000.0,9999.97427854,9999.97427854,9999.97427854,9999.97427854
2,9999.967130366,10000.0,9999.97427854,9999.967130366,9999.97427854,9999.967130366,10000.0,9999.97427854,9999.97427854,9999.97427854,9999.97427854,10000.0,9999.97427854,9999.97427854,9999.97427854,9999.97427854
3,9999.967130366,10000.0,9999.967130366,9999.967130366,9999.97427854,261.0986181581878,10000.0,9999.97427854,9999.97427854,9999.97427854,9999.97427854,9999.97427854,9999.967130366,9999.97427854,9999.97427854,9999.967130366
4,9999.967130366,10000.0,9999.967130366,9999.967130366,9999.97427854,261.0986181581878,9999.97427854,9999.97427854,9999.97427854,9999.97427854,9999.97427854,9999.97427854,9999.967130366,9999.967130366,9999.97427854,9999.967130366
5,9999.967130366,9999.97427854,9999.967130366,9999.967130366,9999.967130366,261.09861815818766,9999.97427854,9999.97427854,9999.967130366,9999.967130366,9999.967130366,9999.967130366,9999.967130366,262.0826400943606,9999.967130366,9999.967130366
6,9999.967130366,9999.97427854,9999.967130366,9999.414089042,9999.967130366,261.09861815818766,9999.97427854,9999.97427854,9999.967130366,9999.967130366,9999.967130366,9999.414089042,9999.414089042,262.0826400943606,9999.967130366,9999.967130366
7,9999.967130366,9999.97427854,9999.312100455,262.73767000536066,9999.967130366,261.09861815818766,9999.967130366,9999.97427854,9999.967130366,9999.967130366,9999.967130366,262.08215101855615,262.73767000536054,262.0826400943606,9999.967130366,9999.967130366
8,9999.967130366,9999.97427854,9999.312100455,262.0826400943606,9999.967130366,261.09861815818766,9999.414089042,9999.97427854,9999.414089042,9999.967130366,9999.414089042,261.9077025469472,262.0826400943606,262.0826400943606,9999.967130366,9999.414089042
9,9999.967130366,9999.967130366,9999.312100455,262.0826400943606,9999.257666666,261.09861815818766,262.0826400943606,9999.97427854,262.0826400943606,9999.967130366,9999.312100455,261.9077025469472,262.0826400943606,262.0826400943606,9999.967130366,9999.414089042
10,9999.967130366,9999.967130366,9999.312100455,262.0826400943606,262.73767000536066,261.09861815818766,262.0826400943606,9999.97427854,262.0826400943606,9999.967130366,9999.257666666,261.9077025469472,262.0826400943606,262.0826400943606,9999.967130366,9999.312100455
11,9999.967130366,9999.414089042,9999.312100455,262.0826400943606,262.73767000536066,261.09861815818766,262.0826400943606,9999.97427854,262.0826400943606,9999.967130366,262.73767000536066,261.7507136143606,262.0826400943606,262.0826400943606,9999.967130366,262.73767000536066
12,9999.967130366,9999.414089042,9999.312100455,262.0826400943606,262.73767000536066,261.09861815818766,262.0826400943606,9999.97427854,262.0826400943606,9999.414089042,262.73767000536066,261.7507136143606,262.0826400943606,261.75071361436056,9999.967130366,262.73767000536066
13,9999.967130366,262.73767000536066,9999.312100455,262.0826400943606,262.73767000536066,261.09861815818766,262.0826400943606,9999.97427854,262.0826400943606,9999.312100455,262.0826400943606,261.75071361436056,262.0826400943606,261.65053905147045,9999.967130366,262.73767000536066
14,9999.967130366,262.73767000536066,9999.312100455,262.0826400943606,262.73767000536066,261.09861815818766,262.0826400943606,9999.97427854,262.0826400943606,9999.312100455,262.0826400943606,261.42942171748825,262.0826400943606,261.65053905147045,9999.967130366,262.73767000536066
15,9999.967130366,262.0826400943606,9999.312100455,262.0826400943606,262.73767000536066,261.09861815818766,262.0826400943606,9999.967130366,262.0826400943606,9999.312100455,262.0826400943606,261.42942171748825,262.0826400943606,261.65053905147045,9999.967130366,262.73767000536066
16,9999.967130366,262.0826400943606,9999.312100455,262.0826400943606,262.73767000536066,261.09861815818766,262.0826400943606,9999.967130366,262.0826400943606,9999.312100455,262.0826400943606,261.42942171748814,262.0826400943606,261.65053905147045,9999.414089042,262.73767000536066
17,9999.967130366,262.0826400943606,9999.312100455,262.0826400943606,262.73767000536066,261.09861815818766,262.0826400943606,9999.967130366,262.0826400943606,9999.312100455,262.0826400943606,261.42942171748814,262.0826400943606,261.65053905147045,9999.312100455,262.73767000536066
18,9999.967130366,262.0826400943606,9999.179006849,262.0826400943606,262.73767000536066,261.09861815818766,262.0826400943606,9999.967130366,262.0826400943606,9998.325144064,262.0826400943606,261.42942171748814,262.0826400943606,261.65053905147045,9999.312100455,262.73767000536066
19,9999.967130366,262.0826400943606,9999.179006849,262.0826400943606,262.0826400943606,261.09861815818766,262.0826400943606,9999.967130366,262.0826400943606,262.73767000536066,262.0826400943606,261.0986181581878,262.0826400943606,261.65053905147045,9999.312100455,262.73767000536066
20,9999.967130366,262.0826400943606,9999.179006849,262.0826400943606,262.0826400943606,261.09861815818766,262.0826400943606,9999.967130366,262.0826400943606,262.73767000536066,262.0826400943606,261.0986181581878,262.0826400943606,261.4288348758296,9999.312100455,262.73620277794714
21,9999.967130366,262.0826400943606,9999.179006849,262.0826400943606,262.0826400943606,261.09861815818766,262.0826400943606,9999.967130366,262.0826400943606,262.73767000536066,262.0826400943606,261.0986181581878,262.0826400943606,261.4288348758295,9999.312100455,262.73620277794714
22,9999.967130366,262.0826400943606,9999.179006849,262.0826400943606,262.0826400943606,261.09861815818766,262.0826400943606,9999.967130366,261.7507136143606,262.73767000536066,262.0826400943606,261.0986181581878,262.0826400943606,261.4288348758295,9999.312100455,262.0826400943606
23,9999.414089042,262.0826400943606,9999.179006849,262.0826400943606,262.0826400943606,261.09861815818766,262.0826400943606,9999.967130366,261.7507136143606,262.73767000536066,262.0826400943606,261.0986181581878,262.0826400943606,261.4288348758294,9999.312100455,262.0826400943606
24,9999.312100455,262.0826400943606,9999.179006849,262.0826400943606,262.0826400943606,261.09861815818766,262.0826400943606,9999.414089042,261.0986181581878,262.73767000536066,262.0826400943606,261.09861815818766,262.0826400943606,261.1276511762348,9999.312100455,262.0826400943606
25,9999.312100455,262.0826400943606,9999.179006849,262.0826400943606,262.0826400943606,261.09861815818766,261.7507136143607,9999.312100455,261.0986181581878,262.73767000536066,262.0826400943606,261.09861815818766,262.0826400943606,261.1276511762348,9999.312100455,262.0826400943606
26,9999.312100455,262.0826400943606,9999.179006849,262.0826400943606,262.0826400943606,261.09861815818766,261.7507136143607,9999.312100455,261.0986181581878,262.73767000536054,262.0826400943606,261.09861815818766,262.0826400943606,261.1276511762348,9999.312100455,262.0826400943606
27,9999.312100455,262.0826400943606,9999.179006849,262.0826400943606,262.0826400943606,261.09861815818766,261.7507136143607,9999.312100455,261.0986181581878,262.73767000536054,262.0826400943606,261.09861815818766,262.0826400943606,261.1276511762348,9999.312100455,262.0826400943606
28,9999.312100455,262.0826400943606,9999.179006849,262.0826400943606,262.0826400943606,261.09861815818766,261.7507136143607,9999.312100455,261.0986181581878,262.73620277794714,262.0826400943606,261.09861815818766,262.0826400943605,261.1276511762348,9999.312100455,262.0826400943606
29,9999.312100455,262.0826400943606,9999.179006849,262.0826400943606,262.0826400943606,261.09861815818766,261.7507136143607,9999.312100455,261.0986181581878,262.73620277794714,262.0826400943606,261.09861815818766,262.0826400943605,261.1276511762348,9999.312100455,262.0826400943606
30,9999.312100455,261.0986181581878,9999.179006849,261.57825323589697,262.0826400943606,261.09861815818766,261.7507136143607,9999.312100455,261.0986181581878,262.0826400943606,262.0826400943606,261.09861815818766,262.0826400943605,261.0986181581878,9999.312100455,262.0826400943606
31,9999.312100455,261.0986181581878,9999.179006849,261.4279617699472,262.0826400943606,261.09861815818766,261.7507136143607,9999.312100455,261.0986181581878,262.0826400943606,262.0826400943606,261.09861815818766,262.0826400943605,261.0986181581878,9999.179006849,262.0826400943606
32,9999.312100455,261.0986181581878,9999.179006849,261.0986181581878,262.0826400943606,261.09861815818766,261.7507136143607,9999.312100455,261.09861815818766,262.0826400943606,262.0826400943606,261.09861815818766,262.0826400943605,261.0986181581878,9998.325144064,262.0826400943606
33,9999.312100455,261.0986181581878,9999.179006849,261.0986181581878,262.0826400943606,261.09861815818766,261.7507136143607,9999.312100455,261.09861815818766,262.0826400943606,262.0826400943606,261.09861815818766,261.7507136143607,261.0986181581878,9998.325144064,262.0826400943606
34,9999.312100455,261.0986181581878,9999.179006849,261.0986181581878,262.0826400943606,261.09861815818766,261.7507136143606,9999.312100455,261.09861815818766,262.0826400943606,262.0826400943606,261.09861815818766,261.7507136143607,261.0986181581878,9998.325144064,262.0826400943606
35,9999.312100455,261.0986181581878,9999.179006849,261.09861815818766,262.0826400943606,261.09861815818766,261.7507136143606,9999.312100455,261.09861815818766,262.0826400943606,262.0826400943606,261.09861815818766,261.7507136143606,261.0986181581878,9998.325144064,262.0826400943606
36,9999.312100455,261.0986181581878,9999.179006849,261.09861815818766,262.0826400943606,261.09861815818766,261.7507136143606,9999.312100455,261.09861815818766,262.0826400943606,262.0826400943606,261.09861815818766,261.7507136143606,261.09861815818766,9998.325144064,262.0826400943606
37,9999.312100455,261.0986181581878,9999.179006849,261.09861815818766,262.0826400943606,261.09861815818766,261.7507136143606,9999.312100455,261.09861815818766,262.0826400943606,262.0826400943606,261.09861815818766,261.4279617699472,261.09861815818766,262.73913723277406,262.0826400943606
38,9999.312100455,261.0986181581878,9999.179006849,261.09861815818766,262.0826400943606,261.09861815818766,261.74973546275163,9999.312100455,261.09861815818766,262.0826400943606,262.0826400943606,261.09861815818766,261.0986181581878,261.09861815818766,262.73913723277406,262.0826400943606
39,9999.312100455,261.0986181581878,9999.179006849,261.09861815818766,262.0826400943606,261.09861815818766,261.74973546275163,9999.312100455,261.09861815818766,262.0826400943606,262.0826400943606,261.09861815818766,261.0986181581878,261.09861815818766,262.73913723277406,262.0826400943606
40,9999.312100455,261.09861815818766,9999.179006849,261.09861815818766,262.0826400943606,261.09861815818766,261.74973546275163,9999.312100455,261.09861815818766,262.0826400943606,262.0826400943606,261.09861815818766,261.0986181581878,261.09861815818766,262.73767000536066,262.0826400943606
41,9999.312100455,261.09861815818766,9999.179006849,261.09861815818766,262.0826400943606,261.09861815818766,261.1276511762348,9999.312100455,261.09861815818766,262.0826400943606,262.0826400943606,261.09861815818766,261.0986181581878,261.09861815818766,262.73767000536066,262.0826400943606
42,9999.312100455,261.09861815818766,9999.179006849,261.09861815818766,262.0826400943606,261.09861815818766,261.0986181581878,9999.312100455,261.09861815818766,262.0826400943606,262.0826400943606,261.09861815818766,261.09861815818766,261.09861815818766,262.73767000536066,262.0826400943606
43,9999.312100455,261.09861815818766,262.0826400943606,261.09861815818766,262.0826400943606,261.09861815818766,261.0986181581878,9999.312100455,261.09861815818766,262.0826400943606,262.0826400943606,261.09861815818766,261.09861815818766,261.09861815818766,262.73767000536066,262.0826400943606
44,9999.312100455,261.09861815818766,262.0826400943606,261.09861815818766,262.0826400943606,261.09861815818766,261.0986181581878,9999.312100455,261.09861815818766,262.0826400943606,261.75218084177413,261.09861815818766,261.09861815818766,261.09861815818766,262.73767000536066,262.0826400943606
45,9999.312100455,261.09861815818766,262.0826400943606,261.09861815818766,262.0826400943606,261.09861815818766,261.0986181581878,9999.312100455,261.09861815818766,262.0826400943606,261.75218084177413,261.09861815818766,261.09861815818766,261.09861815818766,262.73767000536066,262.0826400943606
