,Dakar-0,Dakar-1,Dakar-2,Dakar-3,Dakar-4,Dakar-5,Dakar-6,Dakar-7,Dakar-8,Dakar-9,Dakar-10,Dakar-11,Dakar-12,Dakar-13,Dakar-14,Dakar-15
0,9999.945865299,9999.945865299,9999.945865299,9999.945865299,9999.789442923,9999.945865299,9999.945865299,9999.945865299,9999.945865299,9999.945865299,9999.945865299,9999.945865299,9999.945865299,9999.468223743,9999.945865299,9999.945865299
1,9999.945865299,9999.945865299,9999.945865299,9999.945865299,9999.789442923,9999.442502283,9999.945865299,9999.945865299,9999.945865299,9999.442502283,9999.945865299,9999.598924659,9999.945865299,9999.442502283,9999.945865299,9999.945865299
2,9999.598924659,9999.945865299,9999.442502283,9999.945865299,9999.442502283,9999.435354109,9999.598924659,9999.789442923,9999.815164383,9999.442502283,9999.945865299,9999.468223743,9999.945865299,9999.442502283,9999.815164383,9999.945865299
3,9999.442502283,9999.945865299,9999.442502283,9999.468223743,9999.442502283,260.5668419011878,9999.468223743,9999.598924659,9999.789442923,9999.442502283,9999.789442923,9999.468223743,9999.789442923,9999.442502283,9999.442502283,9999.945865299
4,9999.435354109,9999.789442923,9999.442502283,9999.435354109,9999.442502283,260.5668419011878,9999.468223743,9999.468223743,9999.789442923,9999.442502283,9999.442502283,9999.442502283,9999.598924659,9999.435354109,9999.442502283,9999.789442923
5,9999.435354109,9999.789442923,9999.442502283,9999.435354109,9999.442502283,260.5668419011877,9999.442502283,9999.442502283,9999.789442923,9999.442502283,9999.442502283,9999.442502283,9999.442502283,261.5508638373607,9999.442502283,9999.468223743
6,9999.435354109,9999.598924659,9999.435354109,9999.435354109,9999.435354109,260.5668419011877,9999.442502283,9999.442502283,9999.468223743,9999.435354109,9999.442502283,9999.435354109,9999.442502283,261.5508638373607,9999.442502283,9999.442502283
7,9999.435354109,9999.598924659,9998.780324198,262.20589374836067,9999.435354109,260.5668419011877,9999.442502283,9999.442502283,9999.442502283,9999.435354109,9999.442502283,261.5503747615561,262.2058937483605,261.5508638373607,9999.435354109,9999.442502283
8,9999.435354109,9999.468223743,9998.780324198,261.5508638373607,9999.435354109,260.5668419011877,9999.435354109,9999.442502283,9999.435354109,9999.435354109,9999.442502283,261.3759262899472,261.5508638373607,261.5508638373607,9999.435354109,9999.435354109
9,9999.435354109,9999.468223743,9998.780324198,261.5508638373607,9999.435354109,260.5668419011877,261.5508638373607,9999.442502283,261.5508638373607,9999.435354109,9999.435354109,261.3759262899472,261.5508638373607,261.5508638373607,9999.435354109,9999.435354109
10,9999.435354109,9999.442502283,9998.780324198,261.5508638373607,262.2058937483607,260.5668419011877,261.5508638373607,9999.442502283,261.5508638373607,9999.435354109,9998.780324198,261.3759262899472,261.5508638373607,261.5508638373607,9999.435354109,9998.780324198
11,9999.435354109,9999.442502283,9998.780324198,261.5508638373607,262.20589374836067,260.5668419011877,261.5508638373607,9999.442502283,261.5508638373607,9999.435354109,262.20589374836067,261.21893735736063,261.5508638373607,261.5508638373607,9999.435354109,262.20589374836067
12,9999.435354109,9999.435354109,9998.780324198,261.5508638373607,262.20589374836067,260.5668419011877,261.5508638373607,9999.442502283,261.5508638373607,9999.435354109,262.20589374836067,261.21893735736063,261.5508638373607,261.2189373573606,9999.435354109,262.20589374836067
13,9999.435354109,262.20589374836067,9998.780324198,261.5508638373607,262.20589374836067,260.5668419011877,261.5508638373607,9999.442502283,261.5508638373607,9998.780324198,261.5508638373607,261.2189373573606,261.5508638373607,261.11876279447046,9999.435354109,262.20589374836067
14,9999.435354109,262.20589374836067,9998.780324198,261.5508638373607,262.20589374836067,260.5668419011877,261.5508638373607,9999.442502283,261.5508638373607,9998.780324198,261.5508638373607,260.8976454604882,261.5508638373607,261.11876279447046,9999.435354109,262.20589374836067
15,9999.435354109,261.5508638373607,9998.780324198,261.5508638373607,262.20589374836067,260.5668419011877,261.5508638373607,9999.442502283,261.5508638373607,9998.780324198,261.5508638373607,260.8976454604882,261.5508638373607,261.11876279447046,9999.435354109,262.20589374836067
