,MTKK-0,MTKK-1,MTKK-2,MTKK-3,MTKK-4,MTKK-5,MTKK-6,MTKK-7,MTKK-8,MTKK-9,MTKK-10,MTKK-11,MTKK-12,MTKK-13,MTKK-14,MTKK-15
2030-01-01 00:00:00,260.1051568657142,260.1051568657142,260.1146160186459,260.1051568657142,260.10376171270536,260.1146160186459,260.1051568657142,260.10376171270536,260.10376171270536,260.1051568657142,260.1051568657142,260.1051568657142,260.1051568657142,260.10376171270536,260.10376171270536,260.1146160186459
2030-01-01 01:00:00,260.1051568657142,260.1051568657142,260.1051568657142,260.1051568657142,260.10376171270536,260.10470734284667,260.1051568657142,124.0227806571798,260.10376171270536,260.1051568657142,260.1051568657142,260.1051568657142,260.1051568657142,260.10376171270536,260.10376171270536,260.1051568657142
2030-01-01 02:00:00,260.1051568657142,260.1051568657142,260.1051568657142,260.1051568657142,260.10376171270536,260.10470734284667,260.1051568657142,124.0227806571798,260.10376171270536,260.1051568657142,260.1051568657142,260.1051568657142,260.1051568657142,260.10376171270536,260.10376171270536,260.1051568657142
2030-01-01 03:00:00,260.1051568657142,260.1051568657142,260.1051568657142,260.1051568657142,260.10376171270536,260.10470734284667,260.1051568657142,124.0227806571798,260.10376171270536,124.0227806571798,260.1051568657142,260.1051568657142,124.0227806571798,124.0227806571798,260.10376171270536,260.1051568657142
2030-01-01 04:00:00,260.1051568657142,260.1051568657142,260.1051568657142,260.1051568657142,260.10376171270536,260.10470734284667,124.0227806571798,124.0186046571798,260.10376171270536,124.0186046571798,260.1051568657142,260.1051568657142,124.0227806571798,124.0186046571798,260.10376171270536,260.1051568657142
2030-01-01 05:00:00,260.1051568657142,260.1051568657142,260.1051568657142,260.1051568657142,260.10376171270536,260.10470734284667,124.0227806571798,124.0186046571798,260.10376171270536,124.0186046571798,260.1051568657142,260.1051568657142,124.0227806571798,124.0186046571798,260.10376171270536,260.1051568657142
2030-01-01 06:00:00,260.1051568657142,260.1051568657142,260.1051568657142,260.1051568657142,260.10376171270536,260.10470734284667,124.0227806571798,124.0227806571798,260.10376171270536,260.1051568657142,260.1051568657142,260.1051568657142,124.0186046571798,124.0227806571798,260.10376171270536,260.1051568657142
2030-01-01 07:00:00,260.1051568657142,260.1051568657142,260.1051568657142,260.1051568657142,260.10376171270536,124.0227806571798,124.0227806571798,124.0311326571798,260.10376171270536,260.1051568657142,260.1051568657142,260.1051568657142,124.0269566571798,124.0227806571798,260.10376171270536,260.1051568657142
2030-01-01 08:00:00,260.1051568657142,260.1051568657142,260.1051568657142,260.1051568657142,260.10376171270536,124.0227806571798,124.0227806571798,124.0227806571798,260.10376171270536,260.1051568657142,260.1051568657142,260.1051568657142,124.0227806571798,124.0311326571798,260.10376171270536,260.1051568657142
2030-01-01 09:00:00,260.1051568657142,260.1051568657142,260.1051568657142,260.1051568657142,260.10376171270536,124.0227806571798,124.0227806571798,124.0227806571798,260.10376171270536,260.1051568657142,260.1051568657142,260.1051568657142,124.0227806571798,124.0227806571798,260.10376171270536,260.1051568657142
2030-01-01 10:00:00,260.1051568657142,260.1051568657142,260.1051568657142,124.0227806571798,260.10376171270536,124.0227806571798,88.42145380816235,88.25754010354697,124.0227806571798,260.1051568657142,260.1051568657142,260.1051568657142,88.25754010354697,88.25754010354697,124.0227806571798,124.0227806571798
2030-01-01 11:00:00,124.0227806571798,124.0227806571798,124.0227806571798,124.0227806571798,124.0227806571798,123.6758400171798,88.25754010354697,88.25754010354697,123.6758400171798,124.0227806571798,124.0227806571798,124.0227806571798,88.07451316816234,88.24292410354698,124.0227806571798,124.0227806571798
2030-01-01 12:00:00,124.0227806571798,124.0227806571798,124.0227806571798,123.6716640171798,124.0227806571798,88.25754010354697,88.24292410354698,88.06945378354696,88.24292410354698,124.0227806571798,124.0227806571798,124.0227806571798,88.06945378354696,88.24292410354698,123.6716640171798,124.0186046571798
2030-01-01 13:00:00,124.0186046571798,124.0186046571798,123.6716640171798,123.6758400171798,124.0186046571798,88.24292410354698,88.24292410354698,88.07451316816234,88.24292410354698,124.0186046571798,124.0186046571798,123.6716640171798,88.06945378354696,88.25754010354697,123.6716640171798,124.0227806571798
2030-01-01 14:00:00,124.0186046571798,124.0186046571798,123.6716640171798,123.6716640171798,124.0186046571798,88.24292410354698,88.25754010354697,88.06945378354696,123.6758400171798,124.0186046571798,124.0186046571798,123.6716640171798,88.07451316816234,88.25754010354697,123.6758400171798,124.0186046571798
2030-01-01 15:00:00,124.0227806571798,124.0227806571798,124.0227806571798,124.0227806571798,124.0227806571798,88.25754010354697,88.25754010354697,88.25754010354697,124.0227806571798,260.1051568657142,124.0227806571798,124.0227806571798,88.25754010354697,123.6758400171798,124.0227806571798,124.0227806571798
2030-01-01 16:00:00,124.0227806571798,124.0227806571798,124.0227806571798,260.1051568657142,260.10376171270536,124.0227806571798,124.0227806571798,123.6758400171798,124.0227806571798,260.1051568657142,260.1051568657142,124.0227806571798,88.25754010354697,124.0227806571798,260.10376171270536,260.1051568657142
