,ZS-0,ZS-1,ZS-2,ZS-3,ZS-4,ZS-5,ZS-6,ZS-7,ZS-8,ZS-9,ZS-10,ZS-11,ZS-12,ZS-13,ZS-14,ZS-15
2030-01-01 00:00:00,260.95901965071414,260.95901965071414,260.9684788036459,260.95901965071414,260.9576244977053,260.9684788036459,260.95901965071414,260.9576244977053,260.9576244977053,260.95901965071414,260.95901965071414,260.95901965071414,260.95901965071414,260.9576244977053,260.9576244977053,260.9684788036459
2030-01-01 01:00:00,260.95901965071414,260.95901965071414,260.95901965071414,260.95901965071414,260.9576244977053,260.95857012784666,260.95901965071414,123.8896870511798,260.9576244977053,259.9720632597142,260.95901965071414,260.95901965071414,259.9720632597142,260.9576244977053,260.9576244977053,260.95901965071414
2030-01-01 02:00:00,260.95901965071414,260.95901965071414,260.95901965071414,259.9720632597142,260.9576244977053,260.95857012784666,260.6243694426915,123.8896870511798,260.9576244977053,259.9720632597142,260.95901965071414,260.95901965071414,259.9720632597142,259.9706681067054,260.9576244977053,260.95901965071414
2030-01-01 03:00:00,260.95901965071414,260.95901965071414,260.95901965071414,259.9720632597142,260.9576244977053,260.6243694426915,259.9720632597142,123.8896870511798,259.9706681067054,123.8896870511798,259.9720632597142,260.5624402189472,123.8896870511798,123.8896870511798,260.9576244977053,260.95901965071414
2030-01-01 04:00:00,260.95901965071414,260.95901965071414,260.95901965071414,259.9720632597142,260.9576244977053,259.9716137368467,123.8896870511798,123.8855110511798,259.9706681067054,123.8855110511798,259.9720632597142,259.9720632597142,123.8896870511798,123.8855110511798,260.5624402189472,260.95901965071414
2030-01-01 05:00:00,260.95901965071414,260.95901965071414,260.95901965071414,259.9720632597142,260.9576244977053,259.9716137368467,123.8896870511798,123.8855110511798,259.9706681067054,123.8855110511798,260.6243694426915,260.6243694426915,123.8896870511798,123.8855110511798,259.9706681067054,260.95901965071414
2030-01-01 06:00:00,260.95901965071414,260.95901965071414,260.95901965071414,260.95901965071414,260.9576244977053,259.9716137368467,123.8896870511798,123.8896870511798,260.6243694426915,259.9720632597142,260.95901965071414,260.95901965071414,123.8855110511798,123.8896870511798,260.6243694426915,260.95901965071414
2030-01-01 07:00:00,260.95901965071414,260.95901965071414,260.95901965071414,260.95901965071414,260.9576244977053,123.8896870511798,123.8896870511798,123.8980390511798,260.9576244977053,260.6243694426915,260.95901965071414,260.95901965071414,123.8938630511798,123.8896870511798,260.9576244977053,260.95901965071414
2030-01-01 08:00:00,260.95901965071414,260.95901965071414,260.95901965071414,260.95901965071414,260.9576244977053,123.8896870511798,123.8896870511798,123.8896870511798,260.6243694426915,260.95901965071414,260.95901965071414,260.95901965071414,123.8896870511798,123.8980390511798,260.9576244977053,260.95901965071414
2030-01-01 09:00:00,260.95901965071414,260.95901965071414,260.95901965071414,259.9720632597142,260.9576244977053,123.8896870511798,123.8896870511798,123.8896870511798,259.9706681067054,259.9720632597142,260.95901965071414,260.95901965071414,123.8896870511798,123.8896870511798,259.9706681067054,260.95901965071414
2030-01-01 10:00:00,259.9720632597142,259.9720632597142,260.6243694426915,123.8896870511798,259.9706681067054,123.8896870511798,88.28836020216235,88.12444649754697,123.8896870511798,259.9720632597142,259.9720632597142,259.9720632597142,88.12444649754697,88.12444649754697,123.8896870511798,123.8896870511798
2030-01-01 11:00:00,123.8896870511798,123.8896870511798,123.8896870511798,123.8896870511798,123.8896870511798,123.5427464111798,88.12444649754697,88.12444649754697,123.5427464111798,123.8896870511798,123.8896870511798,123.8896870511798,87.94141956216234,88.10983049754697,123.8896870511798,123.8896870511798
2030-01-01 12:00:00,123.8896870511798,123.8896870511798,123.8896870511798,123.5385704111798,123.8896870511798,88.12444649754697,88.10983049754697,87.93636017754694,88.10983049754697,123.8896870511798,123.8896870511798,123.8896870511798,87.93636017754694,88.10983049754697,123.5385704111798,123.8855110511798
2030-01-01 13:00:00,123.8855110511798,123.8855110511798,123.5385704111798,123.5427464111798,123.8855110511798,88.10983049754697,88.10983049754697,87.94141956216234,88.10983049754697,123.8855110511798,123.8855110511798,123.5385704111798,87.93636017754694,88.12444649754697,123.5385704111798,123.8896870511798
2030-01-01 14:00:00,123.8855110511798,123.8855110511798,123.5385704111798,123.5385704111798,123.8855110511798,88.10983049754697,88.12444649754697,87.93636017754694,123.5427464111798,123.8855110511798,123.8855110511798,123.5385704111798,87.94141956216234,88.12444649754697,123.5427464111798,123.8855110511798
2030-01-01 15:00:00,123.8896870511798,123.8896870511798,123.8896870511798,123.8896870511798,123.8896870511798,88.12444649754697,88.12444649754697,88.12444649754697,123.8896870511798,259.9720632597142,123.8896870511798,123.8896870511798,88.12444649754697,123.5427464111798,123.8896870511798,123.8896870511798
2030-01-01 16:00:00,123.8896870511798,123.8896870511798,123.8896870511798,259.9720632597142,259.9706681067054,123.8896870511798,123.8896870511798,123.5427464111798,123.8896870511798,260.95901965071414,260.95901965071414,123.8896870511798,88.12444649754697,123.8896870511798,259.9706681067054,259.9720632597142
2030-01-01 17:00:00,123.8896870511798,259.9720632597142,259.9720632597142,260.95901965071414,260.9576244977053,123.8896870511798,123.8896870511798,123.8896870511798,259.9706681067054,260.95901965071414,260.95901965071414,123.8896870511798,123.8896870511798,260.9576244977053,260.9576244977053,260.95901965071414
2030-01-01 18:00:00,260.95901965071414,260.95901965071414,260.95901965071414,260.95901965071414,260.9576244977053,259.9716137368467,260.95901965071414,260.6243694426915,260.9576244977053,260.95901965071414,260.95901965071414,260.95901965071414,123.8896870511798,260.9576244977053,260.9576244977053,260.95901965071414
