,Thies-0,Thies-1,Thies-2,Thies-3,Thies-4,Thies-5,Thies-6,Thies-7,Thies-8,Thies-9,Thies-10,Thies-11,Thies-12,Thies-13,Thies-14,Thies-15
2030-01-01 00:00:00,260.5773032326459,260.5773032326459,260.5773032326459,260.5678440797142,260.5773032326459,260.5773032326459,260.5678440797142,259.9114190157053,260.56644892670533,260.5678440797142,260.5678440797142,260.5678440797142,259.91281416871414,260.56644892670533,260.5773032326459,260.5773032326459
2030-01-01 01:00:00,260.5678440797142,260.5678440797142,260.5678440797142,259.91281416871414,260.56987172579653,260.56739455684664,259.91281416871414,122.8434815691798,260.56644892670533,258.9258577777142,260.5678440797142,260.5678440797142,258.9258577777142,259.9114190157053,260.56644892670533,260.5678440797142
2030-01-01 02:00:00,260.5678440797142,260.5678440797142,260.5678440797142,258.9258577777142,260.56644892670533,259.91236464584665,259.5781639606915,122.8434815691798,259.9114190157053,258.9258577777142,259.91281416871414,259.91281416871414,258.9258577777142,258.92446262470537,260.56644892670533,260.5678440797142
2030-01-01 03:00:00,259.91281416871414,260.5678440797142,260.5678440797142,258.9258577777142,260.56644892670533,259.5781639606915,258.9258577777142,122.8434815691798,258.92446262470537,122.8434815691798,258.9258577777142,259.5162347369472,122.8434815691798,122.8434815691798,260.56644892670533,260.5678440797142
2030-01-01 04:00:00,259.91281416871414,260.5678440797142,259.91281416871414,258.9258577777142,259.9114190157053,258.9254082548467,122.8434815691798,122.8393055691798,258.92446262470537,122.8393055691798,258.9258577777142,258.9258577777142,122.8434815691798,122.8393055691798,259.5162347369472,259.91281416871414
2030-01-01 05:00:00,259.91281416871414,260.5678440797142,259.91281416871414,258.9258577777142,259.9114190157053,258.9254082548467,122.8434815691798,122.8393055691798,258.92446262470537,122.8393055691798,259.5781639606915,259.5781639606915,122.8434815691798,122.8393055691798,258.92446262470537,259.91281416871414
2030-01-01 06:00:00,260.5678440797142,260.5678440797142,260.5678440797142,259.91281416871414,259.9114190157053,258.9254082548467,122.8434815691798,122.8434815691798,259.5781639606915,258.9258577777142,260.5678440797142,259.91281416871414,122.8393055691798,122.8434815691798,259.5781639606915,260.5678440797142
2030-01-01 07:00:00,259.91281416871414,260.5678440797142,260.5678440797142,259.91281416871414,260.56644892670533,122.8434815691798,122.8434815691798,122.8518335691798,259.9114190157053,259.5781639606915,260.5678440797142,259.91281416871414,122.8476575691798,122.8434815691798,259.9114190157053,260.5678440797142
2030-01-01 08:00:00,260.5678440797142,260.5678440797142,260.5678440797142,259.91281416871414,260.56644892670533,122.8434815691798,122.8434815691798,122.8434815691798,259.5781639606915,259.91281416871414,260.5678440797142,259.91281416871414,122.8434815691798,122.8518335691798,259.9114190157053,260.5678440797142
2030-01-01 09:00:00,260.5678440797142,260.5678440797142,259.91281416871414,258.9258577777142,259.9114190157053,122.8434815691798,122.8434815691798,122.8434815691798,258.92446262470537,258.9258577777142,260.5678440797142,259.91281416871414,122.8434815691798,122.8434815691798,258.92446262470537,259.91281416871414
2030-01-01 10:00:00,258.9258577777142,258.9258577777142,259.5781639606915,122.8434815691798,258.92446262470537,122.8434815691798,87.24215472016236,87.078241015547,122.8434815691798,258.9258577777142,258.9258577777142,258.9258577777142,87.078241015547,87.078241015547,122.8434815691798,122.8434815691798
2030-01-01 11:00:00,122.8434815691798,122.8434815691798,122.8434815691798,122.8434815691798,122.8434815691798,122.4965409291798,87.078241015547,87.078241015547,122.4965409291798,122.8434815691798,122.8434815691798,122.8434815691798,86.89521408016233,87.06362501554698,122.8434815691798,122.8434815691798
2030-01-01 12:00:00,122.8434815691798,122.8434815691798,122.8434815691798,122.4923649291798,122.8434815691798,87.078241015547,87.06362501554698,86.89015469554698,87.06362501554698,122.8434815691798,122.8434815691798,122.8434815691798,86.89015469554698,87.06362501554698,122.4923649291798,122.8393055691798
2030-01-01 13:00:00,122.8393055691798,122.8393055691798,122.4923649291798,122.4965409291798,122.8393055691798,87.06362501554698,87.06362501554698,86.89521408016233,87.06362501554698,122.8393055691798,122.8393055691798,122.4923649291798,86.89015469554698,87.078241015547,122.4923649291798,122.8434815691798
2030-01-01 14:00:00,122.8393055691798,122.8393055691798,122.4923649291798,122.4923649291798,122.8393055691798,87.06362501554698,87.078241015547,86.89015469554698,122.4965409291798,122.8393055691798,122.8393055691798,122.4923649291798,86.89521408016233,87.078241015547,122.4965409291798,122.8393055691798
2030-01-01 15:00:00,122.8434815691798,122.8434815691798,122.8434815691798,122.8434815691798,122.8434815691798,87.078241015547,87.078241015547,87.078241015547,122.8434815691798,258.9258577777142,122.8434815691798,122.8434815691798,87.078241015547,122.4965409291798,122.8434815691798,122.8434815691798
2030-01-01 16:00:00,122.8434815691798,122.8434815691798,122.8434815691798,258.9258577777142,258.92446262470537,122.8434815691798,122.8434815691798,122.4965409291798,122.8434815691798,260.5678440797142,259.91281416871414,122.8434815691798,87.078241015547,122.8434815691798,258.92446262470537,258.9258577777142
2030-01-01 17:00:00,122.8434815691798,258.9258577777142,258.9258577777142,259.91281416871414,259.9114190157053,122.8434815691798,122.8434815691798,122.8434815691798,258.92446262470537,260.5678440797142,260.5678440797142,122.8434815691798,122.8434815691798,259.9114190157053,259.9114190157053,259.91281416871414
2030-01-01 18:00:00,259.91281416871414,259.91281416871414,259.91281416871414,260.5678440797142,260.56644892670533,258.9254082548467,259.91281416871414,259.5781639606915,259.9114190157053,260.56987172579653,260.56987172579653,259.91281416871414,122.8434815691798,260.56644892670533,260.56644892670533,260.5678440797142
2030-01-01 19:00:00,260.56987172579653,260.56987172579653,260.56987172579653,260.7373777663607,260.5847347394952,260.56987172579653,260.56987172579653,260.56987172579653,260.7373777663607,260.74031222118765,260.7373777663607,260.56987172579653,260.5678440797142,260.74031222118765,260.7373777663607,260.7373777663607
2030-01-01 20:00:00,260.7403122211877,260.7373777663607,260.5847347394952,260.7403122211877,260.56987172579653,260.5847347394952,260.56987172579653,260.5847347394952,260.7403122211877,260.7373777663607,260.7403122211877,260.5847347394952,260.5678440797142,260.7373777663607,260.74031222118765,260.74031222118765
2030-01-01 21:00:00,260.7359105389472,260.7373777663607,260.5678440797142,260.56987172579653,260.56987172579653,260.56987172579653,260.7403122211877,260.56987172579653,260.56987172579653,260.7373777663607,260.7373777663607,260.56987172579653,260.5847347394952,260.56987172579653,260.7373777663607,260.7373777663607
2030-01-01 22:00:00,260.7359105389472,260.7403122211877,260.5718993718788,260.56987172579653,260.56987172579653,260.56739455684664,260.7373777663607,260.56987172579653,260.56987172579653,260.7373777663607,260.7373777663607,260.5678440797142,260.56987172579653,260.56987172579653,260.56987172579653,260.56987172579653
2030-01-01 23:00:00,260.74031222118765,260.7373777663607,260.56987172579653,260.56987172579653,260.56644892670533,260.56739455684664,260.56987172579653,260.56644892670533,260.56987172579653,260.56987172579653,260.7373777663607,260.5718993718789,260.5678440797142,260.56987172579653,260.56987172579653,260.56987172579653
2030-01-02 00:00:00,260.56987172579653,260.56987172579653,260.5678440797142,260.5678440797142,260.56644892670533,259.91236464584665,260.56987172579653,259.9114190157053,260.56644892670533,260.56987172579653,260.56987172579653,260.5678440797142,260.5678440797142,260.56644892670533,260.56644892670533,260.5678440797142
2030-01-02 01:00:00,260.56987172579653,260.56987172579653,259.91281416871414,260.5678440797142,259.9114190157053,258.9254082548467,260.5678440797142,258.92446262470537,259.5781639606915,260.5678440797142,260.56987172579653,260.5678440797142,259.91281416871414,259.9114190157053,259.9114190157053,259.91281416871414
2030-01-02 02:00:00,260.56987172579653,260.5678440797142,259.91281416871414,259.5781639606915,258.92446262470537,122.8434815691798,259.91281416871414,122.8434815691798,258.92446262470537,260.5678440797142,260.5678440797142,259.91281416871414,258.9258577777142,258.92446262470537,122.8434815691798,258.9258577777142
2030-01-02 03:00:00,260.5678440797142,260.5678440797142,258.9258577777142,258.9258577777142,258.92446262470537,122.8434815691798,259.91281416871414,122.8434815691798,258.92446262470537,259.91281416871414,260.5678440797142,258.9258577777142,258.9258577777142,258.92446262470537,122.8434815691798,258.9258577777142
2030-01-02 04:00:00,260.5678440797142,259.91281416871414,258.9258577777142,258.9258577777142,258.92446262470537,122.8393055691798,258.9258577777142,122.8393055691798,258.92446262470537,258.9258577777142,260.5678440797142,258.9258577777142,258.9258577777142,122.8393055691798,122.8393055691798,122.8393055691798
2030-01-02 05:00:00,260.5678440797142,259.91281416871414,122.8393055691798,258.9258577777142,258.92446262470537,122.8393055691798,258.9258577777142,122.8393055691798,258.92446262470537,258.9258577777142,260.5678440797142,122.8393055691798,258.9258577777142,122.8393055691798,122.8393055691798,122.8393055691798
2030-01-02 06:00:00,260.5678440797142,260.5678440797142,258.9258577777142,259.5781639606915,259.9114190157053,122.8518335691798,259.91281416871414,122.8434815691798,259.9114190157053,259.91281416871414,260.5678440797142,122.8393055691798,259.91281416871414,259.5781639606915,122.8434815691798,258.9258577777142
2030-01-02 07:00:00,259.91281416871414,260.5678440797142,259.7020224081801,259.7020224081801,260.56644892670533,122.8434815691798,260.5678440797142,122.8518335691798,260.56644892670533,259.91281416871414,260.5678440797142,122.8518335691798,259.91281416871414,259.9114190157053,122.8434815691798,258.9258577777142
2030-01-02 08:00:00,258.9258577777142,260.5678440797142,258.9258577777142,258.9258577777142,260.56644892670533,122.8434815691798,260.5678440797142,122.8434815691798,260.56644892670533,259.91281416871414,260.5678440797142,122.8434815691798,259.91281416871414,259.9114190157053,122.8518335691798,259.7020224081801
2030-01-02 09:00:00,122.8434815691798,258.9258577777142,258.9258577777142,122.8434815691798,259.9114190157053,87.24215472016236,259.5781639606915,122.8434815691798,259.9114190157053,258.9258577777142,260.5678440797142,122.8434815691798,259.5781639606915,258.92446262470537,122.8434815691798,258.9258577777142
2030-01-02 10:00:00,122.8434815691798,122.8434815691798,122.8434815691798,122.8434815691798,258.92446262470537,87.078241015547,122.8434815691798,122.4965409291798,122.8434815691798,258.9258577777142,258.9258577777142,122.8434815691798,122.8434815691798,122.8434815691798,122.8434815691798,122.8434815691798
2030-01-02 11:00:00,122.8434815691798,122.8434815691798,122.8434815691798,122.4923649291798,122.8434815691798,87.078241015547,122.8434815691798,87.078241015547,122.8434815691798,122.8434815691798,122.8434815691798,87.24215472016236,87.06362501554698,122.8434815691798,122.4965409291798,122.8434815691798
