,Dakar-0,Dakar-1,Dakar-2,Dakar-3,Dakar-4,Dakar-5,Dakar-6,Dakar-7,Dakar-8,Dakar-9,Dakar-10,Dakar-11,Dakar-12,Dakar-13,Dakar-14,Dakar-15
2030-01-01 00:00:00,260.4038329126459,260.4038329126459,260.4038329126459,260.39437375971414,260.4038329126459,260.4038329126459,260.39437375971414,259.73794869570537,260.3929786067053,260.39437375971414,260.39437375971414,260.39437375971414,259.7393438487142,260.3929786067053,260.4038329126459,260.4038329126459
2030-01-01 01:00:00,260.39437375971414,260.39437375971414,260.39437375971414,259.7393438487142,260.3964014057965,260.39392423684666,259.7393438487142,122.6700112491798,260.3929786067053,258.75238745771424,260.39437375971414,260.39437375971414,258.75238745771424,259.73794869570537,260.3929786067053,260.39437375971414
2030-01-01 02:00:00,260.39437375971414,260.39437375971414,260.39437375971414,258.75238745771424,260.3929786067053,259.7388943258467,259.4046936406915,122.6700112491798,259.73794869570537,258.75238745771424,259.7393438487142,259.7393438487142,258.75238745771424,258.75099230470533,260.3929786067053,260.39437375971414
2030-01-01 03:00:00,259.7393438487142,260.39437375971414,260.39437375971414,258.75238745771424,260.3929786067053,259.4046936406915,258.75238745771424,122.6700112491798,258.75099230470533,122.6700112491798,258.75238745771424,259.3427644169472,122.6700112491798,122.6700112491798,260.3929786067053,260.39437375971414
2030-01-01 04:00:00,259.7393438487142,260.39437375971414,259.7393438487142,258.75238745771424,259.73794869570537,258.7519379348467,122.6700112491798,122.6658352491798,258.75099230470533,122.6658352491798,258.75238745771424,258.75238745771424,122.6700112491798,122.6658352491798,259.3427644169472,259.7393438487142
2030-01-01 05:00:00,259.7393438487142,260.39437375971414,259.7393438487142,258.75238745771424,259.73794869570537,258.7519379348467,122.6700112491798,122.6658352491798,258.75099230470533,122.6658352491798,259.4046936406915,259.4046936406915,122.6700112491798,122.6658352491798,258.75099230470533,259.7393438487142
2030-01-01 06:00:00,260.39437375971414,260.39437375971414,260.39437375971414,259.7393438487142,259.73794869570537,258.7519379348467,122.6700112491798,122.6700112491798,259.4046936406915,258.75238745771424,260.39437375971414,259.7393438487142,122.6658352491798,122.6700112491798,259.4046936406915,260.39437375971414
2030-01-01 07:00:00,259.7393438487142,260.39437375971414,260.39437375971414,259.7393438487142,260.3929786067053,122.6700112491798,122.6700112491798,122.6783632491798,259.73794869570537,259.4046936406915,260.39437375971414,259.7393438487142,122.6741872491798,122.6700112491798,259.73794869570537,260.39437375971414
2030-01-01 08:00:00,260.39437375971414,260.39437375971414,260.39437375971414,259.7393438487142,260.3929786067053,122.6700112491798,122.6700112491798,122.6700112491798,259.4046936406915,259.7393438487142,260.39437375971414,259.7393438487142,122.6700112491798,122.6783632491798,259.73794869570537,260.39437375971414
2030-01-01 09:00:00,260.39437375971414,260.39437375971414,259.7393438487142,258.75238745771424,259.73794869570537,122.6700112491798,122.6700112491798,122.6700112491798,258.75099230470533,258.75238745771424,260.39437375971414,259.7393438487142,122.6700112491798,122.6700112491798,258.75099230470533,259.7393438487142
2030-01-01 10:00:00,258.75238745771424,258.75238745771424,259.4046936406915,122.6700112491798,258.75099230470533,122.6700112491798,87.06868440016235,87.25171133554697,122.6700112491798,258.75238745771424,258.75238745771424,258.75238745771424,87.06868440016235,87.25171133554697,122.6700112491798,122.6700112491798
2030-01-01 11:00:00,122.6700112491798,122.6700112491798,122.6700112491798,122.6700112491798,122.6700112491798,122.6700112491798,87.06362501554698,87.25171133554697,122.6700112491798,122.6700112491798,122.6700112491798,122.6700112491798,87.06868440016235,87.23709533554698,122.6700112491798,122.6700112491798
2030-01-01 12:00:00,122.6700112491798,122.6700112491798,122.6700112491798,122.6658352491798,122.6700112491798,87.25171133554697,87.06362501554698,87.06362501554698,87.23709533554698,122.6700112491798,122.6700112491798,122.6700112491798,87.06362501554698,87.23709533554698,122.6658352491798,122.6658352491798
2030-01-01 13:00:00,122.6658352491798,122.6658352491798,122.6658352491798,122.6700112491798,122.6658352491798,87.23709533554698,87.06868440016235,87.06868440016235,87.23709533554698,122.6658352491798,122.6658352491798,122.6658352491798,87.06362501554698,87.25171133554697,122.6658352491798,122.6700112491798
2030-01-01 14:00:00,122.6658352491798,122.6658352491798,122.6658352491798,122.6658352491798,122.6658352491798,87.23709533554698,87.06868440016235,87.06362501554698,122.6700112491798,122.6658352491798,122.6658352491798,122.6658352491798,87.06868440016235,87.25171133554697,122.6700112491798,122.6658352491798
2030-01-01 15:00:00,122.6700112491798,122.6700112491798,122.6700112491798,122.6700112491798,122.6700112491798,87.25171133554697,87.06868440016235,87.25171133554697,122.6700112491798,258.75238745771424,122.6700112491798,122.6700112491798,87.06868440016235,122.6700112491798,122.6700112491798,122.6700112491798
2030-01-01 16:00:00,122.6700112491798,122.6700112491798,122.6700112491798,258.75238745771424,258.75099230470533,122.6700112491798,122.6700112491798,122.6700112491798,122.6700112491798,260.39437375971414,259.7393438487142,122.6700112491798,87.25171133554697,122.6700112491798,258.75099230470533,258.75238745771424
2030-01-01 17:00:00,122.6700112491798,258.75238745771424,258.75238745771424,259.7393438487142,259.73794869570537,122.6700112491798,122.6700112491798,122.6700112491798,258.75099230470533,260.39437375971414,260.39437375971414,122.6700112491798,122.6700112491798,259.73794869570537,259.73794869570537,259.7393438487142
2030-01-01 18:00:00,259.7393438487142,259.7393438487142,259.7393438487142,260.39437375971414,260.3929786067053,258.7519379348467,259.7393438487142,259.4046936406915,259.73794869570537,260.3964014057965,260.3964014057965,259.7393438487142,122.6700112491798,260.3929786067053,260.3929786067053,260.39437375971414
2030-01-01 19:00:00,260.3964014057965,260.3964014057965,260.3964014057965,260.5639074463607,260.4112644194952,260.3964014057965,260.3964014057965,260.3964014057965,260.5639074463607,260.5668419011877,260.5639074463607,260.3964014057965,260.39437375971414,260.5668419011877,260.5639074463607,260.5639074463607
2030-01-01 20:00:00,260.5668419011877,260.5639074463607,260.4112644194952,260.5668419011877,260.3964014057965,260.41126441949524,260.3964014057965,260.4112644194952,260.5668419011877,260.5639074463607,260.5668419011877,260.41126441949524,260.39437375971414,260.5639074463607,260.5668419011877,260.5668419011877
2030-01-01 21:00:00,260.5624402189472,260.5639074463607,260.39437375971414,260.3964014057965,260.3964014057965,260.3964014057965,260.5668419011877,260.3964014057965,260.3964014057965,260.5639074463607,260.5639074463607,260.3964014057965,260.41126441949524,260.3964014057965,260.5639074463607,260.5639074463607
2030-01-01 22:00:00,260.5624402189472,260.5668419011877,260.39842905187885,260.3964014057965,260.3964014057965,260.39392423684666,260.5639074463607,260.3964014057965,260.3964014057965,260.5639074463607,260.5639074463607,260.39437375971414,260.3964014057965,260.3964014057965,260.3964014057965,260.3964014057965
