,LS-0,LS-1,LS-2,LS-3,LS-4,LS-5,LS-6,LS-7,LS-8,LS-9,LS-10,LS-11,LS-12,LS-13,LS-14,LS-15
2030-01-01 00:00:00,260.9613306296459,260.9613306296459,260.9613306296459,260.95187147671413,260.9613306296459,260.9613306296459,260.95187147671413,260.2954464127053,260.95047632370535,260.95187147671413,260.95187147671413,260.95187147671413,260.2968415657142,260.95047632370535,260.9613306296459,260.9613306296459
2030-01-01 01:00:00,260.95187147671413,260.95187147671413,260.95187147671413,260.2968415657142,260.95389912279654,260.95142195384665,260.2968415657142,123.2275089661798,260.95047632370535,259.3098851747142,260.95187147671413,260.95187147671413,259.3098851747142,260.2954464127053,260.95047632370535,260.95187147671413
2030-01-01 02:00:00,260.95187147671413,260.95187147671413,260.95187147671413,259.3098851747142,260.95047632370535,260.29639204284666,259.9621913576915,123.2275089661798,260.2954464127053,259.3098851747142,260.2968415657142,260.2968415657142,259.3098851747142,259.3084900217054,260.95047632370535,260.95187147671413
2030-01-01 03:00:00,260.2968415657142,260.95187147671413,260.95187147671413,259.3098851747142,260.95047632370535,259.9621913576915,259.3098851747142,123.2275089661798,259.3084900217054,123.2275089661798,259.3098851747142,259.9002621339472,123.2275089661798,123.2275089661798,260.95047632370535,260.95187147671413
2030-01-01 04:00:00,260.2968415657142,260.95187147671413,260.2968415657142,259.3098851747142,260.2954464127053,259.3094356518467,123.2275089661798,123.2233329661798,259.3084900217054,123.2233329661798,259.3098851747142,259.3098851747142,123.2275089661798,123.2233329661798,259.9002621339472,260.2968415657142
2030-01-01 05:00:00,260.2968415657142,260.95187147671413,260.2968415657142,259.3098851747142,260.2954464127053,259.3094356518467,123.2275089661798,123.2233329661798,259.3084900217054,123.2233329661798,259.9621913576915,259.9621913576915,123.2275089661798,123.2233329661798,259.3084900217054,260.2968415657142
2030-01-01 06:00:00,260.95187147671413,260.95187147671413,260.95187147671413,260.2968415657142,260.2954464127053,259.3094356518467,123.2275089661798,123.2275089661798,259.9621913576915,259.3098851747142,260.95187147671413,260.2968415657142,123.2233329661798,123.2275089661798,259.9621913576915,260.95187147671413
2030-01-01 07:00:00,260.2968415657142,260.95187147671413,260.95187147671413,260.2968415657142,260.95047632370535,123.2275089661798,123.2275089661798,123.2358609661798,260.2954464127053,259.9621913576915,260.95187147671413,260.2968415657142,123.2316849661798,123.2275089661798,260.2954464127053,260.95187147671413
2030-01-01 08:00:00,260.95187147671413,260.95187147671413,260.95187147671413,260.2968415657142,260.95047632370535,123.2275089661798,123.2275089661798,123.2275089661798,259.9621913576915,260.2968415657142,260.95187147671413,260.2968415657142,123.2275089661798,123.2358609661798,260.2954464127053,260.95187147671413
2030-01-01 09:00:00,260.95187147671413,260.95187147671413,260.2968415657142,259.3098851747142,260.2954464127053,123.2275089661798,123.2275089661798,123.2275089661798,259.3084900217054,259.3098851747142,260.95187147671413,260.2968415657142,123.2275089661798,123.2275089661798,259.3084900217054,260.2968415657142
2030-01-01 10:00:00,259.3098851747142,259.3098851747142,259.9621913576915,123.2275089661798,259.3084900217054,123.2275089661798,87.62618211716237,87.46226841254698,123.2275089661798,259.3098851747142,259.3098851747142,259.3098851747142,87.46226841254698,87.46226841254698,123.2275089661798,123.2275089661798
2030-01-01 11:00:00,123.2275089661798,123.2275089661798,123.2275089661798,123.2275089661798,123.2275089661798,122.8805683261798,87.46226841254698,87.46226841254698,122.8805683261798,123.2275089661798,123.2275089661798,123.2275089661798,87.27924147716233,87.44765241254697,123.2275089661798,123.2275089661798
2030-01-01 12:00:00,123.2275089661798,123.2275089661798,123.2275089661798,122.8763923261798,123.2275089661798,87.46226841254698,87.44765241254697,87.27418209254697,87.44765241254697,123.2275089661798,123.2275089661798,123.2275089661798,87.27418209254697,87.44765241254697,122.8763923261798,123.2233329661798
2030-01-01 13:00:00,123.2233329661798,123.2233329661798,122.8763923261798,122.8805683261798,123.2233329661798,87.44765241254697,87.44765241254697,87.27924147716233,87.44765241254697,123.2233329661798,123.2233329661798,122.8763923261798,87.27418209254697,87.46226841254698,122.8763923261798,123.2275089661798
2030-01-01 14:00:00,123.2233329661798,123.2233329661798,122.8763923261798,122.8763923261798,123.2233329661798,87.44765241254697,87.46226841254698,87.27418209254697,122.8805683261798,123.2233329661798,123.2233329661798,122.8763923261798,87.27924147716233,87.46226841254698,122.8805683261798,123.2233329661798
2030-01-01 15:00:00,123.2275089661798,123.2275089661798,123.2275089661798,123.2275089661798,123.2275089661798,87.46226841254698,87.46226841254698,87.46226841254698,123.2275089661798,259.3098851747142,123.2275089661798,123.2275089661798,87.46226841254698,122.8805683261798,123.2275089661798,123.2275089661798
2030-01-01 16:00:00,123.2275089661798,123.2275089661798,123.2275089661798,259.3098851747142,259.3084900217054,123.2275089661798,123.2275089661798,122.8805683261798,123.2275089661798,260.95187147671413,260.2968415657142,123.2275089661798,87.46226841254698,123.2275089661798,259.3084900217054,259.3098851747142
2030-01-01 17:00:00,123.2275089661798,259.3098851747142,259.3098851747142,260.2968415657142,260.2954464127053,123.2275089661798,123.2275089661798,123.2275089661798,259.3084900217054,260.95187147671413,260.95187147671413,123.2275089661798,123.2275089661798,260.2954464127053,260.2954464127053,260.2968415657142
2030-01-01 18:00:00,260.2968415657142,260.2968415657142,260.2968415657142,260.95187147671413,260.95047632370535,259.3094356518467,260.2968415657142,259.9621913576915,260.2954464127053,260.95389912279654,260.95389912279654,260.2968415657142,123.2275089661798,260.95047632370535,260.95047632370535,260.95187147671413
2030-01-01 19:00:00,260.95389912279654,260.95389912279654,260.95389912279654,261.1214051633607,260.9687621364952,260.95389912279654,260.95389912279654,260.95389912279654,261.1214051633607,261.12433961818766,261.1214051633607,260.95389912279654,260.95187147671413,261.12433961818766,261.1214051633607,261.1214051633607
2030-01-01 20:00:00,261.12433961818766,261.1214051633607,260.9687621364952,261.12433961818766,260.95389912279654,260.9687621364952,260.95389912279654,260.9687621364952,261.12433961818766,261.1214051633607,261.12433961818766,260.9687621364952,260.95187147671413,261.1214051633607,261.12433961818766,261.12433961818766
2030-01-01 21:00:00,261.1199379359472,261.1214051633607,260.95187147671413,260.95389912279654,260.95389912279654,260.95389912279654,261.12433961818766,260.95389912279654,260.95389912279654,261.1214051633607,261.1214051633607,260.95389912279654,260.9687621364952,260.95389912279654,261.1214051633607,261.1214051633607
2030-01-01 22:00:00,261.1199379359472,261.12433961818766,260.95592676887884,260.95389912279654,260.95389912279654,260.95142195384665,261.1214051633607,260.95389912279654,260.95389912279654,261.1214051633607,261.1214051633607,260.95187147671413,260.95389912279654,260.95389912279654,260.95389912279654,260.95389912279654
2030-01-01 23:00:00,261.12433961818766,261.1214051633607,260.95389912279654,260.95389912279654,260.95047632370535,260.95142195384665,260.95389912279654,260.95047632370535,260.95389912279654,260.95389912279654,261.1214051633607,260.9559267688789,260.95187147671413,260.95389912279654,260.95389912279654,260.95389912279654
2030-01-02 00:00:00,260.95389912279654,260.95389912279654,260.95187147671413,260.95187147671413,260.95047632370535,260.29639204284666,260.95389912279654,260.2954464127053,260.95047632370535,260.95389912279654,260.95389912279654,260.95187147671413,260.95187147671413,260.95047632370535,260.95047632370535,260.95187147671413
2030-01-02 01:00:00,260.95389912279654,260.95389912279654,260.2968415657142,260.95187147671413,260.2954464127053,259.3094356518467,260.95187147671413,259.3084900217054,259.9621913576915,260.95187147671413,260.95389912279654,260.95187147671413,260.2968415657142,260.2954464127053,260.2954464127053,260.2968415657142
2030-01-02 02:00:00,260.95389912279654,260.95187147671413,260.2968415657142,259.9621913576915,259.3084900217054,123.2275089661798,260.2968415657142,123.2275089661798,259.3084900217054,260.95187147671413,260.95187147671413,260.2968415657142,259.3098851747142,259.3084900217054,123.2275089661798,259.3098851747142
2030-01-02 03:00:00,260.95187147671413,260.95187147671413,259.3098851747142,259.3098851747142,259.3084900217054,123.2275089661798,260.2968415657142,123.2275089661798,259.3084900217054,260.2968415657142,260.95187147671413,259.3098851747142,259.3098851747142,259.3084900217054,123.2275089661798,259.3098851747142
2030-01-02 04:00:00,260.95187147671413,260.2968415657142,259.3098851747142,259.3098851747142,259.3084900217054,123.2233329661798,259.3098851747142,123.2233329661798,259.3084900217054,259.3098851747142,260.95187147671413,259.3098851747142,259.3098851747142,123.2233329661798,123.2233329661798,123.2233329661798
2030-01-02 05:00:00,260.95187147671413,260.2968415657142,123.2233329661798,259.3098851747142,259.3084900217054,123.2233329661798,259.3098851747142,123.2233329661798,259.3084900217054,259.3098851747142,260.95187147671413,123.2233329661798,259.3098851747142,123.2233329661798,123.2233329661798,123.2233329661798
