,Diourbel-0,Diourbel-1,Diourbel-2,Diourbel-3,Diourbel-4,Diourbel-5,Diourbel-6,Diourbel-7,Diourbel-8,Diourbel-9,Diourbel-10,Diourbel-11,Diourbel-12,Diourbel-13,Diourbel-14,Diourbel-15
0,10000.0,10000.0,10000.0,10000.0,9999.843577624,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9999.869299084,10000.0,10000.0
1,10000.0,10000.0,10000.0,10000.0,9999.843577624,9999.843577624,10000.0,10000.0,10000.0,9999.843577624,10000.0,10000.0,10000.0,9999.843577624,10000.0,10000.0
2,10000.0,10000.0,9999.843577624,10000.0,9999.843577624,9999.83642945,10000.0,10000.0,9999.869299084,9999.843577624,10000.0,9999.869299084,10000.0,9999.843577624,9999.869299084,10000.0
3,9999.843577624,10000.0,9999.843577624,9999.869299084,9999.843577624,260.9679172421877,9999.869299084,9999.869299084,9999.869299084,9999.843577624,9999.843577624,9999.869299084,10000.0,9999.843577624,9999.843577624,10000.0
4,9999.83642945,10000.0,9999.843577624,9999.83642945,9999.843577624,260.9679172421877,9999.869299084,9999.843577624,9999.843577624,9999.843577624,9999.843577624,9999.843577624,9999.843577624,9999.83642945,9999.843577624,9999.869299084
5,9999.83642945,10000.0,9999.843577624,9999.83642945,9999.843577624,260.9679172421877,9999.843577624,9999.843577624,9999.843577624,9999.843577624,9999.843577624,9999.843577624,9999.843577624,261.95193917836065,9999.843577624,9999.843577624
6,9999.83642945,9999.869299084,9999.83642945,9999.83642945,9999.83642945,260.9679172421877,9999.843577624,9999.843577624,9999.843577624,9999.83642945,9999.843577624,9999.83642945,9999.843577624,261.95193917836065,9999.843577624,9999.843577624
7,9999.83642945,9999.869299084,9999.181399539,262.60696908936063,9999.83642945,260.9679172421877,9999.843577624,9999.843577624,9999.843577624,9999.83642945,9999.843577624,261.95145010255607,262.60696908936046,261.95193917836065,9999.83642945,9999.843577624
8,9999.83642945,9999.843577624,9999.181399539,261.95193917836065,9999.83642945,260.9679172421877,9999.83642945,9999.843577624,9999.83642945,9999.83642945,9999.843577624,261.77700163094715,261.95193917836065,261.95193917836065,9999.83642945,9999.83642945
9,9999.83642945,9999.843577624,9999.181399539,261.95193917836065,9999.83642945,260.9679172421877,261.95193917836065,9999.843577624,261.95193917836065,9999.83642945,9999.83642945,261.77700163094715,261.95193917836065,261.95193917836065,9999.83642945,9999.83642945
10,9999.83642945,9999.843577624,9999.181399539,261.95193917836065,262.6069690893607,260.9679172421877,261.95193917836065,9999.843577624,261.95193917836065,9999.83642945,9999.181399539,261.77700163094715,261.95193917836065,261.95193917836065,9999.83642945,9999.181399539
11,9999.83642945,9999.843577624,9999.181399539,261.95193917836065,262.60696908936063,260.9679172421877,261.95193917836065,9999.843577624,261.95193917836065,9999.83642945,262.6069690893607,261.62001269836054,261.95193917836065,261.95193917836065,9999.83642945,262.6069690893607
12,9999.83642945,9999.83642945,9999.181399539,261.95193917836065,262.60696908936063,260.9679172421877,261.95193917836065,9999.843577624,261.95193917836065,9999.83642945,262.60696908936063,261.62001269836054,261.95193917836065,261.62001269836054,9999.83642945,262.60696908936063
13,9999.83642945,262.60696908936063,9999.181399539,261.95193917836065,262.60696908936063,260.9679172421877,261.95193917836065,9999.843577624,261.95193917836065,9999.181399539,261.95193917836065,261.62001269836054,261.95193917836065,261.5198381354704,9999.83642945,262.60696908936063
