Period,Scenario,LoadLevel,P_Gas_CCGT,P_Gas_OCGT,P_Oil,RES_Hydro_Large
2030,sc01,01-01 01:00:00+01:00,0.00039262968,4.327928729475406e-06,0.0,0.0
2030,sc01,01-01 03:00:00+01:00,0.00036664985997732723,0.0,0.0,0.0
2030,sc01,01-01 05:00:00+01:00,0.00039262968,6.969091384601807e-05,0.0,0.0
2030,sc01,01-01 07:00:00+01:00,0.00039262968,0.00018925886990529,7.127366281874028e-05,0.0
2030,sc01,01-01 09:00:00+01:00,0.00039262968,0.00018925886990529,0.0001329945681170479,0.0
2030,sc01,01-01 11:00:00+01:00,0.00039262968,0.00014792605494727963,0.0,0.0
2030,sc01,01-01 13:00:00+01:00,0.00039262968,0.00011026844268867925,0.0,0.0
2030,sc01,01-01 15:00:00+01:00,0.00039262968,7.808112723834787e-05,0.0,0.0
2030,sc01,01-01 17:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-01 19:00:00+01:00,0.00039262968,0.00018925886990529,0.00036208152457116395,0.0
2030,sc01,01-01 21:00:00+01:00,0.00039262968,0.00018925886990529,0.00022657496987829056,0.0
2030,sc01,01-01 23:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-02 01:00:00+01:00,0.00039262968,6.823709400995441e-05,0.0,0.0
2030,sc01,01-02 03:00:00+01:00,0.00039262968,2.519950935243742e-05,0.0,0.0
2030,sc01,01-02 05:00:00+01:00,0.00039262968,0.00011262789451211369,0.0,0.0
2030,sc01,01-02 07:00:00+01:00,0.00039262968,0.00018925886990529,0.0001101010683727335,0.0
2030,sc01,01-02 09:00:00+01:00,0.00039262968,0.00018925886990529,0.00019029250988979404,0.0
2030,sc01,01-02 11:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-02 13:00:00+01:00,0.00039262968,0.00017510169612478907,0.0,0.0
2030,sc01,01-02 15:00:00+01:00,0.00039262968,0.00014126353465010943,0.0,0.0
2030,sc01,01-02 17:00:00+01:00,0.00039262968,0.00018925886990529,5.256269214244137e-05,0.0
2030,sc01,01-02 19:00:00+01:00,0.00039262968,0.00018925886990529,0.00045246000151725677,0.0
2030,sc01,01-02 21:00:00+01:00,0.00039262968,0.00018925886990529,0.0002892283570897692,0.0
2030,sc01,01-02 23:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-03 01:00:00+01:00,0.00039262968,8.425463815241e-05,0.0,0.0
2030,sc01,01-03 03:00:00+01:00,0.00039262968,4.6946773619195554e-05,0.0,0.0
2030,sc01,01-03 05:00:00+01:00,0.00039262968,0.00012805078885957607,0.0,0.0
2030,sc01,01-03 07:00:00+01:00,0.00039262968,0.00018925886990529,0.00015322587116372725,0.0
2030,sc01,01-03 09:00:00+01:00,0.00039262968,0.00018925886990529,0.00023031865018541768,0.0
2030,sc01,01-03 11:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-03 13:00:00+01:00,0.00039262968,0.00018778521141320649,0.0,0.0
2030,sc01,01-03 15:00:00+01:00,0.00039262968,0.00013832940785305143,0.0,0.0
2030,sc01,01-03 17:00:00+01:00,0.00039262968,0.00018925886990529,6.643199276580664e-05,0.0
2030,sc01,01-03 19:00:00+01:00,0.00039262968,0.00018925886990529,0.00045587868451505353,0.0
2030,sc01,01-03 21:00:00+01:00,0.00039262968,0.00018925886990529,0.0003208246842344699,0.0
2030,sc01,01-03 23:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-04 01:00:00+01:00,0.00039262968,0.00010199097637672668,0.0,0.0
2030,sc01,01-04 03:00:00+01:00,0.00039262968,4.182198722923607e-05,0.0,0.0
2030,sc01,01-04 05:00:00+01:00,0.00039262968,0.00011582365238010398,0.0,0.0
2030,sc01,01-04 07:00:00+01:00,0.00039262968,0.00018925886990529,0.00012551556991625233,0.0
2030,sc01,01-04 09:00:00+01:00,0.00039262968,0.00018925886990529,0.0002111888304963467,0.0
2030,sc01,01-04 11:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-04 13:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-04 15:00:00+01:00,0.00039262968,0.0001488010102479077,0.0,0.0
2030,sc01,01-04 17:00:00+01:00,0.00039262968,0.00018925886990529,5.258329838670753e-05,0.0
2030,sc01,01-04 19:00:00+01:00,0.00039262968,0.00018925886990529,0.0004818816980061771,0.0
2030,sc01,01-04 21:00:00+01:00,0.00039262968,0.00018925886990529,0.00034292456948332214,0.0
2030,sc01,01-04 23:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-05 01:00:00+01:00,0.00039262968,0.00011731188498234404,0.0,0.0
2030,sc01,01-05 03:00:00+01:00,0.00039262968,5.9129030434859564e-05,0.0,0.0
2030,sc01,01-05 05:00:00+01:00,0.00039262968,0.0001530122969455245,0.0,0.0
2030,sc01,01-05 07:00:00+01:00,0.00039262968,0.00018925886990529,0.00023505148237592017,0.0
2030,sc01,01-05 09:00:00+01:00,0.00039262968,0.00018925886990529,0.00035154829489856225,0.0
2030,sc01,01-05 11:00:00+01:00,0.00039262968,0.00018925886990529,0.00012918105708203777,0.0
2030,sc01,01-05 13:00:00+01:00,0.00039262968,0.00018925886990529,5.250257392852088e-05,0.0
2030,sc01,01-05 15:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-05 17:00:00+01:00,0.00039262968,0.00018925886990529,0.00014868636213799557,0.0
2030,sc01,01-05 19:00:00+01:00,0.00039262968,0.00018925886990529,0.00040245372814316863,0.0
2030,sc01,01-05 21:00:00+01:00,0.00039262968,0.00018925886990529,0.00023111595392370898,0.0
2030,sc01,01-05 23:00:00+01:00,0.00039262968,0.00018925886990529,0.0,0.0
2030,sc01,01-06 01:00:00+01:00,0.00039262968,7.64305773662106e-05,0.0,0.0
