Period,Scenario,LoadLevel,P_Gas_CCGT,P_Gas_OCGT,P_Oil,RES_Hydro_Large,RES_Hydro_Small,RES_PV_Utility_Opt,RES_Wind_Onshore_Opt
2030,sc01,10-05 05:00:00+01:00,605.91,207.765,114,107.1093125,200.2318428,0,64.74069152
2030,sc01,10-05 07:00:00+01:00,605.91,207.765,462.4436217,200,200.2318428,0,60.70694401
2030,sc01,10-05 09:00:00+01:00,605.91,207.765,554.3471129,200,200.2318428,74.90481446,28.72690953
2030,sc01,10-05 11:00:00+01:00,605.91,207.765,250.2438546,200,200.2318428,273.1890741,21.50057514
2030,sc01,10-05 13:00:00+01:00,605.91,207.765,198.5379384,200,200.2318428,375.4816135,19.91065413
2030,sc01,10-05 15:00:00+01:00,605.91,207.765,114,175.7594424,200.2318428,370.0645878,4.811183828
2030,sc01,10-05 17:00:00+01:00,605.91,207.765,297.5678488,200,200.2318428,260.2854475,2.584019923
2030,sc01,10-05 19:00:00+01:00,605.91,207.765,625.6617476,200,200.2318428,68.3603871,13.15587949
2030,sc01,10-05 21:00:00+01:00,605.91,207.765,475.1740055,200,200.2318428,0,27.12424366
2030,sc01,10-05 23:00:00+01:00,605.91,207.765,114,196.2515331,200.2318428,0,45.21875555
2030,sc01,10-06 01:00:00+01:00,605.91,207.765,87.41958098,34.58206257,200.2318428,0,45.16458991
2030,sc01,10-06 03:00:00+01:00,605.91,207.765,77.75505688,0,200.2318428,0,40.12399864
2030,sc01,10-06 05:00:00+01:00,605.91,207.765,114,149.3679247,200.2318428,0,24.10689857
2030,sc01,10-06 07:00:00+01:00,605.91,207.765,515.7130655,200,200.2318428,0,9.275070279
2030,sc01,10-06 09:00:00+01:00,605.91,207.765,579.3765616,200,200.2318428,78.18375263,1.366886001
2030,sc01,10-06 11:00:00+01:00,605.91,207.765,287.9017573,200,200.2318428,257.4809911,0.079655361
2030,sc01,10-06 13:00:00+01:00,605.91,207.765,226.8848702,200,200.2318428,365.6964902,1.468844863
2030,sc01,10-06 15:00:00+01:00,605.91,207.765,114,182.5433244,200.2318428,360.9013117,7.328293247
2030,sc01,10-06 17:00:00+01:00,605.91,207.765,312.7650359,200,200.2318428,241.4965502,6.302332192
2030,sc01,10-06 19:00:00+01:00,605.91,207.765,640.3155359,200,200.2318428,57.34672911,9.991968532
2030,sc01,10-06 21:00:00+01:00,605.91,207.765,495.9453964,200,200.2318428,0,7.118003093
2030,sc01,10-06 23:00:00+01:00,605.91,207.765,154.7239558,200,200.2318428,0,1.271299567
2030,sc01,10-07 01:00:00+01:00,605.91,207.765,100.1103832,68.08384302,200.2318428,0,0.226221226
2030,sc01,10-07 03:00:00+01:00,605.91,207.765,89.02514991,28.71550742,200.2318428,0,1.10880263
2030,sc01,10-07 05:00:00+01:00,605.91,207.765,114,171.5148819,200.2318428,0,2.832544651
2030,sc01,10-07 07:00:00+01:00,605.91,207.765,522.6911878,200,200.2318428,0,2.555343993
2030,sc01,10-07 09:00:00+01:00,605.91,207.765,578.8193951,200,200.2318428,79.20744285,0.920815978
2030,sc01,10-07 11:00:00+01:00,605.91,207.765,277.446371,200,200.2318428,267.7428604,0.210290154
2030,sc01,10-07 13:00:00+01:00,605.91,207.765,236.7201113,200,200.2318428,357.216907,0.11470372
2030,sc01,10-07 15:00:00+01:00,605.91,207.765,141.0312904,200,200.2318428,323.7756987,0.021417692
2030,sc01,10-07 17:00:00+01:00,605.91,207.765,347.6436178,200,200.2318428,208.7803248,4.575403958
2030,sc01,10-07 19:00:00+01:00,605.91,207.765,642.186381,200,200.2318428,45.41894493,20.08908214
2030,sc01,10-07 21:00:00+01:00,605.91,207.765,471.9471775,200,200.2318428,0,30.2435476
2030,sc01,10-07 23:00:00+01:00,605.91,207.765,145.6633932,200,200.2318428,0,10.22456219
2030,sc01,10-08 01:00:00+01:00,605.91,207.765,64.02151394,84.52002993,200.2318428,0,19.27341124
2030,sc01,10-08 03:00:00+01:00,605.91,207.765,100.3636093,0,200.2318428,0,18.06583596
2030,sc01,10-08 05:00:00+01:00,605.91,207.765,114,146.6746,200.2318428,0,26.6941047
2030,sc01,10-08 07:00:00+01:00,605.91,207.765,497.1808403,200,200.2318428,0,27.12105744
2030,sc01,10-08 09:00:00+01:00,605.91,207.765,594.5488779,200,200.2318428,33.8154127,30.858487
2030,sc01,10-08 11:00:00+01:00,605.91,207.765,311.5043769,200,200.2318428,199.9600831,33.88220452
2030,sc01,10-08 13:00:00+01:00,605.91,207.765,259.5058226,200,200.2318428,311.6379478,22.65398478
2030,sc01,10-08 15:00:00+01:00,605.91,207.765,151.0837032,200,200.2318428,297.9377412,15.51367818
2030,sc01,10-08 17:00:00+01:00,605.91,207.765,332.0696026,200,200.2318428,206.9934101,21.54518214
2030,sc01,10-08 19:00:00+01:00,605.91,207.765,622.2884734,200,200.2318428,41.07310177,43.64157939
2030,sc01,10-08 21:00:00+01:00,605.91,207.765,455.0129697,200,200.2318428,0,46.62387612
2030,sc01,10-08 23:00:00+01:00,605.91,207.765,128.8814137,200,200.2318428,0,26.83429814
2030,sc01,10-09 01:00:00+01:00,605.91,207.765,75.34962742,60.02608251,200.2318428,0,32.11385549
2030,sc01,10-09 03:00:00+01:00,605.91,207.765,55.38114072,5.982315995,200.2318428,0,56.11560899
2030,sc01,10-09 05:00:00+01:00,605.91,207.765,113.5390057,104.0699475,200.2318428,0,68.13082369
2030,sc01,10-09 07:00:00+01:00,605.91,207.765,475.1413112,200,200.2318428,0,48.39859758
