Technology,EUR/MWh
P_Gas_OCGT,2.866612126080397
P_Coal_Hardcoal,
RES_PV_Utility_Opt,51.78301037782519
RES_Wind_Onshore_Opt,1.330837981642444
RES_Hydro_Large,
P_Gas_CCGT,1.6555163041328627
P_Oil,
RES_Hydro_Small,
