Period,Scenario,LoadLevel,Centrale_Kael_Solaire,Centrale_Kahone_Solaire,Dakar_PV_29,Diourbel_PV_25,FKK_PV_25,Felou_Gouina,LS_PV_2029,PETN_Taiba_Ndiaye_Wind,PV_Bokhol,PV_Kahone,PV_Malicounda,PV_Sakal,PV_Senergy_or_Santhiou_Mekhe,PV_Ten_Merina,Solar_CICAD,Solar_DIASS,Thies_PV_2025,Thies_wind_2025
2030,sc01,01-01 01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,2.1941756581750634e-05,0.0,0.00028881400853110337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018380727698024811
2030,sc01,01-01 03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,2.1941756581750634e-05,0.0,0.0003020045534592538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019220201575146265
2030,sc01,01-01 05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,2.1941756581750634e-05,0.0,0.0003050460846165532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019413770982177887
2030,sc01,01-01 07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,2.1941756581750634e-05,0.0,0.00031936077221484717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020324787651019403
2030,sc01,01-01 09:00:00+01:00,1.4425967093056658e-06,1.762350876490123e-06,4.09741380045828e-06,5.099056870459202e-07,0.0,2.1941756581750634e-05,0.0,0.00033123226276658436,1.2295037434224128e-06,1.057526927714987e-06,3.104086965431031e-06,5.175903315594104e-07,7.76239996954504e-07,7.633075113712631e-07,2.1822306825717748e-07,5.951852293446098e-07,8.348442609638038e-06,0.00021080314140079507
2030,sc01,01-01 11:00:00+01:00,7.572652107045125e-06,9.252000965666644e-06,2.427801500771043e-05,2.6756704113111474e-06,0.0,2.1941756581750634e-05,0.0,0.00031494125977252105,6.606997715236254e-06,5.551200578817978e-06,1.691270074285122e-05,2.8187834577238786e-06,4.228175197061982e-06,4.15770559812024e-06,1.291383776708678e-06,3.241600969893059e-06,4.548939158190988e-05,0.00020043520630208382
2030,sc01,01-01 13:00:00+01:00,1.1464032295340009e-05,1.3602888534050706e-05,3.69378197252224e-05,4.050624744101266e-06,0.0,2.1941756581750634e-05,0.0,0.00025573792360673316,9.710436896094772e-06,8.161733119848413e-06,2.5687364048823598e-05,4.281227342440614e-06,6.42184102893866e-06,6.3148103257712135e-06,1.9647776449524466e-06,4.923411433985302e-06,6.909024050677252e-05,0.00016275696465406112
2030,sc01,01-01 15:00:00+01:00,1.1471911354174787e-05,1.3525344489893026e-05,3.74835487247955e-05,4.053408678727295e-06,0.0,2.1941756581750634e-05,0.0,0.00017309983922062202,9.712675794908623e-06,8.115206692189788e-06,2.5848479362314868e-05,4.3080798951741685e-06,6.462119856583969e-06,6.354417843744998e-06,1.993805783512425e-06,4.954291869483387e-06,6.952358571623801e-05,0.00011016435892792275
2030,sc01,01-01 17:00:00+01:00,8.170585216424751e-06,9.49701835955651e-06,2.7449891681478784e-05,2.8869401097064106e-06,0.0,2.1941756581750634e-05,0.0,0.00012220971941500608,6.894030349585719e-06,5.698211014569887e-06,1.8679582379797556e-05,3.1132637311302776e-06,4.66989560775359e-06,4.592064000754468e-06,1.460100621485277e-06,3.5802532834956052e-06,5.024170003418643e-05,7.777682206306233e-05
2030,sc01,01-01 19:00:00+01:00,2.1374138868694995e-06,2.4298777222200766e-06,7.723311938347767e-06,7.552195732519146e-07,0.0,2.1941756581750634e-05,0.0,0.00011425459692569756,1.688867391998151e-06,1.45792663356485e-06,4.9681303299360994e-06,8.280217218015188e-07,1.242032585321319e-06,1.2213320387696764e-06,4.108144648614563e-07,9.522249781220162e-07,1.3362574634808194e-05,7.271401569079191e-05
2030,sc01,01-01 21:00:00+01:00,0.0,0.0,0.0,0.0,0.0,2.1941756581750634e-05,0.0,0.0001424624187373834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.066606360158201e-05
2030,sc01,01-01 23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,2.1941756581750634e-05,0.0,0.00015670911390192873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.973295843688091e-05
2030,sc01,01-02 01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,2.1126658266772336e-05,0.0,0.00019033820438015177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012113521513737265
2030,sc01,01-02 03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,2.1126658266772336e-05,0.0,0.00020806611553293483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001324176286659789
2030,sc01,01-02 05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,2.1126658266772336e-05,0.0,0.00023964636530849059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015251596029345024
2030,sc01,01-02 07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,2.1126658266772336e-05,0.0,0.0002812623081669035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017900121690542676
2030,sc01,01-02 09:00:00+01:00,9.720417374462767e-07,1.1586370067851112e-06,3.0779809499558164e-06,3.4364293021944783e-07,0.0,2.1126658266772336e-05,0.0,0.0002877125299939026,1.0394037278746494e-06,6.952986058919799e-07,2.590868573646352e-06,4.3205393292863047e-07,6.479353984263251e-07,6.371413234199633e-07,1.6399791641180865e-07,4.968183710356147e-07,6.96806033044172e-06,0.0001831062730179663
2030,sc01,01-02 11:00:00+01:00,6.008658698738887e-06,6.977602616773928e-06,2.2075707621342003e-05,2.1230594066685165e-06,0.0,2.1126658266772336e-05,0.0,0.0002582672446145561,6.3217707702447974e-06,4.186561570238959e-06,1.5867165182685244e-05,2.6445275313205544e-06,3.9667913061474755e-06,3.900678106464358e-06,1.1742397670183604e-06,3.0412066549220923e-06,4.267725783487166e-05,0.0001643666774503022
2030,sc01,01-02 13:00:00+01:00,9.659289831223959e-06,9.702566206550917e-06,3.425072769515401e-05,3.4129490731753244e-06,0.0,2.1126658266772336e-05,0.0,0.00018818057571131754,9.636528904347091e-06,5.8215397230575375e-06,2.538619104087249e-05,4.231031841212431e-06,6.346547779860929e-06,6.240771961074063e-06,1.8218472178644909e-06,4.865686607558342e-06,6.828018792554633e-05,0.00011976205511100645
2030,sc01,01-02 15:00:00+01:00,9.954754578268811e-06,9.198921237712527e-06,3.651674963486074e-05,3.517346618159388e-06,0.0,2.1126658266772336e-05,0.0,9.931891110699864e-05,9.759271635883104e-06,5.519352742045508e-06,2.5925853890500757e-05,4.320975649871815e-06,6.481463490812974e-06,6.373439079850619e-06,1.9423802997452095e-06,4.969121987021925e-06,6.973169677788966e-05,6.320863277495583e-05
2030,sc01,01-02 17:00:00+01:00,7.2281620937114705e-06,6.17931411079015e-06,2.2629747213310506e-05,2.553950607046129e-06,0.0,2.1126658266772336e-05,0.0,5.9547831463764204e-05,6.960735804061678e-06,3.7075884672889023e-06,1.7733458397960487e-05,2.955576400630096e-06,4.433364611421308e-06,4.359475188674107e-06,1.2037099580805153e-06,3.3989128538860038e-06,4.769694949357404e-05,3.7897485688291255e-05
2030,sc01,01-02 19:00:00+01:00,1.296105369511149e-06,1.2608136975656038e-06,3.875506958536592e-06,4.579572305586663e-07,0.0,2.1126658266772336e-05,0.0,6.574874745590789e-05,1.3991626479239696e-06,7.564882186557635e-07,2.9906724412733167e-06,4.984454068788861e-07,7.476681125008628e-07,7.352069748480772e-07,2.0614398728003314e-07,5.732122170813559e-07,8.043887953895671e-06,4.184387834328474e-05
