Period,Scenario,LoadLevel,Senegal
2030,sc01,01-09 21:00:00+01:00,-194.9725608968311
2030,sc01,01-09 23:00:00+01:00,-438.6386541353311
2030,sc01,01-10 01:00:00+01:00,-569.0554403723313
2030,sc01,01-10 03:00:00+01:00,-603.7291577538313
2030,sc01,01-10 05:00:00+01:00,-485.8385185588313
2030,sc01,01-10 07:00:00+01:00,-179.70522277233124
2030,sc01,01-10 09:00:00+01:00,-84.91222438283108
2030,sc01,01-10 11:00:00+01:00,-162.14447416583155
2030,sc01,01-10 13:00:00+01:00,-127.47075652233097
2030,sc01,01-10 15:00:00+01:00,-219.02027266033141
2030,sc01,01-10 17:00:00+01:00,-151.51846827933068
2030,sc01,01-10 19:00:00+01:00,-51.18857786483089
2030,sc01,01-10 21:00:00+01:00,-194.9725608968311
2030,sc01,01-10 23:00:00+01:00,-438.6386541353311
2030,sc01,01-11 01:00:00+01:00,-569.0554403723313
2030,sc01,01-11 03:00:00+01:00,-603.7291577538313
2030,sc01,01-11 05:00:00+01:00,-485.8385185588313
2030,sc01,01-11 07:00:00+01:00,-179.70522277233124
2030,sc01,01-11 09:00:00+01:00,-84.91222438283108
2030,sc01,01-11 11:00:00+01:00,-162.14447416583155
2030,sc01,01-11 13:00:00+01:00,-127.47075652233097
2030,sc01,01-11 15:00:00+01:00,-219.02027266033141
2030,sc01,01-11 17:00:00+01:00,-151.51846827933068
2030,sc01,01-11 19:00:00+01:00,-51.18857786483089
2030,sc01,01-11 21:00:00+01:00,-194.9725608968311
2030,sc01,01-11 23:00:00+01:00,-438.6386541353311
2030,sc01,01-12 01:00:00+01:00,-569.0554403723313
2030,sc01,01-12 03:00:00+01:00,-603.7291577538313
2030,sc01,01-12 05:00:00+01:00,-485.8385185588313
2030,sc01,01-12 07:00:00+01:00,-179.70522277233124
2030,sc01,01-12 09:00:00+01:00,-84.91222438283108
2030,sc01,01-12 11:00:00+01:00,-162.14447416583155
2030,sc01,01-12 13:00:00+01:00,-127.47075652233097
2030,sc01,01-12 15:00:00+01:00,-219.02027266033141
2030,sc01,01-12 17:00:00+01:00,-151.51846827933068
2030,sc01,01-12 19:00:00+01:00,-51.18857786483089
2030,sc01,01-12 21:00:00+01:00,-194.9725608968311
2030,sc01,01-12 23:00:00+01:00,-438.6386541353311
2030,sc01,01-13 01:00:00+01:00,-569.0554403723313
2030,sc01,01-13 03:00:00+01:00,-603.7291577538313
2030,sc01,01-13 05:00:00+01:00,-485.8385185588313
2030,sc01,01-13 07:00:00+01:00,-179.70522277233124
2030,sc01,01-13 09:00:00+01:00,-84.91222438283108
2030,sc01,01-13 11:00:00+01:00,-162.14447416583155
2030,sc01,01-13 13:00:00+01:00,-127.47075652233097
2030,sc01,01-13 15:00:00+01:00,-219.02027266033141
2030,sc01,01-13 17:00:00+01:00,-151.51846827933068
2030,sc01,01-13 19:00:00+01:00,-51.18857786483089
2030,sc01,01-13 21:00:00+01:00,-194.9725608968311
2030,sc01,01-13 23:00:00+01:00,-438.6386541353311
2030,sc01,01-14 01:00:00+01:00,-569.0554403723313
2030,sc01,01-14 03:00:00+01:00,-603.7291577538313
