Period,Scenario,LoadLevel,Senegal States|Aeroport,Senegal States|Bakel,Senegal States|Bel_Air,Senegal States|Cap_Des_Biches,Senegal States|Centre_Ville,Senegal States|Dagana,Senegal States|Diamniadio,Senegal States|Diass,Senegal States|Fabrimetal,Senegal States|Fatick,Senegal States|Guediawaye,Senegal States|Hann,Senegal States|ICS,Senegal States|Kahone,Senegal States|Kayes,Senegal States|Kedougou,Senegal States|Kolda,Senegal States|Kounoune,Senegal States|Linguere,Senegal States|Matam,Senegal States|Mbao,Senegal States|Mbour,Senegal States|Ndioum,Senegal States|Olam,Senegal States|Patte_Doie,Senegal States|Pekesse,Senegal States|SDE,Senegal States|Sabangalou,Senegal States|Saint_Louis,Senegal States|Sakal,Senegal States|Sendou,Senegal States|Sicap,Senegal States|Sococim,Senegal States|Someta,Senegal States|Tambacounda,Senegal States|Tanaf,Senegal States|Thies_Numerique,Senegal States|Thiona,Senegal States|Tobene,Senegal States|Touba_1,Senegal States|Touba_2,Senegal States|Universite,Senegal States|Velingara,Senegal States|Wack_Ngouna,Senegal States|Ziguinchor,Senegal States|ls,Senegal States|mtkk
2030,sc01,01-01 01:00:00+01:00,46.56153111893069,48.228755702449455,46.78573007313082,45.73308978093683,47.416055355087174,47.13094078110072,46.71025346292761,46.706036936890705,47.52330141071343,47.08573624813749,46.77345788775989,46.368488652975444,47.320556140285,47.74883863033033,47.74883863033034,48.71349606172556,48.876155180614525,46.24755412884718,47.41788765820713,47.74883863033034,46.04920071977604,46.42923189959832,47.27369685246116,46.7160302099079,46.025727564164434,47.320556140285,47.320556140285,49.203108183406435,47.320556140285,46.98960516816179,47.177603041571786,47.57614304791133,46.38498373577512,47.050403784283226,48.228755702449455,48.228755702449455,46.98349448276539,47.455719653903955,46.8496758797297,47.46165745678481,47.317031130654996,47.10271963404632,48.550836942836575,48.22875570244945,49.367402067309364,47.46189175322393,48.71349606172556
2030,sc01,01-01 03:00:00+01:00,34.10233897156634,35.32346625595712,34.2665492782113,33.495562697186834,34.72821917406522,34.5193923675786,34.21126785484254,34.20817953966295,34.80676953012593,34.48628315774255,34.25756074688585,33.960948648658245,34.658272570598854,34.9719600241016,34.9719600241016,35.67850521376093,35.79764182564501,33.87237243133419,34.550815929794105,34.9719600241016,33.72709220804386,34.005438897018934,34.6239513666924,34.215498924503045,33.70989973676469,34.658272570598854,34.658272570598854,36.037112402296444,34.65827257059885,34.415873756515666,34.55356926250676,34.845472393298685,33.97303016176941,34.46040455922395,35.323466255957115,35.323466255957115,34.411398099943874,34.757270543616904,34.313385181383715,34.76161957564224,34.65569074360356,34.49872231928056,35.55936860187684,35.323466255957115,36.15744636706378,34.76179118166177,35.67850521376093
2030,sc01,01-01 05:00:00+01:00,46.56145312625168,48.29880049882913,46.78573007313082,45.73475181726915,47.41603769297728,47.23153089575267,46.497309550750195,47.012719195593256,47.62674285102551,47.34880851963676,46.77139710319136,46.36851756492969,47.48570409566247,47.9927498506551,47.99274985065511,48.96233465702216,49.12582462264001,46.243444658394054,47.454292225900915,47.81818646356196,46.05005027673027,46.71127456504649,47.34235465750142,46.77669500897389,46.025606979600624,47.48570409566247,47.48570409566247,49.454447669108035,47.48570409566248,47.12180985800142,46.75372584905962,47.57610772369153,46.40431655840594,47.1528159565325,48.47511829182272,48.47511829182272,47.10627082831152,47.57972993257116,47.01318057186959,47.681553671301764,47.56735479498783,47.102684661311294,48.79884469140432,48.47511829182271,49.619580749958224,47.59542513341371,48.96233465702216
2030,sc01,01-01 07:00:00+01:00,95.03617363750361,96.97995385695775,94.14169112226453,93.80163934795704,95.71470688333936,96.68722579902943,95.82500645794879,95.8147338493017,97.48908737391358,96.59413225708494,95.73202067522543,94.68223744451659,97.0764425594088,97.95465600673141,97.95465600673143,99.93354676307095,99.59986911095545,94.87663115527265,96.77559221539259,97.95465600673143,94.23973690099541,95.2471460571862,96.97995385695775,95.83095981984407,94.69290278648401,97.0764425594088,97.0764425594088,100.93793326365981,97.07644255940882,96.39741045809541,96.78291317070207,96.34154574825554,95.14974823938094,96.51901774784957,98.93915415801034,98.93915415801034,96.3828381158654,97.351539102412,96.11047885189707,97.36577545683058,97.06920837800797,95.38289444682492,100.26722441518646,98.93915415801033,98.60879668153778,97.3662579003428,99.93354676307095
2030,sc01,01-01 09:00:00+01:00,96.54690569830422,98.09679344860443,94.87663115527265,94.87663115527265,96.32753655898087,97.80072969116263,96.92880811725712,96.91794218884502,98.61094024277189,97.70645833929973,96.76958246698314,95.64359781407295,96.25004421340249,99.0827201168871,99.08272011688712,101.08439947169951,101.42191970381046,95.96974637337584,98.39583272119641,99.08272011688712,95.2581970680258,96.34389070875304,98.09679344860443,96.9331039421207,95.86332084488552,98.19449923744577,98.19449923744577,102.10035233116906,98.19449923744578,97.50761184175508,97.89750867263471,96.82487873454039,96.24343136532788,97.62970790159486,100.07855559590628,100.07855559590628,97.49227546368458,98.47212657432986,97.21741058786401,98.48712855790912,98.18718086903145,95.86141814966415,100.74687923958861,100.07855559590627,100.41271741774747,98.48761708685332,101.08439947169951
2030,sc01,01-01 11:00:00+01:00,46.971322854899384,48.803185936218775,46.78573007313082,46.420426762434865,47.508856202183075,47.72076477139268,47.48503410641936,47.62869802443921,47.24359820544504,47.91163513371535,47.51886288726793,47.151333560324105,47.019651568864,48.534656906235206,48.534656906235206,49.51518905343871,49.68052494358549,46.94068529017613,47.953905957869914,48.317553140380554,46.78405289438476,47.29481258281262,47.836752511665104,47.3943964431428,46.65930700230197,47.96957832049929,47.96957832049929,50.01285839111671,47.96957832049929,47.605931137988634,48.034853765036836,47.76174474210315,47.073579690903614,47.71843748434923,49.02247164946895,49.02247164946895,48.03849298689117,48.12189211837493,47.49224012780255,48.19175694837184,48.072236825644616,47.28647454521134,49.34985316329192,49.022471649468955,50.17985594850114,48.08441195390331,49.51518905343871
2030,sc01,01-01 13:00:00+01:00,46.56162567916039,47.91662282484899,46.78573007313082,45.73107468747695,47.41607676906078,46.86125327787427,46.96843186517459,46.53289403649501,46.459280079609925,46.91519077984533,46.7759564333245,46.368453599415666,46.18721641933517,47.57787785328299,47.57787785328299,48.539081618820326,48.70115838564618,46.25253655123639,47.075306329251745,47.439811552506995,46.04817069616646,46.25909760763593,46.967744670934565,46.64247872522205,46.025873763836,47.12032672392056,47.12032672392056,49.02694083152729,47.12032672392056,46.75582150066533,46.7495741062631,47.576185875858556,46.36154414923474,46.92623676428462,48.05607672663781,48.05607672663781,47.060458641926466,47.30536656195092,46.651438795866405,47.29368357550064,47.18394900926057,47.10276203584481,48.37700485199448,48.05607672663781,49.19064651058255,47.22575850112952,48.53908161882033
2030,sc01,01-01 15:00:00+01:00,46.561230489633374,47.83039364010987,46.78573007313082,45.73949623883921,47.415987275008916,46.767873505040264,46.828755281809464,46.16222396004061,46.04307442588548,46.644489509100175,46.76551442146651,46.368600096518655,46.07748688948937,47.35444036960607,47.35444036960607,48.31113036056848,48.47244602135676,46.231713831648435,46.887677978769084,47.35444036960607,46.05247540803473,45.94160283626102,46.88322295254011,46.949867746317274,46.02526276088866,47.008380491873375,47.008380491873375,48.79669860585582,47.008380491873375,46.653671813236926,46.49382329262061,47.576006887754836,46.45950371582003,46.505848139165956,47.83039364010987,47.830393640109875,46.51743424500244,46.98497539365093,46.54060645667541,47.12195639598005,47.00423149133154,47.10258482871725,48.1498146997802,47.830393640109875,48.9596355295666,47.12258218367671,48.31113036056848
2030,sc01,01-01 17:00:00+01:00,84.70207487199211,88.25612859272171,83.90461883395086,83.59648950494675,85.30664219051556,86.29352672833781,85.34451602623686,85.19081330961272,84.85913859981508,86.07217309706964,85.32828546560795,84.3862984227814,85.01558162981293,87.37792920328647,87.37792920328647,89.1431541066739,89.44080373656439,84.57213926443194,86.72556971908324,87.37792920328647,83.98941944156947,84.77940958892462,86.50846811623364,85.22572960688397,84.39626024282522,86.73308354492285,86.73308354492285,90.03909444991204,86.73308354492285,86.08072406071956,86.12465536856246,85.86537379954785,84.74427444825727,85.71202351082349,88.25612859272172,88.25612859272172,85.52872800728902,86.38834246008108,85.87003883258011,86.94476313539764,86.72548050353005,85.01096301501981,88.84550447678343,88.25612859272171,90.33973553336926,86.94588621254108,89.14315410667393
2030,sc01,01-01 19:00:00+01:00,96.94255109822598,99.10518224948996,94.87663115527265,95.21512574025677,96.29132698590173,98.79802451605802,96.9843426860618,97.96272062171221,97.21523445361036,98.72689628621578,96.10095735329585,95.70346671019212,97.21577531121474,100.10124347858554,100.10124347858556,102.12349854333858,102.46448822143162,96.50244287723481,99.41542699531819,100.10124347858556,95.4580753727996,97.36622419028754,99.10518224948996,97.4454194055558,96.16611969609376,99.1797395617485,99.1797395617485,103.14989460955829,99.1797395617485,98.49392307848116,97.47108570904787,96.75245958838217,96.70596923858507,98.19230123249612,101.10731537330018,101.10731537330018,98.0772087565234,99.06293859372987,98.19284752585527,99.48346821276411,99.17254643989664,95.78971959202491,101.78250886524556,101.10731537330018,101.44491211927289,99.4838409993254,102.12349854333858
