Period,Scenario,LoadLevel,P_Gas_CCGT,P_Gas_OCGT,P_Oil,RES_Hydro_Large,RES_Hydro_Small,RES_PV_Utility_Opt,RES_Wind_Onshore_Opt
2030,sc01,01-01 01:00:00+01:00,0.31534907665957235,-190.93060546545527,-262.840945488451,-77.21278822483269,-53.386036962909344,-107.60196017416757,118.4495541116407
2030,sc01,01-01 03:00:00+01:00,-39.776965773144184,-195.68172816279272,-262.840945488451,-77.21278822483269,-53.386036962909344,-107.60196017416757,127.7214381466407
2030,sc01,01-01 05:00:00+01:00,0.31534907665957235,-119.17629028046905,-262.840945488451,-77.21278822483269,-53.386036962909344,-107.60196017416757,129.85938804664067
2030,sc01,01-01 07:00:00+01:00,0.31534907665957235,12.083271837207292,-97.48780789060893,-77.21278822483269,-53.386036962909344,-107.60196017416757,139.9214532716407
2030,sc01,01-01 09:00:00+01:00,0.31534907665957235,12.083271837207292,-53.01749421375965,-77.21278822483269,-53.386036962909344,-65.63977562166758,148.26614895164073
2030,sc01,01-01 11:00:00+01:00,0.31534907665957235,-33.29115264312722,-262.840945488451,-77.21278822483269,-53.386036962909344,122.76604791783245,136.81489420164075
2030,sc01,01-01 13:00:00+01:00,0.31534907665957235,-74.63100537934717,-262.840945488451,-77.21278822483269,-53.386036962909344,240.52181668283242,95.19974718164075
2030,sc01,01-01 15:00:00+01:00,0.31534907665957235,-109.9656641875956,-262.840945488451,-77.21278822483269,-53.386036962909344,242.5761976298324,37.11187147164071
2030,sc01,01-01 17:00:00+01:00,0.31534907665957235,12.083271837207292,-182.52039507759903,-77.21278822483269,-53.386036962909344,144.8572114048324,1.340241776640724
2030,sc01,01-01 19:00:00+01:00,0.31534907665957235,12.083271837207292,112.04114780633068,-77.21278822483269,-53.386036962909344,-40.287295175667566,-4.2515645883592725
2030,sc01,01-01 21:00:00+01:00,0.31534907665957235,12.083271837207292,14.407793866746658,-77.21278822483269,-53.386036962909344,-107.60196017416757,15.576247966640722
2030,sc01,01-01 23:00:00+01:00,0.31534907665957235,12.083271837207292,-240.00812948164045,-77.21278822483269,-53.386036962909344,-107.60196017416757,25.59052000164074
2030,sc01,01-02 01:00:00+01:00,0.31534907665957235,-120.77226767582664,-262.840945488451,-77.21278822483269,-54.086282292909345,-107.60196017416757,49.229045046640735
2030,sc01,01-02 03:00:00+01:00,0.31534907665957235,-168.0181578200702,-262.840945488451,-77.21278822483269,-54.086282292909345,-107.60196017416757,61.69032978164073
2030,sc01,01-02 05:00:00+01:00,0.31534907665957235,-72.04084139738337,-262.840945488451,-77.21278822483269,-54.086282292909345,-107.60196017416757,83.8886858716407
2030,sc01,01-02 07:00:00+01:00,0.31534907665957235,12.083271837207292,-69.51240967019976,-77.21278822483269,-54.086282292909345,-107.60196017416757,113.14132081164074
2030,sc01,01-02 09:00:00+01:00,0.31534907665957235,12.083271837207292,-11.733954522358971,-77.21278822483269,-54.086282292909345,-74.57175385316756,117.67530398164071
2030,sc01,01-02 11:00:00+01:00,0.31534907665957235,12.083271837207292,-244.0348123621605,-77.21278822483269,-54.086282292909345,100.23882121333244,96.97765485164071
2030,sc01,01-02 13:00:00+01:00,0.31534907665957235,-3.458220151927577,-262.840945488451,-77.21278822483269,-54.086282292909345,218.26212738033246,47.71240696164067
2030,sc01,01-02 15:00:00+01:00,0.31534907665957235,-40.605148178629804,-262.840945488451,-77.21278822483269,-54.086282292909345,226.08925891383245,-14.750141218359303
2030,sc01,01-02 17:00:00+01:00,0.31534907665957235,12.083271837207292,-110.96918395195709,-77.21278822483269,-54.086282292909345,117.55078086133244,-42.7059868483593
