Period,Scenario,LoadLevel,RES_Hydro_Large
2030,sc01,01-01 01:00:00+01:00,-77.21278822483269
2030,sc01,01-01 03:00:00+01:00,-77.21278822483269
2030,sc01,01-01 05:00:00+01:00,-77.21278822483269
2030,sc01,01-01 07:00:00+01:00,-77.21278822483269
2030,sc01,01-01 09:00:00+01:00,-77.21278822483269
2030,sc01,01-01 11:00:00+01:00,-77.21278822483269
2030,sc01,01-01 13:00:00+01:00,-77.21278822483269
2030,sc01,01-01 15:00:00+01:00,-77.21278822483269
2030,sc01,01-01 17:00:00+01:00,-77.21278822483269
2030,sc01,01-01 19:00:00+01:00,-77.21278822483269
2030,sc01,01-01 21:00:00+01:00,-77.21278822483269
2030,sc01,01-01 23:00:00+01:00,-77.21278822483269
2030,sc01,01-02 01:00:00+01:00,-77.21278822483269
2030,sc01,01-02 03:00:00+01:00,-77.21278822483269
2030,sc01,01-02 05:00:00+01:00,-77.21278822483269
2030,sc01,01-02 07:00:00+01:00,-77.21278822483269
2030,sc01,01-02 09:00:00+01:00,-77.21278822483269
2030,sc01,01-02 11:00:00+01:00,-77.21278822483269
2030,sc01,01-02 13:00:00+01:00,-77.21278822483269
2030,sc01,01-02 15:00:00+01:00,-77.21278822483269
2030,sc01,01-02 17:00:00+01:00,-77.21278822483269
2030,sc01,01-02 19:00:00+01:00,-77.21278822483269
2030,sc01,01-02 21:00:00+01:00,-77.21278822483269
2030,sc01,01-02 23:00:00+01:00,-77.21278822483269
2030,sc01,01-03 01:00:00+01:00,-77.21278822483269
2030,sc01,01-03 03:00:00+01:00,-77.21278822483269
2030,sc01,01-03 05:00:00+01:00,-77.21278822483269
2030,sc01,01-03 07:00:00+01:00,-77.21278822483269
2030,sc01,01-03 09:00:00+01:00,-77.21278822483269
2030,sc01,01-03 11:00:00+01:00,-77.21278822483269
2030,sc01,01-03 13:00:00+01:00,-77.21278822483269
2030,sc01,01-03 15:00:00+01:00,-77.21278822483269
2030,sc01,01-03 17:00:00+01:00,-77.21278822483269
2030,sc01,01-03 19:00:00+01:00,-77.21278822483269
2030,sc01,01-03 21:00:00+01:00,-77.21278822483269
2030,sc01,01-03 23:00:00+01:00,-77.21278822483269
2030,sc01,01-04 01:00:00+01:00,-77.21278822483269
2030,sc01,01-04 03:00:00+01:00,-77.21278822483269
2030,sc01,01-04 05:00:00+01:00,-77.21278822483269
2030,sc01,01-04 07:00:00+01:00,-77.21278822483269
2030,sc01,01-04 09:00:00+01:00,-77.21278822483269
2030,sc01,01-04 11:00:00+01:00,-77.21278822483269
2030,sc01,01-04 13:00:00+01:00,-77.21278822483269
2030,sc01,01-04 15:00:00+01:00,-77.21278822483269
2030,sc01,01-04 17:00:00+01:00,-77.21278822483269
2030,sc01,01-04 19:00:00+01:00,-77.21278822483269
2030,sc01,01-04 21:00:00+01:00,-77.21278822483269
2030,sc01,01-04 23:00:00+01:00,-77.21278822483269
2030,sc01,01-05 01:00:00+01:00,-77.21278822483269
2030,sc01,01-05 03:00:00+01:00,-77.21278822483269
2030,sc01,01-05 05:00:00+01:00,-77.21278822483269
2030,sc01,01-05 07:00:00+01:00,-77.21278822483269
2030,sc01,01-05 09:00:00+01:00,-77.21278822483269
2030,sc01,01-05 11:00:00+01:00,-77.21278822483269
2030,sc01,01-05 13:00:00+01:00,-77.21278822483269
2030,sc01,01-05 15:00:00+01:00,-77.21278822483269
2030,sc01,01-05 17:00:00+01:00,-77.21278822483269
2030,sc01,01-05 19:00:00+01:00,-77.21278822483269
2030,sc01,01-05 21:00:00+01:00,-77.21278822483269
2030,sc01,01-05 23:00:00+01:00,-77.21278822483269
2030,sc01,01-06 01:00:00+01:00,-77.21278822483269
2030,sc01,01-06 03:00:00+01:00,-77.21278822483269
2030,sc01,01-06 05:00:00+01:00,-77.21278822483269
2030,sc01,01-06 07:00:00+01:00,-77.21278822483269
2030,sc01,01-06 09:00:00+01:00,-77.21278822483269
2030,sc01,01-06 11:00:00+01:00,-77.21278822483269
2030,sc01,01-06 13:00:00+01:00,-77.21278822483269
2030,sc01,01-06 15:00:00+01:00,-77.21278822483269
2030,sc01,01-06 17:00:00+01:00,-77.21278822483269
2030,sc01,01-06 19:00:00+01:00,-77.21278822483269
2030,sc01,01-06 21:00:00+01:00,-77.21278822483269
2030,sc01,01-06 23:00:00+01:00,-77.21278822483269
2030,sc01,01-07 01:00:00+01:00,-77.21278822483269
2030,sc01,01-07 03:00:00+01:00,-77.21278822483269
2030,sc01,01-07 05:00:00+01:00,-77.21278822483269
2030,sc01,01-07 07:00:00+01:00,-77.21278822483269
2030,sc01,01-07 09:00:00+01:00,-77.21278822483269
2030,sc01,01-07 11:00:00+01:00,-77.21278822483269
2030,sc01,01-07 13:00:00+01:00,-77.21278822483269
2030,sc01,01-07 15:00:00+01:00,-77.21278822483269
2030,sc01,01-07 17:00:00+01:00,-77.21278822483269
2030,sc01,01-07 19:00:00+01:00,-77.21278822483269
2030,sc01,01-07 21:00:00+01:00,-77.21278822483269
2030,sc01,01-07 23:00:00+01:00,-77.21278822483269
2030,sc01,01-08 01:00:00+01:00,-77.21278822483269
2030,sc01,01-08 03:00:00+01:00,-77.21278822483269
2030,sc01,01-08 05:00:00+01:00,-77.21278822483269
2030,sc01,01-08 07:00:00+01:00,-77.21278822483269
2030,sc01,01-08 09:00:00+01:00,-77.21278822483269
2030,sc01,01-08 11:00:00+01:00,-77.21278822483269
2030,sc01,01-08 13:00:00+01:00,-77.21278822483269
2030,sc01,01-08 15:00:00+01:00,-77.21278822483269
2030,sc01,01-08 17:00:00+01:00,-77.21278822483269
2030,sc01,01-08 19:00:00+01:00,-77.21278822483269
2030,sc01,01-08 21:00:00+01:00,-77.21278822483269
2030,sc01,01-08 23:00:00+01:00,-77.21278822483269
2030,sc01,01-09 01:00:00+01:00,-77.21278822483269
2030,sc01,01-09 03:00:00+01:00,-77.21278822483269
2030,sc01,01-09 05:00:00+01:00,-77.21278822483269
2030,sc01,01-09 07:00:00+01:00,-77.21278822483269
2030,sc01,01-09 09:00:00+01:00,-77.21278822483269
2030,sc01,01-09 11:00:00+01:00,-77.21278822483269
2030,sc01,01-09 13:00:00+01:00,-77.21278822483269
2030,sc01,01-09 15:00:00+01:00,-77.21278822483269
2030,sc01,01-09 17:00:00+01:00,-77.21278822483269
2030,sc01,01-09 19:00:00+01:00,-77.21278822483269
2030,sc01,01-09 21:00:00+01:00,-77.21278822483269
2030,sc01,01-09 23:00:00+01:00,-77.21278822483269
2030,sc01,01-10 01:00:00+01:00,-77.21278822483269
2030,sc01,01-10 03:00:00+01:00,-77.21278822483269
2030,sc01,01-10 05:00:00+01:00,-77.21278822483269
2030,sc01,01-10 07:00:00+01:00,-77.21278822483269
2030,sc01,01-10 09:00:00+01:00,-77.21278822483269
2030,sc01,01-10 11:00:00+01:00,-77.21278822483269
2030,sc01,01-10 13:00:00+01:00,-77.21278822483269
2030,sc01,01-10 15:00:00+01:00,-77.21278822483269
2030,sc01,01-10 17:00:00+01:00,-77.21278822483269
2030,sc01,01-10 19:00:00+01:00,-77.21278822483269
2030,sc01,01-10 21:00:00+01:00,-77.21278822483269
2030,sc01,01-10 23:00:00+01:00,-77.21278822483269
2030,sc01,01-11 01:00:00+01:00,-77.21278822483269
2030,sc01,01-11 03:00:00+01:00,-77.21278822483269
2030,sc01,01-11 05:00:00+01:00,-77.21278822483269
2030,sc01,01-11 07:00:00+01:00,-77.21278822483269
2030,sc01,01-11 09:00:00+01:00,-77.21278822483269
2030,sc01,01-11 11:00:00+01:00,-77.21278822483269
2030,sc01,01-11 13:00:00+01:00,-77.21278822483269
2030,sc01,01-11 15:00:00+01:00,-77.21278822483269
2030,sc01,01-11 17:00:00+01:00,-77.21278822483269
2030,sc01,01-11 19:00:00+01:00,-77.21278822483269
2030,sc01,01-11 21:00:00+01:00,-77.21278822483269
2030,sc01,01-11 23:00:00+01:00,-77.21278822483269
2030,sc01,01-12 01:00:00+01:00,-77.21278822483269
2030,sc01,01-12 03:00:00+01:00,-77.21278822483269
2030,sc01,01-12 05:00:00+01:00,-77.21278822483269
2030,sc01,01-12 07:00:00+01:00,-77.21278822483269
2030,sc01,01-12 09:00:00+01:00,-77.21278822483269
2030,sc01,01-12 11:00:00+01:00,-77.21278822483269
2030,sc01,01-12 13:00:00+01:00,-77.21278822483269
2030,sc01,01-12 15:00:00+01:00,-77.21278822483269
2030,sc01,01-12 17:00:00+01:00,-77.21278822483269
2030,sc01,01-12 19:00:00+01:00,-77.21278822483269
2030,sc01,01-12 21:00:00+01:00,-77.21278822483269
2030,sc01,01-12 23:00:00+01:00,-77.21278822483269
2030,sc01,01-13 01:00:00+01:00,-77.21278822483269
2030,sc01,01-13 03:00:00+01:00,-77.21278822483269
2030,sc01,01-13 05:00:00+01:00,-77.21278822483269
2030,sc01,01-13 07:00:00+01:00,-77.21278822483269
2030,sc01,01-13 09:00:00+01:00,-77.21278822483269
2030,sc01,01-13 11:00:00+01:00,-77.21278822483269
2030,sc01,01-13 13:00:00+01:00,-77.21278822483269
2030,sc01,01-13 15:00:00+01:00,-77.21278822483269
2030,sc01,01-13 17:00:00+01:00,-77.21278822483269
2030,sc01,01-13 19:00:00+01:00,-77.21278822483269
2030,sc01,01-13 21:00:00+01:00,-77.21278822483269
2030,sc01,01-13 23:00:00+01:00,-77.21278822483269
2030,sc01,01-14 01:00:00+01:00,-77.21278822483269
2030,sc01,01-14 03:00:00+01:00,-77.21278822483269
2030,sc01,01-14 05:00:00+01:00,-77.21278822483269
2030,sc01,01-14 07:00:00+01:00,-77.21278822483269
2030,sc01,01-14 09:00:00+01:00,-77.21278822483269
2030,sc01,01-14 11:00:00+01:00,-77.21278822483269
2030,sc01,01-14 13:00:00+01:00,-77.21278822483269
2030,sc01,01-14 15:00:00+01:00,-77.21278822483269
2030,sc01,01-14 17:00:00+01:00,-77.21278822483269
2030,sc01,01-14 19:00:00+01:00,-77.21278822483269
2030,sc01,01-14 21:00:00+01:00,-77.21278822483269
2030,sc01,01-14 23:00:00+01:00,-77.21278822483269
2030,sc01,01-15 01:00:00+01:00,-77.21278822483269
2030,sc01,01-15 03:00:00+01:00,-77.21278822483269
2030,sc01,01-15 05:00:00+01:00,-77.21278822483269
2030,sc01,01-15 07:00:00+01:00,-77.21278822483269
2030,sc01,01-15 09:00:00+01:00,-77.21278822483269
2030,sc01,01-15 11:00:00+01:00,-77.21278822483269
2030,sc01,01-15 13:00:00+01:00,-77.21278822483269
2030,sc01,01-15 15:00:00+01:00,-77.21278822483269
2030,sc01,01-15 17:00:00+01:00,-77.21278822483269
2030,sc01,01-15 19:00:00+01:00,-77.21278822483269
2030,sc01,01-15 21:00:00+01:00,-77.21278822483269
2030,sc01,01-15 23:00:00+01:00,-77.21278822483269
2030,sc01,01-16 01:00:00+01:00,-77.21278822483269
2030,sc01,01-16 03:00:00+01:00,-77.21278822483269
2030,sc01,01-16 05:00:00+01:00,-77.21278822483269
2030,sc01,01-16 07:00:00+01:00,-77.21278822483269
2030,sc01,01-16 09:00:00+01:00,-77.21278822483269
2030,sc01,01-16 11:00:00+01:00,-77.21278822483269
2030,sc01,01-16 13:00:00+01:00,-77.21278822483269
2030,sc01,01-16 15:00:00+01:00,-77.21278822483269
2030,sc01,01-16 17:00:00+01:00,-77.21278822483269
2030,sc01,01-16 19:00:00+01:00,-77.21278822483269
2030,sc01,01-16 21:00:00+01:00,-77.21278822483269
2030,sc01,01-16 23:00:00+01:00,-77.21278822483269
2030,sc01,01-17 01:00:00+01:00,-77.21278822483269
2030,sc01,01-17 03:00:00+01:00,-77.21278822483269
