Period,Scenario,LoadLevel,MW
2030,sc01,01-01 01:00:00+01:00,600.8931912655
2030,sc01,01-01 03:00:00+01:00,556.947589849
2030,sc01,01-01 05:00:00+01:00,672.700279144
2030,sc01,01-01 07:00:00+01:00,968.7715097055
2030,sc01,01-01 09:00:00+01:00,1013.2576278624999
2030,sc01,01-01 11:00:00+01:00,759.0708092899999
2030,sc01,01-01 13:00:00+01:00,717.6039051884999
2030,sc01,01-01 15:00:00+01:00,682.0878838135001
2030,sc01,01-01 17:00:00+01:00,883.0803041145
2030,sc01,01-01 19:00:00+01:00,1174.1465074745
2030,sc01,01-01 21:00:00+01:00,1077.8493768859998
2030,sc01,01-01 23:00:00+01:00,824.1690116125
2030,sc01,01-02 01:00:00+01:00,670.8139456604999
2030,sc01,01-02 03:00:00+01:00,623.6789435439999
2030,sc01,01-02 05:00:00+01:00,719.3712266489999
2030,sc01,01-02 07:00:00+01:00,996.2518874955
2030,sc01,01-02 09:00:00+01:00,1053.480696394
2030,sc01,01-02 11:00:00+01:00,822.1355206745
2030,sc01,01-02 13:00:00+01:00,788.051180041
2030,sc01,01-02 15:00:00+01:00,751.1370805495001
2030,sc01,01-02 17:00:00+01:00,955.133208613
2030,sc01,01-02 19:00:00+01:00,1237.0115421589999
2030,sc01,01-02 21:00:00+01:00,1121.611310581
2030,sc01,01-02 23:00:00+01:00,852.2165356175
2030,sc01,01-03 01:00:00+01:00,688.2691597905
2030,sc01,01-03 03:00:00+01:00,647.420558789
2030,sc01,01-03 05:00:00+01:00,735.816410774
2030,sc01,01-03 07:00:00+01:00,1026.5602907355
2030,sc01,01-03 09:00:00+01:00,1081.616295649
2030,sc01,01-03 11:00:00+01:00,852.823673642
2030,sc01,01-03 13:00:00+01:00,801.7551413745
2030,sc01,01-03 15:00:00+01:00,748.0542627545001
2030,sc01,01-03 17:00:00+01:00,964.9607147215
2030,sc01,01-03 19:00:00+01:00,1239.3441169025
2030,sc01,01-03 21:00:00+01:00,1143.670604596
2030,sc01,01-03 23:00:00+01:00,864.4718477424999
2030,sc01,01-04 01:00:00+01:00,707.3654364555
2030,sc01,01-04 03:00:00+01:00,641.807742354
2030,sc01,01-04 05:00:00+01:00,722.751038739
2030,sc01,01-04 07:00:00+01:00,1007.0619517205
2030,sc01,01-04 09:00:00+01:00,1068.1617191525
2030,sc01,01-04 11:00:00+01:00,844.3302918905
2030,sc01,01-04 13:00:00+01:00,804.290792316
2030,sc01,01-04 15:00:00+01:00,759.417813694
2030,sc01,01-04 17:00:00+01:00,955.0792011135
2030,sc01,01-04 19:00:00+01:00,1257.4242266859999
2030,sc01,01-04 21:00:00+01:00,1159.042196566
2030,sc01,01-04 23:00:00+01:00,886.1457719125
2030,sc01,01-05 01:00:00+01:00,723.6881511954999
2030,sc01,01-05 03:00:00+01:00,660.701732164
2030,sc01,01-05 05:00:00+01:00,762.3554224989999
2030,sc01,01-05 07:00:00+01:00,1083.9036238155
2030,sc01,01-05 09:00:00+01:00,1166.440557458
2030,sc01,01-05 11:00:00+01:00,1009.58037121
2030,sc01,01-05 13:00:00+01:00,955.0538282289999
2030,sc01,01-05 15:00:00+01:00,872.4548850855
2030,sc01,01-05 17:00:00+01:00,1023.326766368
2030,sc01,01-05 19:00:00+01:00,1202.2372488785
2030,sc01,01-05 21:00:00+01:00,1080.966935636
2030,sc01,01-05 23:00:00+01:00,816.9122560975
2030,sc01,01-06 01:00:00+01:00,679.7097508654999
2030,sc01,01-06 03:00:00+01:00,643.261312034
2030,sc01,01-06 05:00:00+01:00,736.729617424
2030,sc01,01-06 07:00:00+01:00,1037.7203630805
2030,sc01,01-06 09:00:00+01:00,1101.4252143765
2030,sc01,01-06 11:00:00+01:00,908.655892828
2030,sc01,01-06 13:00:00+01:00,862.940151285
2030,sc01,01-06 15:00:00+01:00,714.2777100195
2030,sc01,01-06 17:00:00+01:00,864.2246493245
2030,sc01,01-06 19:00:00+01:00,1103.967897912
2030,sc01,01-06 21:00:00+01:00,978.387678991
2030,sc01,01-06 23:00:00+01:00,709.2955944125
2030,sc01,01-07 01:00:00+01:00,573.4750697005
2030,sc01,01-07 03:00:00+01:00,543.816453874
2030,sc01,01-07 05:00:00+01:00,666.288869464
2030,sc01,01-07 07:00:00+01:00,985.1256023155
2030,sc01,01-07 09:00:00+01:00,1090.3030579219999
2030,sc01,01-07 11:00:00+01:00,847.774115158
2030,sc01,01-07 13:00:00+01:00,746.3592997799999
2030,sc01,01-07 15:00:00+01:00,657.4703737425
2030,sc01,01-07 17:00:00+01:00,850.387010066
2030,sc01,01-07 19:00:00+01:00,1120.306046397
2030,sc01,01-07 21:00:00+01:00,996.466341116
2030,sc01,01-07 23:00:00+01:00,769.0531278325
2030,sc01,01-08 01:00:00+01:00,642.8431421954999
2030,sc01,01-08 03:00:00+01:00,641.0702752990001
2030,sc01,01-08 05:00:00+01:00,746.572912689
2030,sc01,01-08 07:00:00+01:00,1091.3008241755
2030,sc01,01-08 09:00:00+01:00,1208.051313054
2030,sc01,01-08 11:00:00+01:00,941.1796964064999
2030,sc01,01-08 13:00:00+01:00,862.5695864679999
2030,sc01,01-08 15:00:00+01:00,755.81686512
2030,sc01,01-08 17:00:00+01:00,891.4842813614999
2030,sc01,01-08 19:00:00+01:00,1147.3589534555
2030,sc01,01-08 21:00:00+01:00,1067.962804836
2030,sc01,01-08 23:00:00+01:00,784.7653488475
2030,sc01,01-09 01:00:00+01:00,627.5101019604999
2030,sc01,01-09 03:00:00+01:00,573.212489729
2030,sc01,01-09 05:00:00+01:00,708.585887629
2030,sc01,01-09 07:00:00+01:00,1043.5607966655
2030,sc01,01-09 09:00:00+01:00,1103.7303529295
2030,sc01,01-09 11:00:00+01:00,874.0346891674999
2030,sc01,01-09 13:00:00+01:00,812.8526821615
2030,sc01,01-09 15:00:00+01:00,716.71417084
2030,sc01,01-09 17:00:00+01:00,864.5486622479999
2030,sc01,01-09 19:00:00+01:00,1124.6071881854998
2030,sc01,01-09 21:00:00+01:00,1035.800179801
2030,sc01,01-09 23:00:00+01:00,775.0878392174999
2030,sc01,01-10 01:00:00+01:00,641.5395571355
2030,sc01,01-10 03:00:00+01:00,604.151185079
2030,sc01,01-10 05:00:00+01:00,729.777952979
2030,sc01,01-10 07:00:00+01:00,1036.7938301555
2030,sc01,01-10 09:00:00+01:00,1074.8714518855
2030,sc01,01-10 11:00:00+01:00,814.367699498
2030,sc01,01-10 13:00:00+01:00,769.0579536414999
2030,sc01,01-10 15:00:00+01:00,717.2390069595
2030,sc01,01-10 17:00:00+01:00,904.5684833805
2030,sc01,01-10 19:00:00+01:00,1191.3935842395
2030,sc01,01-10 21:00:00+01:00,1093.397931501
2030,sc01,01-10 23:00:00+01:00,813.7116838425
2030,sc01,01-11 01:00:00+01:00,662.8766757105
2030,sc01,01-11 03:00:00+01:00,621.276128094
2030,sc01,01-11 05:00:00+01:00,746.3548671039999
2030,sc01,01-11 07:00:00+01:00,1061.1387351355
2030,sc01,01-11 09:00:00+01:00,1110.6729339425
2030,sc01,01-11 11:00:00+01:00,889.6561088039999
2030,sc01,01-11 13:00:00+01:00,846.3131702814999
2030,sc01,01-11 15:00:00+01:00,767.3137539595
2030,sc01,01-11 17:00:00+01:00,928.2386193264999
2030,sc01,01-11 19:00:00+01:00,1184.2102551584999
2030,sc01,01-11 21:00:00+01:00,1092.300914051
2030,sc01,01-11 23:00:00+01:00,837.6583120175
2030,sc01,01-12 01:00:00+01:00,684.8080473504999
2030,sc01,01-12 03:00:00+01:00,639.744084629
2030,sc01,01-12 05:00:00+01:00,762.280224504
2030,sc01,01-12 07:00:00+01:00,1067.1645242255
2030,sc01,01-12 09:00:00+01:00,1136.924414078
2030,sc01,01-12 11:00:00+01:00,917.5423458229999
2030,sc01,01-12 13:00:00+01:00,863.471151591
2030,sc01,01-12 15:00:00+01:00,775.8019982495
2030,sc01,01-12 17:00:00+01:00,922.992738424
2030,sc01,01-12 19:00:00+01:00,1162.893779564
2030,sc01,01-12 21:00:00+01:00,1059.407093571
2030,sc01,01-12 23:00:00+01:00,790.5571612775
2030,sc01,01-13 01:00:00+01:00,667.0833791755
2030,sc01,01-13 03:00:00+01:00,648.025298839
2030,sc01,01-13 05:00:00+01:00,789.573580364
2030,sc01,01-13 07:00:00+01:00,1115.4486609205
2030,sc01,01-13 09:00:00+01:00,1187.096994395
2030,sc01,01-13 11:00:00+01:00,952.7363343129999
2030,sc01,01-13 13:00:00+01:00,877.3884714074999
2030,sc01,01-13 15:00:00+01:00,778.7853834685
2030,sc01,01-13 17:00:00+01:00,940.693326826
2030,sc01,01-13 19:00:00+01:00,1193.3356047585
2030,sc01,01-13 21:00:00+01:00,1065.442026581
2030,sc01,01-13 23:00:00+01:00,812.6792910775
2030,sc01,01-14 01:00:00+01:00,681.2233096154999
2030,sc01,01-14 03:00:00+01:00,650.315697709
2030,sc01,01-14 05:00:00+01:00,773.1003623189999
2030,sc01,01-14 07:00:00+01:00,1081.0721038405
2030,sc01,01-14 09:00:00+01:00,1145.5619057024999
2030,sc01,01-14 11:00:00+01:00,918.1291463169999
2030,sc01,01-14 13:00:00+01:00,845.5579737935
2030,sc01,01-14 15:00:00+01:00,763.5319760275
2030,sc01,01-14 17:00:00+01:00,931.922345394
2030,sc01,01-14 19:00:00+01:00,1184.9872430785
2030,sc01,01-14 21:00:00+01:00,1061.203872041
2030,sc01,01-14 23:00:00+01:00,799.5038049924999
2030,sc01,01-15 01:00:00+01:00,664.0923374655
2030,sc01,01-15 03:00:00+01:00,612.413793529
2030,sc01,01-15 05:00:00+01:00,734.019558784
2030,sc01,01-15 07:00:00+01:00,1048.6855368805
2030,sc01,01-15 09:00:00+01:00,1125.6320849665
2030,sc01,01-15 11:00:00+01:00,924.7713594439999
2030,sc01,01-15 13:00:00+01:00,848.9093468079999
2030,sc01,01-15 15:00:00+01:00,749.1603247875
2030,sc01,01-15 17:00:00+01:00,875.7917321379999
2030,sc01,01-15 19:00:00+01:00,1086.222918128
2030,sc01,01-15 21:00:00+01:00,955.856180281
2030,sc01,01-15 23:00:00+01:00,694.7455628525
2030,sc01,01-16 01:00:00+01:00,587.6026499454999
2030,sc01,01-16 03:00:00+01:00,571.969750134
2030,sc01,01-16 05:00:00+01:00,682.857089999
2030,sc01,01-16 07:00:00+01:00,991.5839643005
2030,sc01,01-16 09:00:00+01:00,1044.687878586
2030,sc01,01-16 11:00:00+01:00,779.930035895
2030,sc01,01-16 13:00:00+01:00,704.7781421635
2030,sc01,01-16 15:00:00+01:00,638.703402821
2030,sc01,01-16 17:00:00+01:00,793.856242093
2030,sc01,01-16 19:00:00+01:00,1050.116113139
2030,sc01,01-16 21:00:00+01:00,945.7895055409999
2030,sc01,01-16 23:00:00+01:00,691.8574293275
2030,sc01,01-17 01:00:00+01:00,568.2082781255
2030,sc01,01-17 03:00:00+01:00,551.539858609
2030,sc01,01-17 05:00:00+01:00,694.6143368840001
2030,sc01,01-17 07:00:00+01:00,1019.3997320905
2030,sc01,01-17 09:00:00+01:00,1075.9967585155
2030,sc01,01-17 11:00:00+01:00,791.6247474945
2030,sc01,01-17 13:00:00+01:00,706.957613284
2030,sc01,01-17 15:00:00+01:00,646.9491745605001
2030,sc01,01-17 17:00:00+01:00,803.630635645
2030,sc01,01-17 19:00:00+01:00,1074.6785319409998
2030,sc01,01-17 21:00:00+01:00,997.364874461
2030,sc01,01-17 23:00:00+01:00,719.2430581075
2030,sc01,01-18 01:00:00+01:00,594.7864397605
2030,sc01,01-18 03:00:00+01:00,575.339641284
2030,sc01,01-18 05:00:00+01:00,724.719637919
2030,sc01,01-18 07:00:00+01:00,1035.2785855805
2030,sc01,01-18 09:00:00+01:00,1083.0245148175
2030,sc01,01-18 11:00:00+01:00,816.6677968524999
2030,sc01,01-18 13:00:00+01:00,734.4566593105
2030,sc01,01-18 15:00:00+01:00,673.287812998
2030,sc01,01-18 17:00:00+01:00,839.6935208699999
2030,sc01,01-18 19:00:00+01:00,1114.1509006325
2030,sc01,01-18 21:00:00+01:00,1018.5424026009999
2030,sc01,01-18 23:00:00+01:00,711.2061859025
2030,sc01,01-19 01:00:00+01:00,576.3561450055
2030,sc01,01-19 03:00:00+01:00,563.632259014
2030,sc01,01-19 05:00:00+01:00,697.597350129
2030,sc01,01-19 07:00:00+01:00,1013.8564354705001
2030,sc01,01-19 09:00:00+01:00,1079.4014801275
2030,sc01,01-19 11:00:00+01:00,827.312951131
2030,sc01,01-19 13:00:00+01:00,750.4515496339999
2030,sc01,01-19 15:00:00+01:00,671.7187299775
2030,sc01,01-19 17:00:00+01:00,838.1375840789999
2030,sc01,01-19 19:00:00+01:00,1097.267598726
2030,sc01,01-19 21:00:00+01:00,996.776141306
2030,sc01,01-19 23:00:00+01:00,711.2113279624999
2030,sc01,01-20 01:00:00+01:00,577.1432201655
2030,sc01,01-20 03:00:00+01:00,551.403648159
2030,sc01,01-20 05:00:00+01:00,681.6249372890001
2030,sc01,01-20 07:00:00+01:00,1010.1987414605001
2030,sc01,01-20 09:00:00+01:00,1098.4628566474998
2030,sc01,01-20 11:00:00+01:00,869.3218269749999
2030,sc01,01-20 13:00:00+01:00,797.254484168
2030,sc01,01-20 15:00:00+01:00,722.6732815715
2030,sc01,01-20 17:00:00+01:00,898.8449879364999
2030,sc01,01-20 19:00:00+01:00,1166.646968178
2030,sc01,01-20 21:00:00+01:00,1070.355471931
2030,sc01,01-20 23:00:00+01:00,802.5952249775
2030,sc01,01-21 01:00:00+01:00,659.3626574154999
2030,sc01,01-21 03:00:00+01:00,610.6345480790001
2030,sc01,01-21 05:00:00+01:00,728.114165614
2030,sc01,01-21 07:00:00+01:00,1053.5304312705
2030,sc01,01-21 09:00:00+01:00,1103.173552169
2030,sc01,01-21 11:00:00+01:00,846.6510425634999
2030,sc01,01-21 13:00:00+01:00,773.6275699895
2030,sc01,01-21 15:00:00+01:00,734.2417621459999
2030,sc01,01-21 17:00:00+01:00,933.2521759345
2030,sc01,01-21 19:00:00+01:00,1210.2236984664999
2030,sc01,01-21 21:00:00+01:00,1106.811310941
2030,sc01,01-21 23:00:00+01:00,833.0195600225
2030,sc01,01-22 01:00:00+01:00,676.3942663605
2030,sc01,01-22 03:00:00+01:00,628.1217856840001
2030,sc01,01-22 05:00:00+01:00,732.330820024
2030,sc01,01-22 07:00:00+01:00,1022.7911269255001
2030,sc01,01-22 09:00:00+01:00,1079.114357889
2030,sc01,01-22 11:00:00+01:00,867.7377957414999
2030,sc01,01-22 13:00:00+01:00,822.2793615579999
2030,sc01,01-22 15:00:00+01:00,766.4727974545
2030,sc01,01-22 17:00:00+01:00,951.995883197
2030,sc01,01-22 19:00:00+01:00,1225.4299414754998
2030,sc01,01-22 21:00:00+01:00,1115.319796221
2030,sc01,01-22 23:00:00+01:00,823.1085395375
2030,sc01,01-23 01:00:00+01:00,663.4613626205
2030,sc01,01-23 03:00:00+01:00,621.073820039
2030,sc01,01-23 05:00:00+01:00,737.890704969
2030,sc01,01-23 07:00:00+01:00,1052.3655101955
2030,sc01,01-23 09:00:00+01:00,1113.8806945689998
2030,sc01,01-23 11:00:00+01:00,886.4395645115
2030,sc01,01-23 13:00:00+01:00,835.7142777605
2030,sc01,01-23 15:00:00+01:00,761.158288962
2030,sc01,01-23 17:00:00+01:00,925.590993522
2030,sc01,01-23 19:00:00+01:00,1190.368662403
2030,sc01,01-23 21:00:00+01:00,1104.225338216
2030,sc01,01-23 23:00:00+01:00,863.4682587775
2030,sc01,01-24 01:00:00+01:00,718.0107289955
2030,sc01,01-24 03:00:00+01:00,657.659309314
2030,sc01,01-24 05:00:00+01:00,764.525646494
2030,sc01,01-24 07:00:00+01:00,1067.6957628405
2030,sc01,01-24 09:00:00+01:00,1138.0530815524999
2030,sc01,01-24 11:00:00+01:00,918.8315665779999
2030,sc01,01-24 13:00:00+01:00,856.1968352424999
2030,sc01,01-24 15:00:00+01:00,774.039476703
2030,sc01,01-24 17:00:00+01:00,935.9057629335
