Period,Scenario,LoadLevel,Senegal
,,,Senegal
2030,sc01,01-01 01:00:00+01:00,0.011206880044986068
2030,sc01,01-01 03:00:00+01:00,0.008829406916762062
2030,sc01,01-01 05:00:00+01:00,0.01741921771978682
2030,sc01,01-01 07:00:00+01:00,0.016064819576252654
2030,sc01,01-01 09:00:00+01:00,0.016825263090410728
2030,sc01,01-01 11:00:00+01:00,0.014021717723296172
2030,sc01,01-01 13:00:00+01:00,0.0066510819185096
2030,sc01,01-01 15:00:00+01:00,0.004245143942454602
2030,sc01,01-01 17:00:00+01:00,0.014132222530324067
2030,sc01,01-01 19:00:00+01:00,0.0258299141266963
2030,sc01,01-01 21:00:00+01:00,0.022298797651589302
2030,sc01,01-01 23:00:00+01:00,0.026225019368487656
2030,sc01,01-02 01:00:00+01:00,0.01766663394122735
2030,sc01,01-02 03:00:00+01:00,0.013492707570923551
2030,sc01,01-02 05:00:00+01:00,0.021784210242434075
2030,sc01,01-02 07:00:00+01:00,0.017714337275156804
2030,sc01,01-02 09:00:00+01:00,0.019322550552845902
2030,sc01,01-02 11:00:00+01:00,0.018222327244544548
2030,sc01,01-02 13:00:00+01:00,0.014184136635465156
2030,sc01,01-02 15:00:00+01:00,0.011596941083491304
2030,sc01,01-02 17:00:00+01:00,0.009485802973036177
2030,sc01,01-02 19:00:00+01:00,0.032552895373444746
2030,sc01,01-02 21:00:00+01:00,0.024743789105088863
2030,sc01,01-02 23:00:00+01:00,0.025025058237009807
2030,sc01,01-03 01:00:00+01:00,0.019363876438497428
2030,sc01,01-03 03:00:00+01:00,0.015762679809392773
2030,sc01,01-03 05:00:00+01:00,0.023392977054603234
2030,sc01,01-03 07:00:00+01:00,0.019395632835235762
2030,sc01,01-03 09:00:00+01:00,0.02082851033217208
2030,sc01,01-03 11:00:00+01:00,0.017748597853121256
2030,sc01,01-03 13:00:00+01:00,0.0158233600184602
2030,sc01,01-03 15:00:00+01:00,0.01117874647080766
2030,sc01,01-03 17:00:00+01:00,0.010088401236378414
2030,sc01,01-03 19:00:00+01:00,0.03231961904137714
2030,sc01,01-03 21:00:00+01:00,0.026048740711251205
2030,sc01,01-03 23:00:00+01:00,0.02456218518214452
2030,sc01,01-04 01:00:00+01:00,0.02122177457976544
2030,sc01,01-04 03:00:00+01:00,0.015342684229605474
2030,sc01,01-04 05:00:00+01:00,0.02227797161884858
2030,sc01,01-04 07:00:00+01:00,0.018471667497193173
2030,sc01,01-04 09:00:00+01:00,0.020242904744628497
2030,sc01,01-04 11:00:00+01:00,0.01674315804975278
2030,sc01,01-04 13:00:00+01:00,0.014827705131493632
2030,sc01,01-04 15:00:00+01:00,0.011808435523179601
2030,sc01,01-04 17:00:00+01:00,0.008888244016301785
2030,sc01,01-04 19:00:00+01:00,0.034226941377175864
2030,sc01,01-04 21:00:00+01:00,0.027569148860982384
2030,sc01,01-04 23:00:00+01:00,0.023670303746336042
2030,sc01,01-05 01:00:00+01:00,0.022823221694987135
2030,sc01,01-05 03:00:00+01:00,0.017150525539565482
2030,sc01,01-05 05:00:00+01:00,0.02599667734115906
2030,sc01,01-05 07:00:00+01:00,0.022618736381344318
2030,sc01,01-05 09:00:00+01:00,0.02584825972191141
2030,sc01,01-05 11:00:00+01:00,0.01435259224522104
2030,sc01,01-05 13:00:00+01:00,0.008198845352259471
2030,sc01,01-05 15:00:00+01:00,0.014985620301215714
2030,sc01,01-05 17:00:00+01:00,0.014651761673286124
2030,sc01,01-05 19:00:00+01:00,0.02926248610240942
2030,sc01,01-05 21:00:00+01:00,0.02283191695639879
2030,sc01,01-05 23:00:00+01:00,0.026927461296740857
2030,sc01,01-06 01:00:00+01:00,0.018834169721048306
2030,sc01,01-06 03:00:00+01:00,0.01563561359789873
2030,sc01,01-06 05:00:00+01:00,0.023713495093734
2030,sc01,01-06 07:00:00+01:00,0.020228064685388736
2030,sc01,01-06 09:00:00+01:00,0.021914423015584356
2030,sc01,01-06 11:00:00+01:00,0.013728855487872046
2030,sc01,01-06 13:00:00+01:00,0.012409106283037985
2030,sc01,01-06 15:00:00+01:00,0.007446435375589143
2030,sc01,01-06 17:00:00+01:00,0.01609738042571799
2030,sc01,01-06 19:00:00+01:00,0.022102907699975857
2030,sc01,01-06 21:00:00+01:00,0.017413559491010623
2030,sc01,01-06 23:00:00+01:00,0.019271382313619377
2030,sc01,01-07 01:00:00+01:00,0.01008493950933648
2030,sc01,01-07 03:00:00+01:00,0.00864151695876467
2030,sc01,01-07 05:00:00+01:00,0.017308702038011464
2030,sc01,01-07 07:00:00+01:00,0.017362663700119997
2030,sc01,01-07 09:00:00+01:00,0.021539753500392972
2030,sc01,01-07 11:00:00+01:00,0.01651461231674935
2030,sc01,01-07 13:00:00+01:00,0.009321451754383443
2030,sc01,01-07 15:00:00+01:00,0.0018739061862720913
2030,sc01,01-07 17:00:00+01:00,0.015478304940018502
2030,sc01,01-07 19:00:00+01:00,0.022888847332559095
2030,sc01,01-07 21:00:00+01:00,0.018482768099791335
2030,sc01,01-07 23:00:00+01:00,0.024816969493389487
2030,sc01,01-08 01:00:00+01:00,0.015596862128091405
2030,sc01,01-08 03:00:00+01:00,0.015563170168140827
2030,sc01,01-08 05:00:00+01:00,0.024738099948316918
2030,sc01,01-08 07:00:00+01:00,0.023218695244184216
2030,sc01,01-08 09:00:00+01:00,0.029380803406308283
2030,sc01,01-08 11:00:00+01:00,0.009882528546010266
2030,sc01,01-08 13:00:00+01:00,0.011712758644354459
2030,sc01,01-08 15:00:00+01:00,0.010887133887456591
2030,sc01,01-08 17:00:00+01:00,0.013543272069646195
2030,sc01,01-08 19:00:00+01:00,0.024396816859123295
2030,sc01,01-08 21:00:00+01:00,0.02233492140590708
2030,sc01,01-08 23:00:00+01:00,0.026323145840946034
2030,sc01,01-09 01:00:00+01:00,0.014253820836490811
2030,sc01,01-09 03:00:00+01:00,0.010311003004388366
2030,sc01,01-09 05:00:00+01:00,0.021296387460186302
2030,sc01,01-09 07:00:00+01:00,0.02071301267405779
2030,sc01,01-09 09:00:00+01:00,0.022183667075391208
2030,sc01,01-09 11:00:00+01:00,0.015132523346939264
2030,sc01,01-09 13:00:00+01:00,0.014255363774906377
2030,sc01,01-09 15:00:00+01:00,0.007422001078170953
2030,sc01,01-09 17:00:00+01:00,0.014975228082500364
2030,sc01,01-09 19:00:00+01:00,0.023216351681285823
2030,sc01,01-09 21:00:00+01:00,0.020662586985844635
2030,sc01,01-09 23:00:00+01:00,0.025484867817895933
2030,sc01,01-10 01:00:00+01:00,0.015566629877917538
2030,sc01,01-10 03:00:00+01:00,0.012287424953080713
2030,sc01,01-10 05:00:00+01:00,0.023276816066193935
2030,sc01,01-10 07:00:00+01:00,0.020394817071641765
2030,sc01,01-10 09:00:00+01:00,0.020708681686501335
2030,sc01,01-10 11:00:00+01:00,0.01795059798635062
2030,sc01,01-10 13:00:00+01:00,0.011488491378183823
2030,sc01,01-10 15:00:00+01:00,0.007437460546543205
2030,sc01,01-10 17:00:00+01:00,0.013104532388358885
2030,sc01,01-10 19:00:00+01:00,0.027704925921515154
2030,sc01,01-10 21:00:00+01:00,0.023790406917584994
2030,sc01,01-10 23:00:00+01:00,0.027367739210620856
2030,sc01,01-11 01:00:00+01:00,0.017539271637769714
2030,sc01,01-11 03:00:00+01:00,0.013870478873992703
2030,sc01,01-11 05:00:00+01:00,0.024824761910789837
2030,sc01,01-11 07:00:00+01:00,0.02171096189755898
2030,sc01,01-11 09:00:00+01:00,0.022662513618206048
2030,sc01,01-11 11:00:00+01:00,0.014569207550364805
2030,sc01,01-11 13:00:00+01:00,0.012858007781755837
2030,sc01,01-11 15:00:00+01:00,0.012241273701068714
2030,sc01,01-11 17:00:00+01:00,0.010936230003395825
2030,sc01,01-11 19:00:00+01:00,0.027104554027578776
2030,sc01,01-11 21:00:00+01:00,0.023756251277369047
2030,sc01,01-11 23:00:00+01:00,0.02627435882249285
2030,sc01,01-12 01:00:00+01:00,0.019559826079073462
2030,sc01,01-12 03:00:00+01:00,0.015574406425979936
2030,sc01,01-12 05:00:00+01:00,0.02630512225943878
2030,sc01,01-12 07:00:00+01:00,0.022052403610001308
2030,sc01,01-12 09:00:00+01:00,0.02407316502632342
2030,sc01,01-12 11:00:00+01:00,0.013156969258467122
2030,sc01,01-12 13:00:00+01:00,0.01193912210700249
2030,sc01,01-12 15:00:00+01:00,0.012927930225775913
2030,sc01,01-12 17:00:00+01:00,0.01158780853190514
2030,sc01,01-12 19:00:00+01:00,0.025300181457664543
2030,sc01,01-12 21:00:00+01:00,0.022006332751665483
2030,sc01,01-12 23:00:00+01:00,0.026979131616494
2030,sc01,01-13 01:00:00+01:00,0.01795777963041702
2030,sc01,01-13 03:00:00+01:00,0.016346453920919428
2030,sc01,01-13 05:00:00+01:00,0.028849065073533593
2030,sc01,01-13 07:00:00+01:00,0.0246648017154779
2030,sc01,01-13 09:00:00+01:00,0.027652084678503185
2030,sc01,01-13 11:00:00+01:00,0.009164366305162703
2030,sc01,01-13 13:00:00+01:00,0.011410123137644248
2030,sc01,01-13 15:00:00+01:00,0.013360764487605956
2030,sc01,01-13 17:00:00+01:00,0.009565597634764705
2030,sc01,01-13 19:00:00+01:00,0.028199851934855358
2030,sc01,01-13 21:00:00+01:00,0.022346164769349464
2030,sc01,01-13 23:00:00+01:00,0.027475688089046803
2030,sc01,01-14 01:00:00+01:00,0.019270270455820717
2030,sc01,01-14 03:00:00+01:00,0.01657742955496919
2030,sc01,01-14 05:00:00+01:00,0.027334894166966984
2030,sc01,01-14 07:00:00+01:00,0.022836588276265123
2030,sc01,01-14 09:00:00+01:00,0.024584491202982492
2030,sc01,01-14 11:00:00+01:00,0.013109449668163659
2030,sc01,01-14 13:00:00+01:00,0.012951166760783164
2030,sc01,01-14 15:00:00+01:00,0.011990813195764621
2030,sc01,01-14 17:00:00+01:00,0.010408492461493437
2030,sc01,01-14 19:00:00+01:00,0.027149795627700653
2030,sc01,01-14 21:00:00+01:00,0.022140382003743676
2030,sc01,01-14 23:00:00+01:00,0.02783678566354596
2030,sc01,01-15 01:00:00+01:00,0.017729292101335826
2030,sc01,01-15 03:00:00+01:00,0.013142486906295079
2030,sc01,01-15 05:00:00+01:00,0.023764504766946363
2030,sc01,01-15 07:00:00+01:00,0.021120733752620056
2030,sc01,01-15 09:00:00+01:00,0.023530739026070342
2030,sc01,01-15 11:00:00+01:00,0.0123117091779433
2030,sc01,01-15 13:00:00+01:00,0.012718403596887714
2030,sc01,01-15 15:00:00+01:00,0.010493237523312058
2030,sc01,01-15 17:00:00+01:00,0.014437518179160419
2030,sc01,01-15 19:00:00+01:00,0.021125887500935164
2030,sc01,01-15 21:00:00+01:00,0.016743710688263323
2030,sc01,01-15 23:00:00+01:00,0.01823215118507731
2030,sc01,01-16 01:00:00+01:00,0.01110190906646649
2030,sc01,01-16 03:00:00+01:00,0.010405865624995226
2030,sc01,01-16 05:00:00+01:00,0.019089768528782185
2030,sc01,01-16 07:00:00+01:00,0.018165874190933122
2030,sc01,01-16 09:00:00+01:00,0.019288786513383095
2030,sc01,01-16 11:00:00+01:00,0.016396302815263598
2030,sc01,01-16 13:00:00+01:00,0.005701185527786668
2030,sc01,01-16 15:00:00+01:00,0.00028541525059484936
2030,sc01,01-16 17:00:00+01:00,0.016797644095220242
2030,sc01,01-16 19:00:00+01:00,0.019215336901852117
2030,sc01,01-16 21:00:00+01:00,0.01712450985972997
2030,sc01,01-16 23:00:00+01:00,0.01798800796678842
2030,sc01,01-17 01:00:00+01:00,0.010093311769710147
2030,sc01,01-17 03:00:00+01:00,0.00935112085029717
2030,sc01,01-17 05:00:00+01:00,0.02018770626381842
2030,sc01,01-17 07:00:00+01:00,0.01963674557562429
2030,sc01,01-17 09:00:00+01:00,0.020940062318144676
2030,sc01,01-17 11:00:00+01:00,0.017383082365916354
2030,sc01,01-17 13:00:00+01:00,0.0057042246114441565
2030,sc01,01-17 15:00:00+01:00,0.0008654109797914748
2030,sc01,01-17 17:00:00+01:00,0.017532248961820616
2030,sc01,01-17 19:00:00+01:00,0.020455355684095962
2030,sc01,01-17 21:00:00+01:00,0.018832381358450417
2030,sc01,01-17 23:00:00+01:00,0.020525327938680633
2030,sc01,01-18 01:00:00+01:00,0.011526540766410598
2030,sc01,01-18 03:00:00+01:00,0.010629890702380278
2030,sc01,01-18 05:00:00+01:00,0.02297430088049123
2030,sc01,01-18 07:00:00+01:00,0.020488506043812887
2030,sc01,01-18 09:00:00+01:00,0.021335725442174568
2030,sc01,01-18 11:00:00+01:00,0.017965255211311097
2030,sc01,01-18 13:00:00+01:00,0.008280459361361028
2030,sc01,01-18 15:00:00+01:00,0.003303339911572489
2030,sc01,01-18 17:00:00+01:00,0.015931330353662104
2030,sc01,01-18 19:00:00+01:00,0.022585237310541083
2030,sc01,01-18 21:00:00+01:00,0.019960162838825755
2030,sc01,01-18 23:00:00+01:00,0.01980979862381232
2030,sc01,01-19 01:00:00+01:00,0.01057549313138582
2030,sc01,01-19 03:00:00+01:00,0.010041636701645795
2030,sc01,01-19 05:00:00+01:00,0.020511264449514753
2030,sc01,01-19 07:00:00+01:00,0.019401291926448006
2030,sc01,01-19 09:00:00+01:00,0.021185889303928538
2030,sc01,01-19 11:00:00+01:00,0.01758209665638516
2030,sc01,01-19 13:00:00+01:00,0.009901286475599307
2030,sc01,01-19 15:00:00+01:00,0.003304245262465566
2030,sc01,01-19 17:00:00+01:00,0.01614584357663082
2030,sc01,01-19 19:00:00+01:00,0.021705525228067173
2030,sc01,01-19 21:00:00+01:00,0.01885502312235118
2030,sc01,01-19 23:00:00+01:00,0.01983712049136742
2030,sc01,01-20 01:00:00+01:00,0.01063462683540119
2030,sc01,01-20 03:00:00+01:00,0.009415778321474938
2030,sc01,01-20 05:00:00+01:00,0.01906519875580506
2030,sc01,01-20 07:00:00+01:00,0.019229328283099412
2030,sc01,01-20 09:00:00+01:00,0.02225259244966387
2030,sc01,01-20 11:00:00+01:00,0.015768780837448954
2030,sc01,01-20 13:00:00+01:00,0.014391644357006595
2030,sc01,01-20 15:00:00+01:00,0.008162247191935475
2030,sc01,01-20 17:00:00+01:00,0.013519522151024416
2030,sc01,01-20 19:00:00+01:00,0.02555774086761161
2030,sc01,01-20 21:00:00+01:00,0.022769120288312922
2030,sc01,01-20 23:00:00+01:00,0.02808342020731382
2030,sc01,01-21 01:00:00+01:00,0.017427734894006713
2030,sc01,01-21 03:00:00+01:00,0.013110797056451523
2030,sc01,01-21 05:00:00+01:00,0.023343341499252667
2030,sc01,01-21 07:00:00+01:00,0.02150909404027191
2030,sc01,01-21 09:00:00+01:00,0.022643947267803992
2030,sc01,01-21 11:00:00+01:00,0.01714535388044274
2030,sc01,01-21 13:00:00+01:00,0.012370914610533707
2030,sc01,01-21 15:00:00+01:00,0.009488267790706233
2030,sc01,01-21 17:00:00+01:00,0.01084966880958846
2030,sc01,01-21 19:00:00+01:00,0.029885705834425895
2030,sc01,01-21 21:00:00+01:00,0.024743695387513105
2030,sc01,01-21 23:00:00+01:00,0.026690841745511628
2030,sc01,01-22 01:00:00+01:00,0.01899691403074161
2030,sc01,01-22 03:00:00+01:00,0.014719169181604952
2030,sc01,01-22 05:00:00+01:00,0.02374485096405974
2030,sc01,01-22 07:00:00+01:00,0.019912997099929382
2030,sc01,01-22 09:00:00+01:00,0.021467337209771738
2030,sc01,01-22 11:00:00+01:00,0.01646506102314619
2030,sc01,01-22 13:00:00+01:00,0.014629283925502914
2030,sc01,01-22 15:00:00+01:00,0.012825133790817692
2030,sc01,01-22 17:00:00+01:00,0.009167945713219963
2030,sc01,01-22 19:00:00+01:00,0.03144091173926217
2030,sc01,01-22 21:00:00+01:00,0.025216065091222976
2030,sc01,01-22 23:00:00+01:00,0.02716100364920787
2030,sc01,01-23 01:00:00+01:00,0.01783850399456902
2030,sc01,01-23 03:00:00+01:00,0.014097881639458515
2030,sc01,01-23 05:00:00+01:00,0.024276710139343478
2030,sc01,01-23 07:00:00+01:00,0.021482771400300353
2030,sc01,01-23 09:00:00+01:00,0.02312107721429827
2030,sc01,01-23 11:00:00+01:00,0.015068285971699447
2030,sc01,01-23 13:00:00+01:00,0.013545806587061445
2030,sc01,01-23 15:00:00+01:00,0.011765571959683696
2030,sc01,01-23 17:00:00+01:00,0.011292708861740304
2030,sc01,01-23 19:00:00+01:00,0.027657848681557535
2030,sc01,01-23 21:00:00+01:00,0.024640763953557316
2030,sc01,01-23 23:00:00+01:00,0.025327560018252215
2030,sc01,01-24 01:00:00+01:00,0.02287679560322433
2030,sc01,01-24 03:00:00+01:00,0.01745882244311085
2030,sc01,01-24 05:00:00+01:00,0.02674488530695972
2030,sc01,01-24 07:00:00+01:00,0.022326856855175832
2030,sc01,01-24 09:00:00+01:00,0.024440835541983237
2030,sc01,01-24 11:00:00+01:00,0.01338056978175842
2030,sc01,01-24 13:00:00+01:00,0.012627963433377137
2030,sc01,01-24 15:00:00+01:00,0.012974009594012187
2030,sc01,01-24 17:00:00+01:00,0.009975657403467866
2030,sc01,01-24 19:00:00+01:00,0.02794599198775315
2030,sc01,01-24 21:00:00+01:00,0.023535684989656722
2030,sc01,01-24 23:00:00+01:00,0.02762650582363509
2030,sc01,01-25 01:00:00+01:00,0.0187997594456592
2030,sc01,01-25 03:00:00+01:00,0.014827653871657626
2030,sc01,01-25 05:00:00+01:00,0.024436493535316687
2030,sc01,01-25 07:00:00+01:00,0.02160688652514253
2030,sc01,01-25 09:00:00+01:00,0.022767463887074072
2030,sc01,01-25 11:00:00+01:00,0.0156153658928929
2030,sc01,01-25 13:00:00+01:00,0.014224447697245114
2030,sc01,01-25 15:00:00+01:00,0.009728966498011887
2030,sc01,01-25 17:00:00+01:00,0.013574067039444027
2030,sc01,01-25 19:00:00+01:00,0.02411687702613504
2030,sc01,01-25 21:00:00+01:00,0.020942240185330842
2030,sc01,01-25 23:00:00+01:00,0.024935018919711466
2030,sc01,01-26 01:00:00+01:00,0.012678193190379706
2030,sc01,01-26 03:00:00+01:00,0.009394308407644065
2030,sc01,01-26 05:00:00+01:00,0.018296239371304236
2030,sc01,01-26 07:00:00+01:00,0.018327052999560178
2030,sc01,01-26 09:00:00+01:00,0.019971850527020378
2030,sc01,01-26 11:00:00+01:00,0.017646936901226033
2030,sc01,01-26 13:00:00+01:00,0.012682521373516702
2030,sc01,01-26 15:00:00+01:00,0.007043679326740683
2030,sc01,01-26 17:00:00+01:00,0.014049184905610251
2030,sc01,01-26 19:00:00+01:00,0.025240143364159067
2030,sc01,01-26 21:00:00+01:00,0.02202481093181273
2030,sc01,01-26 23:00:00+01:00,0.02595373311117035
2030,sc01,01-27 01:00:00+01:00,0.012441048341520145
2030,sc01,01-27 03:00:00+01:00,0.009283710527938829
2030,sc01,01-27 05:00:00+01:00,0.01789033597953673
2030,sc01,01-27 07:00:00+01:00,0.018687002744578893
2030,sc01,01-27 09:00:00+01:00,0.02276491786286955
2030,sc01,01-27 11:00:00+01:00,0.014709032592262056
2030,sc01,01-27 13:00:00+01:00,0.014326477707800479
2030,sc01,01-27 15:00:00+01:00,0.01476857216920537
