Period,Scenario,LoadLevel,Centrale_C_Cap_CTag,Diesel_Bel_Air,Gas_Turbines,Solar_CICAD,Solar_DIASS,Boutoute,Secondary_Plants,Felou_gouina,Manantali,Aggreko_Boutoute,Kounoune_Power,Tobene_Power,Contour_Global,PETN_Taiba_Ndiaye_Wind,KPS_KarPowerShip,PV_Bokhol,PV_Malicounda,PV_Senergy_or_Santhiou_Mekhe,PV_Ten_Merina,PV_Kahone,PV_Sakal,Malicounda_Power,Centrale_Kahone_Solaire,Centrale_Kael_Solaire,Dakar_CCGT_25,Dakar_OCGT_25,FKK_PV_25,Thies_P_Gas_CCGT_25,Felou_Gouina,Diourbel_PV_25,Thies_PV_2025,LS_PV_2029,Thies_wind_2025,Dakar_PV_29
2030,sc01,01-01 18:00:00+01:00,,,,1.169168504,2.748389625,,,,,,,,,46.70225062,,5.035098258,14.33942416,3.584856048,3.525108437,4.198326233,2.389904027,,6.997210388,6.182212678,,,8.916445238,,18.85001146,2.184381813,38.56815599,8.048101055,29.72228931,21.98036787
2030,sc01,01-01 19:00:00+01:00,,,,0.242542968,0.52380997,,,,,,,,,51.45308409,,0.768478967,2.732921585,0.683230398,0.671843223,0.811652553,0.455486931,,1.352754254,1.162737324,,,1.723795421,,18.85001146,0.410833854,7.350626139,1.22833678,32.74581911,4.5598078
2030,sc01,01-01 20:00:00+01:00,,,,0.001,0.001,,,,,,,,,58.73120519,,0.001,0.001,0.001,0.001,,0.001,,0.001,0.001,,,0.001,,18.85001146,0.001,0.001,0.001,37.37776764,0.001
2030,sc01,01-01 21:00:00+01:00,,,,0.001,0.001,,,,,,,,,63.65727432,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,18.85001146,0.001,0.001,0.001,40.51282109,0.001
2030,sc01,01-01 22:00:00+01:00,,,,0.001,0.001,,,,,,,,,63.87923949,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,18.85001146,0.001,0.001,0.001,40.65408436,0.001
2030,sc01,01-01 23:00:00+01:00,,,,0.001,0.001,,,,,,,,,70.74847739,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,18.85001146,0.001,0.001,0.001,45.02581107,0.001
2030,sc01,01-02 00:00:00+01:00,,,,0.001,0.001,,,,,,,,,78.23298716,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,18.14976613,0.001,0.001,0.001,49.78910966,0.001
2030,sc01,01-02 01:00:00+01:00,,,,0.001,0.001,,,,,,,,,85.28524897,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,18.14976613,0.001,0.001,0.001,54.27731661,0.001
2030,sc01,01-02 02:00:00+01:00,,,,0.001,0.001,,,,,,,,,87.58278319,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,18.14976613,0.001,0.001,0.001,55.73951545,0.001
2030,sc01,01-02 03:00:00+01:00,,,,0.001,0.001,,,,,,,,,91.16537891,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,18.14976613,0.001,0.001,0.001,58.01955432,0.001
2030,sc01,01-02 04:00:00+01:00,,,,0.001,0.001,,,,,,,,,98.29941736,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,18.14976613,0.001,0.001,0.001,62.55980563,0.001
2030,sc01,01-02 05:00:00+01:00,,,,0.001,0.001,,,,,,,,,107.5791191,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,18.14976613,0.001,0.001,0.001,68.46560196,0.001
2030,sc01,01-02 06:00:00+01:00,,,,0.001,0.001,,,,,,,,,117.6454343,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,18.14976613,0.001,0.001,0.001,74.87201553,0.001
2030,sc01,01-02 07:00:00+01:00,,,,0.001,0.001,,,,,,,,,123.9850711,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,18.14976613,0.001,0.001,0.001,78.906693,0.001
2030,sc01,01-02 08:00:00+01:00,,,,0.001,0.001,,,,,,,,,125.7218512,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,18.14976613,0.001,0.001,0.001,80.0120162,0.001
2030,sc01,01-02 09:00:00+01:00,,,,0.562557907,1.706252918,,,,,,,,,121.4499952,,3.570778241,8.902189154,2.225547294,2.188454833,2.388304911,1.483698193,,3.980508185,3.339297359,,,5.072304716,,18.14976613,1.179885067,23.94384992,5.70753194,77.29331767,10.57608866
2030,sc01,01-02 10:00:00+01:00,,,,1.600581048,3.912125075,,,,,,,,,113.0270011,,8.731062499,20.41108738,5.102771859,5.017725647,5.635195739,3.401847898,,9.391992899,7.630745721,,,11.96808238,,18.14976613,2.696196822,54.89885741,13.9557303,71.93274803,30.09092371
2030,sc01,01-02 11:00:00+01:00,,,,2.434544031,6.538593414,,,,,,,,,108.8486041,,12.99289584,34.11440048,8.528600142,8.386456782,8.751388723,5.685733415,,14.58564787,13.01724295,,,18.58628272,,18.14976613,4.599425841,91.7560918,20.76784471,69.27352878,45.76942778
2030,sc01,01-02 12:00:00+01:00,,,,2.945453957,8.029065008,,,,,,,,,90.8616371,,15.74406613,41.89077403,10.47269354,10.29814861,9.865793045,6.981795673,,16.44298841,15.99553519,,,20.95306523,,18.14976613,5.651755766,112.6718821,25.1653153,57.82624667,55.37453439
2030,sc01,01-02 13:00:00+01:00,,,,3.315091466,8.691245961,,,,,,,,,70.80299515,,17.37063544,45.34563118,11.33640783,11.14746766,10.13918515,7.557605199,,16.89864192,17.1973814,,,21.53369799,,18.14976613,6.076408094,121.9642684,27.76522369,45.06050731,62.32371956
2030,sc01,01-02 14:00:00+01:00,,,,3.414336605,8.806071299,,,,,,,,,50.37830537,,17.33675814,45.9447199,11.48618001,11.29474364,9.909814997,7.657453319,,16.51635833,17.6606713,,,21.04655947,,18.14976613,6.24010386,123.5756126,27.71107421,32.06180745,64.18952818
2030,sc01,01-02 15:00:00+01:00,,,,3.260405369,8.269682149,,,,,,,,,34.94588486,,16.19973316,43.14616781,10.78654198,10.60676625,9.056736209,7.191027971,,15.09456035,16.54757218,,,19.23478262,,18.14976613,5.846808838,116.0484628,25.89365348,22.24029219,61.29562093
2030,sc01,01-02 16:00:00+01:00,,,,2.55404328,7.165939713,,,,,,,,,27.88972892,,13.89618836,37.38751161,9.346877928,9.191096603,7.556306721,6.231251937,,12.59384453,14.75006752,,,16.04815618,,18.14976613,5.211690525,100.5596434,22.21166748,17.74960694,48.01601366
2030,sc01,01-02 17:00:00+01:00,,,,1.582352349,4.513990471,,,,,,,,,23.26740161,,10.02349176,23.55125467,5.887813683,5.789683438,5.184347809,3.925209113,,8.640579682,10.08858891,,,11.01056725,,18.14976613,3.564634749,63.34483548,16.02154923,14.80786114,29.74822417
2030,sc01,01-02 18:00:00+01:00,,,,0.608636008,1.715929211,,,,,,,,,25.59608883,,4.33256523,8.952674159,2.238168546,2.20086573,2.296437586,1.49211236,,3.827395977,3.957518627,,,4.877196016,,18.14976613,1.398323248,24.07963735,6.925172263,16.2898864,11.44235694
2030,sc01,01-02 19:00:00+01:00,,,,0.099751492,0.253841408,,,,,,,,,30.88820578,,0.47547862,1.324389955,0.33109749,0.325579197,0.303137619,0.220731659,,0.505229364,0.49638204,,,0.643806562,,18.14976613,0.175388321,3.562156879,0.760005027,19.65790034,1.875328052
2030,sc01,01-02 20:00:00+01:00,,,,0.001,0.001,,,,,,,,,36.25431112,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,18.14976613,0.001,0.001,0.001,23.07300204,0.001
2030,sc01,01-02 21:00:00+01:00,,,,0.001,0.001,,,,,,,,,33.50505831,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,18.14976613,0.001,0.001,0.001,21.32332004,0.001
2030,sc01,01-02 22:00:00+01:00,,,,0.001,0.001,,,,,,,,,45.72871917,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,18.14976613,0.001,0.001,0.001,29.10271353,0.001
2030,sc01,01-02 23:00:00+01:00,,,,0.001,0.001,,,,,,,,,55.47571603,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,18.14976613,0.001,0.001,0.001,35.30590623,0.001
2030,sc01,01-03 00:00:00+01:00,,,,0.001,0.001,,,,,,,,,70.03195824,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,17.35845361,0.001,0.001,0.001,44.56980329,0.001
2030,sc01,01-03 01:00:00+01:00,,,,0.001,0.001,,,,,,,,,73.11999999,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,17.35845361,0.001,0.001,0.001,46.53509766,0.001
2030,sc01,01-03 02:00:00+01:00,,,,0.001,0.001,,,,,,,,,70.70174788,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,17.35845361,0.001,0.001,0.001,44.99607143,0.001
2030,sc01,01-03 03:00:00+01:00,,,,0.001,0.001,,,,,,,,,79.99702614,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,17.35845361,0.001,0.001,0.001,50.91178097,0.001
2030,sc01,01-03 04:00:00+01:00,,,,0.001,0.001,,,,,,,,,88.30709058,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,17.35845361,0.001,0.001,0.001,56.20047983,0.001
2030,sc01,01-03 05:00:00+01:00,,,,0.001,0.001,,,,,,,,,98.43960589,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,17.35845361,0.001,0.001,0.001,62.64902454,0.001
2030,sc01,01-03 06:00:00+01:00,,,,0.001,0.001,,,,,,,,,106.30574,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,17.35845361,0.001,0.001,0.001,67.65519684,0.001
2030,sc01,01-03 07:00:00+01:00,,,,0.001,0.001,,,,,,,,,99.24958406,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,17.35845361,0.001,0.001,0.001,63.16451159,0.001
2030,sc01,01-03 08:00:00+01:00,,,,0.001,0.001,,,,,,,,,95.66698833,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,17.35845361,0.001,0.001,0.001,60.88447272,0.001
2030,sc01,01-03 09:00:00+01:00,,,,0.492681227,1.772374251,,,,,,,,,117.2248687,,2.619570572,9.247170019,2.311792511,2.273262629,2.685654783,1.541195004,,4.476091305,4.36064101,,,5.703819206,,17.35845361,1.540759824,24.87173069,4.187121603,74.60435879,9.262407077
2030,sc01,01-03 10:00:00+01:00,,,,1.349936436,3.512816736,,,,,,,,,115.3790531,,7.309663001,18.32773952,4.581934893,4.505569298,5.60671301,3.054623255,,9.344521683,8.178270153,,,11.90759049,,17.35845361,2.889655454,49.29536286,11.68376534,73.42964311,25.378805
2030,sc01,01-03 11:00:00+01:00,,,,2.268966681,5.287771331,,,,,,,,,103.5993226,,11.77526097,27.58837221,6.897093071,6.7821415,7.507198567,4.598062036,,12.51199761,11.2438053,,,15.94385981,,17.35845361,3.972811205,74.20330352,18.82157713,65.93277618,42.6565736
2030,sc01,01-03 12:00:00+01:00,,,,2.923174436,7.39978345,,,,,,,,,88.25257282,,14.35504137,38.60756589,9.651891499,9.491026613,9.617095322,6.434594317,,16.0284922,15.31263383,,,20.42487864,,17.35845361,5.410463955,103.841173,22.94509812,56.16578359,54.9556794
2030,sc01,01-03 13:00:00+01:00,,,,3.411298489,8.448693561,,,,,,,,,70.14878201,,16.36913354,44.0801404,11.02003513,10.83636784,11.27133856,7.346690068,,18.78556427,16.95971969,,,23.93817619,,17.35845361,5.992434292,118.5605302,26.16442304,44.64415238,64.13241159
2030,sc01,01-03 14:00:00+01:00,,,,3.55510267,8.720274839,,,,,,,,,52.05277946,,16.64870818,45.49708619,11.37427158,11.18470035,11.70545465,7.582847701,,19.50909108,17.14774319,,,24.86015606,,17.35845361,6.058869262,122.3716307,26.61129516,33.12747779,66.8359302
2030,sc01,01-03 15:00:00+01:00,,,,3.237619495,8.140019829,,,,,,,,,35.20679128,,15.35040779,42.46966875,10.61741722,10.44046023,11.09500521,7.078278127,,18.49167536,16.07525715,,,23.56367774,,17.35845361,5.679924193,114.2289112,24.53609182,22.4063385,60.8672465
2030,sc01,01-03 16:00:00+01:00,,,,2.682656879,6.61664884,,,,,,,,,23.10384832,,12.32220886,34.52164618,8.630411569,8.486571351,8.448461568,5.753607699,,14.08076928,13.42788627,,,17.94292314,,17.35845361,4.744519816,92.85144373,19.69581864,14.7037724,50.43394932
2030,sc01,01-03 17:00:00+01:00,,,,2.113010033,4.713322097,,,,,,,,,13.9954881,,8.427627672,24.59124577,6.147811458,6.045347916,6.415980309,4.098540962,,10.69330052,9.697500033,,,13.62632009,,17.35845361,3.426450012,66.14205651,13.47072007,8.90702141,39.72458862
2030,sc01,01-03 18:00:00+01:00,,,,1.252210355,2.730327212,,,,,,,,,10.98532886,,4.35104123,14.24518548,3.561296379,3.50194143,3.192661395,2.374197581,,5.321102325,5.204490478,,,6.780604677,,17.35845361,1.838919969,38.31468612,6.954704303,6.991293099,23.54155468
2030,sc01,01-03 19:00:00+01:00,,,,0.2668479,0.460268982,,,,,,,,,13.27896895,,0.721927259,2.401403388,0.600350849,0.590344999,0.426749858,0.400233898,,0.711249763,0.479835972,,,0.906335412,,17.35845361,0.169542043,6.458955357,1.153928531,8.451013636,5.016740524
2030,sc01,01-03 20:00:00+01:00,,,,0.001,0.001,,,,,,,,,18.7073803,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,17.35845361,0.001,0.001,0.001,11.90576818,0.001
2030,sc01,01-03 21:00:00+01:00,,,,0.001,0.001,,,,,,,,,25.05869947,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,17.35845361,0.001,0.001,0.001,15.94788057,0.001
2030,sc01,01-03 22:00:00+01:00,,,,0.001,0.001,,,,,,,,,40.79096767,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,17.35845361,0.001,0.001,0.001,25.96022517,0.001
2030,sc01,01-03 23:00:00+01:00,,,,0.001,0.001,,,,,,,,,46.40240294,,0.001,0.001,0.001,0.001,0.001,0.001,,0.001,0.001,,,0.001,,17.35845361,0.001,0.001,0.001,29.53145997,0.001
