Period,Scenario,Technology,Senegal
2030,sc01,EnergyDemand,-12060.531882801215
2030,sc01,EnergyFlowIn,2902.8643905502395
2030,sc01,EnergyFlowOut,-2902.8643905502395
2030,sc01,EnergyNotServed,0.7479676671121301
2030,sc01,LineLossesIn,-110.34283061070762
2030,sc01,LineLossesOut,-110.34283061070762
2030,sc01,P_Gas_CCGT,5290.474870466302
2030,sc01,P_Gas_OCGT,1709.4755772301571
2030,sc01,P_Oil,2296.1784997871077
2030,sc01,RES_Hydro_Large,674.5309179321385
2030,sc01,RES_Hydro_Large -,0.0
2030,sc01,RES_Hydro_Small,631.054119022536
2030,sc01,RES_PV_Utility_Opt,940.0107240815278
2030,sc01,RES_Wind_Onshore_Opt,738.7448678357468
