InitialNode,FinalNode,Circuit,GWh-Mkm
Senegal States|Aeroport,Senegal States|Patte_Doie,ac1,-1.4462821061854871
Senegal States|Aeroport,Senegal States|Patte_Doie,ac2,-1.4462821061854871
Senegal States|Aeroport,Senegal States|Universite,ac1,-0.2532919480612462
Senegal States|Aeroport,Senegal States|Universite,ac2,-0.2532919480612462
Senegal States|Bakel,Senegal States|Kayes,ac1,-9.764701685874993
Senegal States|Bel_Air,Senegal States|Hann,ac1,0.8124280751625035
Senegal States|Bel_Air,Senegal States|Hann,ac2,0.8124280751625035
Senegal States|Bel_Air,Senegal States|Hann,ac3,0.8304820323883368
Senegal States|Cap_Des_Biches,Senegal States|Kounoune,ac1,3.6355088989153455
Senegal States|Cap_Des_Biches,Senegal States|Kounoune,ac2,5.170501545124047
Senegal States|Cap_Des_Biches,Senegal States|Sococim,ac1,5.901180366040022
Senegal States|Centre_Ville,Senegal States|Bel_Air,ac1,-1.191665654562237
Senegal States|Dagana,Senegal States|Ndioum,ac1,8.569422401554304
Senegal States|Diamniadio,Senegal States|Sendou,ac1,0.13433647907837698
Senegal States|Diass,Senegal States|Mbour,ac1,-22.61786083878133
Senegal States|Fatick,Senegal States|Kahone,ac1,35.74040913658819
Senegal States|Guediawaye,Senegal States|Kounoune,ac1,-0.17030420865146095
Senegal States|Hann,Senegal States|Cap_Des_Biches,ac1,-5.667125437339051
Senegal States|Hann,Senegal States|Guediawaye,ac1,3.1329459722558783
Senegal States|Hann,Senegal States|Mbao,ac1,-0.061997620131344605
Senegal States|Hann,Senegal States|Patte_Doie,ac1,0.06155358872905494
Senegal States|Hann,Senegal States|Patte_Doie,ac2,0.0923303830935824
Senegal States|Kahone,Senegal States|Tambacounda,ac1,-102.09756331132355
Senegal States|Kahone,Senegal States|Tanaf,ac1,12.2828992853316
Senegal States|Kahone,Senegal States|Tanaf,ac2,40.35541872066199
Senegal States|Kahone,Senegal States|Wack_Ngouna,ac1,8.742348452986763
Senegal States|Kedougou,Senegal States|Sabangalou,ac1,1.4572223452908686
Senegal States|Kolda,Senegal States|Ziguinchor,ac1,5.545667751821381
Senegal States|Kounoune,Senegal States|Diamniadio,ac1,3.189604201716106
Senegal States|Kounoune,Senegal States|Patte_Doie,ac1,-8.456447004470359
Senegal States|Kounoune,Senegal States|Sococim,ac1,0.46992026939769765
Senegal States|Kounoune,Senegal States|Tobene,ac1,59.09543538995377
Senegal States|Linguere,Senegal States|Matam,ac1,0.0
Senegal States|Linguere,Senegal States|Ndioum,ac1,4.438795988390617
Senegal States|Matam,Senegal States|Bakel,ac1,-5.8855268848577795
Senegal States|Mbao,Senegal States|Cap_Des_Biches,ac1,-2.574643799277912
Senegal States|Mbour,Senegal States|Fatick,ac1,62.974404889434325
Senegal States|Ndioum,Senegal States|Matam,ac1,10.084642934949155
