,Energy (MWh)
Wind|Onshore,736873.0
Solar|PV|Utility,589968.4000000001
Electricity|Gas|Fossil|CCGT|w/o CCS,1416712.0
Electricity|Oil|w/o CCS,477022.5999999999
SlackUnit,0.0
