Time,Dakar>Thies,Diourbel>Thies,FKK>Thies,LS>Thies,Thies>Dakar,Thies>Diourbel,Thies>FKK,Thies>LS,TotalExportsCountriesIn,TotalImportsCountriesIn
2030-01-03 06:00:00,161.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,161.5
2030-01-03 07:00:00,145.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,145.9
2030-01-03 08:00:00,143.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,143.0
2030-01-03 09:00:00,127.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,127.0
2030-01-03 10:00:00,135.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,135.9
2030-01-03 11:00:00,96.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,96.9
2030-01-03 12:00:00,52.8,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,52.8
2030-01-03 13:00:00,49.4,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,49.4
2030-01-03 14:00:00,46.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,46.5
2030-01-03 15:00:00,101.2,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,101.2
2030-01-03 16:00:00,84.6,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,84.6
2030-01-03 17:00:00,92.8,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,92.8
2030-01-03 18:00:00,96.7,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,96.7
2030-01-03 19:00:00,140.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,140.5
2030-01-03 20:00:00,155.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,155.9
2030-01-03 21:00:00,152.8,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,152.8
2030-01-03 22:00:00,156.2,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,156.2
2030-01-03 23:00:00,125.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,125.9
2030-01-04 00:00:00,125.7,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,125.7
2030-01-04 01:00:00,160.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,160.9
2030-01-04 02:00:00,175.4,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,175.4
2030-01-04 03:00:00,181.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,181.5
2030-01-04 04:00:00,167.1,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,167.1
2030-01-04 05:00:00,188.1,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,188.1
2030-01-04 06:00:00,161.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,161.5
2030-01-04 07:00:00,145.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,145.9
2030-01-04 08:00:00,143.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,143.0
2030-01-04 09:00:00,126.8,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,126.8
2030-01-04 10:00:00,137.3,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,137.3
2030-01-04 11:00:00,84.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,84.5
2030-01-04 12:00:00,21.1,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,21.1
2030-01-04 13:00:00,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
2030-01-04 14:00:00,35.1,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,35.1
2030-01-04 15:00:00,52.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,52.9
2030-01-04 16:00:00,102.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,102.0
2030-01-04 17:00:00,104.2,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,104.2
2030-01-04 18:00:00,104.3,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,104.3
2030-01-04 19:00:00,85.1,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,85.1
2030-01-04 20:00:00,106.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,106.9
2030-01-04 21:00:00,107.5,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,107.5
2030-01-04 22:00:00,126.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,126.9
2030-01-04 23:00:00,115.8,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,115.8
2030-01-05 00:00:00,125.7,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,125.7
2030-01-05 01:00:00,160.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,160.9
2030-01-05 02:00:00,175.4,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,175.4
