names,values
EB2_EnergyBalanceEachTS|2022|4242|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|4315|Heat_Low_Residential|Dakar,-335.53967023213994
EB2_EnergyBalanceEachTS|2022|4388|Heat_Low_Residential|Dakar,-335.58743100614254
EB2_EnergyBalanceEachTS|2022|4461|Heat_Low_Residential|Dakar,-335.7949433345678
EB2_EnergyBalanceEachTS|2022|4534|Heat_Low_Residential|Dakar,-335.9147570003847
EB2_EnergyBalanceEachTS|2022|4607|Heat_Low_Residential|Dakar,-336.0156310489248
EB2_EnergyBalanceEachTS|2022|4680|Heat_Low_Residential|Dakar,-336.0596862456341
EB2_EnergyBalanceEachTS|2022|4753|Heat_Low_Residential|Dakar,-336.1575409348981
EB2_EnergyBalanceEachTS|2022|4826|Heat_Low_Residential|Dakar,-336.2079093373664
EB2_EnergyBalanceEachTS|2022|4899|Heat_Low_Residential|Dakar,-336.22945658310897
EB2_EnergyBalanceEachTS|2022|4972|Heat_Low_Residential|Dakar,-336.23206421157465
EB2_EnergyBalanceEachTS|2022|5045|Heat_Low_Residential|Dakar,-336.2225944029362
EB2_EnergyBalanceEachTS|2022|5118|Heat_Low_Residential|Dakar,-336.25635632938634
EB2_EnergyBalanceEachTS|2022|5191|Heat_Low_Residential|Dakar,-336.2828443448533
EB2_EnergyBalanceEachTS|2022|5264|Heat_Low_Residential|Dakar,-336.3485840309086
EB2_EnergyBalanceEachTS|2022|5337|Heat_Low_Residential|Dakar,-336.3310168496663
EB2_EnergyBalanceEachTS|2022|5410|Heat_Low_Residential|Dakar,-336.3413101199255
EB2_EnergyBalanceEachTS|2022|5483|Heat_Low_Residential|Dakar,-336.3371928118218
EB2_EnergyBalanceEachTS|2022|5556|Heat_Low_Residential|Dakar,-336.352015120995
EB2_EnergyBalanceEachTS|2022|5629|Heat_Low_Residential|Dakar,-336.40759878039466
EB2_EnergyBalanceEachTS|2022|5702|Heat_Low_Residential|Dakar,-336.5242558433321
EB2_EnergyBalanceEachTS|2022|5775|Heat_Low_Residential|Dakar,-336.58354508002503
EB2_EnergyBalanceEachTS|2022|5848|Heat_Low_Residential|Dakar,-336.5806629643525
EB2_EnergyBalanceEachTS|2022|5921|Heat_Low_Residential|Dakar,-336.5187660991939
EB2_EnergyBalanceEachTS|2022|5994|Heat_Low_Residential|Dakar,-336.4288715389303
EB2_EnergyBalanceEachTS|2022|6067|Heat_Low_Residential|Dakar,-336.4317536546029
EB2_EnergyBalanceEachTS|2022|6140|Heat_Low_Residential|Dakar,-336.4155589093951
EB2_EnergyBalanceEachTS|2022|6213|Heat_Low_Residential|Dakar,-336.57421251499005
EB2_EnergyBalanceEachTS|2022|6286|Heat_Low_Residential|Dakar,-336.5814864259732
EB2_EnergyBalanceEachTS|2022|6359|Heat_Low_Residential|Dakar,-336.61593457044063
EB2_EnergyBalanceEachTS|2022|6432|Heat_Low_Residential|Dakar,-336.52782417702196
EB2_EnergyBalanceEachTS|2022|6505|Heat_Low_Residential|Dakar,-336.55088110240257
EB2_EnergyBalanceEachTS|2022|6578|Heat_Low_Residential|Dakar,-336.56927174526567
EB2_EnergyBalanceEachTS|2022|6651|Heat_Low_Residential|Dakar,-336.68428188496165
EB2_EnergyBalanceEachTS|2022|6724|Heat_Low_Residential|Dakar,-336.762373495328
EB2_EnergyBalanceEachTS|2022|6797|Heat_Low_Residential|Dakar,-336.77939170215654
EB2_EnergyBalanceEachTS|2022|6870|Heat_Low_Residential|Dakar,-336.7404145187751
EB2_EnergyBalanceEachTS|2022|6943|Heat_Low_Residential|Dakar,-336.6612249595811
EB2_EnergyBalanceEachTS|2022|7016|Heat_Low_Residential|Dakar,-336.60934687747476
EB2_EnergyBalanceEachTS|2022|7089|Heat_Low_Residential|Dakar,-336.5501948843853
EB2_EnergyBalanceEachTS|2022|7162|Heat_Low_Residential|Dakar,-336.43683166793073
EB2_EnergyBalanceEachTS|2022|7235|Heat_Low_Residential|Dakar,-336.1495808058977
EB2_EnergyBalanceEachTS|2022|7308|Heat_Low_Residential|Dakar,-335.91928603929875
EB2_EnergyBalanceEachTS|2022|7381|Heat_Low_Residential|Dakar,-335.85217391720886
EB2_EnergyBalanceEachTS|2022|7454|Heat_Low_Residential|Dakar,-335.8847006512279
EB2_EnergyBalanceEachTS|2022|7527|Heat_Low_Residential|Dakar,-335.8587616101747
EB2_EnergyBalanceEachTS|2022|7600|Heat_Low_Residential|Dakar,-335.7502019198412
EB2_EnergyBalanceEachTS|2022|7673|Heat_Low_Residential|Dakar,-335.5909993398324
EB2_EnergyBalanceEachTS|2022|7746|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|7819|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|7892|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|7965|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|8038|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|8111|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|8184|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|8257|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|8330|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|8403|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|8476|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|8549|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|8622|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|8695|Heat_Low_Residential|Dakar,-335.4983880431356
EB2_EnergyBalanceEachTS|2022|8|Heat_Low_Residential|Diourbel,-336.7172437064287
EB2_EnergyBalanceEachTS|2022|81|Heat_Low_Residential|Diourbel,-336.68954037097456
EB2_EnergyBalanceEachTS|2022|154|Heat_Low_Residential|Diourbel,-336.6335823899079
EB2_EnergyBalanceEachTS|2022|227|Heat_Low_Residential|Diourbel,-336.5787270291578
EB2_EnergyBalanceEachTS|2022|300|Heat_Low_Residential|Diourbel,-336.52621473658047
EB2_EnergyBalanceEachTS|2022|373|Heat_Low_Residential|Diourbel,-336.4767346498738
EB2_EnergyBalanceEachTS|2022|446|Heat_Low_Residential|Diourbel,-336.4280815284045
EB2_EnergyBalanceEachTS|2022|519|Heat_Low_Residential|Diourbel,-336.3803931997122
EB2_EnergyBalanceEachTS|2022|592|Heat_Low_Residential|Diourbel,-336.33518576673225
EB2_EnergyBalanceEachTS|2022|665|Heat_Low_Residential|Diourbel,-336.2945266425582
EB2_EnergyBalanceEachTS|2022|738|Heat_Low_Residential|Diourbel,-336.25552144885904
EB2_EnergyBalanceEachTS|2022|811|Heat_Low_Residential|Diourbel,-336.2159649450016
EB2_EnergyBalanceEachTS|2022|884|Heat_Low_Residential|Diourbel,-336.1762706136045
EB2_EnergyBalanceEachTS|2022|957|Heat_Low_Residential|Diourbel,-336.13836804022196
EB2_EnergyBalanceEachTS|2022|1030|Heat_Low_Residential|Diourbel,-336.10308419009124
EB2_EnergyBalanceEachTS|2022|1103|Heat_Low_Residential|Diourbel,-336.07248647630604
EB2_EnergyBalanceEachTS|2022|1176|Heat_Low_Residential|Diourbel,-336.04905579457863
EB2_EnergyBalanceEachTS|2022|1249|Heat_Low_Residential|Diourbel,-336.0332056275277
EB2_EnergyBalanceEachTS|2022|1322|Heat_Low_Residential|Diourbel,-336.02190376928274
EB2_EnergyBalanceEachTS|2022|1395|Heat_Low_Residential|Diourbel,-336.0117045313543
EB2_EnergyBalanceEachTS|2022|1468|Heat_Low_Residential|Diourbel,-336.00343487897993
EB2_EnergyBalanceEachTS|2022|1541|Heat_Low_Residential|Diourbel,-336.0006783281885
EB2_EnergyBalanceEachTS|2022|1614|Heat_Low_Residential|Diourbel,-336.00688056746924
EB2_EnergyBalanceEachTS|2022|1687|Heat_Low_Residential|Diourbel,-336.02190376928274
EB2_EnergyBalanceEachTS|2022|1760|Heat_Low_Residential|Diourbel,-336.04423183069355
EB2_EnergyBalanceEachTS|2022|1833|Heat_Low_Residential|Diourbel,-336.0711082009103
EB2_EnergyBalanceEachTS|2022|1906|Heat_Low_Residential|Diourbel,-336.09950067406237
EB2_EnergyBalanceEachTS|2022|1979|Heat_Low_Residential|Diourbel,-336.1272040095165
EB2_EnergyBalanceEachTS|2022|2052|Heat_Low_Residential|Diourbel,-336.15325341449585
EB2_EnergyBalanceEachTS|2022|2125|Heat_Low_Residential|Diourbel,-336.17875150931684
EB2_EnergyBalanceEachTS|2022|2198|Heat_Low_Residential|Diourbel,-336.6279039065372
EB2_EnergyBalanceEachTS|2022|2271|Heat_Low_Residential|Diourbel,-338.09766922156643
