corridor_name,max_loading_pct,p95_abs_flow_mw,max_abs_flow_mw,peak_load_level
Cap_Des_Biches - Sococim (ac1),86.54155908954614,160.42516333266252,173.08311817909228,05-29 21:00:00+01:00
Kounoune - Tobene (ac1),76.9975075101515,255.28917616106867,307.990030040606,04-08 07:00:00+01:00
Kahone - Tambacounda (ac1),71.05257816026784,264.74571656939503,284.21031264107137,10-11 23:00:00+01:00
Sococim - Olam (ac1),70.31841206141071,120.2793938845087,140.63682412282142,05-29 21:00:00+01:00
Tobene - ICS (ac1),62.56810268905476,111.27509412786085,125.13620537810952,04-02 15:00:00+01:00
