Timestamp [UTC],2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2050-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 09:00:00,0.12408421926876895,0.16836250907835784,0.08610639757437845,0.17203778214555696,0.16556230102715858,0.13651014249596585,0.13861029853436532,0.17665812543003578,0.15086120875836223,0.11620863412477092,0.13195980441276697,0.15033616974876238,0.07910587744638022,0.17626084591277189,0.17046266511675734,0.09695720377277572,0.14928609172956264,0.15576157284796102,0.16083694994075973,0.1529613647967617,0.12548432329436857,0.1610119629439597,0.09223185268637692,0.1618870279599595,0.14613585767196344
2050-01-01 10:00:00,0.2939273383541985,0.37035026646152336,0.23695535542251672,0.37807359029273735,0.359457457142358,0.3269225398474862,0.34131385910061857,0.3896034469435505,0.3380411159407794,0.29664354016386174,0.3216528983211355,0.3480518597238169,0.2508986413874572,0.38361275184401605,0.3691181749189957,0.25155669027948907,0.3503252786353843,0.3487834140771927,0.3581833624790624,0.3454791685767776,0.33695953558100367,0.35375203323803944,0.25865521768927924,0.35794184453464645,0.3371835522250996
2050-01-01 11:00:00,0.4482293027554719,0.5309054454671311,0.45374046222623843,0.5430828502297841,0.5137104179027355,0.5276922067283799,0.5026268444100822,0.5558605495934129,0.5152050289500631,0.44433351330424076,0.4830656410424231,0.5149110071046871,0.519536600779262,0.5505349039060382,0.5295840972929715,0.3787508906151212,0.5165123760839667,0.5081100018003368,0.49555806921083595,0.499306847739379,0.5250792625906046,0.5073399445862571,0.41370273748418446,0.5142407073024313,0.5236809086950369
2050-01-01 12:00:00,0.5613384565935715,0.6398195376185278,0.5919709825436599,0.6545416314477082,0.6134415777762304,0.6370823342484806,0.6119889698496708,0.6655832018195934,0.6277541411779228,0.5305781711511471,0.5619107491140354,0.619318514423685,0.6811873611849015,0.6572070794864435,0.6346111506432972,0.5512682083894461,0.6333615578004494,0.6091030054269035,0.6213171629202285,0.6014321854966495,0.6563425152506358,0.6097278018483274,0.5792807896816311,0.6249311814363077,0.6357609860743209
2050-01-01 13:00:00,0.6335348206736174,0.6957291916207858,0.6625099734834022,0.7122801713334057,0.6662184990212093,0.6942538320038103,0.6735095407345194,0.7223154169368913,0.6846771204687087,0.5912481788404441,0.6245584037394917,0.6729722508146956,0.743264473419926,0.7163772257383166,0.6883996470467717,0.5691160344557776,0.6890471951586116,0.66340954031985,0.675280672326903,0.655061420067212,0.7157366781466049,0.6619516820031943,0.6462110124953903,0.6740783329949193,0.6928449773280506
2050-01-01 14:00:00,0.6444048783023668,0.6965640036460498,0.6662184990212093,0.719028672736796,0.6569200581611957,0.6949013801156501,0.6808863388193975,0.7273505410389539,0.6776625993004544,0.599347780628538,0.6666945343899132,0.6719939281268078,0.7439592750426298,0.7149473695021732,0.6837320502514288,0.5817519732868144,0.6850463979054606,0.6643703617074177,0.6732890243504874,0.6520441958920448,0.7087064058080625,0.6578126244775154,0.607151610441224,0.6563040123899317,0.6848486332118446
2050-01-01 15:00:00,0.5877706704668609,0.651162130355917,0.6253984661548514,0.6660767384886173,0.6239336073180679,0.6501943084482213,0.6355247185200009,0.6758512147173349,0.623406818178436,0.5820862481229264,0.6251096946995716,0.6281986742060508,0.690821827011059,0.6623332103501702,0.6374656127254884,0.5517774962287579,0.6418129357249754,0.6220452170135403,0.6254264682353635,0.6100323244738953,0.6644578682090178,0.6148241805015102,0.5577139372973005,0.575593265704208,0.6453797007301905
2050-01-01 16:00:00,0.48838953659976575,0.5575196728637485,0.5331736139886025,0.5718112347050569,0.5198673753553099,0.5545602029796373,0.5447962275311117,0.5787242483314552,0.5064596291801613,0.47385120642394546,0.5344792109924742,0.5349744977915302,0.5825622834916302,0.5538706517470294,0.5426365670716242,0.4620763315686524,0.5483927447468707,0.5308214392255952,0.5352912713273221,0.5199076283460459,0.567588170937842,0.5219272784029734,0.439788425611138,0.5012389912947065,0.5542101769732373
2050-01-01 17:00:00,0.34555092390808956,0.411558828194985,0.3868347412329272,0.423692479706838,0.39168610168163,0.40633118978940236,0.39673697695398075,0.42692496987594114,0.3831489673855361,0.279711032104266,0.39021249219468634,0.3918716154650219,0.4374835043589945,0.4017581000157875,0.39864636881889226,0.33162513924346904,0.4039825152864589,0.3923003973228618,0.3901687389438864,0.3789416547886092,0.41963217803259895,0.3826361792861602,0.3750651167677302,0.3704622747835713,0.39388776526188546
2050-01-01 18:00:00,0.1905209054135043,0.21892901609292123,0.19718015018526264,0.22663658875384732,0.20189675062150148,0.21592054256791396,0.2058135416331165,0.22625331027683937,0.20404591030079694,0.10045746383677485,0.2041666692730049,0.2033686099784131,0.2314284447814621,0.1834941333350261,0.2070438830456122,0.14998614374236247,0.21268280200871476,0.20350862038097303,0.20318134606498914,0.195634785367007,0.22307682426876016,0.19645209609195086,0.19359238361966355,0.18449870797339385,0.1939004065052955
2050-01-01 19:00:00,0.03552763964959111,0.0423531467743894,0.030277249553592425,0.044278289809588915,0.031852366582392024,0.03920291271679019,0.038152834697590454,0.042528159777589364,0.03640270466559089,0.012880957035516777,0.03640270466559089,0.036577717668790845,0.03430254862719141,0.03150234057599212,0.0367527306719908,0.027127015495993213,0.03990296472959001,0.037452782684790624,0.03762779568799059,0.03605267865919098,0.04165309476158957,0.03430254862719141,0.026426963483193386,0.03412753562399146,0.024326807444793912
2050-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
