Zone,Name,NumberUnits,MaxPower,VariableCost,Capacity,Energy,CO2Rate,CapitalCost,FixedCost,AvailabilityRate,EnergyRate
Dakar,Electricity|Gas|Fossil|CCGT|w/o CCS,1,473.8244779183189,87.06362501554698,473.8244779183189,3611111.1111110835,0.20088,698032.423533882,21000.0,1,1
Thies,Electricity|Gas|Fossil|CCGT|w/o CCS,1,164.0161654332645,87.06362501554698,164.0161654332645,1249517.7777778332,0.20088,698032.423533882,21000.0,1,1
Dakar,Electricity|Gas|Fossil|OCGT|w/o CCS,1,218.68822057768588,122.6658352491798,218.68822057768588,1666666.6666666667,0.20088,635677.340788036,8000.0,1,1
Dakar,Electricity|Oil|w/o CCS,1,506.49999999999983,260.5624402189472,506.49999999999983,2083333.3333333333,0.6821289796752,650000.0,6510.0,1,1
Thies,Electricity|Oil|w/o CCS,1,99.9999999999999,260.5624402189472,99.9999999999999,333333.3333333333,0.6821289796752,650000.0,6510.0,1,1
ZS,Electricity|Oil|w/o CCS,1,12.0,260.5624402189472,12.0,83333.33333333333,0.6821289796752,650000.0,6510.0,1,1
MTKK,Electricity|Oil|w/o CCS,1,16.689364201981398,260.5624402189472,16.689364201981398,138888.8888888889,0.6821289796752,650000.0,6510.0,1,1
