Model,Scenario,Region,Variable,Unit,2030
GENeSYS-MOD 4.0,ID_2030,Dakar,Lifetime|Electricity|Oil|w/o CCS,years,31.0
GENeSYS-MOD 4.0,ID_2030,Dakar,Lifetime|Electricity|Solar|PV|Rooftop|Commercial,years,35.0
GENeSYS-MOD 4.0,ID_2030,Dakar,Lifetime|Electricity|Solar|PV|Utility,years,35.0
GENeSYS-MOD 4.0,ID_2030,Dakar,Lifetime|Electricity|Wind|Onshore,years,27.0
GENeSYS-MOD 4.0,ID_2030,Dakar,Secondary Energy|Electricity|Gas|Fossil|CCGT|w/o CCS,MWh/yr,3611111.1111110835
GENeSYS-MOD 4.0,ID_2030,Dakar,Secondary Energy|Electricity|Gas|Fossil|OCGT|w/o CCS,MWh/yr,1666666.6666666667
GENeSYS-MOD 4.0,ID_2030,Dakar,Secondary Energy|Electricity|Oil|w/o CCS,MWh/yr,2083333.3333333333
GENeSYS-MOD 4.0,ID_2030,Dakar,Secondary Energy|Electricity|Solar|PV|Utility,MWh/yr,70250.58621561111
GENeSYS-MOD 4.0,ID_2030,Dakar,Variable Cost|Electricity|Coal|Hard coal|w/o CCS,EUR/MWh,46.99051191939781
GENeSYS-MOD 4.0,ID_2030,Dakar,Variable Cost|Electricity|Coal|Lignite|w/o CCS,EUR/MWh,244.9564622521318
GENeSYS-MOD 4.0,ID_2030,Dakar,Variable Cost|Electricity|Gas|Fossil|CCGT|w/o CCS,EUR/MWh,87.06362501554698
GENeSYS-MOD 4.0,ID_2030,Dakar,Variable Cost|Electricity|Gas|Fossil|OCGT|w/o CCS,EUR/MWh,122.6658352491798
GENeSYS-MOD 4.0,ID_2030,Dakar,Variable Cost|Electricity|Nuclear,EUR/MWh,7.309714358125768
GENeSYS-MOD 4.0,ID_2030,Dakar,Variable Cost|Electricity|Oil|w/o CCS,EUR/MWh,260.5624402189472
GENeSYS-MOD 4.0,ID_2030,Dakar>Diourbel,Network|Electricity|Loss Factor,-,3e-05
GENeSYS-MOD 4.0,ID_2030,Dakar>FKK,Network|Electricity|Loss Factor,-,3e-05
GENeSYS-MOD 4.0,ID_2030,Dakar>LS,Network|Electricity|Loss Factor,-,3e-05
GENeSYS-MOD 4.0,ID_2030,Dakar>MTKK,Network|Electricity|Loss Factor,-,3e-05
GENeSYS-MOD 4.0,ID_2030,Dakar>Thies,Network|Electricity|Loss Factor,-,3e-05
GENeSYS-MOD 4.0,ID_2030,Dakar>Thies,Network|Electricity|Expansion Cost,EUR_2020/MW,336400.0
GENeSYS-MOD 4.0,ID_2030,Dakar>Thies,Network|Electricity|Maximum Flow,MW,5000.0
GENeSYS-MOD 4.0,ID_2030,Dakar>ZS,Network|Electricity|Loss Factor,-,3e-05
GENeSYS-MOD 4.0,ID_2030,Diourbel,Capacity|Electricity|Solar|PV|Utility,MW,42.0818719386948
GENeSYS-MOD 4.0,ID_2030,Diourbel,Capital Cost|Electricity|Battery|Lithium-Ion,EUR/MW,160000.0005184
GENeSYS-MOD 4.0,ID_2030,Diourbel,Capital Cost|Electricity|Biomass|w/o CCS,EUR/MW,2330000.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Capital Cost|Electricity|Coal|Hard coal|w/o CCS,EUR/MW,2758137.8619808
GENeSYS-MOD 4.0,ID_2030,Diourbel,Capital Cost|Electricity|Coal|Lignite|w/o CCS,EUR/MW,1800000.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Capital Cost|Electricity|Gas|Fossil|CCGT|w/o CCS,EUR/MW,698032.423533882
GENeSYS-MOD 4.0,ID_2030,Diourbel,Capital Cost|Electricity|Gas|Fossil|OCGT|w/o CCS,EUR/MW,635677.340788036
GENeSYS-MOD 4.0,ID_2030,Diourbel,Capital Cost|Electricity|Hydro|Pumped Storage,EUR/MW,1424245.4614799998
GENeSYS-MOD 4.0,ID_2030,Diourbel,Capital Cost|Electricity|Hydro|Run of River,EUR/MW,2560000.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Capital Cost|Electricity|Nuclear,EUR/MW,6000000.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Capital Cost|Electricity|Oil|w/o CCS,EUR/MW,650000.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Capital Cost|Electricity|Solar|PV|Rooftop|Commercial,EUR/MW,570000.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Capital Cost|Electricity|Solar|PV|Utility,EUR/MW,380000.0
GENeSYS-MOD 4.0,ID_2030,Diourbel,Capital Cost|Electricity|Wind|Onshore,EUR/MW,729013.064706364
GENeSYS-MOD 4.0,ID_2030,Diourbel,Charging Efficiency|Electricity|Battery|Lithium-Ion,-,0.95
GENeSYS-MOD 4.0,ID_2030,Diourbel,Charging Efficiency|Electricity|Hydro|Pumped Storage,-,0.866
