Timestep,Dakar,Diourbel,Thies,LS,FKK,ZS,MTKK
0,566.21185384966292986,97.461524257109189762,230.55028021460654486,77.774441614172189929,104.65868266343125015,59.154380780993946587,82.640916782764293202
1,531.00398118418945614,92.020591824538541914,222.18286660059931137,74.431117343302616973,99.43562180644453008,56.611213107385353283,81.55234268683325638
2,517.15170341416717292,86.546338613170519238,207.46010042976743648,71.165262194565869436,94.138266990047171134,54.124714472433801404,80.191625066919456799
3,505.6081386058152134,84.44186837333657536,205.30355052925011705,67.899407045829121898,90.521324229266539874,51.638215837482249526,75.111612619241299171
4,485.40690019119927001,81.89896683353724427,198.40259084759466646,67.139905848448478309,87.58866793674170026,51.059960340981888294,77.560904335086135575
5,491.75586083579287333,80.232927893668716024,195.59907597692210857,68.127257405043309291,85.144787692971007687,51.811692486432356475,72.571606395402227463
6,531.00398118418945614,79.794496593703314602,197.75562587743948484,70.101960518232971253,85.144787692971007687,53.315156777333299942,72.299462871419464705
7,546.58779367546458161,78.566888953800173567,201.20610571826719593,70.633611356399413239,84.264990805213557223,53.719935624883547121,77.19804630310910909
8,548.89650663713496215,68.746027834575158977,208.53837538002613883,70.405760997185225847,80.648048044432925963,53.546458975933440172,76.7444737631378473
9,568.5205668113333104,69.447517914519806936,208.10706539992267494,69.646259799804596469,84.851522063718519462,52.96820347943307894,80.917341130873481347
10,579.40614842560921716,77.163908793910891859,214.79237009152637938,73.367815666969718791,92.183162795030611392,54.413842220683982021,78.377334907034395428
11,567.36621033049812013,78.128457653834772145,215.86417539208352423,76.510631621730794905,91.010100278020672704,57.247294153535747796,86.632355134511414008
12,570.82927977300369093,79.268379033744835738,215.82104439407316931,79.2630639610382417,90.423569019515710465,59.662089106921264658,83.003774814741291266
13,588.7622077027784826,79.794496593703314602,215.43933506168158942,82.643603790579462043,91.889897165778123167,62.090183936726269565,82.550202274770029476
14,581.64559999842947491,78.391516433814032894,214.79237009152637938,83.00740486412477992,90.423569019515710465,62.629696314961108783,82.822345798752792234
15,621.17653768463071629,84.091123333364265591,220.80051811436769071,82.972467809045284071,91.889897165778123167,62.645887468863122649,79.465909002965432251
16,628.43166816667985586,86.809397393149751565,228.84013614349629506,82.884365670149122707,94.822553458302962781,62.557414377898567182,85.180923006603364911
17,605.09635190659639647,83.915750813378096495,222.02759500776207346,85.97249753869880351,96.288881604565375483,65.298345431310281128,88.990932342361972474
18,596.47908077716169828,81.460535533571842848,221.21673224516752043,84.855271277351889125,99.07197242617145605,64.247076938672620372,86.541640626517150281
19,625.74201756633385685,92.551093697496668256,248.97799911452716515,87.512765966986748367,110.90426301441164014,66.563568457653076393,92.864441833716568908
20,618.64849699160163254,95.546456338860295432,252.28399011202023416,87.822642455518035831,109.89054148929555765,66.814531343134234476,95.715598819975937772
21,612.64584329125852946,101.7721807983690212,254.91498099065137239,86.542123436734271991,113.52508018783134958,65.985312961152715161,93.846879955294326692
22,600.15570616862180486,104.47379446875584108,252.10930957007835218,86.788201824685614838,114.47037306612183727,66.009599692005721749,96.410471951211917485
23,600.48469776565980283,102.53329753510895728,243.86050620059955918,83.639309860345477432,111.30310427019502129,63.614465425501229845,94.062780484320640539
24,566.21185384966292986,97.461524257109189762,230.55028021460654486,77.774441614172189929,104.65868266343125015,59.154380780993946587,82.640916782764293202
