,Dakar-0,Dakar-1,Dakar-2,Dakar-3,Dakar-4,Dakar-5,Dakar-6,Dakar-7,Dakar-8,Dakar-9,Dakar-10,Dakar-11,Dakar-12,Dakar-13,Dakar-14,Dakar-15
2030-01-01 00:00:00,559.8628932050693,564.4803191284102,565.6346756092453,566.2118538496629,566.2118538496629,556.3998237625638,562.1716061667397,567.3662103304981,565.6346756092453,565.6346756092453,563.3259626475749,558.7085367242341,562.7487844071574,565.6346756092453,565.0574973688276,564.4803191284102
2030-01-01 01:00:00,536.7757635883654,529.2724464629367,530.4268029437719,531.0039811841896,531.0039811841896,533.8898723862775,529.8496247033543,531.5811594246071,530.4268029437719,530.4268029437719,528.1180899821015,536.1985853479479,530.4268029437719,530.4268029437719,529.8496247033543,529.2724464629367
2030-01-01 02:00:00,513.6886339716615,514.8429904524968,516.5745251737495,517.1517034141672,517.1517034141672,510.8027427695736,510.2255645291559,517.7288816545847,516.5745251737495,516.5745251737495,514.2658122120793,512.5342774908264,510.2255645291559,516.5745251737495,515.997346933332,515.4201686929143
2030-01-01 03:00:00,497.5276432399688,503.8766038845624,505.0309603653976,505.6081386058152,505.6081386058152,494.6417520378808,481.9438307486937,506.1853168462328,505.0309603653976,505.0309603653976,502.7222474037272,496.9504649995513,482.5210089891113,505.0309603653976,504.45378212498,503.8766038845624
2030-01-01 04:00:00,483.0981872295289,483.67536546994654,484.8297219507817,485.98407843161687,485.40690019119927,480.21229602744086,467.51437473825376,486.56125667203446,484.8297219507817,484.8297219507817,483.0981872295289,482.5210089891113,468.09155297867136,485.40690019119927,484.8297219507817,484.2525437103641
2030-01-01 05:00:00,483.67536546994654,489.4471478741225,490.6015043549577,491.7558608357929,491.7558608357929,480.78947426785857,456.54798817031934,492.33303907621047,491.1786825953752,491.1786825953752,488.8699696337049,483.0981872295289,457.12516641073705,491.1786825953752,490.6015043549577,490.0243261145401
2030-01-01 06:00:00,511.3799210099912,529.2724464629367,530.4268029437719,531.0039811841896,531.0039811841896,508.4940298079032,462.31977057449535,531.5811594246071,530.4268029437719,530.4268029437719,528.1180899821015,510.8027427695736,462.89694881491295,530.4268029437719,529.8496247033543,529.2724464629367
2030-01-01 07:00:00,495.2189302782984,544.2790807137942,546.0106154350469,546.5877936754646,546.5877936754646,492.33303907621047,455.97080992990175,547.1649719158822,546.0106154350469,546.0106154350469,543.7019024733768,494.6417520378808,456.54798817031934,546.0106154350469,545.4334371946294,544.856258954212
2030-01-01 08:00:00,502.7222474037272,547.1649719158822,548.3193283967174,548.896506637135,548.896506637135,499.83635620163926,432.30650207278035,550.0508631179702,548.3193283967174,548.3193283967174,546.0106154350469,502.1450691633096,432.88368031319783,548.3193283967174,547.7421501562998,547.7421501562998
2030-01-01 09:00:00,559.2857149646517,566.2118538496629,567.9433885709158,568.5205668113333,568.5205668113333,556.3998237625638,455.97080992990175,569.0977450517508,567.9433885709158,567.9433885709158,565.6346756092453,558.7085367242341,456.54798817031934,567.9433885709158,567.3662103304981,566.7890320900805
2030-01-01 10:00:00,549.4736848775526,565.6346756092453,573.1379927346741,573.1379927346741,579.4061484256092,546.0106154350469,446.7359580832202,565.0574973688276,563.9031408879924,584.9701466632348,576.6010621771796,565.0574973688276,447.3131363236378,563.9031408879924,563.3259626475749,562.7487844071574
