Timestep,Dakar,Diourbel,Thies,LS,FKK,ZS,MTKK
0,565.63467560924527788,97.409789363713272792,230.35403417365947121,77.753935081842911359,104.23051484472263439,59.148598226028937574,82.640916782764293202
1,530.42680294377191785,91.971487518942410588,221.9930902093537668,74.355167223564549772,99.029937685978595141,56.553387557735320001,81.55234268683325638
2,516.57452517374952095,86.546338613170519238,207.46010042976743648,71.165262194565869436,93.747246151043853502,54.124714472433801404,80.191625066919456799
3,505.03096036539761826,84.354182113343497917,205.0878955391983709,67.823456926091054697,90.130303390263236452,51.638215837482249526,75.111612619241299171
4,484.82972195078167488,81.811280573544166828,198.40259084759466646,67.139905848448478309,87.197647097738396837,51.059960340981888294,77.560904335086135575
5,490.60150435495768306,80.232927893668716024,195.38342098687041926,68.127257405043309291,84.851522063718519462,51.811692486432356475,72.571606395402227463
6,530.42680294377191785,79.794496593703314602,197.53997088738773868,70.101960518232971253,84.753766853967704265,53.315156777333299942,72.299462871419464705
7,546.01061543504692963,78.479202693807096125,200.99045072821547819,70.633611356399413239,83.873969966210253801,53.719935624883547121,77.19804630310910909
8,548.31932839671742386,68.746027834575158977,208.32272038997439267,70.405760997185225847,80.354782415180451949,53.546458975933440172,76.7444737631378473
9,567.94338857091577211,69.447517914519806936,207.89141040987092879,69.570309680066529268,84.558256434466045448,52.96820347943307894,80.917341130873481347
10,573.13799273467407147,73.568772134194603041,211.3418902506986683,72.000713511684566015,88.272954404997506117,54.413842220683982021,78.377334907034395428
11,555.24546728172856547,73.744144654180743714,209.83230532033650206,75.266568660421313552,86.708871048984264007,57.247294153535747796,86.632355134511414008
12,555.24546728172856547,74.796379774097715654,208.75403037007785656,77.932417863227357202,86.708871048984264007,59.656306551956255646,83.003774814741291266
13,567.94338857091577211,74.708693514104638211,207.02879044966400102,80.962068139578732939,87.686423146492529668,62.084401381761274763,82.550202274770029476
14,552.93675432005818493,72.078105714312229679,203.79396559888800766,81.257514105359788914,84.264990805213557223,62.624492015492613461,82.822345798752792234
15,594.3781519820416861,79.35606529373791318,210.91058027059520441,81.807392972263386355,87.58866793674170026,62.640104913898120742,79.465909002965432251
16,603.63031917593571052,82.425084393495723134,219.20898428778588141,81.747392377670308861,90.619079439017369282,62.551631822933565275,85.180923006603364911
17,589.05656860539147601,82.162025613516490807,215.43933506168158942,85.587430431626827954,95.018063877804621598,65.292562876345272116,88.990932342361972474
18,581.80143812334222275,80.495986673647948351,214.36106011142294392,84.608433388203167169,98.951733518177931614,64.24129438370762557,86.541640626517150281
19,623.0927694428171435,95.915615493431175764,248.75587447477386149,88.458344957725628888,114.69129984015872026,66.557785902688067381,92.882584735315418811
20,621.08996094856809123,101.61785298078119411,256.72216980728489943,89.305188792805054732,116.81552054804420493,66.808748788169225463,95.734648866654723065
21,611.83779375467395312,102.5183908709101388,254.6971694506991355,87.509727962197217721,115.92692569140918124,65.979530406187706149,93.865930001973126195
22,599.36497197924973079,104.41767526236026242,251.89365458002660603,86.765416788764198941,114.86334900932017433,66.003817137040712737,96.429521997890702778
23,599.69973535869189618,102.47805519131331664,243.65347741014986127,83.617284325621440644,111.01472640143008164,63.608682870536227938,94.080923385919504653
24,565.63467560924527788,97.409789363713272792,230.35403417365947121,77.753935081842911359,104.23051484472263439,59.148598226028937574,82.640916782764293202
25,530.42680294377191785,91.971487518942410588,221.9930902093537668,74.355167223564549772,99.029937685978595141,56.553387557735320001,81.55234268683325638
26,516.57452517374952095,86.546338613170519238,207.46010042976743648,71.165262194565869436,93.747246151043853502,54.124714472433801404,80.191625066919456799
27,505.03096036539761826,84.354182113343497917,205.0878955391983709,67.823456926091054697,90.130303390263236452,51.638215837482249526,75.111612619241299171
28,484.82972195078167488,81.811280573544166828,198.40259084759466646,67.139905848448478309,87.197647097738396837,51.059960340981888294,77.560904335086135575
29,490.60150435495768306,80.232927893668716024,195.38342098687041926,68.127257405043309291,84.851522063718519462,51.811692486432356475,72.571606395402227463
30,530.42680294377191785,79.794496593703314602,197.53997088738773868,70.101960518232971253,84.753766853967704265,53.315156777333299942,72.299462871419464705
31,546.01061543504692963,78.479202693807096125,200.99045072821547819,70.633611356399413239,83.873969966210253801,53.719935624883547121,77.19804630310910909
32,548.31932839671742386,68.746027834575158977,208.32272038997439267,70.405760997185225847,80.354782415180451949,53.546458975933440172,76.7444737631378473
33,567.94338857091577211,69.447517914519806936,207.89141040987092879,69.570309680066529268,84.558256434466045448,52.96820347943307894,80.917341130873481347
34,573.13799273467407147,74.094889694153067694,210.91058027059520441,72.380464110374887809,88.663975244000809539,54.413842220683982021,78.377334907034395428
35,555.24546728172856547,74.270262214139236789,210.04796031038824822,75.418468899897447955,86.806626258735093415,57.247294153535747796,86.632355134511414008
36,558.13135848381659798,76.550104973959321342,210.69492528054345826,78.410144116379782986,88.077443985495847301,59.656306551956255646,83.003774814741291266
37,570.82927977300369093,76.023987414000856688,208.75403037007785656,81.433718383152097431,88.663975244000809539,62.084401381761274763,82.550202274770029476
