,Diourbel-0,Diourbel-1,Diourbel-2,Diourbel-3,Diourbel-4,Diourbel-5,Diourbel-6,Diourbel-7,Diourbel-8,Diourbel-9,Diourbel-10,Diourbel-11,Diourbel-12,Diourbel-13,Diourbel-14,Diourbel-15
2030-01-01 00:00:00,97.88329516767587,96.78897064296224,97.40978936371329,97.72458303708842,97.4615242571092,97.57727012030003,98.73648247740856,97.21863331692833,97.05290628554143,97.37909917271568,96.46540834358781,97.18092822513132,98.48920722422808,97.07833530093943,96.76354162756425,97.0862270643388
2030-01-01 01:00:00,93.34991552603363,91.38486643958868,91.9714875189424,92.26874394031896,92.02059182453854,93.0587971428566,91.96798006854269,91.79085382335664,91.63389541796904,91.94167419054479,91.0797182548128,92.68086936228643,91.73736520476088,91.65844757076711,91.36119114939056,91.66546247156656
2030-01-01 02:00:00,89.45138440674128,86.02022105321201,86.54633861317053,86.80939739314974,86.54633861317053,89.17254209996327,88.99716957997713,86.37096609318435,86.1955935731982,86.54633861317053,85.66947601323972,88.81039784619183,88.77444647959469,86.1955935731982,85.93253479321895,86.28327983319126
2030-01-01 03:00:00,86.89708365314283,83.82806455338502,84.35418211334348,84.61724089332273,84.44186837333658,86.63402487316358,86.1955935731982,84.17880959335734,84.09112333336425,84.35418211334348,83.56500577340577,86.28327983319126,86.02022105321201,84.09112333336425,83.82806455338502,84.09112333336425
2030-01-01 04:00:00,84.44186837333658,81.28516301358567,81.81128057354417,82.07433935352341,81.89896683353724,84.17880959335734,83.12657447344037,81.63590805355798,81.54822179356493,81.81128057354417,81.02210423360643,83.82806455338502,82.9512019534542,81.54822179356493,81.28516301358567,81.54822179356493
2030-01-01 05:00:00,82.33739813350265,79.70681033371022,80.2329278936687,80.49598667364793,80.2329278936687,82.07433935352341,80.67135919363412,80.05755537368255,79.88218285369638,80.14524163367565,79.44375155373099,81.72359431355109,80.40830041365489,79.88218285369638,79.70681033371022,79.96986911368947
2030-01-01 06:00:00,81.37284927357875,79.26837903374484,79.79449659370331,80.05755537368255,79.79449659370331,81.10979049359952,80.67135919363412,79.61912407371713,79.53143781372407,79.79449659370331,79.00532025376557,80.84673171362029,80.40830041365489,79.53143781372407,79.26837903374484,79.53143781372407
2030-01-01 07:00:00,79.53143781372407,78.0407713938417,78.47920269380708,78.74226147378634,78.56688895380017,79.26837903374484,77.86539887385555,78.30383017382094,78.21614391382785,78.47920269380708,77.77771261386246,78.91763399377251,77.69002635386937,78.21614391382785,77.95308513384862,78.21614391382785
2030-01-01 08:00:00,71.37661563436758,68.30759653460976,68.74602783457516,68.92140035456133,68.74602783457516,71.11355685438834,69.79826295449213,68.570655314589,68.48296905459593,68.74602783457516,68.04453775463053,70.85049807440909,69.62289043450598,68.48296905459593,68.30759653460976,68.48296905459593
2030-01-01 09:00:00,69.88594921448521,69.0090866145544,69.4475179145198,69.62289043450598,69.4475179145198,69.62289043450598,67.34304767468586,69.27214539453364,69.18445913454056,69.35983165452673,68.74602783457516,69.35983165452673,67.16767515469971,69.18445913454056,68.92140035456133,69.18445913454056
