,LS-0,LS-1,LS-2,LS-3,LS-4,LS-5,LS-6,LS-7,LS-8,LS-9,LS-10,LS-11,LS-12,LS-13,LS-14,LS-15
2030-01-01 00:00:00,79.55699092442454,77.60735135074844,77.75393508184291,77.84887273151548,77.77444161417219,79.38686265621129,80.82156041806331,77.70076999802626,77.6202628711039,78.84154079649198,77.44633709690375,79.3473685939475,80.86713048990615,77.6681114465389,77.63089588786725,77.6719089525258
2030-01-01 01:00:00,75.96910726799841,74.20326698408843,74.35516722356456,74.4311173433026,74.4311173433026,75.79821949858777,76.88886321802637,74.35516722356456,74.2792171038265,75.34251878015938,74.05136674461228,75.79821949858777,76.93291428747443,74.2792171038265,74.2792171038265,74.2792171038265
2030-01-01 02:00:00,72.6083144695891,71.01336195508974,71.16526219456587,71.24121231430394,71.16526219456587,72.45641423011294,72.68426458932714,71.0893120748278,71.01336195508974,71.54501279325619,70.86146171561361,72.45641423011294,72.76021470906521,71.0893120748278,71.0893120748278,71.0893120748278
2030-01-01 03:00:00,70.32981087744716,67.74750680635299,67.82345692609105,67.89940704582912,67.89940704582912,70.17791063797104,69.72220991954265,67.82345692609105,67.74750680635299,67.89940704582912,67.59560656687685,70.10196051823297,69.72220991954265,67.74750680635299,67.74750680635299,67.74750680635299
2030-01-01 04:00:00,69.11460896163814,66.98800560897236,67.13990584844848,67.21585596818655,67.13990584844848,68.962708722162,67.97535716556717,67.06395572871043,66.98800560897236,67.13990584844848,66.83610536949622,68.88675860242395,67.97535716556717,67.06395572871043,66.98800560897236,67.06395572871043
2030-01-01 05:00:00,69.03865884190007,67.97535716556717,68.12725740504331,68.20320752478138,68.12725740504331,68.88675860242395,67.29180608792461,68.05130728530524,68.05130728530524,68.12725740504331,67.89940704582912,68.88675860242395,67.36775620766267,68.05130728530524,68.05130728530524,68.05130728530524
2030-01-01 06:00:00,70.55766123666135,69.95006027875685,70.10196051823297,70.17791063797104,70.10196051823297,70.40576099718523,68.27915764451944,70.02601039849492,69.95006027875685,70.10196051823297,69.79816003928072,70.40576099718523,68.27915764451944,70.02601039849492,70.02601039849492,70.02601039849492
2030-01-01 07:00:00,70.70956147613748,70.4817111169233,70.63361135639941,70.70956147613748,70.63361135639941,70.55766123666135,67.5196564471388,70.55766123666135,70.4817111169233,70.63361135639941,70.32981087744716,70.55766123666135,67.59560656687685,70.55766123666135,70.4817111169233,70.55766123666135
2030-01-01 08:00:00,71.39311255378006,70.2538607577091,70.40576099718523,70.4817111169233,70.40576099718523,71.24121231430394,67.5196564471388,70.32981087744716,70.2538607577091,70.40576099718523,70.10196051823297,71.24121231430394,67.59560656687685,70.32981087744716,70.32981087744716,70.32981087744716
2030-01-01 09:00:00,75.03871830120713,69.49435956032846,69.57030968006653,69.72220991954265,69.6462597998046,74.88681806173099,62.582898664164645,69.57030968006653,69.49435956032846,69.6462597998046,69.34245932085233,74.88681806173099,62.65884878390271,69.49435956032846,69.49435956032846,69.49435956032846
