,ZS-0,ZS-1,ZS-2,ZS-3,ZS-4,ZS-5,ZS-6,ZS-7,ZS-8,ZS-9,ZS-10,ZS-11,ZS-12,ZS-13,ZS-14,ZS-15
2030-01-01 00:00:00,60.407460441910224,59.148019970532445,59.14859822602894,59.163054613441446,59.15438078099395,60.41266474137873,61.51424146221192,59.148019970532445,59.163054613441446,59.15438078099395,59.15900682496594,60.41266474137873,61.51135018472941,59.14859822602894,59.163054613441446,59.15438078099395
2030-01-01 01:00:00,57.70989855073604,56.55338755773532,56.55338755773532,56.61121310738535,56.61121310738535,57.70989855073604,58.52176926782255,56.55338755773532,56.61121310738535,56.61121310738535,56.61121310738535,57.70989855073604,58.518877990340044,56.55338755773532,56.61121310738535,56.61121310738535
2030-01-01 02:00:00,55.16557436613445,54.1247144724338,54.1247144724338,54.1247144724338,54.1247144724338,55.16557436613445,55.33905101508456,54.1247144724338,54.1247144724338,54.1247144724338,54.1247144724338,55.16557436613445,55.33905101508456,54.1247144724338,54.1247144724338,54.1247144724338
2030-01-01 03:00:00,53.372982326983326,51.63821583748225,51.63821583748225,51.63821583748225,51.63821583748225,53.372982326983326,53.02602902908312,51.63821583748225,51.63821583748225,51.63821583748225,51.63821583748225,53.372982326983326,53.02602902908312,51.63821583748225,51.63821583748225,51.63821583748225
2030-01-01 04:00:00,52.44777353258275,51.05996034098189,51.05996034098189,51.05996034098189,51.05996034098189,52.44777353258275,51.69604138713229,51.05996034098189,51.05996034098189,51.05996034098189,51.05996034098189,52.44777353258275,51.69604138713229,51.05996034098189,51.05996034098189,51.05996034098189
2030-01-01 05:00:00,52.44777353258275,51.81169248643236,51.81169248643236,51.86951803608239,51.81169248643236,52.44777353258275,51.233436989932,51.81169248643236,51.86951803608239,51.81169248643236,51.81169248643236,52.44777353258275,51.233436989932,51.81169248643236,51.86951803608239,51.81169248643236
2030-01-01 06:00:00,53.60428452558348,53.31515677733329,53.31515677733329,53.31515677733329,53.31515677733329,53.60428452558348,51.98516913538247,53.31515677733329,53.31515677733329,53.31515677733329,53.31515677733329,53.60428452558348,51.92734358573243,53.31515677733329,53.31515677733329,53.31515677733329
2030-01-01 07:00:00,53.71993562488355,53.71993562488355,53.71993562488355,53.71993562488355,53.71993562488355,53.71993562488355,51.4069136388821,53.71993562488355,53.71993562488355,53.71993562488355,53.71993562488355,53.71993562488355,51.4069136388821,53.71993562488355,53.71993562488355,53.71993562488355
2030-01-01 08:00:00,54.24036557173388,53.54645897593344,53.54645897593344,53.60428452558348,53.54645897593344,54.24036557173388,51.4069136388821,53.54645897593344,53.60428452558348,53.54645897593344,53.54645897593344,54.24036557173388,51.4069136388821,53.54645897593344,53.60428452558348,53.54645897593344
2030-01-01 09:00:00,57.01599195493561,52.96820347943308,52.96820347943308,52.96820347943308,52.96820347943308,57.01599195493561,47.64825291162976,52.96820347943308,52.96820347943308,52.96820347943308,52.96820347943308,57.01599195493561,47.64825291162976,52.96820347943308,52.96820347943308,52.96820347943308
2030-01-01 10:00:00,58.73919333450668,54.41384222068398,54.41384222068398,54.41384222068398,54.41384222068398,58.74381937847869,52.910377929783046,54.41384222068398,54.41384222068398,54.41384222068398,54.41384222068398,58.74381937847869,52.910377929783046,54.41384222068398,54.41384222068398,54.41384222068398
2030-01-01 11:00:00,53.31515677733329,57.247294153535755,57.247294153535755,57.247294153535755,57.247294153535755,53.31515677733329,53.31515677733329,57.247294153535755,57.247294153535755,57.247294153535755,57.247294153535755,53.31515677733329,53.31515677733329,57.247294153535755,57.247294153535755,57.247294153535755
2030-01-01 12:00:00,63.7260687363258,59.65572829645976,59.656306551956256,59.67076293936876,59.662089106921265,63.7318512912908,54.81862106823424,59.65572829645976,59.67076293936876,59.662089106921265,59.66671515089326,63.7318512912908,54.81862106823424,59.656306551956256,59.67076293936876,59.662089106921265
2030-01-01 13:00:00,62.19369167059984,62.08382312626477,62.08440138176128,62.09943602467028,62.09018393672626,62.198895970068335,56.20643425983511,62.08382312626477,62.09943602467028,62.090762192222776,62.09538823619478,62.198895970068335,56.20643425983511,62.08440138176128,62.09943602467028,62.090762192222776
2030-01-01 14:00:00,61.296817395527775,62.62333550449961,62.624492015492606,62.639526658401614,62.62969631496111,61.30202169499629,56.20643425983511,62.62333550449961,62.639526658401614,62.63027457045761,62.63547886992612,61.30202169499629,56.20643425983511,62.624492015492606,62.639526658401614,62.63027457045761
2030-01-01 15:00:00,59.177511000853954,62.639526658401614,62.64010491389812,62.65571781230362,62.64588746886312,59.182715300322464,55.97513206123495,62.639526658401614,62.65571781230362,62.646465724359615,62.651091768331625,59.182715300322464,55.97513206123495,62.64010491389812,62.65571781230362,62.646465724359615
2030-01-01 16:00:00,59.33884428437756,62.550475311940566,62.551631822933565,62.566666465842566,62.55741437789857,59.34404858384607,57.86602753479114,62.550475311940566,62.566666465842566,62.55741437789857,62.56261867736706,59.34404858384607,57.86313625730863,62.551631822933565,62.566666465842566,62.55741437789857
2030-01-01 17:00:00,63.47741887283064,65.29198462084878,65.29256287634527,65.30817577475078,65.29834543131028,63.48320142779565,62.443498045088,65.29198462084878,65.30817577475078,65.29892368680679,65.30412798627528,63.48320142779565,62.44060676760549,65.29256287634527,65.30817577475078,65.29892368680679
2030-01-01 18:00:00,64.09557399858953,64.24071612821112,64.24129438370763,64.25690728211313,64.24707693867262,64.10077829805803,59.33479649590205,64.24071612821112,64.25690728211313,64.24765519416913,64.25285949363763,64.10077829805803,59.33190521841954,64.24129438370763,64.25690728211313,64.24765519416913
2030-01-01 19:00:00,66.08477290655077,66.55662939169507,66.55778590268807,66.57397705659008,66.56356845765308,66.09055546151578,64.3725583814132,66.55662939169507,66.57397705659008,66.56414671314957,66.56935101261807,66.09055546151578,64.36966710393071,66.55778590268807,66.57397705659008,66.56414671314957
2030-01-01 20:00:00,66.76711439242119,66.80817053267272,66.80874878816923,66.82493994207124,66.81453134313423,66.7728969473862,65.75169774056657,66.80817053267272,66.82493994207124,66.81510959863073,66.82031389809923,66.7728969473862,65.74822820758756,66.80874878816923,66.82493994207124,66.81510959863073
2030-01-01 21:00:00,67.48241644159215,65.97837389519471,65.9795304061877,65.99514330459321,65.98531296115272,67.48819899655713,66.05239059874675,65.97837389519471,65.99514330459321,65.98589121664921,65.99109551611771,67.48819899655713,66.04949932126425,65.9795304061877,65.99514330459321,65.98589121664921
2030-01-01 22:00:00,65.95350890884518,66.00266062604773,66.00381713704071,66.02000829094273,66.00959969200572,65.95929146381019,65.78408004837057,66.00266062604773,66.02000829094273,66.01017794750223,66.01538224697073,65.95929146381019,65.78061051539159,66.00381713704071,66.02000829094273,66.01017794750223
