,MTKK-0,MTKK-1,MTKK-2,MTKK-3,MTKK-4,MTKK-5,MTKK-6,MTKK-7,MTKK-8,MTKK-9,MTKK-10,MTKK-11,MTKK-12,MTKK-13,MTKK-14,MTKK-15
2030-01-01 00:00:00,87.44878570645966,82.6409167827643,82.6409167827643,82.6409167827643,82.6409167827643,87.44878570645966,88.80950332637347,82.6409167827643,82.6409167827643,82.6409167827643,82.6409167827643,87.44878570645966,88.80950332637347,82.6409167827643,82.6409167827643,82.6409167827643
2030-01-01 01:00:00,82.00591522680452,81.55234268683324,81.55234268683324,81.55234268683324,81.55234268683324,82.00591522680452,82.00591522680452,81.55234268683324,81.55234268683324,81.55234268683324,81.55234268683324,82.00591522680452,82.00591522680452,81.55234268683324,81.55234268683324,81.55234268683324
2030-01-01 02:00:00,80.82662662287923,80.19162506691946,80.19162506691946,80.19162506691946,80.19162506691946,80.82662662287923,80.73591211488495,80.19162506691946,80.19162506691946,80.19162506691946,80.19162506691946,80.82662662287923,80.73591211488495,80.19162506691946,80.19162506691946,80.19162506691946
2030-01-01 03:00:00,82.82234579875278,75.20232712723555,75.11161261924131,75.11161261924131,75.11161261924131,82.82234579875278,74.83946909525855,75.20232712723555,75.11161261924131,75.11161261924131,75.11161261924131,82.82234579875278,74.83946909525855,75.11161261924131,75.11161261924131,75.11161261924131
2030-01-01 04:00:00,82.09662973479875,77.65161884308037,77.56090433508612,77.56090433508612,77.56090433508612,82.00591522680452,78.19590589104588,77.65161884308037,77.56090433508612,77.56090433508612,77.56090433508612,82.00591522680452,78.19590589104588,77.56090433508612,77.56090433508612,77.56090433508612
2030-01-01 05:00:00,74.11375303130451,72.57160639540223,72.57160639540223,72.57160639540223,72.57160639540223,74.11375303130451,76.83518827113211,72.57160639540223,72.57160639540223,72.57160639540223,72.57160639540223,74.11375303130451,76.83518827113211,72.57160639540223,72.57160639540223,72.57160639540223
2030-01-01 06:00:00,74.83946909525855,72.29946287141945,72.29946287141945,72.29946287141945,72.29946287141945,74.83946909525855,68.7615970596436,72.29946287141945,72.29946287141945,72.29946287141945,72.29946287141945,74.83946909525855,68.7615970596436,72.29946287141945,72.29946287141945,72.29946287141945
2030-01-01 07:00:00,69.48731312359763,77.28876081110337,77.19804630310912,77.19804630310912,77.19804630310912,69.39659861560338,81.6430571948275,77.28876081110337,77.19804630310912,77.19804630310912,77.19804630310912,69.39659861560338,81.6430571948275,77.19804630310912,77.19804630310912,77.19804630310912
2030-01-01 08:00:00,76.10947220717809,76.74447376313783,76.74447376313783,76.74447376313783,76.74447376313783,76.10947220717809,66.8565923917643,76.74447376313783,76.74447376313783,76.74447376313783,76.74447376313783,76.10947220717809,66.8565923917643,76.74447376313783,76.74447376313783,76.74447376313783
2030-01-01 09:00:00,73.66018049133325,80.91734113087347,80.91734113087347,80.91734113087347,80.91734113087347,73.66018049133325,69.03374058362637,80.91734113087347,80.91734113087347,80.91734113087347,80.91734113087347,73.66018049133325,69.03374058362637,80.91734113087347,80.91734113087347,80.91734113087347
2030-01-01 10:00:00,94.27414528794726,78.46804941502867,78.37733490703438,78.37733490703438,78.37733490703438,94.24874522570884,91.63707454055432,78.46804941502867,78.37733490703438,78.37733490703438,78.37733490703438,94.24874522570884,91.63707454055432,78.37733490703438,78.37733490703438,78.37733490703438
2030-01-01 11:00:00,89.44450488233323,86.72306964250566,86.63235513451141,86.63235513451141,86.63235513451141,89.44450488233323,76.10947220717809,86.72306964250566,86.63235513451141,86.63235513451141,86.63235513451141,89.44450488233323,76.10947220717809,86.63235513451141,86.63235513451141,86.63235513451141
2030-01-01 12:00:00,74.11375303130451,83.09448932273555,83.00377481474129,83.00377481474129,83.00377481474129,74.02303852331028,80.64519760689073,83.09448932273555,83.00377481474129,83.00377481474129,83.00377481474129,74.02303852331028,80.64519760689073,83.00377481474129,83.00377481474129,83.00377481474129
2030-01-01 13:00:00,74.02303852331028,82.55020227477003,82.55020227477003,82.55020227477003,82.55020227477003,73.93232401531601,65.04230223187923,82.55020227477003,82.55020227477003,82.55020227477003,82.55020227477003,73.93232401531601,65.04230223187923,82.55020227477003,82.55020227477003,82.55020227477003
2030-01-01 14:00:00,87.90235824643092,82.82234579875278,82.82234579875278,82.82234579875278,82.82234579875278,87.90235824643092,86.36021161052865,82.82234579875278,82.82234579875278,82.82234579875278,82.82234579875278,87.90235824643092,86.36021161052865,82.82234579875278,82.82234579875278,82.82234579875278
2030-01-01 15:00:00,85.45306653058611,79.5566235109597,79.46590900296542,79.46590900296542,79.46590900296542,85.45306653058611,75.29304163522981,79.5566235109597,79.46590900296542,79.46590900296542,79.46590900296542,85.45306653058611,75.29304163522981,79.46590900296542,79.46590900296542,79.46590900296542
