Region,Region2,Type,Fuel,PathwayScenario,Year,Value
Thies,Dakar,TotalTradeCapacity,Gas_Natural,NZ_NZ,2025,3.20448456448507
Thies,Dakar,TotalTradeCapacity,Gas_Natural,NZ_NZ,2030,51.37887705726408
Thies,Dakar,TotalTradeCapacity,Gas_Natural,NZ_NZ,2035,63.993893395140006
Thies,Dakar,TotalTradeCapacity,Gas_Natural,NZ_NZ,2040,75.88268602926652
Thies,Dakar,TotalTradeCapacity,Gas_Natural,NZ_NZ,2045,75.88268602926652
Thies,Dakar,TotalTradeCapacity,Gas_Natural,NZ_NZ,2050,75.88268602926652
Thies,Dakar,TotalTradeCapacity,Power,NZ_NZ,2022,5.0
Thies,Dakar,TotalTradeCapacity,Power,NZ_NZ,2025,5.0
Thies,Dakar,TotalTradeCapacity,Power,NZ_NZ,2030,5.0
Thies,Dakar,TotalTradeCapacity,Power,NZ_NZ,2035,5.0
Thies,Dakar,TotalTradeCapacity,Power,NZ_NZ,2040,5.0
Thies,Dakar,TotalTradeCapacity,Power,NZ_NZ,2045,5.0
Thies,Dakar,TotalTradeCapacity,Power,NZ_NZ,2050,5.0
Thies,Diourbel,TotalTradeCapacity,Power,NZ_NZ,2022,1.0
Thies,Diourbel,TotalTradeCapacity,Power,NZ_NZ,2025,1.0
Thies,Diourbel,TotalTradeCapacity,Power,NZ_NZ,2030,1.0
Thies,Diourbel,TotalTradeCapacity,Power,NZ_NZ,2035,1.0
Thies,Diourbel,TotalTradeCapacity,Power,NZ_NZ,2040,1.0
Thies,Diourbel,TotalTradeCapacity,Power,NZ_NZ,2045,1.0
Thies,Diourbel,TotalTradeCapacity,Power,NZ_NZ,2050,1.0
LS,Diourbel,TotalTradeCapacity,Gas_Natural,NZ_NZ,2025,0.21153460019877174
LS,Diourbel,TotalTradeCapacity,Gas_Natural,NZ_NZ,2030,1.5601327548523374
LS,Diourbel,TotalTradeCapacity,Gas_Natural,NZ_NZ,2035,2.6170972419206895
LS,Diourbel,TotalTradeCapacity,Gas_Natural,NZ_NZ,2040,3.8270075548841924
LS,Diourbel,TotalTradeCapacity,Gas_Natural,NZ_NZ,2045,3.8270075548841924
LS,Diourbel,TotalTradeCapacity,Gas_Natural,NZ_NZ,2050,3.8270075548841924
Dakar,Thies,TotalTradeCapacity,Power,NZ_NZ,2022,5.0
Dakar,Thies,TotalTradeCapacity,Power,NZ_NZ,2025,5.0
Dakar,Thies,TotalTradeCapacity,Power,NZ_NZ,2030,5.0
Dakar,Thies,TotalTradeCapacity,Power,NZ_NZ,2035,5.0
Dakar,Thies,TotalTradeCapacity,Power,NZ_NZ,2040,5.0
Dakar,Thies,TotalTradeCapacity,Power,NZ_NZ,2045,5.0
Dakar,Thies,TotalTradeCapacity,Power,NZ_NZ,2050,5.0
