Region,Sector,Technology,Fuel,Type,Unit,PathwayScenario,Year,Value
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,NZ_NZ,2025,6.499999999999998
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,NZ_NZ,2030,9.999999999999991
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,NZ_NZ,2035,12.0
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,NZ_NZ,2040,10.999999999999993
Dakar,Power,P_Gas_CCGT,Power,Production,PJ,NZ_NZ,2045,10.000000000000018
Dakar,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,NZ_NZ,2045,9.426684980664012
Dakar,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,NZ_NZ,2050,18.853369961328013
Dakar,Power,P_Oil,Power,Production,PJ,NZ_NZ,2022,12.806031084661335
Dakar,Power,P_Oil,Power,Production,PJ,NZ_NZ,2025,6.00000000000001
Dakar,Power,P_Oil,Power,Production,PJ,NZ_NZ,2030,0.010326817790366823
Dakar,Power,P_Coal_Hardcoal,Power,Production,PJ,NZ_NZ,2025,0.560169819282722
Dakar,Power,P_Coal_Hardcoal,Power,Production,PJ,NZ_NZ,2022,1.2263390189287846
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2025,0.20000000000000004
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2030,6.099073729783862
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2035,9.637188298038412
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2040,23.70936817769052
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2045,32.645755782
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2050,32.645755782
Dakar,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2022,0.007775993779204977
Dakar,Power,P_Gas_OCGT,Power,Production,PJ,NZ_NZ,2025,2.9999999999999836
Dakar,Power,P_Gas_OCGT,Power,Production,PJ,NZ_NZ,2035,7.999999999999983
Dakar,Power,P_Gas_OCGT,Power,Production,PJ,NZ_NZ,2030,5.999999999999997
Dakar,Power,P_Gas_OCGT,Power,Production,PJ,NZ_NZ,2040,4.999999999999994
Dakar,Power,P_Gas_OCGT,Power,Production,PJ,NZ_NZ,2045,4.0
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2022,0.18359985312011748
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2025,0.2096741210198066
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2030,0.2651351384859663
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2035,0.320599033008591
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2040,0.3760600504747508
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2045,2.5392886012229976
Diourbel,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2050,31.555728707837286
Thies,Power,P_Gas_CCGT,Power,Production,PJ,NZ_NZ,2025,2.9999999999999836
Thies,Power,P_Gas_CCGT,Power,Production,PJ,NZ_NZ,2030,2.999999999999984
Thies,Power,P_Gas_CCGT,Power,Production,PJ,NZ_NZ,2035,6.000000000000015
Thies,Power,P_Gas_CCGT,Power,Production,PJ,NZ_NZ,2040,5.00000000000001
Thies,Power,P_Gas_CCGT,Power,Production,PJ,NZ_NZ,2045,4.000000000000009
Thies,Power,RES_PV_Utility_Inf,Power,Production,PJ,NZ_NZ,2045,6.285203902800001
Thies,Power,RES_PV_Utility_Inf,Power,Production,PJ,NZ_NZ,2050,12.570407805600002
Thies,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,NZ_NZ,2045,4.286188671657904
Thies,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,NZ_NZ,2050,12.786750836745897
Thies,Power,RES_Wind_Onshore_Inf,Power,Production,PJ,NZ_NZ,2050,6.207888161069046
Thies,Power,P_Oil,Power,Production,PJ,NZ_NZ,2022,2.1723102621517896
Thies,Power,P_Oil,Power,Production,PJ,NZ_NZ,2025,0.263606604814352
Thies,Power,P_Oil,Power,Production,PJ,NZ_NZ,2030,0.08456113517178117
Thies,Power,P_Coal_Hardcoal,Power,Production,PJ,NZ_NZ,2022,0.05612395510083591
Thies,Power,P_Coal_Hardcoal,Power,Production,PJ,NZ_NZ,2025,0.12789381368347177
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2022,0.7192794245764602
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2025,1.1327274267200997
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2030,1.1327274267200997
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2035,1.1327274267200997
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2040,4.60815151384749
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2045,19.931880123150698
Thies,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2050,32.25369103200001
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,NZ_NZ,2022,1.4240148607881113
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,NZ_NZ,2025,2.6594847652825595
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,NZ_NZ,2030,5.090959214088751
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,NZ_NZ,2035,15.373514183351425
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,NZ_NZ,2040,31.378528939821877
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,NZ_NZ,2045,51.20227885752001
Thies,Power,RES_Wind_Onshore_Opt,Power,Production,PJ,NZ_NZ,2050,51.20227885752001
LS,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,NZ_NZ,2040,9.002412145944
LS,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,NZ_NZ,2045,17.850995949834154
LS,Power,RES_Wind_Onshore_Avg,Power,Production,PJ,NZ_NZ,2050,17.962627329100187
LS,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2022,0.14759988192009446
LS,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2025,0.29999999999999993
LS,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2030,1.1751710993682396
LS,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2035,6.250988158062604
LS,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2040,11.375569834441002
LS,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2045,14.679057619500561
LS,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2050,22.992490406767406
FKK,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2025,0.4895997523201981
FKK,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2030,0.6191040530073255
FKK,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2035,0.7486150717678398
FKK,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2040,0.8781193724549674
FKK,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2045,1.0076303912154823
FKK,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2050,19.39177977477502
FKK,Power,RES_PV_Utility_Opt,Power,Production,PJ,NZ_NZ,2022,0.3095997523201981
ZS,Power,RES_PV_Utility_Avg,Power,Production,PJ,NZ_NZ,2050,0.7736929947842659
ZS,Power,P_Oil,Power,Production,PJ,NZ_NZ,2022,0.16333186933450453
ZS,Power,P_Oil,Power,Production,PJ,NZ_NZ,2025,0.3
ZS,Power,P_Oil,Power,Production,PJ,NZ_NZ,2030,0.005449571727904416
MTKK,Power,RES_Hydro_Small,Power,Production,PJ,NZ_NZ,2022,0.914436
MTKK,Power,RES_Hydro_Small,Power,Production,PJ,NZ_NZ,2025,1.1882130314856794
MTKK,Power,RES_Hydro_Small,Power,Production,PJ,NZ_NZ,2030,2.2480516440000007
MTKK,Power,RES_Hydro_Small,Power,Production,PJ,NZ_NZ,2035,2.2480516440000007
MTKK,Power,RES_Hydro_Small,Power,Production,PJ,NZ_NZ,2045,1.2708616243995436
MTKK,Power,RES_Hydro_Small,Power,Production,PJ,NZ_NZ,2050,1.2708616243995419
MTKK,Power,RES_Hydro_Small,Power,Production,PJ,NZ_NZ,2040,1.8458623681590567
MTKK,Power,RES_PV_Utility_Avg,Power,Production,PJ,NZ_NZ,2035,1.0208385690517439
MTKK,Power,RES_PV_Utility_Avg,Power,Production,PJ,NZ_NZ,2040,2.4438134603927626
MTKK,Power,RES_PV_Utility_Avg,Power,Production,PJ,NZ_NZ,2045,3.0899181477079085
MTKK,Power,RES_PV_Utility_Avg,Power,Production,PJ,NZ_NZ,2050,10.17113071929997
MTKK,Power,P_Oil,Power,Production,PJ,NZ_NZ,2025,0.35
MTKK,Power,P_Oil,Power,Production,PJ,NZ_NZ,2022,0.14137188690249047
MTKK,Power,RES_Hydro_Large,Power,Production,PJ,NZ_NZ,2025,2.631882909945598
MTKK,Power,RES_Hydro_Large,Power,Production,PJ,NZ_NZ,2030,2.631882909945593
MTKK,Power,RES_Hydro_Large,Power,Production,PJ,NZ_NZ,2040,2.6318829099455976
MTKK,Power,RES_Hydro_Large,Power,Production,PJ,NZ_NZ,2022,0.8351999999999997
