,Dakar>Thies,Diourbel>Thies,FKK>MTKK,FKK>Thies,FKK>ZS,LS>Thies,MTKK>ZS
2030-01-01 00:00:00,126.87802288675992,-97.05290628554145,-46.51461419618533,-58.03164997603244,0.0,-77.62026287110393,47.16305461344143
2030-01-01 01:00:00,162.0858955522326,-91.63389541796904,-0.287369296888869,-99.04169933092723,0.0,-74.27921710382645,44.61121310738537
2030-01-01 02:00:00,175.93817332225535,-86.19559357319814,0.0,-130.9492998098144,36.90878802951818,-71.01336195508975,5.215926442915645
2030-01-01 03:00:00,187.48173813060748,-84.0911233333643,2.5953407451280555,-144.65712560212614,51.63821583748222,-67.74750680635293,0.0
2030-01-01 04:00:00,207.68297654522303,-81.54822179356496,26.22904854095873,-164.77992160893155,51.05996034098189,-66.98800560897233,0.0
2030-01-01 05:00:00,201.33401590062928,-79.88218285369635,30.884257622788937,-167.8985633518423,51.869518036082354,-68.05130728530526,0.0
2030-01-01 06:00:00,162.0858955522326,-79.5314378137241,0.0,-136.32109248717688,51.27406000395672,-69.95006027875684,0.0
2030-01-01 07:00:00,146.50208306095735,-78.21614391382785,0.0,-119.4445103455332,35.27727475007032,-70.4817111169233,6.442660874813214
2030-01-01 08:00:00,144.19337009928768,-68.48296905459597,0.0,-124.64322999330716,44.09293715862486,-70.25386075770916,0.0
2030-01-01 09:00:00,129.31825739025135,-62.83593706705449,48.723371152601885,-170.15946194910157,52.96820347943311,-61.464717555884135,0.0
2030-01-01 10:00:00,30.21596017689535,-55.39748748347256,51.94143180579954,-153.55978180429383,54.413842220683925,-50.045743517353,0.0
2030-01-01 11:00:00,-26.965525343804984,-47.15292204412015,60.19645203327649,-145.00052357506638,57.24729415353579,-44.50056498948243,0.0
2030-01-01 12:00:00,-46.58510022264817,-42.67970349651284,56.567871713506406,-131.5312700207046,59.67076293936873,-40.44244905176106,0.0
2030-01-01 13:00:00,-57.83754153602604,-39.49510163169123,56.11429917353507,-128.3019167040297,62.09943602467024,-40.9692672177025,0.0
2030-01-01 14:00:00,-41.28000810671256,-38.47499191330883,56.38644269751785,-128.73612130248557,62.63952665840157,-41.7802459352522,0.0
2030-01-01 15:00:00,10.705332108420407,-47.0715874659212,53.030005901730526,-132.56936356178767,62.65571781230358,-44.63591032755357,0.0
2030-01-01 16:00:00,89.6889285478519,-54.9742769367017,58.7450199053685,-153.76689680496293,62.56666646584256,-51.8303013932225,0.0
2030-01-01 17:00:00,122.43737869200412,-59.63730285506028,23.94586483577461,-140.7024827909845,65.3081757747508,-62.89140060224577,0.0
2030-01-01 18:00:00,123.69364792580836,-64.7190794873228,0.0,-77.01672435626097,4.119177218814457,-72.21263736383308,48.13773006329865
2030-01-01 19:00:00,76.06515096120893,-86.30957071730882,-78.98841276012877,-25.268806773930464,0.0,-83.74641491037265,54.57397705659008
2030-01-01 20:00:00,78.0293420718508,-94.06718913277699,-75.88538574330833,-32.91518515726557,0.0,-86.22389243503174,54.82493994207124
2030-01-01 21:00:00,80.62873048209713,-101.34514871220269,-78.58480839054789,-34.81905533719237,0.0,-86.32110858829651,53.99514330459322
2030-01-01 22:00:00,93.10155225752169,-104.03536316879045,-75.99544426320091,-38.35273479073248,0.0,-86.61579505288023,54.02000829094271
2030-01-01 23:00:00,92.76678887807977,-102.10275799854298,-80.73975539717304,-30.44408751712581,0.0,-83.47297909811915,51.62429576894175
2030-01-02 00:00:00,126.87802288675992,-97.05290628554145,-23.995426946155817,-80.55083722606196,0.0,-77.62026287110393,47.16305461344143
2030-01-02 01:00:00,162.0858955522326,-91.63389541796904,0.0,-147.4650069405766,48.135938312760345,-74.27921710382645,0.0
2030-01-02 02:00:00,175.93817332225535,-86.19559357319814,36.595054053735,-184.76028030646512,54.124714472433766,-71.01336195508975,0.0
2030-01-02 03:00:00,187.48173813060748,-84.0911233333643,46.935600494300495,-188.9973853512984,51.63821583748222,-67.74750680635293,0.0
2030-01-02 04:00:00,207.68297654522303,-81.54822179356496,43.07836202055967,-181.6292350885324,51.05996034098189,-66.98800560897233,0.0
2030-01-02 05:00:00,201.33401590062928,-79.88218285369635,24.420232151616233,-161.43453788066972,51.869518036082354,-68.05130728530526,0.0
2030-01-02 06:00:00,162.0858955522326,-79.5314378137241,0.0,-104.66509757686572,19.61806509364544,-69.95006027875684,21.697091683687916
2030-01-02 07:00:00,146.50208306095735,-78.21614391382785,-4.6999524925025185,-79.46728310296021,0.0,-70.4817111169233,41.719935624883526
2030-01-02 08:00:00,144.19337009928768,-68.48296905459597,-3.9691237704068953,-76.58116906427539,0.0,-70.25386075770916,41.604284525583466
2030-01-02 09:00:00,128.87567796672283,-63.79337078952914,0.0,-109.27908384564988,38.78191058839957,-60.242357355732445,2.1862928910335317
2030-01-02 10:00:00,101.2920847853502,-56.944553081496,52.357745240464624,-156.47177299861596,54.413842220683925,-49.38840878213352,0.0
2030-01-02 11:00:00,15.395908588133352,-49.30268504862238,60.61276546794159,-148.9481938709464,57.24729415353579,-43.0679299504352,0.0
2030-01-02 12:00:00,-26.356958541113272,-45.16860534901673,56.98418514817149,-136.6791279904428,59.67076293936873,-39.19809856973825,0.0
2030-01-02 13:00:00,-54.52485939239796,-41.66311649731017,56.53061260820027,-133.06308522893596,62.09943602467024,-38.2670254132729,0.0
2030-01-02 14:00:00,-46.8529585078104,-40.97117105203517,56.80275613218305,-132.72030970474995,62.63952665840157,-38.874055706815845,0.0
2030-01-02 15:00:00,-8.950579924008707,-48.80342474402392,53.44631933639562,-137.23906119468256,62.65571781230358,-42.35677823125604,0.0
2030-01-02 16:00:00,87.06936600177323,-57.08035290153134,59.16133334003359,-156.1886326794638,62.56666646584256,-48.62644024790325,0.0
2030-01-02 17:00:00,120.82256825330025,-63.68437611142053,0.0,-113.47065812927713,60.12691185375468,-62.1787665685157,0.0
2030-01-02 18:00:00,121.06922219498664,-68.97674421643455,-32.753239580871536,-42.986743408725935,0.0,-73.35864888910214,52.25690728211316
2030-01-02 19:00:00,101.66223649664335,-88.31254580390019,-78.57209932546368,-26.8986518534216,0.0,-85.57072118088068,54.57397705659008
2030-01-02 20:00:00,117.77036177573518,-94.06718913277699,-75.4690723086432,-33.33149859193053,0.0,-86.81098686060704,54.82493994207124
2030-01-02 21:00:00,110.65615097914996,-101.34514871220269,-78.1684949558828,-35.23536877185734,0.0,-86.32110858829651,53.99514330459322
2030-01-02 22:00:00,93.10155225752169,-104.03536316879045,-75.57913082853575,-38.769048225397455,0.0,-86.61579505288023,54.02000829094271
2030-01-02 23:00:00,92.76678887807977,-102.10275799854298,-80.32344196250796,-30.860400951791235,0.0,-83.47297909811915,51.62429576894175
2030-01-03 00:00:00,126.87802288675992,-97.05290628554145,-55.440140566780656,-49.106123605437006,0.0,-77.62026287110393,47.16305461344143
2030-01-03 01:00:00,162.0858955522326,-91.63389541796904,0.0,-104.53058038816287,5.201511760346932,-74.27921710382645,39.40970134703844
2030-01-03 02:00:00,175.93817332225535,-86.19559357319814,0.0,-146.65281860303955,52.612306822743115,-71.01336195508975,0.0
2030-01-03 03:00:00,187.48173813060748,-84.0911233333643,31.351758515513207,-173.4135433725114,51.63821583748222,-67.74750680635293,0.0
2030-01-03 04:00:00,199.23052816165273,-81.54822179356496,51.95762810318149,-190.5085011711544,51.05996034098189,-66.98800560897233,0.0
2030-01-03 05:00:00,190.9318364164292,-79.88218285369635,46.96833016349751,-183.98263589255112,51.869518036082354,-68.05130728530526,0.0
2030-01-03 06:00:00,162.0858955522326,-79.5314378137241,25.409957224715757,-163.77214648526933,53.31515677733329,-69.95006027875684,0.0
2030-01-03 07:00:00,146.50208306095735,-78.21614391382785,14.291164111205603,-152.1783353315518,53.719935624883526,-70.4817111169233,0.0
2030-01-03 08:00:00,144.19337009928768,-68.48296905459597,17.078329065489466,-151.23290642575512,53.604284525583466,-70.25386075770916,0.0
2030-01-03 09:00:00,129.6835610414182,-63.80073566431747,51.842335658472166,-174.98096296410904,52.96820347943311,-60.94837574719941,0.0
2030-01-03 10:00:00,57.324611195746,-56.05296133962838,52.7740586751297,-156.3291729328066,54.413842220683925,-50.4568943092188,0.0
2030-01-03 11:00:00,-20.86212309455732,-47.43477640990682,61.029078902606784,-147.70916583110463,57.24729415353579,-43.23526684680076,0.0
2030-01-03 12:00:00,-45.55606793759397,-44.03892205652198,57.400498582836576,-135.156808777665,59.67076293936873,-39.096987505710096,0.0
2030-01-03 13:00:00,-62.301886594112155,-41.84379203096376,56.94692604286536,-132.67434461158928,62.09943602467024,-38.3329986623919,0.0
2030-01-03 14:00:00,-49.36942289676063,-40.26580759482772,57.21906956684813,-131.83493327118413,62.63952665840157,-38.51483348805653,0.0
2030-01-03 15:00:00,-10.268406031107588,-48.42491473373957,53.8626327710607,-134.81388608219822,62.65571781230358,-41.39782604696472,0.0
2030-01-03 16:00:00,40.4817076051304,-55.4578124920257,59.57764677469868,-153.32217386168122,62.56666646584256,-47.10090387541277,0.0
2030-01-03 17:00:00,102.4336960592418,-61.11578874426653,63.38765611045733,-178.87181383503503,65.3081757747508,-60.4242860654208,0.0
2030-01-03 18:00:00,119.89882756095813,-67.28286817660546,0.0,-136.3193427185333,63.62551555263337,-71.66437582534877,0.0
2030-01-03 19:00:00,75.91957913742954,-88.37159772310144,-78.1557858907986,-26.628608576678744,0.0,-84.78241417471052,54.57397705659008
2030-01-03 20:00:00,74.62607678175482,-94.83356704511651,-75.0527588739781,-34.992235846723815,0.0,-86.97731762283343,54.82493994207124
2030-01-03 21:00:00,80.62873048209713,-101.34514871220269,-77.75218152121772,-35.651682206522764,0.0,-86.32110858829651,53.99514330459322
2030-01-03 22:00:00,93.10155225752169,-104.03536316879045,-75.16281739387068,-39.185361660062426,0.0,-86.61579505288023,54.02000829094271
2030-01-03 23:00:00,92.76678887807977,-102.10275799854298,-79.90712852784286,-31.276714386456202,0.0,-83.47297909811915,51.62429576894175
2030-01-04 00:00:00,126.87802288675992,-97.05290628554145,-23.8580202332829,-80.6882439389351,0.0,-77.62026287110393,47.16305461344143
2030-01-04 01:00:00,162.0858955522326,-91.63389541796904,0.0,-130.49010668039273,31.161038052576718,-74.27921710382645,13.45017505480871
2030-01-04 02:00:00,175.93817332225535,-86.19559357319814,10.665816337998704,-158.83104259072888,54.124714472433766,-71.01336195508975,0.0
2030-01-04 03:00:00,187.48173813060748,-84.0911233333643,16.531779660976554,-158.5935645179743,51.63821583748222,-67.74750680635293,0.0
2030-01-04 04:00:00,207.68297654522303,-81.54822179356496,36.2649098010595,-174.81578286903232,51.05996034098189,-66.98800560897233,0.0
2030-01-04 05:00:00,201.33401590062928,-79.88218285369635,34.05643195115647,-171.07073768020973,51.869518036082354,-68.05130728530526,0.0
2030-01-04 06:00:00,162.0858955522326,-79.5314378137241,4.4244061893323305,-142.78659544988568,53.31515677733329,-69.95006027875684,0.0
2030-01-04 07:00:00,146.50208306095735,-78.21614391382785,0.0,-114.49269746173059,30.32546186626803,-70.4817111169233,11.394473758615504
2030-01-04 08:00:00,144.19337009928768,-68.48296905459597,0.0,-93.68608857965043,13.13579574496839,-70.25386075770916,28.468488780615075
2030-01-04 09:00:00,128.2925971388995,-64.04377653233017,0.0,-109.83453674302154,40.78193991776652,-59.50472620046855,0.1862635616665215
2030-01-04 10:00:00,121.57401042247692,-59.68153422706348,53.25975768223906,-159.5991385203638,54.413842220683925,-50.516965835884555,0.0
2030-01-04 11:00:00,31.8224164571202,-51.220795469037625,61.51477790971603,-151.38599275774504,57.24729415353579,-42.80320530890913,0.0
2030-01-04 12:00:00,-46.88207223360405,-45.87852200023463,57.88619758994594,-137.61718925639116,59.67076293936873,-38.46351498482579,0.0
2030-01-04 13:00:00,-60.63821710798402,-43.14591765626641,57.43262504997472,-138.2353265200663,62.09943602467024,-38.15473013584949,0.0
2030-01-04 14:00:00,-46.50999457992657,-42.192563102200886,57.704768573957374,-135.42392406586487,62.63952665840157,-39.38218571920879,0.0
2030-01-04 15:00:00,-70.6394429943357,-49.96432177344274,54.34833177817006,-137.18867045325715,62.65571781230358,-41.9491879677588,0.0
2030-01-04 16:00:00,10.433751923697857,-57.680282573425295,60.06334578180804,-155.68369296314177,62.56666646584256,-48.06020948346145,0.0
2030-01-04 17:00:00,108.19634824409422,-63.21837321157079,63.873355117566575,-180.9965489046513,65.3081757747508,-60.49290511838808,0.0
2030-01-04 18:00:00,123.6148266379987,-68.61773779216094,0.0,-118.53204373800416,44.33968276494761,-71.17663217285167,7.917224517165493
2030-01-04 19:00:00,75.42782422239814,-88.38490444518823,-77.67008688368924,-28.815980217428205,0.0,-84.44494079218475,54.57397705659008
2030-01-04 20:00:00,74.62607678175482,-96.23742406760584,-74.56705986686882,-36.97261201092306,0.0,-87.79302190882014,54.82493994207124
2030-01-04 21:00:00,80.62873048209713,-101.34514871220269,-73.42652497224493,-39.977338755495566,0.0,-86.32110858829651,53.99514330459322
2030-01-04 22:00:00,93.10155225752169,-104.03536316879045,-28.71309383516325,-85.63508521877021,0.0,-86.61579505288023,54.02000829094271
2030-01-04 23:00:00,92.76678887807977,-102.10275799854298,-17.067384504174868,-94.11645841012432,0.0,-83.47297909811915,51.62429576894175
2030-01-05 00:00:00,133.80416177177085,-97.29579722572224,0.0,-150.91107938611913,41.482920038944826,-79.26382346223566,6.9326359799164265
2030-01-05 01:00:00,156.314113148057,-92.78960032467785,20.13220875968102,-181.6268583986757,57.70989855073606,-75.72226937884966,0.0
2030-01-05 02:00:00,179.97842100517846,-88.91474449558359,41.10178925326261,-195.51920563151,55.16557436613448,-72.38046411037486,0.0
2030-01-05 03:00:00,196.13941173687087,-86.37096609318438,45.82612203727342,-194.99920992006807,53.372982326983326,-70.02601039849492,0.0
2030-01-05 04:00:00,209.99168950689364,-83.91575081337805,56.96729287657205,-202.7712917211952,52.4477735325828,-68.81080848268584,0.0
2030-01-05 05:00:00,181.09085511491685,-81.8112805735442,49.39116030562423,-192.36025806747327,52.4477735325828,-68.81080848268584,0.0
2030-01-05 06:00:00,181.70995572643096,-80.93441797361332,49.40717878612213,-192.6529906532146,53.604284525583466,-70.32981087744713,0.0
2030-01-05 07:00:00,176.92796263725813,-79.0053202537656,44.76472039791736,-185.29128228153604,53.719935624883526,-70.4817111169233,0.0
2030-01-05 08:00:00,164.06781478381615,-70.9381843344022,51.386879481497765,-187.4483556146747,54.24036557173383,-71.16526219456591,0.0
2030-01-05 09:00:00,90.50702106416429,-61.957661201096016,49.02830227364722,-170.75848204661995,57.01599195493566,-63.50477372174555,0.0
2030-01-05 10:00:00,37.84089902059168,-52.825201916187325,69.58420978514482,-170.84822187656619,58.747288911457645,-51.888748495540646,0.0
2030-01-05 11:00:00,-43.31543860528109,-43.522818295716554,64.81262666464715,-142.12652477540996,53.31515677733329,-33.98067517345282,0.0
2030-01-05 12:00:00,-20.000052229897847,-41.42543622515564,49.39116030562423,-125.17175069484846,63.7347425687733,-40.67601079428061,0.0
2030-01-05 13:00:00,-18.590119109375337,-43.21143594696673,49.30044579763,-121.79832453537072,62.2017872475509,-36.588274331109005,0.0
2030-01-05 14:00:00,-14.456787717681436,-38.75942489673105,63.17976552075061,-129.95154278203927,61.305491227975274,-34.69145396222814,0.0
2030-01-05 15:00:00,-25.030619475717685,-43.632234278353614,60.73047380490584,-131.79067040120208,59.185606577804954,-35.21345764099465,0.0
2030-01-05 16:00:00,-13.037145275481635,-50.91120735459333,56.82974996115297,-139.4948158775505,59.34693986132856,-41.56783573481823,0.0
2030-01-05 17:00:00,105.17118530060996,-57.40125291677475,68.31420667322539,-175.69688889232793,63.48609270527811,-56.69187769565815,0.0
2030-01-05 18:00:00,161.56304555937913,-62.24473099198428,13.30964593613828,-140.91726652382158,64.10424783103701,-68.99466451743888,0.0
