time,Hydro|Reservoir,Electricity|Gas|Fossil|CCGT|w/o CCS,Electricity|Gas|Fossil|OCGT|w/o CCS,Electricity|Oil|w/o CCS,Solar|PV|Utility,Wind|Onshore,Hydro|Run of River,SlackUnit
2030-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 09:00:00,0.0,0.0,0.0,0.0,15.597985997855867,0.0,0.0,0.0
2030-01-01 10:00:00,0.0,0.0,0.0,0.0,35.08308641147289,0.0,0.0,0.0
2030-01-01 11:00:00,0.0,0.0,0.0,0.0,51.070764099198016,0.0,0.0,0.0
2030-01-01 12:00:00,0.0,0.0,0.0,0.0,62.05384431698264,0.0,0.0,0.0
2030-01-01 13:00:00,0.0,0.0,0.0,0.0,67.23712213369019,0.0,0.0,0.0
2030-01-01 14:00:00,0.0,0.0,0.0,0.0,67.1129573498925,0.0,0.0,0.0
2030-01-01 15:00:00,0.0,0.0,0.0,0.0,62.301485991039,0.0,0.0,0.0
2030-01-01 16:00:00,0.0,0.0,0.0,0.0,52.97898077651013,0.0,0.0,0.0
2030-01-01 17:00:00,0.0,0.0,0.0,0.0,38.1722443219413,0.0,0.0,0.0
2030-01-01 18:00:00,0.0,0.0,0.0,0.0,18.825582483057175,0.0,0.0,0.0
2030-01-01 19:00:00,0.0,0.0,0.0,0.0,3.3018889874182142,0.0,0.0,0.0
2030-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 09:00:00,0.0,0.0,0.0,0.0,15.890340751950188,0.0,0.0,0.0
2030-01-02 10:00:00,0.0,0.0,0.0,0.0,35.84252087857908,0.0,0.0,0.0
2030-01-02 11:00:00,0.0,0.0,0.0,0.0,51.4086918002541,0.0,0.0,0.0
2030-01-02 12:00:00,0.0,0.0,0.0,0.0,62.89634192892856,0.0,0.0,0.0
2030-01-02 13:00:00,0.0,0.0,0.0,0.0,68.6669088545962,0.0,0.0,0.0
2030-01-02 14:00:00,0.0,0.0,0.0,0.0,67.97591979462503,0.0,0.0,0.0
2030-01-02 15:00:00,0.0,0.0,0.0,0.0,63.48965010635528,0.0,0.0,0.0
2030-01-02 16:00:00,0.0,0.0,0.0,0.0,54.13171837456556,0.0,0.0,0.0
2030-01-02 17:00:00,0.0,0.0,0.0,0.0,39.78759032500481,0.0,0.0,0.0
2030-01-02 18:00:00,0.0,0.0,0.0,0.0,20.774900799327252,0.0,0.0,0.0
2030-01-02 19:00:00,0.0,0.0,0.0,0.0,3.8006118032261753,0.0,0.0,0.0
2030-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 09:00:00,0.0,0.0,0.0,0.0,16.939378398994524,0.0,0.0,0.0
2030-01-03 10:00:00,0.0,0.0,0.0,0.0,36.98408020662503,0.0,0.0,0.0
2030-01-03 11:00:00,0.0,0.0,0.0,0.0,52.66702105655301,0.0,0.0,0.0
2030-01-03 12:00:00,0.0,0.0,0.0,0.0,63.53763068070371,0.0,0.0,0.0
2030-01-03 13:00:00,0.0,0.0,0.0,0.0,69.14379105053946,0.0,0.0,0.0
2030-01-03 14:00:00,0.0,0.0,0.0,0.0,68.68926539461518,0.0,0.0,0.0
2030-01-03 15:00:00,0.0,0.0,0.0,0.0,64.38769512157913,0.0,0.0,0.0
2030-01-03 16:00:00,0.0,0.0,0.0,0.0,55.04868046211316,0.0,0.0,0.0
2030-01-03 17:00:00,0.0,0.0,0.0,0.0,40.51228616838921,0.0,0.0,0.0
2030-01-03 18:00:00,0.0,0.0,0.0,0.0,21.355310972896863,0.0,0.0,0.0
2030-01-03 19:00:00,0.0,0.0,0.0,0.0,3.749019787797773,0.0,0.0,0.0
2030-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
