Timestep,Hydro|Reservoir_MTKK_0,Electricity|Gas|Fossil|CCGT|w/o CCS_Dakar_0,Electricity|Gas|Fossil|CCGT|w/o CCS_Thies_0,Electricity|Gas|Fossil|OCGT|w/o CCS_Dakar_0,Electricity|Oil|w/o CCS_Dakar_0,Electricity|Oil|w/o CCS_Thies_0,Electricity|Oil|w/o CCS_ZS_0,Electricity|Oil|w/o CCS_MTKK_0,Solar|PV|Utility_Dakar_0,Solar|PV|Utility_Diourbel_0,Solar|PV|Utility_Thies_0,Solar|PV|Utility_LS_0,Solar|PV|Utility_FKK_0,Wind|Onshore_Thies_0,Hydro|Run of River_MTKK_0,SlackUnit_Dakar,SlackUnit_Diourbel,SlackUnit_Thies,SlackUnit_LS,SlackUnit_FKK,SlackUnit_ZS,SlackUnit_MTKK
0,172.90637736190598162,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,145.05938028502959014,43.504753922504704633,0,0,0,0,0,0,0
1,116.02123255144445579,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,147.14855331731257593,43.504753922504704633,0,0,0,0,0,0,0
2,63.512722548322429361,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,149.76075835343451104,43.504753922504704633,0,0,0,0,0,0,0
3,39.317591876248087601,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,2.6437450414045216007,0,0,0,0,0,0,154.28705367479167876,43.504753922504704633,0,0,0,0,0,0,0
4,31.473621789487481237,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,0,0,0,0,0,0,0,140.11717109621289978,43.504753922504704633,0,0,0,0,0,0,0
5,30.608999108799807232,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,4.3529903607257622866,0,0,0,0,0,0,118.7674183971395081,43.504753922504704633,0,0,0,0,0,0,0
6,66.99853100957440688,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,102.57041743080092999,43.504753922504704633,0,0,0,0,0,0,0
7,47.578051334871787503,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,93.831793739543527977,43.504753922504704633,0,0,0,0,0,0,0
8,62.448367720050256935,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,0,0,0,0,0,82.093862229661965557,43.504753922504704633,0,0,0,0,0,0,0
9,57.398162849936227303,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,12,0,5.6270812420048077485,6.3264274431212985661,50.999428518796321441,8.7145852200465618864,14.376974966050172,65.748373363928450885,43.504753922504704633,0,0,0,0,0,0,0
10,23.725456078001869287,473.82447791831890527,164.01616543326449005,218.68822057768588252,0,0,0,0,13.611143791756225241,14.646673788922230486,117.3673159146721332,19.687270158114611007,33.879960611682363947,55.553681763678888217,43.504753922504704633,0,0,0,0,0,0,0
11,0,473.82447791831890527,164.01616543326449005,127.92345443421311302,0,0,0,0,20.176704163747828602,21.668419060803810083,171.32968106945608611,29.775746092779883156,51.162941833430110705,52.229325807075746013,43.504753922504704633,0,0,0,0,0,0,0
