time,Hydro|Reservoir,Electricity|Gas|Fossil|CCGT|w/o CCS,Electricity|Gas|Fossil|OCGT|w/o CCS,Electricity|Oil|w/o CCS,Solar|PV|Utility,Wind|Onshore,Hydro|Run of River,SlackUnit
2030-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 09:00:00,0.0,0.0,0.0,0.0,8.714585220046564,0.0,0.0,0.0
2030-01-01 10:00:00,0.0,0.0,0.0,0.0,19.687270158114607,0.0,0.0,0.0
2030-01-01 11:00:00,0.0,0.0,0.0,0.0,29.775746092779883,0.0,0.0,0.0
2030-01-01 12:00:00,0.0,0.0,0.0,0.0,35.76963148457515,0.0,0.0,0.0
2030-01-01 13:00:00,0.0,0.0,0.0,0.0,39.01246879487397,0.0,0.0,0.0
2030-01-01 14:00:00,0.0,0.0,0.0,0.0,39.269691316302435,0.0,0.0,0.0
2030-01-01 15:00:00,0.0,0.0,0.0,0.0,36.6117955121279,0.0,0.0,0.0
2030-01-01 16:00:00,0.0,0.0,0.0,0.0,31.014228802468,0.0,0.0,0.0
2030-01-01 17:00:00,0.0,0.0,0.0,0.0,22.415873177315166,0.0,0.0,0.0
2030-01-01 18:00:00,0.0,0.0,0.0,0.0,11.147608897744924,0.0,0.0,0.0
2030-01-01 19:00:00,0.0,0.0,0.0,0.0,1.5384878381218836,0.0,0.0,0.0
2030-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 09:00:00,0.0,0.0,0.0,0.0,9.947483008130531,0.0,0.0,0.0
2030-01-02 10:00:00,0.0,0.0,0.0,0.0,21.50900835985784,0.0,0.0,0.0
2030-01-02 11:00:00,0.0,0.0,0.0,0.0,30.6380369132834,0.0,0.0,0.0
2030-01-02 12:00:00,0.0,0.0,0.0,0.0,36.7544744527318,0.0,0.0,0.0
2030-01-02 13:00:00,0.0,0.0,0.0,0.0,39.77897294107251,0.0,0.0,0.0
2030-01-02 14:00:00,0.0,0.0,0.0,0.0,39.606156498982095,0.0,0.0,0.0
2030-01-02 15:00:00,0.0,0.0,0.0,0.0,36.88629967776539,0.0,0.0,0.0
2030-01-02 16:00:00,0.0,0.0,0.0,0.0,31.248584758083275,0.0,0.0,0.0
2030-01-02 17:00:00,0.0,0.0,0.0,0.0,22.61303144752928,0.0,0.0,0.0
2030-01-02 18:00:00,0.0,0.0,0.0,0.0,11.339076870475571,0.0,0.0,0.0
2030-01-02 19:00:00,0.0,0.0,0.0,0.0,1.6438637174452957,0.0,0.0,0.0
2030-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 09:00:00,0.0,0.0,0.0,0.0,10.116084415048002,0.0,0.0,0.0
2030-01-03 10:00:00,0.0,0.0,0.0,0.0,21.736725635075743,0.0,0.0,0.0
2030-01-03 11:00:00,0.0,0.0,0.0,0.0,30.945945232666418,0.0,0.0,0.0
2030-01-03 12:00:00,0.0,0.0,0.0,0.0,37.11928574694947,0.0,0.0,0.0
2030-01-03 13:00:00,0.0,0.0,0.0,0.0,40.221551634230856,0.0,0.0,0.0
2030-01-03 14:00:00,0.0,0.0,0.0,0.0,39.95368614899073,0.0,0.0,0.0
2030-01-03 15:00:00,0.0,0.0,0.0,0.0,37.232143313704846,0.0,0.0,0.0
2030-01-03 16:00:00,0.0,0.0,0.0,0.0,31.56534465132946,0.0,0.0,0.0
2030-01-03 17:00:00,0.0,0.0,0.0,0.0,23.007558739716153,0.0,0.0,0.0
2030-01-03 18:00:00,0.0,0.0,0.0,0.0,11.661737812963874,0.0,0.0,0.0
2030-01-03 19:00:00,0.0,0.0,0.0,0.0,1.8335403002274449,0.0,0.0,0.0
2030-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
