Type,PathwayScenario,Pathway,Scenario,Value
":Type => ""Objective Value""",":PathwayScenario => ""ID_ID""",":Pathway => ""ID""",":Scenario => ""ID""",:Value => 97901.05618075002
":Type => ""Elapsed Time""",":PathwayScenario => ""ID_ID""",":Pathway => ""ID""",":Scenario => ""ID""",:Value => Dates.Millisecond(7190422)
