,Hydro,WindPower,Solar,NaturalGaz,Oil,Non Served
2030-01-01 00:00:00,0.0,0.0,0.0,692.5126984960045,0.0,0.0
2030-01-01 01:00:00,0.0,0.0,0.0,692.3914860807099,0.0,0.0
2030-01-01 02:00:00,0.0,0.0,0.0,689.0597476078199,0.0,0.0
2030-01-01 03:00:00,0.0,0.0,0.0,682.0598552948243,0.0,0.0
2030-01-01 04:00:00,0.0,0.0,0.0,671.8454867093416,0.0,0.0
2030-01-01 05:00:00,0.0,0.0,0.0,666.616636434563,0.0,0.0
2030-01-01 06:00:00,0.0,0.0,0.0,673.055750270578,0.0,0.0
2030-01-01 07:00:00,0.0,0.0,0.0,675.3468804539914,0.0,0.0
2030-01-01 08:00:00,0.0,0.0,0.0,668.2263799335192,0.0,0.0
2030-01-01 09:00:00,0.0,0.0,5.052342685061589,655.4244404229578,0.0,0.0
2030-01-01 10:00:00,0.0,0.0,12.872765005498463,612.2348415480016,0.0,0.0
2030-01-01 11:00:00,0.0,0.0,19.71446332495587,550.6462940475038,0.0,0.0
2030-01-01 12:00:00,0.0,0.0,24.375838899222888,516.0635076609342,0.0,0.0
2030-01-01 13:00:00,0.0,0.0,26.835105229296072,511.2276492953629,0.0,0.0
2030-01-01 14:00:00,0.0,0.0,27.265816674830518,504.10946801366515,0.0,0.0
2030-01-01 15:00:00,0.0,0.0,25.210386506051524,567.6773818251995,0.0,0.0
2030-01-01 16:00:00,0.0,0.0,21.582521699101154,625.8922023628215,0.0,0.0
2030-01-01 17:00:00,0.0,0.0,15.992783095956563,674.2683017738902,0.0,0.0
2030-01-01 18:00:00,0.0,0.0,8.59410208452369,690.0179820406038,0.0,0.0
2030-01-01 19:00:00,0.0,0.0,1.567293164907954,692.5126984960045,14.17151687839803,0.0
2030-01-01 20:00:00,0.0,0.0,0.0,692.5126984960045,19.49530158273989,0.0
2030-01-01 21:00:00,0.0,0.0,0.0,692.5126984960045,14.623027576756066,0.0
2030-01-01 22:00:00,0.0,0.0,0.0,692.5126984960045,10.370154072857382,0.0
2030-01-01 23:00:00,0.0,0.0,0.0,692.5126984960045,7.259901114062046,0.0
2030-01-02 00:00:00,0.0,0.0,0.0,692.5126984960045,0.0,0.0
2030-01-02 01:00:00,0.0,0.0,0.0,692.5126984960045,0.0,0.0
2030-01-02 02:00:00,0.0,0.0,0.0,689.5133099816231,0.0,0.0
2030-01-02 03:00:00,0.0,0.0,0.0,681.6713787110956,0.0,0.0
2030-01-02 04:00:00,0.0,0.0,0.0,673.6042754251948,0.0,0.0
2030-01-02 05:00:00,0.0,0.0,0.0,671.3592596189807,0.0,0.0
2030-01-02 06:00:00,0.0,0.0,0.0,680.3413754427694,0.0,0.0
2030-01-02 07:00:00,0.0,0.0,0.0,683.3515077504746,0.0,0.0
2030-01-02 08:00:00,0.0,0.0,0.0,675.8138713062241,0.0,0.0
2030-01-02 09:00:00,0.0,0.0,5.190209688025814,659.4513157370203,0.0,0.0
2030-01-02 10:00:00,0.0,0.0,12.919415862393205,609.5805835670639,0.0,0.0
2030-01-02 11:00:00,0.0,0.0,19.6609498525951,535.7431991671613,0.0,0.0
2030-01-02 12:00:00,0.0,0.0,23.95046650705164,505.7050604667143,0.0,0.0
2030-01-02 13:00:00,0.0,0.0,26.809226626892535,503.7541020620056,0.0,0.0
2030-01-02 14:00:00,0.0,0.0,26.99046904776388,508.2763981011333,0.0,0.0
2030-01-02 15:00:00,0.0,0.0,25.56334359631548,572.1600592628671,0.0,0.0
2030-01-02 16:00:00,0.0,0.0,21.921529634319967,644.7176473813306,0.0,0.0
2030-01-02 17:00:00,0.0,0.0,16.174526053080708,681.4057008437458,0.0,0.0
2030-01-02 18:00:00,0.0,0.0,8.683478540330691,689.5719109996246,0.0,0.0
2030-01-02 19:00:00,0.0,0.0,1.621034952050697,692.5126984960045,26.680203062546546,0.0
2030-01-02 20:00:00,0.0,0.0,0.0,692.5126984960045,34.409800134480555,0.0
2030-01-02 21:00:00,0.0,0.0,0.0,692.5126984960045,29.565936881304978,0.0
2030-01-02 22:00:00,0.0,0.0,0.0,692.5126984960045,13.324913978929663,0.0
2030-01-02 23:00:00,0.0,0.0,0.0,692.5126984960045,8.479568769797957,0.0
2030-01-03 00:00:00,0.0,0.0,0.0,692.5126984960045,0.0,0.0
2030-01-03 01:00:00,0.0,0.0,0.0,692.5126984960045,0.0,0.0
2030-01-03 02:00:00,0.0,0.0,0.0,691.4991153888786,0.0,0.0
2030-01-03 03:00:00,0.0,0.0,0.0,683.7483699254421,0.0,0.0
2030-01-03 04:00:00,0.0,0.0,0.0,673.3606746159287,0.0,0.0
2030-01-03 05:00:00,0.0,0.0,0.0,672.0074731029633,0.0,0.0
2030-01-03 06:00:00,0.0,0.0,0.0,686.8814739121142,0.0,0.0
2030-01-03 07:00:00,0.0,0.0,0.0,685.9645381326883,0.0,0.0
2030-01-03 08:00:00,0.0,0.0,0.0,681.4798772108194,0.0,0.0
2030-01-03 09:00:00,0.0,0.0,5.0791257652552755,669.7722150099165,0.0,0.0
2030-01-03 10:00:00,0.0,0.0,12.949913448462935,631.6487589804269,0.0,0.0
2030-01-03 11:00:00,0.0,0.0,19.607958869831563,560.333269200428,0.0,0.0
2030-01-03 12:00:00,0.0,0.0,24.230687776579757,525.3835299605136,0.0,0.0
2030-01-03 13:00:00,0.0,0.0,26.693541283131342,524.9501764139799,0.0,0.0
2030-01-03 14:00:00,0.0,0.0,27.237492469858477,523.2006540937077,0.0,0.0
2030-01-03 15:00:00,0.0,0.0,25.273361869857762,583.7939817663312,0.0,0.0
2030-01-03 16:00:00,0.0,0.0,21.46298134805963,648.0462447462004,0.0,0.0
2030-01-03 17:00:00,0.0,0.0,16.098624560079354,686.2205833330363,0.0,0.0
2030-01-03 18:00:00,0.0,0.0,8.634803585080327,692.5126984960045,0.0,0.0
2030-01-03 19:00:00,0.0,0.0,1.6202885383403811,692.5126984960045,26.43110996154217,0.0
2030-01-03 20:00:00,0.0,0.0,0.0,692.5126984960045,36.233126312285236,0.0
2030-01-03 21:00:00,0.0,0.0,0.0,692.5126984960045,24.211277483684974,0.0
2030-01-03 22:00:00,0.0,0.0,0.0,692.5126984960045,13.222826346316701,0.0
2030-01-03 23:00:00,0.0,0.0,0.0,692.5126984960045,6.752069461469113,0.0
2030-01-04 00:00:00,0.0,0.0,0.0,692.5126984960045,0.0,0.0
2030-01-04 01:00:00,0.0,0.0,0.0,692.5126984960045,0.0,0.0
2030-01-04 02:00:00,0.0,0.0,0.0,688.4543003407647,0.0,0.0
2030-01-04 03:00:00,0.0,0.0,0.0,683.9257486364725,0.0,0.0
2030-01-04 04:00:00,0.0,0.0,0.0,675.6321152047573,0.0,0.0
2030-01-04 05:00:00,0.0,0.0,0.0,670.2962654358502,0.0,0.0
2030-01-04 06:00:00,0.0,0.0,0.0,682.5991055023165,0.0,0.0
2030-01-04 07:00:00,0.0,0.0,0.0,683.6511571509227,0.0,0.0
2030-01-04 08:00:00,0.0,0.0,0.0,676.1074115009652,0.0,0.0
2030-01-04 09:00:00,0.0,0.0,4.606689793314173,664.4690128737956,0.0,0.0
