,Hydro|Reservoir,Electricity|Gas|Fossil|CCGT|w/o CCS,Electricity|Gas|Fossil|OCGT|w/o CCS,Electricity|Oil|w/o CCS,Solar|PV|Utility,Wind|Onshore,Hydro|Run of River,SlackUnit
Dakar,0.0,4129922.086211398,1733557.063851057,885291.9271476824,70061.90678197626,0.0,0.0,0.0
Diourbel,0.0,0.0,0.0,0.0,73449.6280952225,0.0,0.0,102.67085964604583
Thies,0.0,1412456.1683806076,0.0,481366.7463710442,590045.9932658318,735939.8006742299,0.0,0.0
LS,0.0,0.0,0.0,0.0,105099.39508184702,0.0,0.0,479.6944762167079
FKK,0.0,0.0,0.0,0.0,171498.3718500125,0.0,0.0,27.680461644848158
ZS,0.0,0.0,0.0,79170.20221530764,0.0,0.0,0.0,576.6157065159263
MTKK,822679.4678023448,0.0,0.0,8192.971888477232,0.0,0.0,692954.0608738674,463.1344897689506
