,Hydro|Reservoir,Electricity|Gas|Fossil|CCGT|w/o CCS,Electricity|Gas|Fossil|OCGT|w/o CCS,Electricity|Oil|w/o CCS,Solar|PV|Utility,Wind|Onshore,Hydro|Run of River
Dakar,0.0,473.8244779183189,218.68822057768588,506.49999999999983,38.7343016447621,0.0,0.0
Diourbel,0.0,0.0,0.0,0.0,42.0818719386948,0.0,0.0
Thies,0.0,164.0161654332645,0.0,99.9999999999999,330.1801289764521,259.7037499720545,0.0
LS,0.0,0.0,0.0,0.0,58.250914586971,0.0,0.0
FKK,0.0,0.0,0.0,0.0,100.55830787012808,0.0,0.0
ZS,0.0,0.0,0.0,12.0,0.0,0.0,0.0
MTKK,200.0,0.0,0.0,16.689364201981398,0.0,0.0,200.0
