,Hydro|Reservoir,Electricity|Gas|Fossil|CCGT|w/o CCS,Electricity|Gas|Fossil|OCGT|w/o CCS,Electricity|Oil|w/o CCS,Solar|PV|Utility,Wind|Onshore,Hydro|Run of River,SlackUnit
2030-01-01 00:00:00,0.0,473.8244779183188,218.6882205776859,0.0,0.0,0.0,0.0,0.0
2030-01-01 01:00:00,0.0,473.8244779183188,218.56700816239126,0.0,0.0,0.0,0.0,0.0
2030-01-01 02:00:00,0.0,473.8244779183188,215.23526968950125,0.0,0.0,0.0,0.0,0.0
2030-01-01 03:00:00,0.0,473.8244779183188,208.2353773765055,0.0,0.0,0.0,0.0,0.0
2030-01-01 04:00:00,0.0,473.8244779183188,198.02100879102284,0.0,0.0,0.0,0.0,0.0
2030-01-01 05:00:00,0.0,473.8244779183188,192.79215851624426,0.0,0.0,0.0,0.0,0.0
2030-01-01 06:00:00,0.0,473.8244779183188,199.23127235225925,0.0,0.0,0.0,0.0,0.0
2030-01-01 07:00:00,0.0,473.8244779183188,201.5224025356726,0.0,0.0,0.0,0.0,0.0
2030-01-01 08:00:00,0.0,473.8244779183188,194.40190201520048,0.0,0.0,0.0,0.0,0.0
2030-01-01 09:00:00,0.0,473.8244779183188,181.59996250463908,0.0,5.052342685061589,0.0,0.0,0.0
2030-01-01 10:00:00,0.0,469.265830615138,142.96901093286348,0.0,12.872765005498463,0.0,0.0,0.0
2030-01-01 11:00:00,0.0,462.90961912769603,87.73667491980778,0.0,19.71446332495587,0.0,0.0,0.0
2030-01-01 12:00:00,0.0,460.4106014413206,55.652906219613676,0.0,24.375838899222888,0.0,0.0,0.0
2030-01-01 13:00:00,0.0,460.6453870378776,50.58226225748522,0.0,26.835105229296072,0.0,0.0,0.0
2030-01-01 14:00:00,0.0,462.3301726942683,41.77929531939676,0.0,27.265816674830518,0.0,0.0,0.0
2030-01-01 15:00:00,0.0,469.27339590693805,98.40398591826136,0.0,25.210386506051524,0.0,0.0,0.0
2030-01-01 16:00:00,0.0,473.8244779183188,152.06772444450272,0.0,21.582521699101154,0.0,0.0,0.0
2030-01-01 17:00:00,0.0,473.8244779183188,200.4438238555715,0.0,15.992783095956563,0.0,0.0,0.0
2030-01-01 18:00:00,0.0,473.8244779183188,216.1935041222851,0.0,8.59410208452369,0.0,0.0,0.0
2030-01-01 19:00:00,0.0,473.8244779183188,218.6882205776859,14.17151687839803,1.567293164907954,0.0,0.0,0.0
2030-01-01 20:00:00,0.0,473.8244779183188,218.6882205776859,19.49530158273989,0.0,0.0,0.0,0.0
2030-01-01 21:00:00,0.0,473.8244779183188,218.6882205776859,14.623027576756066,0.0,0.0,0.0,0.0
2030-01-01 22:00:00,0.0,473.8244779183188,218.6882205776859,10.370154072857382,0.0,0.0,0.0,0.0
2030-01-01 23:00:00,0.0,473.8244779183188,218.6882205776859,7.259901114062046,0.0,0.0,0.0,0.0
2030-01-02 00:00:00,0.0,473.8244779183188,218.6882205776859,0.0,0.0,0.0,0.0,0.0
2030-01-02 01:00:00,0.0,473.8244779183188,218.6882205776859,0.0,0.0,0.0,0.0,0.0
2030-01-02 02:00:00,0.0,473.8244779183188,215.68883206330455,0.0,0.0,0.0,0.0,0.0
2030-01-02 03:00:00,0.0,473.8244779183188,207.8469007927769,0.0,0.0,0.0,0.0,0.0
2030-01-02 04:00:00,0.0,473.8244779183188,199.7797975068762,0.0,0.0,0.0,0.0,0.0
2030-01-02 05:00:00,0.0,473.8244779183188,197.53478170066182,0.0,0.0,0.0,0.0,0.0
2030-01-02 06:00:00,0.0,473.8244779183188,206.51689752445074,0.0,0.0,0.0,0.0,0.0
2030-01-02 07:00:00,0.0,473.8244779183188,209.52702983215596,0.0,0.0,0.0,0.0,0.0
2030-01-02 08:00:00,0.0,473.8244779183188,201.98939338790547,0.0,0.0,0.0,0.0,0.0
2030-01-02 09:00:00,0.0,473.6944085053154,185.75690723170496,0.0,5.190209688025814,0.0,0.0,0.0
2030-01-02 10:00:00,0.0,471.1922069039745,138.38837666308928,0.0,12.919415862393205,0.0,0.0,0.0
2030-01-02 11:00:00,0.0,466.1629410145979,69.5802581525633,0.0,19.6609498525951,0.0,0.0,0.0
2030-01-02 12:00:00,0.0,464.46331751808094,41.241742948633295,0.0,23.95046650705164,0.0,0.0,0.0
2030-01-02 13:00:00,0.0,462.45337947625876,41.30072258574684,0.0,26.809226626892535,0.0,0.0,0.0
2030-01-02 14:00:00,0.0,464.6280507458818,43.6483473552514,0.0,26.99046904776388,0.0,0.0,0.0
2030-01-02 15:00:00,0.0,470.2125700746976,101.94748918816931,0.0,25.56334359631548,0.0,0.0,0.0
2030-01-02 16:00:00,0.0,473.8244779183188,170.8931694630118,0.0,21.921529634319967,0.0,0.0,0.0
2030-01-02 17:00:00,0.0,473.8244779183188,207.58122292542706,0.0,16.174526053080708,0.0,0.0,0.0
2030-01-02 18:00:00,0.0,473.8244779183188,215.74743308130607,0.0,8.683478540330691,0.0,0.0,0.0
2030-01-02 19:00:00,0.0,473.8244779183188,218.6882205776859,26.680203062546546,1.621034952050697,0.0,0.0,0.0
2030-01-02 20:00:00,0.0,473.8244779183188,218.6882205776859,34.409800134480555,0.0,0.0,0.0,0.0
2030-01-02 21:00:00,0.0,473.8244779183188,218.6882205776859,29.565936881304978,0.0,0.0,0.0,0.0
2030-01-02 22:00:00,0.0,473.8244779183188,218.6882205776859,13.324913978929663,0.0,0.0,0.0,0.0
2030-01-02 23:00:00,0.0,473.8244779183188,218.6882205776859,8.479568769797957,0.0,0.0,0.0,0.0
2030-01-03 00:00:00,0.0,473.8244779183188,218.6882205776859,0.0,0.0,0.0,0.0,0.0
2030-01-03 01:00:00,0.0,473.8244779183188,218.6882205776859,0.0,0.0,0.0,0.0,0.0
2030-01-03 02:00:00,0.0,473.8244779183188,217.67463747056001,0.0,0.0,0.0,0.0,0.0
2030-01-03 03:00:00,0.0,473.8244779183188,209.92389200712344,0.0,0.0,0.0,0.0,0.0
2030-01-03 04:00:00,0.0,473.8244779183188,199.5361966976099,0.0,0.0,0.0,0.0,0.0
2030-01-03 05:00:00,0.0,473.8244779183188,198.18299518464454,0.0,0.0,0.0,0.0,0.0
2030-01-03 06:00:00,0.0,473.8244779183188,213.0569959937955,0.0,0.0,0.0,0.0,0.0
