,Hydro,WindPower,Solar,NaturalGaz,Oil,Non Served
2030-01-01 00:00:00,0.0,144.37682536688422,0.0,164.0161654332645,15.642971257739871,0.0
2030-01-01 01:00:00,0.0,144.3892917017215,0.0,164.0161654332645,1.067864479288172,0.0
2030-01-01 02:00:00,0.0,144.38111932666146,0.0,164.0161654332645,0.0,0.0
2030-01-01 03:00:00,0.0,146.51932660930441,0.0,164.0161654332645,0.0,0.0
2030-01-01 04:00:00,0.0,146.45487104103475,0.0,164.0161654332645,0.0,0.0
2030-01-01 05:00:00,0.0,147.52268187726196,0.0,164.0161654332645,0.0,0.0
2030-01-01 06:00:00,0.0,149.51941934530726,0.0,164.0161654332645,0.0,0.0
2030-01-01 07:00:00,0.0,147.1576029529722,0.0,164.0161654332645,0.0,0.0
2030-01-01 08:00:00,0.0,145.11432450153453,0.0,164.0161654332645,0.0,0.0
2030-01-01 09:00:00,0.0,134.54490411039893,45.21244290163301,164.0161654332645,0.0,0.0
2030-01-01 10:00:00,0.0,117.08898801193898,110.85438715606378,160.36819827654966,0.0,0.0
2030-01-01 11:00:00,0.0,111.09378907386832,167.79070825491146,132.83234119948213,0.0,0.0
2030-01-01 12:00:00,0.0,98.39968968196875,204.86420886091685,125.26262541557995,0.0,0.0
2030-01-01 13:00:00,0.0,84.6432738754925,225.0532082683214,126.22190456318748,0.0,0.0
2030-01-01 14:00:00,0.0,71.0041339597075,227.9993201218438,130.3826816349314,0.0,0.0
2030-01-01 15:00:00,0.0,56.747910469478036,211.71666542742804,147.89990816641847,0.0,0.0
2030-01-01 16:00:00,0.0,50.43555873882532,179.55533570548147,160.42619041358134,0.0,0.0
2030-01-01 17:00:00,0.0,54.639483875613024,132.32861505609293,164.0161654332645,0.0,0.0
2030-01-01 18:00:00,0.0,68.40245605078147,69.55080344040339,164.0161654332645,3.454493805410241,0.0
2030-01-01 19:00:00,0.0,89.83213180764488,12.46697891901984,164.0161654332645,77.06516429240625,0.0
2030-01-01 20:00:00,0.0,108.2216378705842,0.0,164.0161654332645,85.99318326166383,0.0
2030-01-01 21:00:00,0.0,119.59933847527944,0.0,164.0161654332645,78.3305962873288,0.0
2030-01-01 22:00:00,0.0,136.5966319665597,0.0,164.0161654332645,58.717034370537654,0.0
2030-01-01 23:00:00,0.0,140.52486641700187,0.0,164.0161654332645,43.56323844311097,0.0
2030-01-02 00:00:00,0.0,144.82852223248767,0.0,164.0161654332645,17.30439126544598,0.0
2030-01-02 01:00:00,0.0,153.26342906982097,0.0,164.0161654332645,4.5500194040697615,0.0
2030-01-02 02:00:00,0.0,156.98222909499714,0.0,164.0161654332645,1.1706728993820426,0.0
2030-01-02 03:00:00,0.0,155.26205957389706,0.0,164.0161654332645,0.0,0.0
2030-01-02 04:00:00,0.0,148.38479818867432,0.0,164.0161654332645,0.0,0.0
2030-01-02 05:00:00,0.0,142.8068982663784,0.0,164.0161654332645,0.0,0.0
2030-01-02 06:00:00,0.0,139.7164938602212,0.0,164.0161654332645,0.0,0.0
