,Dakar-0,Dakar-1,Dakar-2,Dakar-3,Dakar-4,Dakar-5,Dakar-6,Dakar-7,Dakar-8,Dakar-9,Dakar-10,Dakar-11,Dakar-12,Dakar-13,Dakar-14,Dakar-15,Diourbel-0,Diourbel-1,Diourbel-2,Diourbel-3,Diourbel-4,Diourbel-5,Diourbel-6,Diourbel-7,Diourbel-8,Diourbel-9,Diourbel-10,Diourbel-11,Diourbel-12,Diourbel-13,Diourbel-14,Diourbel-15,Thies-0,Thies-1,Thies-2,Thies-3,Thies-4,Thies-5,Thies-6,Thies-7,Thies-8,Thies-9,Thies-10,Thies-11,Thies-12,Thies-13,Thies-14,Thies-15,LS-0,LS-1,LS-2,LS-3,LS-4,LS-5,LS-6,LS-7,LS-8,LS-9,LS-10,LS-11,LS-12,LS-13,LS-14,LS-15,FKK-0,FKK-1,FKK-2,FKK-3,FKK-4,FKK-5,FKK-6,FKK-7,FKK-8,FKK-9,FKK-10,FKK-11,FKK-12,FKK-13,FKK-14,FKK-15,ZS-0,ZS-1,ZS-2,ZS-3,ZS-4,ZS-5,ZS-6,ZS-7,ZS-8,ZS-9,ZS-10,ZS-11,ZS-12,ZS-13,ZS-14,ZS-15,MTKK-0,MTKK-1,MTKK-2,MTKK-3,MTKK-4,MTKK-5,MTKK-6,MTKK-7,MTKK-8,MTKK-9,MTKK-10,MTKK-11,MTKK-12,MTKK-13,MTKK-14,MTKK-15
Hydro|Reservoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity|Gas|Fossil|CCGT|w/o CCS,359724682.2394541,359674074.45018154,359466357.32363003,359529007.8299239,359714944.4969432,359437568.7320004,359604461.7568007,359806134.30728894,359703516.9933341,359090741.72112477,359648322.37487966,359451028.157694,359672704.8040076,359651731.7954315,359472665.845587,359407862.8890746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123355979.6125747,123231674.05761002,123253238.57053758,123101280.90895833,123262269.72715099,122774318.27671614,122868978.72560623,122998863.51628205,123352937.19468497,121335823.39740501,123300640.3122874,122771979.08306615,123146435.87821727,123289779.62184443,122949824.01058318,122582844.22304264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity|Gas|Fossil|OCGT|w/o CCS,212361963.95479512,211881965.84967497,214479086.49427024,212896096.06346846,213481875.36668748,211506832.45373464,212681742.53486577,212722501.9098764,214136420.91762215,211011609.0352702,213503258.67678022,212420419.2907608,213117643.33647966,212401914.11161834,211498310.3091944,212269962.72539023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity|Oil|w/o CCS,233313984.24865717,226804806.1257029,226690309.07097483,227179949.33520827,227954736.9039989,219302670.2233302,232681259.73690996,240701336.90234655,220088802.8680007,249862828.3664903,231090128.60053837,225420179.8493114,227105650.7530774,226248752.17398906,238799271.7351076,237536530.6061091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124293316.60368125,124710660.04921761,127461124.05108571,125058149.89650585,123145863.75551939,122920463.54026243,125069194.69102576,129216040.68971767,128338851.33324486,126477140.8510792,127845281.50999725,123957764.4869117,125277154.25079222,123908449.12780946,123877109.96923979,125260940.38901909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20613381.487765368,20496287.41526129,20644004.220121656,20419834.442923862,20801096.538127553,20621685.911298662,20592480.46544911,20637196.18773967,20622862.64811154,20651957.58314323,20756602.57866239,20883134.771801963,20528796.268668007,20644787.87134331,20529852.400645085,20616536.518506266,2817373.7394440453,1148329.3058970668,1936364.8502516823,1624388.0449795942,2264233.3680743035,3461.425976231304,2547272.220652662,2942899.3183743563,1423636.2894949531,3114001.962957082,3399064.25561008,1741251.37659018,1640159.4095254138,1923501.5032081918,3187206.497581295,2443348.397892691
Solar|PV|Utility,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind|Onshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro|Run of River,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SlackUnit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049676.5352597816,3848752.803825084,398011.9402972775,1183603.3991808905,0.0,691334.2751057165,87918.13360759008,1773944.1681870392,844305.072132951,250327.450902866,747574.9877769012,1423866.1350846482,964554.9397238939,0.0,1308771.9505629651,1854695.7517197304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3522790.8738670913,9589951.914442131,3548355.3346556323,3679228.865435107,3527236.8370316187,1285670.710968793,6628397.044025469,8226238.010101682,5945019.425889276,2653279.5738537186,6559440.791209595,4448827.669304102,4955488.2208163235,1698560.63640231,4655294.94598341,5827335.340687009,376454.38160029124,1625293.7926203695,0.0,4318.224239072065,0.0,0.0,530945.0589438927,365719.9644611296,142720.6553789553,0.0,0.0,724158.0993979143,337992.61669940705,164088.06601566382,204.064824626328,156978.938994383,5542213.969222491,6227473.674619133,5445495.978624977,1680196.6018369938,4786171.5436738,1339095.6912325693,4693580.758955836,27143545.053798355,4123525.903179257,6734553.563660438,3907998.8088186197,3207464.6827986864,2549072.053833675,2856856.360011081,7861797.750938478,4159470.6473438116,668009.5343705657,0.0,7458672.771314393,0.0,0.0,0.0,0.0,65112042.26820868,0.0,380487.1485296178,0.0,0.0,0.0,0.0,482306.6406088421,0.0
