connection,source,target,net_gwh,forward_gwh,reverse_gwh,signed_net_gwh_original_direction
Dakar>Thies,Dakar,Thies,1063.5115874364685,1070.1264596161855,6.6148721797170795,1063.5115874364685
Diourbel>Thies,Thies,Diourbel,800.8683992105985,0.0,800.8683992105985,-800.8683992105985
FKK>Thies,Thies,FKK,680.1888551234548,0.02040150219908662,680.2092566256538,-680.1888551234548
LS>Thies,Thies,LS,651.8508856832848,0.0,651.8508856832848,-651.8508856832848
MTKK>ZS,MTKK,ZS,340.7737114103857,340.7737114103857,0.0,340.7737114103857
FKK>MTKK,MTKK,FKK,279.26891431927504,127.04226452317153,406.31117884244753,-279.26891431927504
FKK>ZS,FKK,ZS,156.1513432209958,156.1513432209958,0.0,156.1513432209958
