,Dakar,Diourbel,Thies,LS,FKK,ZS,MTKK
Hydro|Reservoir,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Electricity|Gas|Fossil|CCGT|w/o CCS,359565987.8573348,0.0,122973554.19478545,0.0,0.0,0.0,0.0
Electricity|Gas|Fossil|OCGT|w/o CCS,212648225.18940556,0.0,0.0,0.0,0.0,0.0,0.0
Electricity|Oil|w/o CCS,230673824.84373453,0.0,125426094.07469434,0.0,0.0,20628781.081848063,2134780.747906864
Solar|PV|Utility,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind|Onshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro|Run of River,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SlackUnit,0.0,1026708.5964604585,0.0,4796944.762167079,276804.61644848157,5766157.065159263,4631344.897689506
