,Hydro|Reservoir,Electricity|Gas|Fossil|CCGT|w/o CCS,Electricity|Gas|Fossil|OCGT|w/o CCS,Electricity|Oil|w/o CCS,Solar|PV|Utility,Wind|Onshore,Hydro|Run of River,SlackUnit
2030-01-01 00:00:00,0.0,164.0161654332645,0.0,15.642971257739871,0.0,144.37682536688422,0.0,0.0
2030-01-01 01:00:00,0.0,164.0161654332645,0.0,1.067864479288172,0.0,144.3892917017215,0.0,0.0
2030-01-01 02:00:00,0.0,164.0161654332645,0.0,0.0,0.0,144.38111932666146,0.0,0.0
2030-01-01 03:00:00,0.0,164.0161654332645,0.0,0.0,0.0,146.51932660930441,0.0,0.0
2030-01-01 04:00:00,0.0,164.0161654332645,0.0,0.0,0.0,146.45487104103475,0.0,0.0
2030-01-01 05:00:00,0.0,164.0161654332645,0.0,0.0,0.0,147.52268187726196,0.0,0.0
2030-01-01 06:00:00,0.0,164.0161654332645,0.0,0.0,0.0,149.51941934530726,0.0,0.0
2030-01-01 07:00:00,0.0,164.0161654332645,0.0,0.0,0.0,147.1576029529722,0.0,0.0
2030-01-01 08:00:00,0.0,164.0161654332645,0.0,0.0,0.0,145.11432450153453,0.0,0.0
2030-01-01 09:00:00,0.0,164.0161654332645,0.0,0.0,45.21244290163301,134.54490411039893,0.0,0.0
2030-01-01 10:00:00,0.0,160.36819827654966,0.0,0.0,110.85438715606378,117.08898801193898,0.0,0.0
2030-01-01 11:00:00,0.0,132.83234119948213,0.0,0.0,167.79070825491146,111.09378907386832,0.0,0.0
2030-01-01 12:00:00,0.0,125.26262541557995,0.0,0.0,204.86420886091685,98.39968968196875,0.0,0.0
2030-01-01 13:00:00,0.0,126.22190456318748,0.0,0.0,225.0532082683214,84.6432738754925,0.0,0.0
2030-01-01 14:00:00,0.0,130.3826816349314,0.0,0.0,227.9993201218438,71.0041339597075,0.0,0.0
2030-01-01 15:00:00,0.0,147.89990816641847,0.0,0.0,211.71666542742804,56.747910469478036,0.0,0.0
2030-01-01 16:00:00,0.0,160.42619041358134,0.0,0.0,179.55533570548147,50.43555873882532,0.0,0.0
2030-01-01 17:00:00,0.0,164.0161654332645,0.0,0.0,132.32861505609293,54.639483875613024,0.0,0.0
2030-01-01 18:00:00,0.0,164.0161654332645,0.0,3.454493805410241,69.55080344040339,68.40245605078147,0.0,0.0
2030-01-01 19:00:00,0.0,164.0161654332645,0.0,77.06516429240625,12.46697891901984,89.83213180764488,0.0,0.0
2030-01-01 20:00:00,0.0,164.0161654332645,0.0,85.99318326166383,0.0,108.2216378705842,0.0,0.0
2030-01-01 21:00:00,0.0,164.0161654332645,0.0,78.3305962873288,0.0,119.59933847527944,0.0,0.0
2030-01-01 22:00:00,0.0,164.0161654332645,0.0,58.717034370537654,0.0,136.5966319665597,0.0,0.0
2030-01-01 23:00:00,0.0,164.0161654332645,0.0,43.56323844311097,0.0,140.52486641700187,0.0,0.0
2030-01-02 00:00:00,0.0,164.0161654332645,0.0,17.30439126544598,0.0,144.82852223248767,0.0,0.0
2030-01-02 01:00:00,0.0,164.0161654332645,0.0,4.5500194040697615,0.0,153.26342906982097,0.0,0.0
2030-01-02 02:00:00,0.0,164.0161654332645,0.0,1.1706728993820426,0.0,156.98222909499714,0.0,0.0
2030-01-02 03:00:00,0.0,164.0161654332645,0.0,0.0,0.0,155.26205957389706,0.0,0.0
2030-01-02 04:00:00,0.0,164.0161654332645,0.0,0.0,0.0,148.38479818867432,0.0,0.0
2030-01-02 05:00:00,0.0,164.0161654332645,0.0,0.0,0.0,142.8068982663784,0.0,0.0
2030-01-02 06:00:00,0.0,164.0161654332645,0.0,0.0,0.0,139.7164938602212,0.0,0.0
2030-01-02 07:00:00,0.0,164.0161654332645,0.0,0.0,0.0,138.3948776810294,0.0,0.0
2030-01-02 08:00:00,0.0,164.0161654332645,0.0,0.0,0.0,139.83824839713182,0.0,0.0
2030-01-02 09:00:00,0.0,164.0161654332645,0.0,0.0,46.09620620035635,130.96115604595977,0.0,0.0
2030-01-02 10:00:00,0.0,160.6548313829418,0.0,0.0,111.22652915766847,113.12751000193077,0.0,0.0
2030-01-02 11:00:00,0.0,147.68694711795308,0.0,0.0,166.82644484316214,102.63224121727167,0.0,0.0
2030-01-02 12:00:00,0.0,141.81984513036915,0.0,0.0,202.58236160564826,85.94055761594635,0.0,0.0
2030-01-02 13:00:00,0.0,143.6262201256097,0.0,0.0,225.8858316238592,67.42883529999135,0.0,0.0
2030-01-02 14:00:00,0.0,148.1435469151411,0.0,0.0,226.59568953371667,53.96704054016902,0.0,0.0
2030-01-02 15:00:00,0.0,157.2976601427813,0.0,0.0,213.2896531665239,46.82835549624787,0.0,0.0
2030-01-02 16:00:00,0.0,162.68432528982103,0.0,0.0,182.31300999539323,43.187216119946775,0.0,0.0
2030-01-02 17:00:00,0.0,164.0161654332645,0.0,0.0,132.87632643603814,45.29739723501112,0.0,0.0
2030-01-02 18:00:00,0.0,164.0161654332645,0.0,3.196073892320061,70.84072808110066,54.37505906223154,0.0,0.0
