,Dakar,Diourbel,Thies,LS,FKK,ZS,MTKK
2000,319.8591042938002,320.2230818314665,319.9954768104666,320.3794504909913,320.3138973230221,320.5827862060031,320.0010047860228
2001,249.12155937902267,249.4851243618456,249.25751934084568,249.64143341628247,249.57824504254432,249.82021661514665,249.22202417625414
2002,284.0804387946568,284.44397809040055,284.21637306940056,284.600364655417,284.5350218252912,284.7839670327526,284.1812144820355
2003,242.76263799047004,243.12586136918438,242.89825634818433,243.2822270844028,243.21119411786236,243.4614604792624,242.8718616150258
2004,247.64521847664366,248.01031195241248,247.78270693141252,248.1667343284125,248.10106169813417,248.36035250326805,247.77233682345192
2005,238.0428241034748,238.40235619328658,238.17475117228656,238.55876066379477,238.48854346921368,238.71032893657093,238.08181705643133
2006,245.0469908342864,245.41223432617045,245.1846293051705,245.5685970970826,245.50279971954674,245.7657692528168,245.15979499239336
2007,399.47959370384865,399.84456840811634,399.6169633871164,400.00093412333484,399.93190580618506,400.2031147791667,399.64241035132994
2008,246.63629892853098,247.00051781378664,246.77291279278668,247.15689849019057,247.09113909244016,247.34078562474818,246.73531373696594
2009,255.565948523837,255.9294658020461,255.70186078104615,256.08587027255436,256.0200082611494,256.2963954018828,255.71621994926727
2010,248.16642093885397,248.5311988782275,248.3035938572275,248.68756753775222,248.6238111390009,248.89889844833155,248.3058098248809
2011,243.03476601880553,243.39804634321393,243.17044132221392,243.55442701961775,243.48711943208076,243.73671229797588,243.10953863459702
2012,243.17475387276255,243.53998163732228,243.31237661632224,243.69633239135524,243.62449887961512,243.8774335730025,243.28899172345822
2013,239.9664858531876,240.33101174239002,240.10340672138997,240.48743117408364,240.4202220496392,240.6738519453021,240.0614886462418
2014,275.3305285028281,275.69393042049734,275.4663253994973,275.8503140412075,275.78702065230004,276.0591610235472,275.4740610654709
2015,247.6532504828419,248.01673578033382,247.78913075933377,248.17308359006046,248.1054240424212,248.37235834256214,247.8003144334718
